,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
6349382,6349382,houseunit,houseunit,noprice,forsale,4140,m,,,,,109,3,552,,,479,,,,2,,
6349385,6349385,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,110,3,744,,,654,,,,2,,
6349387,6349387,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,,3,846,,,762,,,,2,,
6349386,6349386,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,107,3,1294,,,1218,,,,2,,
6349388,6349388,houseunit,houseunit,noprice,forsale,4140,m,,,,,115,3,846,,,775,,,,2,,
6349390,6349390,houseunit,houseunit,noprice,forsale,4140,m,,,,,114,3,641,,,561,,,,2,,
6349391,6349391,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,114,3,817,,,723,,,,,,
6349393,6349393,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,111,3,703,,,611,,,,,,
6349394,6349394,houseunit,houseunit,noprice,forsale,4140,m,semiequipped,,,,107,3,572,,,475,,,,2,,
6353941,6353941,house,house,noprice,forsale,1651,xl,,,,,703,2,0,,,,,,,,,
6351773,6351773,house,house,noprice,forsale,8020,xl,,,,,248,4,139,,,,,,,1,,
6349401,6349401,houseunit,houseunit,noprice,forsale,4140,m,,,,,52,3,863,,,772,,,,2,,
6363160,6363160,house,townhouse,noprice,forsale,1654,xl,,,,,502,3,532,,,,,true,,1,,
6369682,6369682,house,house,noprice,forsale,8000,xl,,1969,good,gas,233,3,296,,,,,,,1,,
6371842,6371842,house,apartmentblock,noprice,forsale,4500,l,,,good,,247,6,241,,,,,,,,,
6349381,6349381,housegroup,housegroup,85000-429000,forsale,4140,m,,,,,,,,,,,,,,,,1
6375776,6375776,house,villa,noprice,forsale,1602,xl,,,,,279,3,1139,,,,,,,1,2,
6375777,6375777,house,house,noprice,forsale,1601,xl,,,,,565,3,0,,,,,,,,,
6377442,6377442,housegroup,housegroup,noprice,forsale,4845,xl,,,,,,,,,,,,,,,,
6376320,6376320,house,house,noprice,forsale,4620,l,,,,,242,5,0,,,,,,,,,
6377443,6377443,houseunit,houseunit,noprice,forsale,4845,xl,,2015,asnew,,,4,871,,,,,,,,,
6377444,6377444,houseunit,houseunit,noprice,forsale,4845,xl,,2015,asnew,,,3,591,,,,,,,,,
6377445,6377445,houseunit,houseunit,noprice,forsale,4845,xl,,2015,asnew,,,3,590,,,,,,,,,
6377447,6377447,houseunit,houseunit,noprice,forsale,4845,xl,,2015,asnew,,,4,742,,,,,,,,,
6377446,6377446,houseunit,houseunit,noprice,forsale,4845,xl,,2015,asnew,,,4,673,,,,,,,,,
6377464,6377464,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,811,,,,,,,,,
6377466,6377466,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,837,,,,,,,,,
6377465,6377465,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,864,,,,,,,,,
6377462,6377462,housegroup,housegroup,62300-102600,forsale,4910,xl,,,,,,,,,,,,,,,,1
6377468,6377468,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,856,,,,,,,,,
6377467,6377467,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,878,,,,,,,,,
6377469,6377469,houseunit,houseunit,noprice,forsale,4910,xl,,2015,asnew,,,3,868,,,,,,,,,
6377484,6377484,housegroup,housegroup,67600-82700,forsale,5350,xl,,,,,,,,,,,,,,,,1
6377487,6377487,houseunit,houseunit,noprice,forsale,5350,xl,,2015,asnew,,,3,951,,,,,,,,,
6377486,6377486,houseunit,houseunit,noprice,forsale,5350,xl,,2015,asnew,,,3,1051,,,,,,,,,
6377488,6377488,houseunit,houseunit,noprice,forsale,5350,xl,,2015,asnew,,,3,1001,,,,,,,,,
6377485,6377485,houseunit,houseunit,noprice,forsale,5350,xl,,2015,asnew,,,3,1199,,,,,,,,,
6377529,6377529,houseunit,houseunit,noprice,forsale,4570,xl,,2016,asnew,,,4,1235,,,,,,,,,
6377530,6377530,houseunit,houseunit,noprice,forsale,4570,xl,,2016,asnew,,,4,855,,,,,,,,,
6377531,6377531,houseunit,houseunit,noprice,forsale,4570,xl,,2016,asnew,,,3,385,,,,,,,,,
6377528,6377528,housegroup,housegroup,55300-71800,forsale,4570,xl,,,,,,,,,,,,,,,,1
6377532,6377532,houseunit,houseunit,noprice,forsale,4570,xl,,2016,asnew,,,3,460,,,,,,,,,
6377533,6377533,houseunit,houseunit,noprice,forsale,4570,xl,,2016,asnew,,,3,500,,,,,,,,,
6377544,6377544,housegroup,housegroup,noprice,forsale,4140,xl,,,,,,,,,,,,,,,,
9871986,9871986,houseunit,houseunit,252500,forsale,7781,m,installed,,,,,3,515,,,,,,,1,,1
6377545,6377545,houseunit,houseunit,noprice,forsale,4140,xl,,2016,asnew,,,4,957,,,,,,,,,
9872009,9872009,house,house,noprice,forsale,2040,l,installed,1947,asnew,gas,265,3,343,true,true,343,,,,1,,
9872060,9872060,house,house,600000,forsale,7903,m,installed,,good,fueloil,202,3,0,,true,,,true,,,,
9872041,9872041,house,house,noprice,forsale,9820,xl,installed,1973,tobedoneup,gas,143,4,240,,,,,,,1,,
9872039,9872039,house,house,649000,forsale,8300,m,installed,2016,asnew,gas,99,3,145,,,,true,,,,,
9872059,9872059,house,house,180000,forsale,7943,m,installed,,tobedoneup,fueloil,399,3,365,,true,365,,,,1,,
9872224,9872224,house,apartmentblock,295000,forsale,3700,l,,1994,tobedoneup,gas,225,5,0,,,,true,,,1,1,
9872155,9872155,house,house,195000,forsale,9900,xl,semiequipped,,asnew,,466,2,80,,,,,,,,,
9872191,9872191,house,house,noprice,forsale,4171,xl,usasemiequipped,1960,tobedoneup,pellet,462,4,50,true,true,,true,,,,1,
9872243,9872243,house,house,noprice,forsale,9000,m,semiequipped,,torenovate,gas,588,4,184,,true,100,,,,,,
9872228,9872228,house,house,1285000,forsale,2300,m,,1900,asnew,gas,357,6,21777,,,,true,,true,1,7,
9872267,9872267,house,house,339000,forsale,9700,m,,1961,torenovate,gas,603,4,387,true,true,,true,,,1,,
9872399,9872399,house,house,285000,forsale,9300,m,hyperequipped,,asnew,gas,289,3,46,true,,,,,,,,
9872418,9872418,house,house,249500,forsale,9300,xl,installed,,asnew,gas,333,3,100,true,true,,true,true,,,,
9872482,9872482,house,house,119000,forsale,9500,m,,,,,611,3,80,,,30,true,,,,,
9872426,9872426,house,apartmentblock,1625000,forsale,2000,m,,,good,gas,221,3,80,,,,true,,,,,
9872491,9872491,house,house,440000,forsale,1180,m,,1960,torenovate,gas,286,3,0,true,true,,true,true,,1,,
9872497,9872497,house,house,noprice,forsale,3010,m,semiequipped,1949,torenovate,gas,800,4,76,,true,,true,,,,,
9872549,9872549,house,townhouse,noprice,forrent,4900,l,installed,,asnew,gas,467,2,77,,,,,,,2,,
9872566,9872566,house,villa,342000,forsale,4250,xl,usainstalled,2022,,,65,4,436,true,,300,,true,,1,2,1
9872560,9872560,house,house,148000,forsale,7700,m,installed,,good,gas,326,3,125,true,,,true,,,,,
9872567,9872567,house,villa,345000,forsale,4250,xl,usainstalled,2022,,,70,4,498,true,,350,,,,1,2,1
9872568,9872568,house,villa,357000,forsale,4250,xl,usainstalled,2022,,,65,4,685,true,,500,,true,,1,2,1
9872604,9872604,house,house,noprice,forsale,5580,xl,notinstalled,1993,tobedoneup,fueloil,241,3,895,,,,true,,,1,1,
9872569,9872569,house,villa,364000,forsale,4250,xl,usainstalled,2022,,,70,4,901,true,,750,,,,1,2,1
9872606,9872606,house,house,noprice,forsale,6760,xl,notinstalled,1976,torenovate,fueloil,422,2,0,,true,1649,true,,,1,1,
9872623,9872623,house,house,195000,forsale,5101,m,notinstalled,1966,torenovate,,863,2,1004,true,,,,,,1,1,
9872627,9872627,house,house,565000,forsale,03726,xl,usahyperequipped,2000,asnew,gas,,5,902,,,,true,,true,,3,
9872662,9872662,house,house,125000,forsale,7340,xl,installed,,good,gas,306,2,120,,true,,true,true,,,,
9872655,9872655,house,villa,noprice,forrent,4837,l,hyperequipped,1997,asnew,fueloil,183,4,1175,true,true,870,true,,,3,5,
9872678,9872678,house,townhouse,noprice,forsale,1180,l,,1984,good,gas,220,5,322,true,,280,true,,,1,1,
9872717,9872717,house,house,260000,forsale,6180,l,semiequipped,,asnew,fueloil,262,3,700,true,,600,,true,,1,,
9872679,9872679,house,house,2000000,forsale,9000,xl,usahyperequipped,1927,good,gas,386,5,927,true,true,927,true,true,,1,3,
9872729,9872729,house,apartmentblock,445000,forsale,1030,l,semiequipped,1910,torenovate,gas,,3,169,,,70,true,,,,,
9872748,9872748,house,apartmentblock,149000,forsale,4101,l,,,,,663,3,340,true,true,290,,true,,,,
