a"Number of frontages"a"Living area"aBedroomsa"Bathrooms"a"Surface of the plot"a"Primary energy consumption"a"Energy class"a"Yearly theoretical total energy consumption"aAddressaToiletsa"Garden surface"a"Terrace surface"a"Heat pump"aBuilding conditiona"Terrace"a"Kitchen surface"a"Bedroom 1 surface"a"Bedroom 2 surface"a"Bedroom 3 surface"
9314557a2aa6a6a"110m²square meters"a"266 kWh/m²kilowatt hour per square meters"aCaNot specifieda"Molenstraat 74 9300- Aalst"a6aaaaGoodaa"5m²square meters"a"10m²square meters"a"10m²square meters"a"10m²square meters"
9314264aa"212m²square meters"a4a1a"972m²square meters"a"211 kWh/m²kilowatt hour per square meters"aCaNot specifieda"Kortrijksestraat 124/0.1 8020- Oostkamp"a3aaaaAs newaYesaa"19m²square meters"a"14m²square meters"a"9m²square meters"
9314861a2a"125m²square meters"a3a1a"105m²square meters"a"197 kWh/m²kilowatt hour per square meters"aBaNot specifieda"Molenstraat 74 9300- Aalst"a1a"70m²square meters"aaaGoodaa"12m²square meters"a"21m²square meters"a"17m²square meters"a"11m²square meters"
9315049a4a"213m²square meters"a3a2a"1465m²square meters"a"396 kWh/m²kilowatt hour per square meters"aDaNot specifieda"Kempische Steenweg 398 3500- Hasselt"aaaaNoaTo be done upaYesaaaa
9315097a3aa3a1a"536m²square meters"a"40 kWh/m²kilowatt hour per square meters"aAaNot specifieda"Eedstraat 22-24 9810- Nazareth"a2aaaNoaAs newaaaaa
9315098a3aa3a1a"554m²square meters"a"40 kWh/m²kilowatt hour per square meters"aAaNot specifieda"Eedstraat 22-24 9810- Nazareth"a2aaaNoaAs newaaaaa
9315421aa"204m²square meters"a3aa"1007m²square meters"a"496 kWh/m²kilowatt hour per square meters"aEaNot specifieda"Statiestraat 47 2400- Mol"a2aa"25m²square meters"aNoaAs newaa"18m²square meters"a"19m²square meters"a"16m²square meters"a"10m²square meters"
9315082a2a"250m²square meters"a4a1aa"191 kWh/m²kilowatt hour per square meters"aCa"43181 kWh/year"a"Avenue de Maire 202 7500- Tournai"a1aaaaaaaaa
9315283aa"500m²square meters"a8aa"39250m²square meters"aNot specifiedaNot specifiedaNot specifieda"Rue Chomel 7 75007- Paris"aaaaaaaaaa
9315557aaaaaaNot specifiedaNot specifiedaNot specifieda"Vlaamse Kaai 90 2000- Anvers"aaaaaaaaaa
