,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt
9917316,9917316,houseunit,houseunit,378086,forsale,2381,m,installed,2022,asnew,electric,,5,408,,,,,,,,,1
9917318,9917318,houseunit,houseunit,394605,forsale,2381,m,installed,2022,asnew,electric,,5,408,,,,,,,,,1
9917319,9917319,house,house,1767800,forsale,62200,m,,,,,249,19,44800,,,,,,,,,
9917359,9917359,house,house,95000,forsale,11522,l,,,torenovate,fueloil,,2,0,,,,,,,,,
9917320,9917320,houseunit,houseunit,394605,forsale,2381,m,installed,2022,asnew,electric,,5,408,,,,,,,,,1
9917415,9917415,house,house,239000,forsale,9150,l,,1965,torenovate,gas,265,0,426,,,180,,,,,,
9917321,9917321,houseunit,houseunit,noprice,forsale,2381,m,installed,2022,asnew,electric,,5,408,,,,,,,,,
9917383,9917383,house,mansion,noprice,forrent,1050,xl,usahyperequipped,1925,justrenovated,gas,375,5,0,,true,100,true,true,,2,,
9917478,9917478,house,house,360000,forsale,71000,m,,,,,,1,0,,,,,,,,,
9917442,9917442,house,house,50000,forsale,4920,m,,1960,tobedoneup,gas,234,1,0,,,,,true,,1,,
9917490,9917490,house,apartmentblock,630000,forsale,1930,l,installed,,,gas,,3,0,,,,true,,,,,
9917620,9917620,house,house,95000,forsale,6182,xl,semiequipped,,tobedoneup,gas,247,2,203,,true,,true,,,,1,
9917549,9917549,house,house,noprice,forsale,9060,l,installed,1969,torenovate,fueloil,1125,2,579,true,,,true,,,1,,
9917623,9917623,house,house,noprice,forsale,6032,xl,semiequipped,,torenovate,gas,369,4,331,,true,300,true,,,1,,
9917657,9917657,house,apartmentblock,320000,forsale,7740,m,,,,fueloil,625,3,0,,,,,,,,,
9917651,9917651,house,house,noprice,forsale,5190,xl,semiequipped,,good,electric,502,3,850,,,500,true,,,1,2,
9917654,9917654,house,house,179000,forsale,3840,m,installed,1850,good,gas,254,3,280,,true,170,true,,,,,
