,Floor,Number of floors,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Shower rooms,Toilets,Terrace surface,Terrace orientation,Accessible for disabled people,Intercom,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Website,Available as of,Living room surface,Garden surface,Elevator,TV cable,Heating type,Double glazing,Garden orientation,Price,Kitchen type,Kitchen surface,Neighbourhood or locality,Construction year,Building condition,Virtual visit,Basement,Furnished,Thermic solar panels,External reference,Number of frontages,Swimming pool,Property name,Street frontage width,Dining room,Dressing room,Laundry room,Basement surface,Visio phone,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Monthly charges,Cadastral income,Agent's name,Flood zone type,Office,Armored door,Caretaker,Secure access / alarm,As built plan,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Common water heater,Total ground floor buildable,Living room,Garden,Terrace,Available date,Bedroom 4 surface,Obligation to build,How many fireplaces?,Jacuzzi,Sauna,Office surface,Professional space,Attic surface,Sea view,Attic,Internet,Type of building,Number of annexes,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Air conditioning
9312811,,,,,,106m² square meters,,,,,1,,,18m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Stationsstraat 69 2440- Geel,http://www.vastengoed.be,,,75m² square meters,,,,No,,,,,,,As new,,,No,,Waterstraat,2,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9215809,,,,,,96m² square meters,2,,,,1,,,,,Yes,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Kempische Steenweg 398 3500- Hasselt,http://www.era.be/era-nobis,After signing the deed,,96m² square meters,Yes,Yes,Gas,Yes,,,,,,2020,,,,No,No,,2,,,,,,,,,Yes,No,No,No,,,,,Non flood zone,,No,,No,,,"Yes, conform",No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
9217131,,,,,,60m² square meters,2,,,,1,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Stationsstraat 109 3620- Lanaken,http://www.erikbessems.be,To be defined,,,,,,Yes,,"€ 135,000 135000 €",Installed,,,2017,As new,Link to the virtual visit,,No,,spir1024,2,,,,,No,,,,Yes,No,No,No,Leisure area,,€ 279 279 €,,Non flood zone,No,,,,No,,No,No,,,,,,,,,No,,,,,,,,,,,,,,,,,,
9216827,,,,,,39m² square meters,1,9m² square meters,,,1,,1,,,No,No,308 kWh/m² kilowatt hour per square meters,D,20210309-0002384176-RES-1,Not specified,Not specified,,Wapenplein 9 8400- Oostende,http://www.cfinance-vastgoed.be,,20m² square meters,,Yes,No,Electric,Yes,,,Installed,8m² square meters,,1974,Good,,,No,,Residentie Iris,2,No,,,,,,7m² square meters,Yes,Yes,No,No,No,Residential park,,,,Non flood zone,No,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9217241,,,,,,62m² square meters,2,,,,1,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Dumortierlaan 89 8300- Knokke,http://www.livimmo.be,,,,,,Gas,No,,,Installed,,,1979,,,,No,,NOR15108TKC,,,,,,No,,,,,,,,,,,,Non flood zone,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,
9218565,,,,,,87m² square meters,1,12m² square meters,,,1,1,1,10m² square meters,,,Yes,645 kWh/m² kilowatt hour per square meters,G,44571,118 kg CO₂/m²,Not specified,No,Boulevard d'Avroy 206 4000- Liége,,After signing the deed,25m² square meters,,Yes,,Gas,,,,Semi equipped,8m² square meters,,1967,To be done up,,,No,,4010723,2,,,,,,,,,,,,,,,€ 825 825 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9218361,,,,,,65m² square meters,1,,,,1,,1,2m² square meters,North West,,,Not specified,B,Not specified,Not specified,Not specified,No,,,After signing the deed,,,,,,Yes,,"€ 50,000 50000 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,No,,,,,All kind,,,,,,,,
9315570,,,,,,92m² square meters,2,,,,1,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,http://www.braboimmo.be,,,49m² square meters,Yes,,,Yes,,,Installed,,,,,,,No,,231 - 1413,2,,Residentie Smaragd,,,,,,,Yes,,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9315571,,,,,,116m² square meters,3,,,,1,,1,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Vlaamse Kaai 90 2000- Anvers,http://www.braboimmo.be,,,84m² square meters,Yes,,,Yes,,,Installed,,,,,,,No,,232 - 1414,2,,Residentie Smaragd,,,,,,,Yes,,No,No,"Living area (residential, urban or rural)",,,,Non flood zone,,,,,No,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9315578,,,,,,86m² square meters,1,,,,1,,1,19m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,,,,Yes,,,,,,Installed,,,2021,,,,No,,3208 - 1305622,,,ZEPHYR 0001,,,,,,,,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9315582,,,,,,88m² square meters,2,,,,1,,1,8m² square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Visserskaai 8 8400- Oostende,,,,,Yes,,,,,,Installed,,,2021,,,,No,,3211 - 1305622,,,ZEPHYR 0003,,,,,,,,No,No,No,"Living area (residential, urban or rural)",,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
