,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
2,9160933,1.0,,,"Living area (residential, urban or rural)",84,2.0,9,12,,,,47,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,233975.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
3,9160884,3.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,173200.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
5,9160880,1.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,184920.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
6,9160931,1.0,,,"Living area (residential, urban or rural)",86,2.0,9,12,,,,32,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,229530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
7,9160881,1.0,32.0,10.0,"Living area (residential, urban or rural)",61,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,191940.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
10,9160932,1.0,,,"Living area (residential, urban or rural)",93,2.0,9,14,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,227135.0,,10,,,,,,,,,,,,,,,,,,,,,,,,,30
11,9160882,2.0,32.0,10.0,"Living area (residential, urban or rural)",63,1.0,63,,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,25m² square meters,,Yes,Gas,,170770.0,Installed,4,,,,,,,,,,,,,,,,,,,,,,,,,25
12,9160935,1.0,,,"Living area (residential, urban or rural)",84,2.0,10,13,,,,39,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,228750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
13,9160938,1.0,,,"Living area (residential, urban or rural)",84,2.0,10,12,,,1.0,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,218145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
17,9160948,3.0,,,"Living area (residential, urban or rural)",85,2.0,10,13,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,222945.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
20,9160939,2.0,,,"Living area (residential, urban or rural)",86,2.0,9,14,,,,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,235150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
21,9160945,2.0,,,"Living area (residential, urban or rural)",87,2.0,10,12,,,,8,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,223165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
22,9160941,2.0,,,"Living area (residential, urban or rural)",85,2.0,10,13,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,218405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
24,9160940,2.0,,,"Living area (residential, urban or rural)",87,2.0,11,12,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,220770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
25,9160947,3.0,,,"Living area (residential, urban or rural)",87,2.0,11,12,,,,8,South West,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,30m² square meters,Yes,Yes,Gas,Yes,225270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,30
27,9161112,1.0,32.0,10.0,"Living area (residential, urban or rural)",,1.0,12,,,,1.0,17,South East,,Not specified,Not specified,Not specified,No,Rue des Chantiers 60 6030- Marchienne-au-Pont,,,Yes,Gas,Yes,184920.0,,,,As new,,,3.0,,,,,,,,,,,,,,,,,,,,
36,9162094,9.0,,,,,,,,,1.0,1.0,,,345.0,D,Not specified,Not specified,No,Franchommelaan 126 8370- Blankenberge,,,,,,125000.0,,,,,,,,,,,,,,,272.272,,,,,,Yes,,,,,,
39,9163342,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
41,9162472,3.0,,,,100,2.0,,,,1.0,1.0,,,248.0,C,Not specified,Not specified,No,"Yv. Serruysstraat, 22 8930- Menen",,Yes,,Gas,Yes,245000.0,Installed,,1980.0,Good,Yes,,,,,,,,No,,761.761,,,,,,Yes,,,,,,
48,9165476,12.0,,,,80,2.0,,,,1.0,,,,254.0,C,Not specified,23004 kWh/year,No,Chaussée de Lodelinsart 12 6060- Gilly,,,,,,74000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,9165517,1.0,,1.0,,93,2.0,14,14,,1.0,2.0,12,,,Not specified,Not specified,Not specified,No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,31m² square meters,,,Gas,Yes,265000.0,Installed,,2020.0,,Yes,,4.0,,,,,,,,,,,,,,,,,,,,31
68,9166285,1.0,,,"Living area (residential, urban or rural)",84,2.0,14,13,,1.0,1.0,6,South,,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",,Yes,,,,196450.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
69,9166686,1.0,1.0,,,,1.0,,,,,,,,129.0,B,Not specified,Not specified,No,Pr. Thuysbaertlaan 12/b 9160- Lokeren,,Yes,No,,No,215000.0,,,,,,,2.0,No,,,,Yes,Yes,€ 50 50 €,,No,,,,,,,,,,,
73,9166292,2.0,,,"Living area (residential, urban or rural)",93,2.0,14,12,,1.0,1.0,6,South,,Not specified,Not specified,Not specified,No,"Zoning Industriel Le Cerisier, Transinne, 9 6890- Libin",,Yes,,,,205750.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,
78,9167212,1.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,235900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
79,9167210,1.0,,,,86,2.0,,,,2.0,,15,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,248900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
80,9167211,1.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,225900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
82,9167214,1.0,,,,86,2.0,,,,1.0,,12,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,245900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
92,9167222,2.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,253900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
93,9167227,2.0,,,,85,2.0,,,,1.0,,13,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,259900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
95,9167219,1.0,,,,74,1.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,205900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
97,9167232,2.0,,,,74,1.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,208900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
103,9167236,3.0,,,,87,2.0,,,,1.0,,17,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,232900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
106,9167235,3.0,,,,86,2.0,,,,1.0,,14,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,263900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
108,9167242,3.0,,,,67,1.0,,,,1.0,,4,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,192900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
110,9167244,3.0,,,,74,1.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,212900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
118,9167254,4.0,,,,74,1.0,,,,1.0,,8,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,215900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
120,9167251,4.0,,,,85,2.0,,,,1.0,,13,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,260900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
122,9167253,4.0,,,,67,1.0,,,,1.0,,4,,,Not specified,Not specified,Not specified,No,Verbeytstraat 1 B1 1853- Strombeek-Bever,,,,,Yes,195900.0,Hyper equipped,,2021.0,As new,,,,,,,,Yes,No,,,,,,,,,,,,,,
126,9168563,1.0,,1.0,,98,1.0,,,,1.0,2.0,9,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,212294.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,,,,,,,
128,9168564,1.0,,1.0,,93,1.0,,,,1.0,2.0,11,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,206861.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,,,,,,,
130,9168573,1.0,,1.0,,113,2.0,,,,1.0,2.0,29,,,Not specified,Not specified,Not specified,No,Berglaan 40 3600- Genk,,Yes,Yes,,Yes,225820.0,Installed,,2021.0,Good,Yes,,2.0,No,,,,Yes,Yes,,,No,,,,,,,,,,,
150,9172507,6.0,1.0,1.0,,78,2.0,15,10,,1.0,1.0,13,,147.0,C,29 kg CO₂/m²,Not specified,No,Boulevard Louis Schmidt 10 1040- Etterbeek,,Yes,,Gas,Yes,310000.0,Hyper equipped,,2018.0,As new,Yes,,2.0,No,,,,,,,,,,,,,,,,,,,
158,9174915,1.0,,,Urban,63,1.0,13,,,1.0,1.0,9,,85.0,A,Not specified,5280 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,29m² square meters,Yes,,Gas,Yes,169500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,29
159,9174914,1.0,,,Urban,64,1.0,12,,,1.0,1.0,10,,84.0,A,Not specified,5318 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,26m² square meters,Yes,,Gas,Yes,174500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,26
160,9174918,1.0,,,Urban,102,2.0,15,13,,2.0,2.0,9,,43.0,A+,Not specified,4330 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,39m² square meters,Yes,,Gas,Yes,240000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,39
161,9174921,1.0,,,Urban,98,2.0,16,11,,2.0,2.0,9,,52.0,A,Not specified,4946 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,220000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
162,9174920,1.0,,,Urban,96,2.0,13,11,,2.0,1.0,9,,58.0,A,Not specified,5468 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,235000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
165,9174916,1.0,,,Urban,96,2.0,12,11,,2.0,1.0,9,,58.0,A,Not specified,5515 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,34m² square meters,Yes,,Gas,Yes,235000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,34
166,9174926,1.0,,,Urban,128,3.0,17,12,13,2.0,2.0,43,,64.0,A,Not specified,8094 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,42m² square meters,Yes,,Gas,Yes,305000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,42
167,9174925,1.0,,,Urban,102,2.0,15,11,,2.0,2.0,18,,63.0,A,Not specified,6376 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,39m² square meters,Yes,,Gas,Yes,261000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,39
169,9174924,1.0,,,Urban,84,2.0,14,10,,2.0,2.0,17,,62.0,A,Not specified,5179 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,31m² square meters,Yes,,Gas,Yes,204000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,31
170,9174919,1.0,,,Urban,59,1.0,12,,,1.0,1.0,9,,59.0,A,Not specified,3425 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,169500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
172,9174930,1.0,,,Urban,68,1.0,14,,,1.0,1.0,9,,74.0,A,Not specified,5052 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,171500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
174,9174928,1.0,,,Urban,87,2.0,12,9,,2.0,2.0,9,,62.0,A,Not specified,5403 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,206000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
175,9174929,1.0,,,Urban,56,1.0,10,,,1.0,1.0,9,,68.0,A,Not specified,3831 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,25m² square meters,Yes,,Gas,Yes,161500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,25
176,9174933,1.0,,,Urban,67,1.0,12,,,1.0,1.0,9,,80.0,A,Not specified,5319 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,29m² square meters,Yes,,Gas,Yes,181500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,29
177,9174931,1.0,,,Urban,58,1.0,11,,,1.0,1.0,9,,77.0,A,Not specified,4396 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,26m² square meters,Yes,,Gas,Yes,161500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,26
179,9174935,2.0,,,Urban,63,1.0,13,,,1.0,1.0,9,,62.0,A,Not specified,3893 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,29m² square meters,Yes,,Gas,Yes,174500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,29
180,9174939,2.0,,,Urban,59,1.0,12,,,1.0,1.0,9,,59.0,A,Not specified,3451 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,28m² square meters,Yes,,Gas,Yes,169500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,28
181,9174936,2.0,,,Urban,96,2.0,12,11,,2.0,1.0,9,,64.0,A,Not specified,6101 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,34m² square meters,Yes,,Gas,Yes,240000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,34
184,9174940,2.0,,,Urban,96,2.0,13,11,,2.0,1.0,9,,58.0,A,Not specified,5529 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,240000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
187,9174949,2.0,,,Urban,56,1.0,10,,,1.0,1.0,9,,72.0,A,Not specified,4083 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,25m² square meters,Yes,,Gas,Yes,171500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,25
188,9174942,2.0,,,Urban,91,2.0,16,11,,2.0,2.0,9,,55.0,A,Not specified,4990 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,32m² square meters,Yes,,Gas,Yes,214000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,32
192,9174951,2.0,,,Urban,58,1.0,11,,,1.0,1.0,9,,77.0,A,Not specified,4423 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,26m² square meters,Yes,,Gas,Yes,166500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,26
193,9174948,2.0,,,Urban,87,2.0,12,9,,1.0,2.0,9,,62.0,A,Not specified,5388 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,216000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
194,9174945,2.0,,,Urban,102,2.0,15,11,,2.0,2.0,30,,63.0,A,Not specified,6383 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,39m² square meters,Yes,,Gas,Yes,276000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,39
196,9174955,3.0,,,Urban,96,2.0,12,11,,2.0,1.0,9,,107.0,B,Not specified,10300 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,34m² square meters,Yes,,Gas,Yes,256000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,34
197,9174950,2.0,,,Urban,68,1.0,14,,,1.0,1.0,9,,99.0,B,Not specified,6764 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,181500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
198,9174953,2.0,,,Urban,67,1.0,12,,,1.0,1.0,9,,62.0,A,Not specified,4112 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,29m² square meters,Yes,,Gas,Yes,187500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,29
199,9174954,3.0,,,Urban,120,2.0,16,11,,2.0,2.0,14,,96.0,B,Not specified,11468 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,42m² square meters,Yes,,Gas,Yes,307000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,42
201,9174957,3.0,,,Urban,101,2.0,14,13,,2.0,2.0,9,,55.0,A,Not specified,5519 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,102m² square meters,Yes,,Gas,Yes,261000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,102
202,9174961,3.0,,,Urban,91,2.0,16,11,,2.0,2.0,9,,55.0,A,Not specified,4993 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,32m² square meters,Yes,,Gas,Yes,225000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,32
204,9174968,3.0,,,Urban,62,1.0,12,,,1.0,1.0,18,,106.0,B,Not specified,6470 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,187500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
206,9174967,3.0,,,Urban,87,2.0,12,9,,1.0,2.0,9,,101.0,B,Not specified,8775 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,232000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
208,9174958,3.0,,,Urban,58,1.0,12,,,1.0,1.0,9,,56.0,A,Not specified,3287 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,59m² square meters,Yes,,Gas,Yes,174500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,59
209,9174965,3.0,,,Urban,128,3.0,17,12,13,2.0,2.0,44,,58.0,A,Not specified,7356 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,42m² square meters,Yes,,Gas,Yes,333000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,42
212,9174959,3.0,,,Urban,96,2.0,13,11,,2.0,1.0,9,,57.0,A,Not specified,5412 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,250000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
213,9174969,3.0,,,Urban,64,1.0,12,,,1.0,1.0,9,,89.0,B,Not specified,5524 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,181500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
214,9174970,3.0,,,Urban,55,1.0,12,,,1.0,1.0,9,,103.0,B,Not specified,5583 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,27m² square meters,Yes,,Gas,Yes,176500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,27
215,9174971,3.0,,,Urban,83,2.0,14,10,,1.0,1.0,9,,94.0,B,Not specified,7764 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,30m² square meters,Yes,,Gas,Yes,237000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,30
216,9174974,4.0,,,Urban,96,2.0,11,,,2.0,1.0,9,,92.0,B,Not specified,8809 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,35m² square meters,Yes,,Gas,Yes,261000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,35
217,9174973,4.0,,,Urban,80,2.0,15,9,,2.0,2.0,12,,85.0,A,Not specified,6780 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,28m² square meters,Yes,,Gas,Yes,230000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,28
218,9174977,4.0,,,Urban,45,,,,,1.0,1.0,,,61.0,A,Not specified,2771 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,29m² square meters,Yes,,Gas,Yes,138500.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,29
220,9174976,4.0,,,Urban,90,2.0,11,,,2.0,2.0,9,,56.0,A,Not specified,5091 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,32m² square meters,Yes,,Gas,Yes,230000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,32
221,9174979,4.0,,,Urban,102,2.0,15,11,,2.0,2.0,31,,69.0,A,Not specified,7024 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,39m² square meters,Yes,,Gas,Yes,297000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,39
224,9174983,5.0,,,Urban,85,2.0,14,10,,1.0,2.0,16,,88.0,B,Not specified,7543 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,33m² square meters,Yes,,Gas,Yes,235000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,33
228,9174984,5.0,,,Urban,131,3.0,17,10,15,2.0,2.0,33,,72.0,A,Not specified,9438 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,49m² square meters,Yes,,Gas,Yes,394000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,49
229,9174985,5.0,,,Urban,128,3.0,17,12,13,2.0,2.0,44,,88.0,B,Not specified,11185 kWh/year,No,Rue Fort d'Andoy 5 5100- Wierde,42m² square meters,Yes,,Gas,Yes,384000.0,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,42
241,9176456,2.0,1.0,,,95,2.0,,,,1.0,1.0,,,,Not specified,Not specified,Not specified,No,Stationstraat 4/1 8770- Ingelmunster,,Yes,Yes,,Yes,240000.0,,,2019.0,As new,,,,No,,No,,Yes,No,,,No,,,,,Yes,,,,,,
253,9176604,24.0,,,Urban,164,2.0,,,,2.0,,,,,Not specified,Not specified,Not specified,No,Artsen zonder Grenzenstraat 31 2018- Antwerpen,,Yes,No,Gas,Yes,1100.0,Hyper equipped,,,,,,,No,,No,,Yes,Yes,,,No,,,,Yes,Yes,,,,,,
254,9176999,2.0,,,,80,1.0,,,,1.0,2.0,,,,Not specified,Not specified,Not specified,No,"Jordaenskaai, 21 2000- Antwerpen",,Yes,,,Yes,420000.0,Hyper equipped,,2020.0,As new,,,,No,,,,,,,,,,,,,Yes,,,,,,
256,9177490,2.0,,,,76,1.0,,,,1.0,,7,,,Not specified,Not specified,Not specified,No,Kortrijksesteenweg 74 9000- Gent,,,,Electric,No,218784.0,,,,,,,2.0,,,,,,,,,No,,,,,,,,,,,
258,9177493,1.0,,,,90,2.0,,,,1.0,,6,,,Not specified,Not specified,Not specified,No,Kortrijksesteenweg 74 9000- Gent,,,,,No,244755.0,,,,,,,2.0,,,,,,,,,No,,,,,,,,,,,
263,9178076,1.0,,,Countryside,88,2.0,12,9,,,,10,West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,39m² square meters,Yes,Yes,Gas,,212276.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,39
264,9178077,1.0,,,Countryside,88,2.0,12,9,,,,10,South West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,39m² square meters,Yes,Yes,Gas,,213658.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,39
265,9178134,1.0,,,Countryside,87,2.0,13,9,,1.0,1.0,10,South West,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,38m² square meters,Yes,Yes,Gas,,219204.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,38
271,9178213,2.0,,,Countryside,120,3.0,19,11,10,1.0,1.0,29,South,,A,Not specified,Not specified,No,Rue Isolée 1/1 6250- Aiseau,43m² square meters,Yes,Yes,Gas,,329128.0,Hyper equipped,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,43
