,ID,Floor,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Terrace surface,Terrace orientation,Primary energy consumption,Energy class,CO₂ emission,Yearly theoretical total energy consumption,Tenement building,Address,Living room surface,Elevator,TV cable,Heating type,Double glazing,Price,Kitchen type,Kitchen surface,Construction year,Building condition,Basement,Thermic solar panels,Number of frontages,Swimming pool,Street frontage width,Dressing room,Laundry room,Planning permission obtained,Subdivision permit,Monthly charges,Cadastral income,Office,Heat pump,Photovoltaic solar panels,Common water heater,Garden,Terrace,Bedroom 4 surface,Jacuzzi,Sauna,Office surface,Number of annexes,Living room surfacea
1985,9350468,1.0,1.0,1.0,"Living area (residential, urban or rural)",151,3.0,,,,1.0,2.0,28,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,630000.0,USA hyper equipped,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1986,9350469,2.0,1.0,1.0,"Living area (residential, urban or rural)",151,3.0,,,,1.0,2.0,19,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,645000.0,USA hyper equipped,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1989,9350466,2.0,1.0,1.0,"Living area (residential, urban or rural)",158,3.0,,,,1.0,2.0,21,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,480000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1990,9350548,3.0,1.0,1.0,"Living area (residential, urban or rural)",281,4.0,,,,2.0,2.0,20,South,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,,Yes,Pellet,Yes,735000.0,USA uninstalled,,,,Yes,,,Yes,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1991,9350471,3.0,1.0,1.0,"Living area (residential, urban or rural)",272,3.0,,,,2.0,2.0,20,South,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,725000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1992,9350474,2.0,1.0,1.0,"Living area (residential, urban or rural)",163,3.0,,,,1.0,2.0,51,South East,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,515000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1993,9350477,3.0,1.0,1.0,"Living area (residential, urban or rural)",230,3.0,,,,1.0,2.0,44,South East,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,695000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1994,9350475,2.0,1.0,1.0,"Living area (residential, urban or rural)",149,3.0,,,,1.0,2.0,27,South East,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,475000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1995,9350473,1.0,1.0,1.0,"Living area (residential, urban or rural)",149,3.0,,,,1.0,2.0,21,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,460000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
1996,9350476,3.0,1.0,1.0,"Living area (residential, urban or rural)",186,3.0,,,,1.0,2.0,47,South West,,Not specified,Not specified,Not specified,No,Rue du Marché 10 4900- Spa,,Yes,Yes,Pellet,Yes,660000.0,USA uninstalled,,,,Yes,,,,,,Yes,,,€ 250 250 €,,,Yes,,,,,,Yes,Yes,,,
2000,9350853,5.0,,,,98,2.0,14,12,,1.0,1.0,6,,198.0,D,50 kg CO₂/m²,Not specified,No,Av. Henri Conscience 74 1140- Evere,31m² square meters,,,Fuel oil,Yes,325000.0,Installed,,1958.0,,Yes,No,2.0,,,,,,,,1.405,,No,No,,,,,,,,,31
2002,9350986,4.0,,29.0,Urban,213,6.0,,,,4.0,3.0,,,210.0,D,Not specified,Not specified,No,Waterloosesteenweg 631 1050- Brussel,,Yes,,Gas,,640000.0,Hyper equipped,,,As new,,,4.0,No,,,,,,,,,,,,,,,,,,,
2013,9351952,2.0,,1.0,,82,1.0,15,,,1.0,1.0,10,,74.0,B,17 kg CO₂/m²,Not specified,No,Avenue du congo 7 1000- bruxelles,,Yes,,,,470000.0,USA hyper equipped,,2015.0,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2017,9352910,1.0,,,Urban,126,3.0,,,,,,39,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,354000.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2026,9352924,1.0,,,Urban,71,1.0,,,,,,18,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,255000.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2027,9352923,1.0,,,Urban,86,2.0,,,,,,24,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,284000.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2031,9352934,1.0,,,Urban,119,2.0,,,,,,36,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,421618.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2032,9352935,1.0,,,Urban,73,1.0,,,,1.0,1.0,29,,,Not specified,Not specified,Not specified,No,Grote Markt 13 8800- Roeselare,,Yes,,,,250000.0,Installed,,,As new,,,2.0,No,,,,,,,,,,,,,,,,,,,
2034,9353053,1.0,,,,64,1.0,,,,1.0,1.0,5,,,Not specified,Not specified,Not specified,No,Leopold 1 laan87 8000- Brugge,26m² square meters,Yes,No,,Yes,295000.0,Installed,,2020.0,Good,Yes,,2.0,No,,,,Yes,No,,,No,,,,,,,,,,,26
2036,9353463,3.0,,,,128,3.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,367250.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2038,9353464,3.0,,,,108,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,315750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2039,9353465,3.0,,,,108,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,315000.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2043,9353466,3.0,,,,108,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,315750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2044,9353470,2.0,,,,108,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,303750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2045,9353467,3.0,,,,107,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,312750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2050,9353478,1.0,,,,108,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,300750.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2051,9353473,2.0,,,,107,2.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,301500.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2054,9353475,1.0,,,,128,3.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,340500.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
2057,9353480,1.0,,,,128,3.0,,,,,,,,,Not specified,Not specified,Not specified,No,Scheldestraat 9 2000- Antwerpen,,Yes,No,,No,331500.0,,,2021.0,,,,,No,,No,,,,,,No,,,,,,,,,,,
