,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10156164,10156164,house,house,499000,forsale,2980,xl,installed,1976,good,gas,350,3,1353,,,,,,,,,,Antwerp,After signing the deed,1976,Good,4,,195m²square meters,60m²square meters,Installed,13m²square meters,3,14m²square meters,14m²square meters,9m²square meters,1,2,,No,1353m²square meters,Yes,South West,,350 kWh/m²kilowatt hour per square meters,D,20220411-0002581540-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 499,000499000 €","€ 1,7201720 €",No,Lierselei 13/1 2390- Oostmalle,http://www.heylenvastgoed.be,69061 - MAL-22-JTI-0,Antwerp,,14 m,20 mmeters,Yes,"Yes, conform",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160076,10160076,house,house,1245000,forsale,2890,xl,hyperequipped,1932,good,gas,242,6,632,,true,,,,,1,,,Antwerp,After signing the deed,1932,Good,2,,680m²square meters,,Hyper equipped,,6,,,,2,,Yes,No,632m²square meters,,,,242 kWh/m²kilowatt hour per square meters,C,20220308-0002559045-RES-1,Not specified,Not specified,No,Gas,,,,,,,,"€ 1,245,0001245000 €",,No,Korenmarkt 8 2800- Mechelen,https://agency.quares.be,836034 - 93364063,Antwerp,Klein Brabant,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165836,10165836,house,house,485000,forsale,2830,xl,semiequipped,1956,torenovate,fueloil,812,4,1000,,true,,true,,,5,5,,Antwerp,After signing the deed,1956,To renovate,4,5,198m²square meters,,Semi equipped,11m²square meters,4,20m²square meters,19m²square meters,15m²square meters,1,1,Yes,No,1000m²square meters,,,,812 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,,,,Non flood zone,,"€ 485,000485000 €",,No,Amsterdamstraat 15 bus202 2000- Antwerpen,,503 - 1481,Antwerp,,14 m,,Yes,"Yes, conform",,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083513,10083513,house,house,329000,forsale,2830,xl,installed,1940,justrenovated,,173,3,100,true,true,,true,true,,,,,Antwerp,After signing the deed,1940,Just renovated,2,,145m²square meters,26m²square meters,Installed,24m²square meters,3,16m²square meters,12m²square meters,11m²square meters,2,3,,No,100m²square meters,,,30m²square meters,173 kWh/m²kilowatt hour per square meters,B,20211214-000258502-RES-1,14 kg CO₂/m²,Not specified,,,,,,,,Possible flood zone,,"€ 329,000329000 €",€ 366366 €,No,Meeuwenlaan 4 1800- Vilvoorde,http://www.urban-concept.be,4882191,Antwerp,Brabant flamand,,,,,November 30 2022 - 12:00 AM,,,Isolated,,,Yes,,,8m²square meters,6m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,11m²square meters,Yes,,Link to the virtual visit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163537,10163537,house,townhouse,370000,forsale,2660,xl,installed,1968,good,,343,3,150,,,36,true,,,1,2,,Antwerp,,1968,Good,2,2,162m²square meters,37m²square meters,Installed,15m²square meters,3,17m²square meters,13m²square meters,7m²square meters,2,3,,No,150m²square meters,,North West,14m²square meters,343 kWh/m²kilowatt hour per square meters,D,20220427-0002592184-RES-1,Not specified,Not specified,No,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 370,000370000 €",€ 976976 €,No,Prins Boudewijnlaan 122 2610- Wilrijk,,6018 - TK2210-01,Antwerp,,6 m,6 mmeters,Yes,,,,1,,,,,,,,,Yes,,,,,,36m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071168,10071168,house,house,369000,forsale,2630,xl,installed,1973,tobedoneup,fueloil,426,3,324,,,130,true,,,1,,,Antwerp,After signing the deed,1973,To be done up,,,155m²square meters,35m²square meters,Installed,10m²square meters,3,14m²square meters,14m²square meters,8m²square meters,1,2,,No,324m²square meters,,North West,20m²square meters,426 kWh/m²kilowatt hour per square meters,E,Certificaat-20220822-0002659429-RES-1,1000 kg CO₂/m²,Not specified,No,Fuel oil,Yes,,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 369,000369000 €",€ 981981 €,No,Barones L. de Borrekenslaan 84 2630- Aartselaar,,17023 - 3317TK R,Antwerp,,,9 mmeters,Yes,"Yes, conform",,,1,,,,,,,,,,,,,,,130m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154111,10154111,house,house,586000,forsale,2960,xl,installed,2006,good,gas,150,4,380,,,120,true,,,1,,,Antwerp,,2006,Good,2,,250m²square meters,,Installed,,4,,,,1,2,,No,380m²square meters,,East,30m²square meters,150 kWh/m²kilowatt hour per square meters,B,20140918-0001663194-00000005-4,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 586,000586000 €","€ 1,3181318 €",No,Zeevaartstraat 6 2000- Antwerpen,http://www.a-vastgoed.be,86 - 1365,Antwerp,,,,,,,,1,,1,,,,,,,,,,,,,120m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126910,10126910,house,house,255000,forsale,2830,xl,installed,1957,tobedoneup,gas,601,4,217,,true,,true,,,1,,,Antwerp,After signing the deed,1957,To be done up,2,,211m²square meters,20m²square meters,Installed,16m²square meters,4,27m²square meters,17m²square meters,16m²square meters,2,2,Yes,No,217m²square meters,Yes,North,20m²square meters,601 kWh/m²kilowatt hour per square meters,F,20220918-0002677290-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 255,000255000 €",€ 704704 €,No,Dorpshart 10 2870- Puurs,http://www.trevi-axus.be,9584 - TK/22081/8,Antwerp,,,8.5 mmeters,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104575,10104575,house,house,299000,forsale,2890,xl,installed,1950,tobedoneup,gas,436,3,202,,true,,true,,,,,,Antwerp,,1950,To be done up,4,,150m²square meters,48m²square meters,Installed,15m²square meters,3,16m²square meters,16m²square meters,,1,2,,No,202m²square meters,,,40m²square meters,436 kWh/m²kilowatt hour per square meters,E,Certificaat-20220706-0002634190-RES-1,1000 kg CO₂/m²,Not specified,No,Gas,Yes,,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",,No,Winkelstraat 23 2890- Sint-Amands,,17034 - 3323 TK BDH,Antwerp,,6 m,6 mmeters,Yes,,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9828488,9828488,house,house,335000,forsale,2830,xl,installed,1951,good,gas,412,3,425,,true,,,,,3,4,,Antwerp,After signing the deed,1951,Good,3,4,225m²square meters,,Installed,,3,,,,1,1,Yes,No,425m²square meters,Yes,South East,,412 kWh/m²kilowatt hour per square meters,E,Certificaat-20220328-0002572488-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 335,000335000 €",€ 384384 €,No,Dr. Persoonslaan 15 b 2830- Willebroek,http://www.walbersimmo.be,16938 - 3259TK G,Antwerp,,,11.4 mmeters,Yes,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9825279,9825279,house,castle,547000,forsale,2830,xl,installed,1923,justrenovated,gas,348,4,851,,true,476,true,,,4,,,Antwerp,After signing the deed,1923,Just renovated,3,,240m²square meters,,Installed,,4,,,,1,4,Yes,No,851m²square meters,,West,,348 kWh/m²kilowatt hour per square meters,D,Certificaat-20220325-0002571041-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,,Yes,,Non flood zone,"Living area (residential, urban or rural)","€ 547,000547000 €",€ 919919 €,No,Dr. Persoonslaan 15 b 2830- Willebroek,http://www.walbersimmo.be,16932 - 3255TKK,Antwerp,,,30.6 mmeters,Yes,,,,4,,,,,,,,,,,,,,,476m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,Link to the virtual visit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
