,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,TV cable,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Dining room,Basement surface,Attic surface,Swimming pool,Double glazing,Available date,Office surface,Office,Thermic solar panels,Basement,Attic,Terrace,Subdivision permit,Professional space surface,Intercom,Property name,Conformity certification for fuel tanks,Extra information,Current monthly revenue,Secure access / alarm,Living room,Bedroom 5 surface,Armored door,Caretaker,Visio phone,Professional space,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Garden orientation,Terrace orientation,Heat pump,Photovoltaic solar panels,Common water heater,Agent's name,How many fireplaces?,Garden,E-level (overall energy performance),Number of annexes,Sauna,Monthly charges,Air conditioning,Jacuzzi,Internet,Type of building,Obligation to build,Isolated,Venue of the sale,Single session,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Terms of visit,Percentage rented,Maximum duration of annuity,Age of annuitants
10160286,10160286,house,house,575000,forsale,1300,xl,semiequipped,1976,good,gas,311,4,900,true,,900,true,true,,5,3,,Waloon Brabant,After signing the deed,,1976,Good,,4,5,3,,Link to the virtual visit,198m²square meters,30m²square meters,Semi equipped,12m²square meters,4,17m²square meters,13m²square meters,8m²square meters,16m²square meters,2,1,4,No,900m²square meters,,,,900m²square meters,,No,Yes,,311 kWh/m²kilowatt hour per square meters,D,20220429003048,3112 kg CO₂/m²,80346 kWh/year,,Gas,,,,,,,"Make an offer starting from€ 575,000Make an offer starting from575000 €","€ 3,1253125 €",No,Avenue Reine Astrid 65 1300- Wavre,http://www.aryes.be,4970386,Waloon Brabant,Yes,,30m²square meters,No,Yes,July 25 2022 - 12:00 AM,8m²square meters,Yes,Yes,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068880,10068880,house,house,320000,forsale,1390,xl,installed,,tobedoneup,fueloil,356,3,642,true,,,true,true,,1,,,Waloon Brabant,After signing the deed,,,To be done up,16.89 m,4,1,,Isolated,,193m²square meters,41m²square meters,Installed,8m²square meters,3,13m²square meters,22m²square meters,14m²square meters,,1,,2,No,642m²square meters,16.89 mmeters,Connected,No,,,,,,356 kWh/m²kilowatt hour per square meters,E,20220715012598,Not specified,68692 kWh/year,,Fuel oil,,,,,,,"€ 320,000320000 €",,No,Place Ernest Dubois 6 1390- Grez-Doiceau,,4882014,Waloon Brabant,Yes,,,,Yes,September 1 2022 - 12:00 AM,7m²square meters,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080284,10080284,house,house,300000,forsale,1350,xl,installed,,good,gas,282,5,583,,true,,true,,true,,4,,Waloon Brabant,After signing the deed,Brabant Wallon,,Good,,3,,4,Isolated,Link to the virtual visit,190m²square meters,35m²square meters,Installed,20m²square meters,5,21m²square meters,14m²square meters,10m²square meters,13m²square meters,2,,3,,583m²square meters,,,No,,,No,,,282 kWh/m²kilowatt hour per square meters,D,20220811009989,Not specified,60707 kWh/year,,Gas,,,,,,,"Make an offer starting from€ 300,000Make an offer starting from300000 €",€ 668668 €,No,"Rue clouteuse Pierre, 3 1350- ORP-JAUCHE",http://www.aplusimmo.be,4881768,Waloon Brabant,,,,Yes,Yes,,,,Yes,Yes,,Yes,,,,,,,,,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001543,10001543,house,house,140000,forsale,1400,xl,semiequipped,,torenovate,gas,319,2,40,,true,,true,,,,,,Waloon Brabant,After signing the deed,,,To renovate,,2,,,,,106m²square meters,19m²square meters,Semi equipped,,2,,,,,,1,1,No,40m²square meters,3.6 mmeters,,Yes,,5m²square meters,,,,319 kWh/m²kilowatt hour per square meters,D,20220702006268,61 kg CO₂/m²,33649 kWh/year,No,Gas,,,,,,,"€ 140,000140000 €",€ 285285 €,No,Rue de Namur 93 1400- Nivelles,http://www.beaufils.be,2820 - 1358,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133995,10133995,house,house,299000,forsale,1400,xl,usainstalled,,asnew,gas,491,3,262,true,true,200,true,,,1,1,,Waloon Brabant,After signing the deed,,,As new,,3,1,1,Isolated,,100m²square meters,40m²square meters,USA installed,,3,6m²square meters,10m²square meters,15m²square meters,,1,1,1,No,262m²square meters,,Connected,Yes,200m²square meters,25m²square meters,No,No,Yes,491 kWh/m²kilowatt hour per square meters,F,20160407011499,89 kg CO₂/m²,51896 kWh/year,,Gas,,,,,,,"€ 299,000299000 €","€ 1,2291229 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4958282,Waloon Brabant,,,,No,,January 1 2023 - 12:00 AM,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8548971,8548971,house,house,300000,forsale,1400,xl,notinstalled,1875,good,gas,,3,167,,true,,true,,,,,,Waloon Brabant,After signing the deed,,1875,Good,12 m,2,,,Urban,Link to the virtual visit,225m²square meters,65m²square meters,Not installed,,3,,,,,,1,2,No,167m²square meters,,,Yes,,57m²square meters,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,Gas,,,,,,,"€ 300,000300000 €","€ 2,8452845 €",No,Rue de Namur 93 1400- Nivelles,http://www.beaufils.be,2567 - 1081,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984160,9984160,house,house,330000,forsale,1400,xl,semiequipped,,asnew,gas,382,4,230,,true,105,true,,,,1,,Waloon Brabant,After signing the deed,,,As new,,2,,1,Urban,,133m²square meters,27m²square meters,Semi equipped,,4,,,,,1,,1,No,230m²square meters,4.2 mmeters,,,105m²square meters,3m²square meters,,,,382 kWh/m²kilowatt hour per square meters,E,20220608022793,70 kg CO₂/m²,50715 kWh/year,No,Gas,,,,,,,"€ 330,000330000 €",€ 706706 €,No,Rue de Namur 93 1400- Nivelles,http://www.beaufils.be,2816 - 1354,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9310597,9310597,house,villa,350000,forsale,1340,xl,semiequipped,1954,torenovate,fueloil,585,3,772,,true,,true,,,1,1,,Waloon Brabant,After signing the deed,,1954,To renovate,,4,1,1,,Link to the virtual visit,133m²square meters,30m²square meters,Semi equipped,8m²square meters,3,16m²square meters,16m²square meters,12m²square meters,,1,,2,No,772m²square meters,,,Yes,,,,,,585 kWh/m²kilowatt hour per square meters,G,20210423018856,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 350,000350000 €","€ 1,6581658 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,335 - 3391277,Waloon Brabant,Yes,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,South East,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
9855430,9855430,house,house,345000,forsale,1315,xl,installed,,good,fueloil,322,2,445,,true,,true,,,,1,,Waloon Brabant,After signing the deed,,,Good,,2,,1,Countryside,,130m²square meters,42m²square meters,Installed,11m²square meters,2,15m²square meters,20m²square meters,,,1,,2,No,445m²square meters,,Connected,No,,20m²square meters,No,No,Yes,322 kWh/m²kilowatt hour per square meters,D,20120717007618,80 kg CO₂/m²,56044 kWh/year,,Fuel oil,,,,,Non flood zone,,"€ 345,000345000 €",€ 710710 €,No,Place Ernest Dubois 6 1390- Grez-Doiceau,,4726904,Waloon Brabant,Yes,,,No,Yes,May 1 2022 - 12:00 AM,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129717,10129717,house,house,395000,forsale,1495,xl,semiequipped,,torestore,fueloil,524,6,2280,,true,,,,,1,5,,Waloon Brabant,After signing the deed,,,To restore,,4,1,5,,,195m²square meters,39m²square meters,Semi equipped,15m²square meters,6,18m²square meters,14m²square meters,14m²square meters,13m²square meters,1,,2,No,2280m²square meters,,,,,,,,,524 kWh/m²kilowatt hour per square meters,G,20210420005915,Not specified,124130 kWh/year,No,Fuel oil,,,,,,,"€ 395,000395000 €",€ 798798 €,No,Chaussé de Nivelles 22 5140- Sombreffe,http://www.davidrobin.be,6547 - 3382,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,"Yes, not conform",,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10107414,10107414,house,house,399000,forsale,1460,xl,hyperequipped,2004,asnew,gas,145,3,400,true,,300,true,,,1,2,,Waloon Brabant,After signing the deed,,2004,As new,,2,1,2,,Link to the virtual visit,124m²square meters,30m²square meters,Hyper equipped,11m²square meters,3,14m²square meters,14m²square meters,11m²square meters,,1,,2,No,400m²square meters,,Connected,Yes,300m²square meters,26m²square meters,No,No,Yes,145 kWh/m²kilowatt hour per square meters,B,20220622008829,Not specified,22870 kWh/year,,Gas,,,,,Possible flood zone,,"Make an offer starting from€ 399,000Make an offer starting from399000 €",€ 791791 €,No,122 RUE DE MONT-ST-PONT 1440- Braine-le-chateau,http://www.mdi.be,4928460,Waloon Brabant,Yes,,,No,Yes,March 1 2023 - 12:00 AM,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911757,9911757,house,house,400000,forsale,1495,xl,installed,,good,fueloil,287,3,1376,,true,,true,,,,3,,Waloon Brabant,After signing the deed,,,Good,,2,,3,,,167m²square meters,45m²square meters,Installed,19m²square meters,3,21m²square meters,17m²square meters,15m²square meters,,1,,2,No,1376m²square meters,,,,,65m²square meters,,,,287 kWh/m²kilowatt hour per square meters,D,20220223019872,71 kg CO₂/m²,87708 kWh/year,No,Fuel oil,,,,,,,"€ 400,000400000 €","€ 1,0461046 €",No,Chaussé de Nivelles 22 5140- Sombreffe,http://www.davidrobin.be,6292 - 3194,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9951951,9951951,house,house,545000,forsale,1480,xl,hyperequipped,1977,,fueloil,312,3,883,,,,,,,4,4,,Waloon Brabant,After signing the deed,,1977,,,4,4,4,,,183m²square meters,,Hyper equipped,,3,,,,,1,,2,No,883m²square meters,,,,,,,,,312 kWh/m²kilowatt hour per square meters,D,20220531022953,77 kg CO₂/m²,68116 kWh/year,No,Fuel oil,,,,,,,"€ 545,000545000 €","€ 1,8041804 €",No,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10772 - 15,Waloon Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South East,,,,,,,Yes,205,,,,,,,,,,,,,,,,,,,,,,,,
9411874,9411874,house,house,450000,forsale,1390,xl,installed,1927,justrenovated,fueloil,661,4,879,true,true,,true,true,,1,4,,Waloon Brabant,After signing the deed,,1927,Just renovated,,4,1,4,,,215m²square meters,30m²square meters,Installed,16m²square meters,4,18m²square meters,16m²square meters,14m²square meters,42m²square meters,1,,2,No,879m²square meters,25 mmeters,,No,,30m²square meters,No,No,Yes,661 kWh/m²kilowatt hour per square meters,G,20121014006662,Not specified,132964 kWh/year,,Fuel oil,,210m²square meters,,,Non flood zone,,"€ 450,000450000 €",€ 840840 €,No,Place Ernest Dubois 6 1390- Grez-Doiceau,,4403959,Waloon Brabant,Yes,,,No,Yes,August 1 2021 - 12:00 AM,,Yes,,Yes,Yes,,,33m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129633,10129633,house,villa,485000,forsale,1380,xl,installed,,tobedoneup,fueloil,416,3,608,,true,280,true,,,3,,,Waloon Brabant,After signing the deed,,,To be done up,11 m,4,3,,,,155m²square meters,32m²square meters,Installed,20m²square meters,3,15m²square meters,15m²square meters,,,1,1,2,No,608m²square meters,20 mmeters,,,280m²square meters,44m²square meters,,,,416 kWh/m²kilowatt hour per square meters,E,Not specified,103 kg CO₂/m²,78020 kWh/year,No,Fuel oil,,,,,,,"€ 485,000485000 €",,No,Chaussée de Bruxelles 168 1410- Waterloo,http://www.century21waterlane.be,596 - 93364298,Waloon Brabant,Yes,,,,Yes,,,,,Yes,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099002,10099002,house,house,499000,forsale,1330,xl,semiequipped,1967,tobedoneup,fueloil,472,4,1213,true,true,1060,true,true,,1,1,,Waloon Brabant,After signing the deed,,1967,To be done up,,4,1,1,"Living area (residential, urban or rural)",Link to the virtual visit,205m²square meters,53m²square meters,Semi equipped,18m²square meters,4,13m²square meters,14m²square meters,8m²square meters,28m²square meters,1,,3,No,1213m²square meters,,Connected,No,1060m²square meters,23m²square meters,,,,472 kWh/m²kilowatt hour per square meters,F,20220810017826,117 kg CO₂/m²,104921 kWh/year,,Fuel oil,,,,,Non flood zone,,"€ 499,000499000 €","€ 2,9492949 €",No,"Rue de Wavre, 27 1300- Wavre",http://www.hendrix.be,4903678,Waloon Brabant,,,,,Yes,October 31 2022 - 12:00 AM,7m²square meters,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9873684,9873684,house,villa,550000,forsale,1300,xl,semiequipped,1969,torenovate,fueloil,461,5,1622,,,,true,,true,2,6,,Waloon Brabant,After signing the deed,,1969,To renovate,,4,2,6,,Link to the virtual visit,236m²square meters,52m²square meters,Semi equipped,18m²square meters,5,14m²square meters,14m²square meters,13m²square meters,12m²square meters,3,,3,No,1622m²square meters,,,Yes,,,,,,461 kWh/m²kilowatt hour per square meters,F,20220325011570,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 550,000550000 €","€ 3,9483948 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,662 - 3391329,Waloon Brabant,Yes,,,Yes,Yes,,,,,,,Yes,,,,,,,,,,8m²square meters,,,,,,,,,,,South West,,,,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
10126611,10126611,house,villa,550000,forsale,1421,xl,,1979,tobedoneup,fueloil,277,3,1100,true,true,860,true,true,,2,4,,Waloon Brabant,Immediately,,1979,To be done up,15 m,4,2,4,,Link to the virtual visit,200m²square meters,50m²square meters,,10m²square meters,3,18m²square meters,18m²square meters,14m²square meters,,2,2,2,No,1100m²square meters,11 mmeters,Connected,No,860m²square meters,170m²square meters,No,Yes,Yes,277 kWh/m²kilowatt hour per square meters,D,20220409000860,69 kg CO₂/m²,Not specified,,Fuel oil,,223m²square meters,,,,,"€ 550,000550000 €","€ 1,7321732 €",No,Chaussée Bara 339 1410- Waterloo,http://www.immodussart.be,4936077,Waloon Brabant,,,,No,Yes,September 21 2022 - 12:00 AM,17m²square meters,Yes,,Yes,Yes,,,17m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074084,10074084,house,mixedusebuilding,595000,forsale,1400,xl,installed,1960,good,fueloil,231,6,2229,,true,,true,true,,6,4,,Waloon Brabant,After signing the deed,,1960,Good,,4,6,4,,Link to the virtual visit,251m²square meters,32m²square meters,Installed,16m²square meters,6,23m²square meters,16m²square meters,15m²square meters,12m²square meters,2,,4,No,2229m²square meters,,,Yes,,,,,,231 kWh/m²kilowatt hour per square meters,C,20220321000271,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 595,000595000 €","€ 2,2372237 €",Yes,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,768 - 3391364,Waloon Brabant,,,,,Yes,,42m²square meters,Yes,,Yes,,Yes,,,,,,,,Yes,,12m²square meters,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
9888490,9888490,house,villa,575000,forsale,1325,xl,,1978,tobedoneup,electric,318,4,1738,,true,,,,,1,,,Waloon Brabant,After signing the deed,,1978,To be done up,10.37 m,4,1,,,,200m²square meters,25m²square meters,,10m²square meters,4,16m²square meters,12m²square meters,12m²square meters,12m²square meters,2,,2,No,1738m²square meters,,Connected,No,,,No,No,Yes,318 kWh/m²kilowatt hour per square meters,D,20220304011136,91 kg CO₂/m²,64424 kWh/year,No,Electric,Yes,295m²square meters,Yes,No,,,"€ 575,000575000 €","€ 2,6592659 €",No,"Drève Richelle, 118 1410- Waterloo",http://www.barnes-belgium.com,6851033,Waloon Brabant,Yes,31m²square meters,,No,Yes,,,No,Yes,,,,Yes,,No,,No,,,No,,,No,No,No,,No,,Yes,No,No,Yes,,,No,No,No,Christophe LEGEIN,1,,318,,,,,,,,,,,,,,,,,,,,,,,,
10073570,10073570,house,house,595000,forsale,1400,xl,installed,1960,good,fueloil,231,6,2229,,true,,true,true,,6,4,,Waloon Brabant,After signing the deed,,1960,Good,,4,6,4,,Link to the virtual visit,251m²square meters,32m²square meters,Installed,16m²square meters,6,23m²square meters,16m²square meters,15m²square meters,12m²square meters,2,,4,No,2229m²square meters,,,Yes,,,,,,231 kWh/m²kilowatt hour per square meters,C,20220321000271,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 595,000595000 €","€ 2,2372237 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,764 - 3391364,Waloon Brabant,,,,,Yes,,42m²square meters,Yes,,Yes,,Yes,,,,,,,,Yes,,12m²square meters,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10095454,10095454,house,house,685000,forsale,1410,xl,hyperequipped,2014,asnew,pellet,91,4,140,true,,50,true,,,,1,,Waloon Brabant,To be defined,,2014,As new,,2,,1,,Link to the virtual visit,180m²square meters,,Hyper equipped,,4,15m²square meters,13m²square meters,13m²square meters,15m²square meters,2,1,3,No,140m²square meters,,Connected,,50m²square meters,,No,No,,91 kWh/m²kilowatt hour per square meters,B,20160523013191,4 kg CO₂/m²,17850 kWh/year,,Pellet,,,,,Non flood zone,,"€ 685,000685000 €","€ 2,3682368 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4852054,Waloon Brabant,Yes,,,No,Yes,June 1 2023 - 12:00 AM,,,,,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9968973,9968973,house,house,595000,forsale,1495,xl,hyperequipped,1850,good,fueloil,382,3,2660,true,true,2400,true,,,1,2,,Waloon Brabant,After signing the deed,,1850,Good,,3,1,2,,Link to the virtual visit,143m²square meters,30m²square meters,Hyper equipped,17m²square meters,3,15m²square meters,17m²square meters,7m²square meters,,2,2,2,,2660m²square meters,,Not connected,,2400m²square meters,40m²square meters,,,,382 kWh/m²kilowatt hour per square meters,E,E,95 kg CO₂/m²,68146 kWh/year,,Fuel oil,,,,,Non flood zone,,"€ 595,000595000 €",€ 730730 €,No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4788275,Waloon Brabant,Yes,,,,Yes,June 8 2022 - 12:00 AM,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126211,10126211,house,villa,645000,forsale,1420,xl,hyperequipped,1994,good,gas,334,5,720,,,600,true,,,1,3,,Waloon Brabant,After signing the deed,,1994,Good,,4,1,3,,Link to the virtual visit,160m²square meters,40m²square meters,Hyper equipped,14m²square meters,5,14m²square meters,12m²square meters,10m²square meters,9m²square meters,2,1,2,,720m²square meters,,Connected,No,600m²square meters,,,,,334 kWh/m²kilowatt hour per square meters,D,20220718016696,61 kg CO₂/m²,63686 kWh/year,,Gas,,,,,Non flood zone,,"€ 645,000645000 €","€ 2,6592659 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4936414,Waloon Brabant,,,,,Yes,August 2 2022 - 12:00 AM,,,,,,Yes,,,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9785305,9785305,house,exceptionalproperty,695000,forsale,1495,xl,usahyperequipped,1984,good,fueloil,273,5,6122,,true,,true,,,2,20,,Waloon Brabant,After signing the deed,,1984,Good,,4,2,20,,Link to the virtual visit,220m²square meters,54m²square meters,USA hyper equipped,17m²square meters,5,30m²square meters,28m²square meters,14m²square meters,14m²square meters,3,,3,No,6122m²square meters,,,Yes,,120m²square meters,,,,273 kWh/m²kilowatt hour per square meters,D,20210518011736,Not specified,Not specified,No,Fuel oil,,,,,,,"€ 695,000695000 €","€ 2,5122512 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,648 - 3391288,Waloon Brabant,,,,,Yes,,,,,Yes,,,,,,,,,,Yes,,11m²square meters,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10037019,10037019,house,house,785000,forsale,1380,xl,usainstalled,1976,good,fueloil,339,3,2699,true,,,true,,true,2,4,,Waloon Brabant,After signing the deed,,1976,Good,,4,2,4,,,160m²square meters,14m²square meters,USA installed,10m²square meters,3,14m²square meters,10m²square meters,18m²square meters,,1,1,2,No,2699m²square meters,,Connected,Yes,,14m²square meters,,,,339 kWh/m²kilowatt hour per square meters,D,20220202026775,Not specified,Not specified,,Fuel oil,,,,,,,"€ 785,000785000 €","€ 2,4072407 €",,Rue Alphonse Renard 1 1050- Ixelles,http://www.emilegarcin.fr,,Waloon Brabant,Yes,,,Yes,Yes,,,,,,Yes,,,,,,"Yes, conform",,,Yes,,,,,,,,Yes,,,,Yes,South West,South West,Yes,,,,1,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
10107469,10107469,house,villa,749000,forsale,1410,xl,installed,1924,good,gas,272,3,765,true,true,600,true,,,1,2,,Waloon Brabant,After signing the deed,,1924,Good,,4,1,2,,Link to the virtual visit,296m²square meters,61m²square meters,Installed,23m²square meters,3,17m²square meters,18m²square meters,54m²square meters,,2,2,2,No,765m²square meters,,Connected,No,600m²square meters,,,,,272 kWh/m²kilowatt hour per square meters,D,20211213009182,50 kg CO₂/m²,91638 kWh/year,,Gas,,,,,Non flood zone,,"€ 749,000749000 €","€ 2,0962096 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4927959,Waloon Brabant,Yes,,,,Yes,December 1 2022 - 12:00 AM,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128396,10128396,house,villa,749000,forsale,1410,xl,hyperequipped,1971,justrenovated,gas,302,4,582,true,,582,true,,,1,2,,Waloon Brabant,After signing the deed,,1971,Just renovated,,4,1,2,,Link to the virtual visit,258m²square meters,,Hyper equipped,,4,26m²square meters,20m²square meters,12m²square meters,17m²square meters,2,2,3,No,582m²square meters,,Connected,No,582m²square meters,,No,No,,302 kWh/m²kilowatt hour per square meters,D,20220828005452,56 kg CO₂/m²,78254 kWh/year,,Gas,,,,,Non flood zone,,"€ 749,000749000 €","€ 3,3563356 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4945492,Waloon Brabant,Yes,,,No,Yes,November 1 2022 - 12:00 AM,,,,,Yes,Yes,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126216,10126216,house,villa,825000,forsale,1410,xl,installed,1966,good,gas,422,5,1433,,true,1433,true,,,2,2,,Waloon Brabant,To be defined,,1966,Good,,4,2,2,,Link to the virtual visit,236m²square meters,55m²square meters,Installed,11m²square meters,5,15m²square meters,14m²square meters,22m²square meters,15m²square meters,3,2,4,No,1433m²square meters,,Connected,No,1433m²square meters,,No,No,,422 kWh/m²kilowatt hour per square meters,E,20220706018848,77 kg CO₂/m²,105136 kWh/year,,Gas,,,,,Non flood zone,,"€ 825,000825000 €","€ 4,1894189 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4936763,Waloon Brabant,Yes,,,No,Yes,November 1 2022 - 12:00 AM,,,,Yes,,Yes,,,,,,,,Yes,,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132669,10132669,house,countrycottage,845000,forsale,1410,xl,hyperequipped,1832,good,gas,340,3,1625,true,true,,true,,,2,1,,Waloon Brabant,Immediately,,1832,Good,,3,2,1,,,145m²square meters,28m²square meters,Hyper equipped,13m²square meters,3,16m²square meters,14m²square meters,10m²square meters,,1,,2,,1625m²square meters,,,No,,50m²square meters,No,No,,340 kWh/m²kilowatt hour per square meters,D,20220905003927,62 kg CO₂/m²,44255 kWh/year,,Gas,,,,,,,"€ 845,000845000 €","€ 1,7741774 €",No,Avenue Reine Astrid 215 1410- Waterloo,http://www.latouretpetit.be,4956314,Waloon Brabant,Yes,,,No,Yes,September 22 2022 - 12:00 AM,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10001570,10001570,house,villa,900000,forsale,1410,xl,installed,2002,asnew,gas,201,3,814,true,true,,,true,,1,,,Waloon Brabant,To be defined,,2002,As new,,4,1,,,,210m²square meters,40m²square meters,Installed,,3,20m²square meters,15m²square meters,14m²square meters,,1,1,3,No,814m²square meters,,Connected,No,,,No,No,No,201 kWh/m²kilowatt hour per square meters,C,20130602012859,37 kg CO₂/m²,61798 kWh/year,No,Gas,Yes,350m²square meters,No,No,,,"€ 900,000900000 €","€ 3,5023502 €",No,"Drève Richelle, 118 1410- Waterloo",http://www.barnes-belgium.com,7120613,Waloon Brabant,Yes,17m²square meters,,No,No,,27m²square meters,Yes,No,,Yes,,Yes,,Yes,,No,,,Yes,,,Yes,No,No,,No,,Yes,No,No,No,,,No,No,No,Nathalie DUBOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,
