,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace surface,Elevator,Accessible for disabled people,TV cable,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Total ground floor buildable,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Dining room,Basement surface,Attic surface,Swimming pool,Double glazing,Available date,Office surface,Office,Thermic solar panels,Basement,Attic,Terrace,Subdivision permit,Professional space surface,Intercom,Property name,Conformity certification for fuel tanks,Extra information,Current monthly revenue,Secure access / alarm,Living room,Bedroom 5 surface,Armored door,Caretaker,Visio phone,Professional space,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Garden orientation,Terrace orientation,Heat pump,Photovoltaic solar panels,Common water heater,Agent's name,How many fireplaces?,Garden,E-level (overall energy performance),Number of annexes,Sauna,Monthly charges,Air conditioning,Jacuzzi,Internet,Type of building,Obligation to build,Isolated,Venue of the sale,Single session,Starting price,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Terms of visit,Percentage rented,Maximum duration of annuity,Age of annuitants
10094760,10094760,house,villa,475000,forsale,1390,xl,semiequipped,1977,torenovate,fueloil,544,5,1883,,true,1748,true,true,,2,6,,Waloon Brabant,After signing the deed,Brabant Wallon,1977,To renovate,22 m,4,2,6,Countryside,Link to the virtual visit,180m²square meters,45m²square meters,Semi equipped,12m²square meters,5,18m²square meters,10m²square meters,9m²square meters,9m²square meters,2,2,2,No,1883m²square meters,41 mmeters,Connected,No,1748m²square meters,48m²square meters,No,No,Yes,544 kWh/m²kilowatt hour per square meters,G,20220331011121,134 kg CO₂/m²,102770 kWh/year,"Yes, conform",Fuel oil,Yes,135m²square meters,No,No,,"Living area (residential, urban or rural)","Make an offer starting from€ 475,000Make an offer starting from475000 €",,No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4844993,Waloon Brabant,,20m²square meters,,No,Yes,,10m²square meters,Yes,,,,,Yes,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126284,10126284,house,exceptionalproperty,2950000,forsale,1380,xl,hyperequipped,2003,asnew,fueloil,337,5,11000,,true,,true,true,true,1,5,,Waloon Brabant,After signing the deed,,2003,As new,,4,1,5,,,500m²square meters,62m²square meters,Hyper equipped,41m²square meters,5,50m²square meters,16m²square meters,14m²square meters,18m²square meters,3,3,5,,11000m²square meters,23 mmeters,Connected,Yes,,,Yes,Yes,Yes,337 kWh/m²kilowatt hour per square meters,D,20220617015654,Not specified,Not specified,,Fuel oil,,550m²square meters,,,Non flood zone,,"€ 2,950,0002950000 €",,No,Avenue Legrand 30 1050- Ixelles,http://www.james-realty.com,4937239,Waloon Brabant,Yes,,,Yes,Yes,,13m²square meters,Yes,,Yes,,Yes,,,Yes,,,,,Yes,,16m²square meters,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158591,10158591,housegroup,housegroup,755000-755000,forsale,1410,xl,,,,,86,,,,,,,,,1,,1,Waloon Brabant,To be defined,Brabant Wallon,,,,,1,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,86 kWh/m²kilowatt hour per square meters,B,Not specified,100 kg CO₂/m²,Not specified,,,,,,,Non flood zone,,,,No,Chaussée Bara 339 1410- Waterloo,http://www.immodussart.be,4970302,Waloon Brabant,,,,,,June 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9359469,9359469,housegroup,housegroup,349000-449000,forsale,1360,xl,,,,,,,,,,,,,,,,1,Waloon Brabant,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,,,,,,No,Grand' Route 3 1435- Mont Saint-Guibert,,8662 -,Waloon Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070218,10070218,house,villa,415000,forsale,1420,xl,notinstalled,1875,tobedoneup,fueloil,472,3,1000,,true,899,true,,,,5,,Waloon Brabant,Depending on the tenant,,1875,To be done up,9 m,4,,5,Urban,,165m²square meters,40m²square meters,Not installed,16m²square meters,3,17m²square meters,16m²square meters,12m²square meters,,1,1,2,No,1000m²square meters,,Not connected,No,899m²square meters,50m²square meters,,,,472 kWh/m²kilowatt hour per square meters,F,20220803012667,117 kg CO₂/m²,88768 kWh/year,,Fuel oil,,101m²square meters,,,Non flood zone,Farming area,"Make an offer starting from€ 415,000Make an offer starting from415000 €",€ 964964 €,No,Rue Albert 1er 19 6210- Les Bons Villers,http://www.ladarconcept.com,4792495,Waloon Brabant,,,,,Yes,,,,,Yes,,,,24m²square meters,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036288,10036288,house,villa,425000,forsale,1400,xl,hyperequipped,1986,good,fueloil,192,3,630,true,,517,true,,,2,3,,Waloon Brabant,Depending on the tenant,Brabant Wallon,1986,Good,8 m,4,2,3,Isolated,Link to the virtual visit,161m²square meters,40m²square meters,Hyper equipped,13m²square meters,3,23m²square meters,18m²square meters,17m²square meters,,1,,2,No,630m²square meters,18 mmeters,Connected,No,517m²square meters,31m²square meters,No,No,Yes,192 kWh/m²kilowatt hour per square meters,C,20220706008119,48 kg CO₂/m²,40575 kWh/year,,Fuel oil,,113m²square meters,No,No,Non flood zone,,"€ 425,000425000 €","€ 2,2532253 €",No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4803771,Waloon Brabant,,,35m²square meters,No,Yes,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10086164,10086164,house,villa,445000,forsale,1400,xl,installed,1992,good,fueloil,272,3,1163,,,1030,true,true,,2,6,,Waloon Brabant,After signing the deed,Brabant Wallon,1992,Good,19 m,4,2,6,Urban,Link to the virtual visit,178m²square meters,51m²square meters,Installed,,3,16m²square meters,25m²square meters,17m²square meters,,1,1,3,,1163m²square meters,11 mmeters,Connected,No,1030m²square meters,41m²square meters,No,No,Yes,272 kWh/m²kilowatt hour per square meters,D,20220713024611,67 kg CO₂/m²,64159 kWh/year,,Fuel oil,,171m²square meters,No,No,,,"€ 445,000445000 €","€ 2,4542454 €",No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4842827,Waloon Brabant,,,,No,Yes,,8m²square meters,Yes,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127823,10127823,house,villa,499000,forsale,1330,xl,installed,1935,good,gas,282,6,412,true,true,360,true,,,,2,,Waloon Brabant,After signing the deed,Brabant Wallon,1935,Good,7 m,4,,2,Isolated,Link to the virtual visit,187m²square meters,,Installed,10m²square meters,6,16m²square meters,17m²square meters,11m²square meters,9m²square meters,1,2,3,No,412m²square meters,13 mmeters,Connected,Yes,360m²square meters,2240m²square meters,No,No,Yes,282 kWh/m²kilowatt hour per square meters,D,20181109012403,47 kg CO₂/m²,64676 kWh/year,,Gas,Yes,52m²square meters,No,No,Non flood zone,Residential park,"Make an offer starting from€ 499,000Make an offer starting from499000 €","€ 1,0401040 €",No,Avenue Fond Jean Rosy 17A 1330- Rixensart,http://www.weinvest.be,4946093,Waloon Brabant,Yes,2m²square meters,4m²square meters,No,Yes,,,,Yes,,,,No,30m²square meters,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9926830,9926830,house,villa,535000,forsale,1470,xl,usahyperequipped,1979,asnew,fueloil,337,2,1900,,,1300,true,true,,2,4,,Waloon Brabant,To be defined,,1979,As new,12 m,4,2,4,Countryside,Link to the virtual visit,155m²square meters,29m²square meters,USA hyper equipped,16m²square meters,2,22m²square meters,15m²square meters,,,1,1,2,,1900m²square meters,40 mmeters,Not connected,No,1300m²square meters,35m²square meters,No,No,Yes,337 kWh/m²kilowatt hour per square meters,D,20220516008624,84 kg CO₂/m²,64741 kWh/year,,Fuel oil,,167m²square meters,,,Non flood zone,,"€ 535,000535000 €","€ 2,1552155 €",No,Avenue Louise 433 1050- Bruxelles,http://www.bytheway.immo,4749038,Waloon Brabant,Yes,,,No,Yes,,5m²square meters,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118060,10118060,housegroup,housegroup,755000-755000,forsale,1410,xl,,,,,86,,,,,,,,,1,,1,Waloon Brabant,To be defined,Brabant Wallon,,,,,1,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,86 kWh/m²kilowatt hour per square meters,B,Not specified,100 kg CO₂/m²,Not specified,,,,,,,Non flood zone,,,,No,Chaussée Bara 339 1410- Waterloo,http://www.immodussart.be,4933827,Waloon Brabant,,,,,,June 1 2023 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
