,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Street frontage width,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room,Kitchen type,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Basement surface,Attic surface,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Terrace,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Planning permission obtained,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Neighbourhood or locality,Living room surface,Dining room,Kitchen surface,Shower rooms,Office surface,Office,Professional space surface,Basement,Attic,Furnished,Terrace surface,Double glazing,Garden orientation,As built plan,Secure access / alarm,Garden,Intercom,E-level (overall energy performance),Thermic solar panels,Visio phone,How many fireplaces?,Conformity certification for fuel tanks,Agent's name,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Dressing room,Laundry room,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Caretaker,Heat pump,Photovoltaic solar panels,Common water heater,Value of the property,Current monthly revenue,Professional space,Terrace orientation,Jacuzzi,Sauna,Internet,Type of building,Obligation to build,Monthly charges,Air conditioning,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Isolated,Number of annexes,Property name,Monthly rental price
10162872,10162872,house,house,239500,forsale,4560,xl,semiequipped,,good,,420,3,483,,true,300,true,true,,,2,,Liege,After signing the deed,,Good,,2,,2,,,175m²square meters,,Semi equipped,3,18m²square meters,17m²square meters,15m²square meters,,,,1,,,483m²square meters,9.45 mmeters,,,300m²square meters,,,,,,420 kWh/m²kilowatt hour per square meters,E,20130802003753,10 kg CO₂/m²,73271 kWh/year,,,,,,,,,"Make an offer starting from€ 239,500Make an offer starting from239500 €",€ 307307 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16165 - 111114778,Liege,,,46m²square meters,,19m²square meters,1,12m²square meters,Yes,,Yes,,No,15m²square meters,Yes,South West,No,,,,73271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10080211,10080211,house,villa,650000,forsale,4000,xl,installed,1911,tobedoneup,gas,542,7,730,,true,,true,,,1,1,,Liege,After signing the deed,1911,To be done up,,4,1,1,Mall,,423m²square meters,,Installed,7,,,,,,2,3,,,730m²square meters,,Connected,Yes,,Yes,,,,,542 kWh/m²kilowatt hour per square meters,G,20220630025524.,99 kg CO₂/m²,223502 kWh/year,Gas,Yes,,,,,,,"€ 650,000650000 €",,No,Rue Bonne Fortune 9 4000- Liège,https://www.engelvoelkers.com/fr-be/liege/,4894956,Liege,June 23 2022 - 12:00 AM,Liège,,,,1,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9914918,9914918,house,house,420000,forsale,4760,xl,,2000,asnew,gas,119,4,1098,,true,,true,,,1,,,Liege,After signing the deed,2000,As new,22 m,4,1,,,Link to the virtual visit,296m²square meters,,,4,29m²square meters,25m²square meters,16m²square meters,16m²square meters,,2,,,,1098m²square meters,,Not connected,No,,Yes,No,No,No,No,119 kWh/m²kilowatt hour per square meters,B,20120829014247,Not specified,33141 kWh/year,Gas,Yes,402m²square meters,No,No,No,,,"€ 420,000420000 €","€ 1,3081308 €",No,Hauptstraße 10 4780- St. Vith,http://www.hob-immo.be,BE_Hünningen_003_VM,Liege,,,29m²square meters,Yes,10m²square meters,,,No,,Yes,,No,,Yes,,No,No,,Yes,,No,Yes,1,No,,,,,,,,,,,Yes,Yes,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
9968909,9968909,house,villa,890000,forsale,4900,xl,installed,1911,tobedoneup,fueloil,459,3,3375,,,,true,,,1,2,,Liege,After signing the deed,1911,To be done up,,4,1,2,Isolated,,346m²square meters,,Installed,3,,,,,,1,2,,,3375m²square meters,,,No,,Yes,,,,,459 kWh/m²kilowatt hour per square meters,F,20220527018547,114 kg CO₂/m²,158577 kWh/year,Fuel oil,,,,,,,,"€ 890,000890000 €",,No,Rue Bonne Fortune 9 4000- Liège,https://www.engelvoelkers.com/fr-be/liege/,4800012,Liege,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9587279,9587279,house,villa,375000,forsale,4682,xl,installed,2020,,gas,251,4,456,,,300,true,,,,1,1,Liege,,2020,,12 m,4,,1,,Link to the virtual visit,190m²square meters,,Installed,4,,,,,,1,2,,,456m²square meters,21 mmeters,,,300m²square meters,,,,,,251 kWh/m²kilowatt hour per square meters,C,20150630010491,Not specified,58621 kWh/year,Gas,,,,,,,,"€ 375,000375000 €",,No,Rempart des Arbalétriers 1A 4600- Visé,http://www.optimum.be,8848 - 20/10/06,Liege,,,75m²square meters,,,1,,,,,,No,15m²square meters,Yes,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9987439,9987439,house,house,25000,forsale,4530,xl,installed,1978,good,fueloil,442,3,1523,,true,,true,,,1,3,,Liege,,1978,Good,,4,1,3,,,120m²square meters,,Installed,3,13m²square meters,13m²square meters,10m²square meters,,,,2,,,1523m²square meters,,,,,Yes,,,Yes,,442 kWh/m²kilowatt hour per square meters,F,20220701005006,Not specified,54085 kWh/year,Fuel oil,,,,,,,,,€ 704704 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,15655 - 111114595,Liege,,,,,15m²square meters,1,,,,Yes,,No,,Yes,South,No,,Yes,,54085,,,,,,"€ 25,00025000€",€ 660660€,Yes,Yes,Yes,2,,,"72, 72",,,,,,,,,,,,"€ 280,000280000€",,,,,,,,,,,,,,,,,,,
10020173,10020173,house,house,99000,forsale,4500,xl,notinstalled,,torenovate,gas,409,2,65,,true,,,,,,,,Liege,After signing the deed,,To renovate,5 m,2,,,,,90m²square meters,,Not installed,2,,,,,,,1,,,65m²square meters,5 mmeters,,Yes,,,,,,,409 kWh/m²kilowatt hour per square meters,E,20220518001577,79 kg CO₂/m²,33910 kWh/year,Gas,,,,,,,,"Make an offer starting from€ 99,000Make an offer starting from99000 €",€ 265265 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2914 - 2420,Liege,,,13m²square meters,,,1,,,,Yes,,No,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9888846,9888846,house,house,99000,forsale,4030,xl,notinstalled,,torenovate,gas,433,2,114,,true,,true,,,1,,,Liege,After signing the deed,,To renovate,15 m,3,1,,Urban,,95m²square meters,,Not installed,2,17m²square meters,11m²square meters,,,,1,1,,,114m²square meters,15 mmeters,Connected,Yes,,,,,,,433 kWh/m²kilowatt hour per square meters,F,20211018018018530,79 kg CO₂/m²,37578 kWh/year,Gas,,80m²square meters,,,,,,"€ 99,00099000 €",€ 344344 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4742680,Liege,June 1 2022 - 12:00 AM,Grand Liège,18m²square meters,Yes,6m²square meters,1,,,,Yes,,No,17m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10053970,10053970,house,house,50000,forsale,4350,xl,hyperequipped,1874,asnew,fueloil,283,4,832,true,,372,true,true,true,1,1,,Liege,To be defined,1874,As new,20 m,3,1,1,Countryside,Link to the virtual visit,137m²square meters,,Hyper equipped,4,20m²square meters,14m²square meters,12m²square meters,22m²square meters,,1,1,,,832m²square meters,,Connected,No,372m²square meters,,,No,,Yes,283 kWh/m²kilowatt hour per square meters,D,20220401022793,Not specified,68440 kWh/year,Fuel oil,,,,,,,,,€ 458458 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4865446,Liege,,,15m²square meters,Yes,12m²square meters,1,12m²square meters,Yes,,,Yes,No,20m²square meters,Yes,,,,,,,,,,,,"€ 50,00050000€",€ 950950€,Yes,No,No,2,,"180 months, 15 years","72, 75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130206,10130206,house,house,59000,forsale,4180,xl,notinstalled,1890,torenovate,,464,3,152,true,,,,,,1,,,Liege,After signing the deed,1890,To renovate,,3,1,,Urban,,340m²square meters,,Not installed,3,27m²square meters,18m²square meters,8m²square meters,,,1,2,,150m²square meters,152m²square meters,,Connected,No,,,,,,,464 kWh/m²kilowatt hour per square meters,F,20220824026489,3 kg CO₂/m²,91532 kWh/year,,Yes,114m²square meters,No,,,,"Living area (residential, urban or rural)","€ 59,00059000 €",€ 411411 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4957079,Liege,August 25 2022 - 12:00 AM,,42m²square meters,Yes,18m²square meters,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112043,10112043,house,house,149000,forsale,4690,xl,notinstalled,1910,torenovate,,599,3,404,,,250,true,,,,1,,Liege,After signing the deed,1910,To renovate,,3,,1,Isolated,,136m²square meters,,Not installed,3,12m²square meters,12m²square meters,38m²square meters,,,1,1,,,404m²square meters,,Connected,Yes,250m²square meters,,No,No,Yes,No,599 kWh/m²kilowatt hour per square meters,G,20220726017979,149 kg CO₂/m²,81615 kWh/year,,,,,,,,,"€ 149,000149000 €",€ 294294 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4931115,Liege,October 1 2022 - 12:00 AM,,17m²square meters,Yes,10m²square meters,1,,,,,,No,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10018090,10018090,house,house,149000,forsale,4020,xl,semiequipped,,tobedoneup,gas,313,2,190,,true,,true,true,,,,,Liege,After signing the deed,,To be done up,11 m,3,,,,,90m²square meters,,Semi equipped,2,,,,,,1,1,,,190m²square meters,11 mmeters,,,,,,,,,313 kWh/m²kilowatt hour per square meters,D,20180824013216,Not specified,28284 kWh/year,Gas,,,,,,,,"€ 149,000149000 €",€ 743743 €,No,Rue Arnold Delsupexhe 103 4040- Herstal,https://demir-immo.be,559478 - 76102253,Liege,,,18m²square meters,,,,,Yes,,Yes,,No,40m²square meters,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033771,10033771,house,apartmentblock,149000,forsale,4020,xl,semiequipped,,tobedoneup,gas,313,2,190,,true,,true,true,,,,,Liege,After signing the deed,,To be done up,11 m,3,,,,,90m²square meters,,Semi equipped,2,,,,,,1,1,,,190m²square meters,11 mmeters,,,,,,,,,313 kWh/m²kilowatt hour per square meters,D,20180824013216,Not specified,28284 kWh/year,Gas,,,,,,,,"€ 149,000149000 €",€ 743743 €,Yes,Rue Arnold Delsupexhe 103 4040- Herstal,https://demir-immo.be,559544 - 44/22,Liege,,,18m²square meters,,,,,Yes,,Yes,,No,40m²square meters,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087602,10087602,house,house,139000,forsale,4000,xl,installed,1915,torenovate,gas,696,3,434,,true,350,true,,,,,,Liege,After signing the deed,1915,To renovate,17 m,3,,,Urban,,120m²square meters,,Installed,3,15m²square meters,15m²square meters,15m²square meters,,,1,1,36m²square meters,,434m²square meters,,Connected,Yes,350m²square meters,,,,,,696 kWh/m²kilowatt hour per square meters,G,20150626007670,127 kg CO₂/m²,102908 kWh/year,Gas,,95m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 139,000Make an offer starting from139000 €",€ 350350 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4893504,Liege,,,15m²square meters,Yes,15m²square meters,,,,,,,No,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10025644,10025644,house,mixedusebuilding,169000,forsale,4500,xl,semiequipped,,torenovate,gas,304,0,159,,true,,true,,,,,,Liege,After signing the deed,,To renovate,8 m,2,,,,,250m²square meters,,Semi equipped,,,,,,,3,3,,,159m²square meters,8 mmeters,,Yes,,,,,,,304 kWh/m²kilowatt hour per square meters,D,20220720002189,56 kg CO₂/m²,34916 kWh/year,Gas,,,,,,,,"€ 169,000169000 €","€ 1,5441544 €",Yes,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2823 - 2463,Liege,,,19m²square meters,,,,,,,Yes,,No,50m²square meters,Yes,,No,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058044,10058044,house,house,150000,forsale,4520,xl,semiequipped,1850,tobedoneup,,448,2,76,,true,,true,,,,,,Liege,After signing the deed,1850,To be done up,,2,,,,,88m²square meters,,Semi equipped,2,,,,,,1,1,,,76m²square meters,,,Yes,,Yes,,,,,448 kWh/m²kilowatt hour per square meters,F,20220812001503,Not specified,34397 kWh/year,,,,,,,,,"€ 150,000150000 €",€ 223223 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,15889 - 111114662,Liege,,,26m²square meters,,,,,,,Yes,,No,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9915804,9915804,house,house,149000,forsale,4051,xl,notinstalled,1909,torenovate,,179,3,150,,,30,true,,,1,2,,Liege,After signing the deed,1909,To renovate,,2,1,2,Isolated,,150m²square meters,,Not installed,3,13m²square meters,36m²square meters,31m²square meters,,,1,1,,,150m²square meters,,,,30m²square meters,,,,,,179 kWh/m²kilowatt hour per square meters,C,20220419018469,33 kg CO₂/m²,30611 kWh/year,,,,,,,,,"€ 149,000149000 €",€ 712712 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4763960,Liege,June 1 2022 - 12:00 AM,Grand Liège,50m²square meters,,,1,,,,,,No,16m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108185,10108185,house,house,175000,forsale,4480,xl,semiequipped,1900,tobedoneup,gas,587,3,597,,true,467,true,,,1,,,Liege,After signing the deed,1900,To be done up,17 m,3,1,,Urban,,140m²square meters,,Semi equipped,3,14m²square meters,10m²square meters,9m²square meters,,,1,1,,,597m²square meters,28 mmeters,,Yes,467m²square meters,,,,,,587 kWh/m²kilowatt hour per square meters,G,20220502016275,111 kg CO₂/m²,82879 kWh/year,Gas,,,,,,,,"Make an offer starting from€ 175,000Make an offer starting from175000 €","€ 1,0651065 €",No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16020 - 111114503,Liege,,,21m²square meters,,8m²square meters,,,,,Yes,,No,20m²square meters,Yes,South,No,,,,82879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10125935,10125935,house,mixedusebuilding,179000,forsale,4480,xl,installed,1899,tobedoneup,gas,244,3,74,,true,,,,,,,,Liege,After signing the deed,1899,To be done up,6.2 m,2,,,Urban,Link to the virtual visit,143m²square meters,,Installed,3,194m²square meters,12m²square meters,12m²square meters,,,1,2,25m²square meters,,74m²square meters,,Connected,Yes,,,No,No,,No,244 kWh/m²kilowatt hour per square meters,C,20220817013486,45 kg CO₂/m²,24478 kWh/year,Gas,,74m²square meters,,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 179,000Make an offer starting from179000 €",€ 728728 €,Yes,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4936349,Liege,,,20m²square meters,,,1,,,,,,No,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9988685,9988685,house,house,175000,forsale,4347,xl,installed,1899,good,fueloil,491,2,107,,true,,,true,,1,1,,Liege,Depending on the tenant,1899,Good,7 m,2,1,1,Countryside,,92m²square meters,Yes,Installed,2,15m²square meters,11m²square meters,,,,1,1,22m²square meters,,107m²square meters,,Connected,No,,,No,No,,No,491 kWh/m²kilowatt hour per square meters,F,20150930012413,122 kg CO₂/m²,61393 kWh/year,Fuel oil,,65m²square meters,No,,,,"Living area (residential, urban or rural)","€ 175,000175000 €",€ 307307 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4809362,Liege,,,,Yes,14m²square meters,1,7m²square meters,Yes,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10116505,10116505,house,house,195000,forsale,4500,xl,installed,1850,tobedoneup,,454,2,337,,,,true,,,1,,,Liege,After signing the deed,1850,To be done up,,2,1,,,,140m²square meters,,Installed,2,,,,,,1,2,,,337m²square meters,,,Yes,,Yes,,,,,454 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,,,,,,,,"€ 195,000195000 €",€ 237237 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16037 - 111114740,Liege,,,,,,,,,,,,No,,Yes,East,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10117153,10117153,house,house,186000,forsale,4870,xl,notinstalled,1989,torenovate,,594,2,449,,,350,,,,1,3,,Liege,After signing the deed,1989,To renovate,,4,1,3,Isolated,,120m²square meters,,Not installed,2,16m²square meters,16m²square meters,,,,1,2,,,449m²square meters,,,,350m²square meters,,,,,,594 kWh/m²kilowatt hour per square meters,G,20220827002054,169 kg CO₂/m²,73322 kWh/year,,,,,,,,,"€ 186,000186000 €",€ 743743 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4932693,Liege,September 1 2022 - 12:00 AM,"Trooz, Nessonvaux, Fraipont",30m²square meters,,10m²square meters,1,,,,,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118264,10118264,house,house,189000,forsale,4500,xl,semiequipped,1850,good,gas,237,2,67,,true,,true,,,,1,,Liege,After signing the deed,1850,Good,,3,,1,,,95m²square meters,,Semi equipped,2,16m²square meters,10m²square meters,,,,1,1,,,67m²square meters,,,,,Yes,,,,,237 kWh/m²kilowatt hour per square meters,C,20220915015921,44 kg CO₂/m²,39061 kWh/year,Gas,,,,,,,,"Make an offer starting from€ 189,000Make an offer starting from189000 €",€ 419419 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16035 - 111114739,Liege,,,,Yes,8m²square meters,,,,,Yes,,No,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130197,10130197,house,house,219000,forsale,4460,xl,notinstalled,1970,tobedoneup,fueloil,385,5,418,,true,250,true,,,1,,,Liege,Immediately,1970,To be done up,8 m,3,1,,"Living area (residential, urban or rural)",Link to the virtual visit,228m²square meters,,Not installed,5,22m²square meters,36m²square meters,14m²square meters,16m²square meters,,2,2,13m²square meters,,418m²square meters,,Connected,No,250m²square meters,,,,,,385 kWh/m²kilowatt hour per square meters,E,20220522010609,95 kg CO₂/m²,101732 kWh/year,Fuel oil,,150m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 219,000Make an offer starting from219000 €","€ 1,8761876 €",No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4931239,Liege,,,31m²square meters,Yes,9m²square meters,,,,,,,No,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130204,10130204,house,house,195000,forsale,4540,xl,semiequipped,1900,tobedoneup,gas,599,3,925,true,true,800,true,,,1,,,Liege,After signing the deed,1900,To be done up,9 m,2,1,,Isolated,Link to the virtual visit,100m²square meters,,Semi equipped,3,12m²square meters,10m²square meters,10m²square meters,,,1,1,40m²square meters,57m²square meters,925m²square meters,,,Yes,800m²square meters,Yes,,,,,599 kWh/m²kilowatt hour per square meters,G,20220322010381,112 kg CO₂/m²,74527 kWh/year,Gas,,90m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 195,000Make an offer starting from195000 €",€ 366366 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4956657,Liege,,,14m²square meters,Yes,16m²square meters,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096184,10096184,house,house,229000,forsale,4500,xl,installed,,justrenovated,gas,424,3,140,,true,50,true,,,,,,Liege,After signing the deed,,Just renovated,5 m,2,,,,,173m²square meters,,Installed,3,,,,,,1,2,,,140m²square meters,5 mmeters,,Yes,50m²square meters,,,,,,424 kWh/m²kilowatt hour per square meters,E,20171215010811,78 kg CO₂/m²,73413 kWh/year,Gas,,,,,,,,"Make an offer starting from€ 229,000Make an offer starting from229000 €",€ 428428 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2976 - 2502,Liege,,,13m²square meters,,,,,,,Yes,,No,20m²square meters,Yes,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042039,10042039,house,bungalow,239000,forsale,4570,xl,installed,,torenovate,fueloil,433,3,2931,,,2648,,,,1,,,Liege,After signing the deed,,To renovate,26 m,4,1,,,,220m²square meters,,Installed,3,,,,,,1,1,,,2931m²square meters,52.3 mmeters,,Yes,2648m²square meters,,,,,,433 kWh/m²kilowatt hour per square meters,F,20220719008048,107 kg CO₂/m²,95169 kWh/year,Fuel oil,,,,,,,,"Make an offer starting from€ 239,000Make an offer starting from239000 €",€ 651651 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2849 - 2477,Liege,,,80m²square meters,,,,,,,,,No,,,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135999,10135999,house,house,239000,forsale,4000,xl,installed,1956,tobedoneup,fueloil,439,3,240,,true,150,,,,1,1,,Liege,After signing the deed,1956,To be done up,5.65 m,2,1,1,"Living area (residential, urban or rural)",Link to the virtual visit,100m²square meters,,Installed,3,7m²square meters,13m²square meters,13m²square meters,,,1,2,12m²square meters,,240m²square meters,,Connected,No,150m²square meters,,No,No,,No,439 kWh/m²kilowatt hour per square meters,F,20220921022027,110 kg CO₂/m²,51532 kWh/year,Fuel oil,Yes,60m²square meters,No,,,,"Living area (residential, urban or rural)","Make an offer starting from€ 239,000Make an offer starting from239000 €",€ 966966 €,No,Rue de l'Yser 425 4430- Ans,http://www.labelimmo.be,4905267,Liege,,,33m²square meters,,13m²square meters,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10082021,10082021,house,house,240000,forsale,4540,xl,semiequipped,1899,good,fueloil,249,3,307,,true,200,true,,,,,,Liege,Depending on the tenant,1899,Good,29 m,3,,,Urban,,140m²square meters,,Semi equipped,3,25m²square meters,18m²square meters,7m²square meters,,,1,2,,,307m²square meters,,Connected,No,200m²square meters,,,,,,249 kWh/m²kilowatt hour per square meters,C,20160524011046,Not specified,72953 kWh/year,Fuel oil,,120m²square meters,No,,,,"Living area (residential, urban or rural)","€ 240,000240000 €",€ 560560 €,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4718498,Liege,,,32m²square meters,Yes,8m²square meters,,,,,Yes,,No,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108186,10108186,house,house,239500,forsale,4260,xl,semiequipped,1974,asnew,,305,2,283,,,200,true,,,,2,,Liege,,1974,As new,,3,,2,Countryside,,90m²square meters,,Semi equipped,2,12m²square meters,11m²square meters,,,,1,1,,,283m²square meters,13 mmeters,,Yes,200m²square meters,,,,Yes,,305 kWh/m²kilowatt hour per square meters,D,20220704014039,Not specified,41335 kWh/year,,,,,,,,,"Make an offer starting from€ 239,500Make an offer starting from239500 €",€ 333333 €,No,"Rue des Brasseurs (Grand' Place), 1 4500- Huy",http://www.trevirasquain.be,16022 - 111114663,Liege,,,30m²square meters,,10m²square meters,,,,,,,No,40m²square meters,Yes,West,No,,,,413350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10110816,10110816,house,apartmentblock,249000,forsale,4102,xl,semiequipped,1956,tobedoneup,gas,271,4,252,,true,,true,,,2,,,Liege,,1956,To be done up,9 m,4,2,,,,205m²square meters,,Semi equipped,4,,,,,,3,3,,,252m²square meters,17 mmeters,,Yes,,,,,,,271 kWh/m²kilowatt hour per square meters,D,20150424008232,Not specified,13199 kWh/year,Gas,,,,,,,,"€ 249,000249000 €","€ 1,2941294 €",Yes,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,3031 - 2195,Liege,,,16m²square meters,,,,,,,Yes,,No,35m²square meters,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012575,10012575,house,house,275000,forsale,4430,xl,installed,1986,good,electric,392,3,247,true,,85,true,,,1,3,,Liege,After signing the deed,1986,Good,7.5 m,2,1,3,"Living area (residential, urban or rural)",,,,Installed,3,17m²square meters,16m²square meters,15m²square meters,,,1,2,,,247m²square meters,7.5 mmeters,Connected,No,85m²square meters,,No,No,Yes,No,392 kWh/m²kilowatt hour per square meters,E,20220327007293,77 kg CO₂/m²,75932 kWh/year,Electric,Yes,95m²square meters,Yes,,,Non flood zone,,"€ 275,000275000 €",€ 867867 €,No,Grand rue 191 4870- Trooz,http://www.groupecadimmo.be,4842670,Liege,December 1 2022 - 12:00 AM,Grand Liège,15m²square meters,Yes,10m²square meters,1,,,,,Yes,No,36m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126124,10126124,house,house,289000,forsale,4683,xl,installed,1965,torenovate,gas,326,3,957,,,900,true,,,2,4,,Liege,After signing the deed,1965,To renovate,7 m,3,2,4,Isolated,,135m²square meters,,Installed,3,15m²square meters,14m²square meters,10m²square meters,,,1,1,,,957m²square meters,13.6 mmeters,Connected,No,900m²square meters,,No,No,Yes,No,326 kWh/m²kilowatt hour per square meters,D,20160511023898,60 kg CO₂/m²,4690 kWh/year,Gas,,62m²square meters,,,,,,"€ 289,000289000 €",€ 11 €,No,"Thier D'oupeye,26 4680- Oupeye",http://www.vanesse.be,4931357,Liege,,OUPEYE,29m²square meters,,10m²square meters,1,,,,,,No,44m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
