,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10103679,10103679,house,house,350000,forsale,6001,xl,,,good,,188,6,0,,true,160,true,,,2,,,Hainaut,Good,3,2,Yes,6,3,Yes,160m²square meters,Yes,188 kWh/m²kilowatt hour per square meters,C,20161216002282,35 kg CO₂/m²,15143 kWh/year,"€ 350,000350000 €","€ 2,4242424 €",Yes,rue de France 26 6000- Charleroi,http://www.immoinvest.be,4906108,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9979230,9979230,house,house,295000,forsale,6020,xl,installed,2022,asnew,gas,114,3,299,true,,100,true,,,1,2,,Hainaut,As new,2,1,,3,1,,100m²square meters,,114 kWh/m²kilowatt hour per square meters,B,20220620501688,22 kg CO₂/m²,18641 kWh/year,"Make an offer starting from€ 295,000Make an offer starting from295000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4805695,Hainaut,After signing the deed,September 1 2022 - 12:00 AM,2022,8 m,2,Isolated,165m²square meters,42m²square meters,Installed,10m²square meters,20m²square meters,14m²square meters,1,2,Yes,No,299m²square meters,8 mmeters,Not connected,Yes,30m²square meters,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069658,10069658,house,villa,365000,forsale,6230,xl,semiequipped,1975,torenovate,gas,388,4,954,,true,,,,,1,5,,Hainaut,To renovate,4,1,,4,2,Yes,,,388 kWh/m²kilowatt hour per square meters,E,20220816001785,Not specified,Not specified,"€ 365,000365000 €","€ 1,2491249 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,758 - 3391363,Hainaut,After signing the deed,,1975,,5,"Living area (residential, urban or rural)",215m²square meters,45m²square meters,Semi equipped,16m²square meters,15m²square meters,9m²square meters,,2,,No,954m²square meters,19.26 mmeters,,Yes,,,,Yes,,,Gas,Yes,,Link to the virtual visit,1,13m²square meters,Yes,North East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593621,9593621,house,house,149999,forsale,6030,xl,notinstalled,1905,torenovate,gas,566,3,60,,,,,,,,,,Hainaut,To renovate,2,,,3,1,,,,566 kWh/m²kilowatt hour per square meters,G,20181218010873,109 kg CO₂/m²,63721 kWh/year,"Make an offer starting from€ 149,999Make an offer starting from149999 €",€ 580580 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4506450,Hainaut,Depending on the tenant,,1905,,,Urban,113m²square meters,22m²square meters,Not installed,12m²square meters,15m²square meters,16m²square meters,1,1,,No,60m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,,,10m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159343,10159343,house,otherproperty,645000,forsale,7910,xl,installed,1979,good,fueloil,282,4,2901,,,,true,,,2,,,Hainaut,Good,4,2,,4,2,,,Yes,282 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 645,000645000 €","€ 1,3871387 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20787 - VK 3887,Hainaut,,,1979,,,,260m²square meters,,Installed,20m²square meters,20m²square meters,16m²square meters,1,2,,No,2901m²square meters,,,,,,,,,,Fuel oil,Yes,Non flood zone,,,26m²square meters,Yes,West,No,,15m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8018096,8018096,housegroup,housegroup,216803.98-227363.98,forsale,7900,xl,,,,,,,,,,,,,,,,1,Hainaut,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,BoulevardLalaing 1 7500- Tournai,http://www.immo123.info,2044 -,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Non flood zone,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153840,10153840,housegroup,housegroup,373000-417000,forsale,7912,xl,,,,,,,,,,,,,,,,1,Hainaut,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,12158 -,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823526,9823526,house,bungalow,89000,forsale,6044,xl,semiequipped,1957,good,carbon,753,1,250,,,,true,,,,,,Hainaut,Good,2,,,1,,,,Yes,753 kWh/m²kilowatt hour per square meters,G,20220322012869,239 kg CO₂/m²,63605 kWh/year,"€ 89,00089000 €",€ 267267 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2603 - 2385,Hainaut,After signing the deed,,1957,,,,84m²square meters,23m²square meters,Semi equipped,,,,1,1,,No,250m²square meters,6.35 mmeters,,Yes,,,,,,,Carbon,Yes,,,,,Yes,South,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745389,9745389,house,house,270000,forsale,6040,xl,hyperequipped,1975,asnew,fueloil,289,3,1000,,,50,true,true,,2,7,,Hainaut,As new,2,2,,3,1,,50m²square meters,,289 kWh/m²kilowatt hour per square meters,D,20210318014541,53 kg CO₂/m²,64202 kWh/year,"Make an offer starting from€ 270,000Make an offer starting from270000 €",€ 806806 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4648399,Hainaut,After signing the deed,January 1 2022 - 12:00 AM,1975,12 m,7,Isolated,220m²square meters,70m²square meters,Hyper equipped,11m²square meters,12m²square meters,15m²square meters,1,2,,No,1000m²square meters,16 mmeters,Connected,No,60m²square meters,No,Yes,Yes,Yes,No,Fuel oil,Yes,Non flood zone,,,24m²square meters,,,,,,"Living area (residential, urban or rural)",Yes,Yes,20m²square meters,Yes,Yes,220m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088318,10088318,house,house,295000,forsale,7000,xl,installed,1960,good,gas,416,5,3600,true,true,2940,true,,,1,5,,Hainaut,Good,3,1,,5,3,,2940m²square meters,,416 kWh/m²kilowatt hour per square meters,E,20131010022389,76 kg CO₂/m²,130501 kWh/year,"€ 295,000295000 €","€ 1,2501250 €",No,,,,Hainaut,After signing the deed,,1960,28 m,5,,250m²square meters,47m²square meters,Installed,18m²square meters,11m²square meters,15m²square meters,,4,,No,3600m²square meters,28 mmeters,Connected,Yes,52m²square meters,No,No,No,Yes,No,Gas,Yes,Non flood zone,,1,20m²square meters,,South,,Yes,18m²square meters,Mixed living area (accommodation &amp; economic activities),Yes,,,No,No,147m²square meters,,9m²square meters,Yes,Yes,No,36m²square meters,10m²square meters,Yes,No,Yes,Yes,Yes,Yes,West,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
