,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Living area,How many fireplaces?,Kitchen type,Bedrooms,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Width of the lot on the street,"Gas, water &amp; electricity",Garden surface,Garden orientation,Terrace,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Virtual visit,Living room surface,Dining room,Kitchen surface,Bedroom 1 surface,Bedroom 2 surface,Shower rooms,Office surface,Office,Attic,Connection to sewer network,Terrace surface,Elevator,Accessible for disabled people,TV cable,Total ground floor buildable,Cadastral income,Bedroom 3 surface,Bedroom 4 surface,Garden,Property name,Basement surface,Type of building,Obligation to build,Living room,Attic surface,E-level (overall energy performance),Dressing room,Terrace orientation,Heat pump,Agent's name,Bedroom 5 surface,Professional space surface,Conformity certification for fuel tanks,Thermic solar panels,Laundry room,Professional space,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Number of annexes,Caretaker,Intercom,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Common water heater,Isolated,Neighbourhood or locality,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant
10069200,10069200,house,exceptionalproperty,349000,forsale,3920,l,installed,1960,good,gas,422,3,806,,,650,true,true,,1,4,,Limburg,To be defined,1960,Good,4,1,4,"Living area (residential, urban or rural)",252m²square meters,,Installed,3,1,2,,No,806m²square meters,13.8 mmeters,Yes,650m²square meters,South,,,,422 kWh/m²kilowatt hour per square meters,E,Certificaat-20220502-0002594817-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,65290 - LOM-22-KSC-0,Limburg,,,,,,,,,,,Yes,,,25m²square meters,,,,,€ 935935 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069195,10069195,house,house,349000,forsale,3920,l,installed,1960,good,gas,422,3,806,,,650,true,true,,1,4,,Limburg,To be defined,1960,Good,4,1,4,"Living area (residential, urban or rural)",252m²square meters,,Installed,3,1,2,,No,806m²square meters,13.8 mmeters,Yes,650m²square meters,South,,,,422 kWh/m²kilowatt hour per square meters,E,Certificaat-20220502-0002594817-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,65289 - LOM-22-KSC-0,Limburg,,,,,,,,,,,Yes,,,25m²square meters,,,,,€ 935935 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136821,10136821,house,house,395000,forsale,3680,l,semiequipped,1980,tobedoneup,fueloil,425,4,1661,,true,,true,true,,3,,,Limburg,After signing the deed,1980,To be done up,4,3,,,239m²square meters,,Semi equipped,4,2,2,Yes,No,1661m²square meters,,Yes,,,Yes,,,425 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Fuel oil,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2287 - 1959,Limburg,,,Link to the virtual visit,,,,,,,,Yes,,,,,,,,"€ 1,1221122 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10129629,10129629,house,house,425000,forsale,3660,l,installed,1980,good,electric,529,4,1455,,true,,true,true,true,3,,,Limburg,After signing the deed,1980,Good,4,3,,,202m²square meters,,Installed,4,1,2,Yes,No,1455m²square meters,,Yes,,,Yes,,Yes,529 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Electric,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2285 - 1951,Limburg,,,Link to the virtual visit,,,,,,,,Yes,,,,,,,,"€ 1,1581158 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121897,10121897,house,house,395000,forsale,3870,l,installed,1977,good,fueloil,456,5,1080,,,400,true,true,,1,,,Limburg,After signing the deed,1977,Good,4,1,,,345m²square meters,,Installed,5,1,1,,No,1080m²square meters,,Yes,400m²square meters,,Yes,,,456 kWh/m²kilowatt hour per square meters,E,20220428-0002592823-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",No,"Abeelplein, 15 3840- Borgloon",,4053 - 27.01.2022,Limburg,,,,,,19m²square meters,,,,,Yes,,,,,,,,"€ 1,1951195 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9956483,9956483,house,house,485000,forsale,3680,l,installed,1850,good,gas,100,3,1435,,,,true,,true,4,2,,Limburg,,1850,Good,4,4,2,,286m²square meters,,Installed,3,2,2,,No,1435m²square meters,,Yes,,,Yes,Yes,Yes,100 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 485,000485000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2243 - 1913,Limburg,,,Link to the virtual visit,,,,,,,,,,,,,,,,€ 870870 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037238,10037238,house,house,599950,forsale,3600,l,installed,1937,justrenovated,fueloil,408,4,2833,,true,,,,,3,,,Limburg,After signing the deed,1937,Just renovated,3,3,,,313m²square meters,,Installed,4,1,2,Yes,No,2833m²square meters,,,,,,,,408 kWh/m²kilowatt hour per square meters,E,20210706-0002438604-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,,,Non flood zone,,"€ 599,950599950 €",No,G.Gezellelaan 23A/2 3550- Heusden-Zolder,,3041 - 1416,Limburg,,,,,,,,,,,,,,,,,,,"€ 1,4521452 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9179625,9179625,house,villa,639000,forsale,3650,l,semiequipped,1948,good,fueloil,789,5,6246,,true,,true,true,true,2,5,,Limburg,After signing the deed,1948,Good,4,2,5,,283m²square meters,,Semi equipped,5,1,2,Yes,No,6246m²square meters,,Yes,,,Yes,,Yes,789 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 639,000639000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2036 - 1777,Limburg,,,Link to the virtual visit,76m²square meters,,,,,,,Yes,,,,,,,,"€ 1,0801080 €",,,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145687,10145687,house,house,279000,forsale,3570,l,semiequipped,1967,torenovate,gas,424,3,802,,true,,,,,1,,,Limburg,After signing the deed,1967,To renovate,4,1,,,174m²square meters,,Semi equipped,3,1,2,Yes,No,802m²square meters,,,,,,,,424 kWh/m²kilowatt hour per square meters,E,20220203-0002539216-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 279,000279000 €",No,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,8203 - 511207000,Limburg,,,Link to the virtual visit,,Yes,16m²square meters,20m²square meters,19m²square meters,,,,,,,,,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113172,10113172,house,villa,990000,forsale,3980,l,hyperequipped,1994,good,gas,194,5,1541,,true,,,,,,4,,Limburg,After signing the deed,1994,Good,4,,4,,475m²square meters,,Hyper equipped,5,1,3,Yes,No,1541m²square meters,,,,South,,Yes,,194 kWh/m²kilowatt hour per square meters,B,20220913-0002673497-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 990,000990000 €",No,Basilieklaan 77 3270- Scherpenheuvel,http://www.immolissens.be,5818 - 149766,Limburg,,,,,,,,,1,,,,,,,,,,"€ 3,4073407 €",,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
10089252,10089252,house,house,649000,forsale,3800,l,installed,1899,good,fueloil,192,4,821,,true,,,,,1,,,Limburg,,1899,Good,4,1,,,413m²square meters,,Installed,4,1,,,No,821m²square meters,17 mmeters,,,,,,,192 kWh/m²kilowatt hour per square meters,B,20220826-0002662851-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 649,000649000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,417 - 1630,Limburg,,17 m,,,Yes,30m²square meters,24m²square meters,16m²square meters,,,,,,,,,,,€ 644644 €,,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10106993,10106993,house,exceptionalproperty,449000,forsale,3960,l,usainstalled,1998,good,fueloil,239,3,967,,true,760,true,,,1,4,,Limburg,After signing the deed,1998,Good,4,1,4,Countryside,300m²square meters,,USA installed,3,1,2,Yes,No,967m²square meters,27.08 mmeters,Yes,760m²square meters,South East,,,,239 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Fuel oil,,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €",No,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,66813 - LOM-22-AST-0,Limburg,,,,45m²square meters,,,,,1,,,,,40m²square meters,,,,,€ 949949 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148036,10148036,house,house,294000,forsale,3840,l,installed,1931,tobedoneup,gas,347,4,785,,true,,,,,,,,Limburg,After signing the deed,1931,To be done up,4,,,,204m²square meters,,Installed,4,1,2,Yes,No,785m²square meters,,Yes,,,,,,347 kWh/m²kilowatt hour per square meters,D,20220928-0002684898-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 294,000294000 €",No,"Abeelplein, 15 3840- Borgloon",,4097 - 71.01.2022,Limburg,,,,,,25m²square meters,,,,,,,,,,,,,€ 684684 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147378,10147378,house,house,374950,forsale,3560,l,semiequipped,1975,tobedoneup,electric,737,3,1593,,true,,,,,2,,,Limburg,,1975,To be done up,4,2,,,166m²square meters,,Semi equipped,3,1,2,Yes,No,1593m²square meters,,,,,,,,737 kWh/m²kilowatt hour per square meters,F,20220819-0002658610-RES-1,Not specified,Not specified,No,Electric,Yes,,,,,Non flood zone,,"€ 374,950374950 €",No,G.Gezellelaan 23A/2 3550- Heusden-Zolder,,3060 - 1505,Limburg,,,,,,,,,,,,,,,,,,,€ 984984 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143738,10143738,house,house,235000,forsale,3700,l,semiequipped,1951,good,gas,917,4,207,,true,,true,,,2,,,Limburg,After signing the deed,1951,Good,3,2,,,279m²square meters,,Semi equipped,4,1,,,No,207m²square meters,,Yes,,,,,,917 kWh/m²kilowatt hour per square meters,F,0002527539-RES1,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 235,000235000 €",No,"Abeelplein, 15 3840- Borgloon",,4087 - 05-01-2022,Limburg,,,,,Yes,15m²square meters,,,,,,,,47m²square meters,,,,,"€ 1,0951095 €",,,,,85m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156796,10156796,house,villa,389000,forsale,3600,l,installed,1988,good,electric,363,5,1087,,true,,true,,,2,,,Limburg,After signing the deed,1988,Good,4,2,,,272m²square meters,,Installed,5,3,,Yes,No,1087m²square meters,,,,,Yes,,,363 kWh/m²kilowatt hour per square meters,D,20220929-0002685064-RES-1,Not specified,Not specified,No,Electric,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 389,000389000 €",No,Kempische Steenweg 89 bus 2 3500- Hasselt,http://www.lantmeeters.be,5869 - 2384,Limburg,,,,,,,,,,,,,,,,,,,"€ 1,4771477 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9809015,9809015,house,mixedusebuilding,299000,forsale,3800,l,notinstalled,1984,tobedoneup,gas,410,5,345,,,,,,,,,,Limburg,,1984,To be done up,2,,,,188m²square meters,,Not installed,5,,,,No,345m²square meters,7.8 mmeters,,,,,,,410 kWh/m²kilowatt hour per square meters,E,20180606-0002064939-1,Not specified,Not specified,No,Gas,,,,Yes,,Non flood zone,Residential area with cultural historical aesthetic value,"€ 299,000299000 €",Yes,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,324 - 1542,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143807,10143807,house,house,275000,forsale,3640,l,,1939,torenovate,fueloil,521,4,1678,,true,,true,,,,,,Limburg,After signing the deed,1939,To renovate,3,,,,234m²square meters,,,4,1,1,Yes,No,1678m²square meters,,,,,Yes,,,521 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2289 - 1912,Limburg,,,,,,,,,,,,,,,,,,,€ 611611 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111298,10111298,house,house,399000,forsale,3870,l,installed,1967,good,,236,5,940,,true,,,true,,,,,Limburg,After signing the deed,1967,Good,4,,,,234m²square meters,,Installed,5,2,3,Yes,No,940m²square meters,20 mmeters,Yes,,,,,,236 kWh/m²kilowatt hour per square meters,C,20211124-0002498109-RES-1,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 399,000399000 €",No,"Abeelplein, 15 3840- Borgloon",,4043 - 70-01-2022,Limburg,,12 m,,,,32m²square meters,,,,,Yes,,,,,,,,€ 661661 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162319,10162319,house,apartmentblock,345000,forsale,3581,l,semiequipped,1930,good,gas,375,8,1661,,true,,true,,,4,,,Limburg,After signing the deed,1930,Good,4,4,,,,,Semi equipped,8,,,Yes,No,1661m²square meters,,Yes,,South,Yes,,,375 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",Yes,Guido Gezellelaan 44 3550- Zolder,http://www.century21.be/animo,1702 - 62574402,Limburg,,,,,,,,,,,,,,,,,,,"€ 2,5742574 €",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112085,10112085,house,mansion,720000,forsale,3500,l,semiequipped,1932,good,gas,229,4,230,,true,,true,,,,,,Limburg,After signing the deed,1932,Good,2,,,Urban,276m²square meters,1,Semi equipped,4,2,2,Yes,No,230m²square meters,,Yes,,South West,Yes,,,229 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 720,000720000 €",No,Guido Gezellestraat 17 3500- Hasselt,,339 - 1533,Limburg,,,,,Yes,,26m²square meters,19m²square meters,,,,,,,,,,,"€ 1,5161516 €",15m²square meters,15m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10048572,10048572,house,exceptionalproperty,720000,forsale,3500,l,semiequipped,1932,good,gas,229,4,230,,true,,true,,,,,,Limburg,After signing the deed,1932,Good,2,,,Urban,276m²square meters,1,Semi equipped,4,2,2,Yes,No,230m²square meters,,Yes,,South West,Yes,,,229 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 720,000720000 €",No,Guido Gezellestraat 17 3500- Hasselt,,335 - 1504,Limburg,,,,,Yes,,26m²square meters,19m²square meters,,,,,,,,,,,"€ 1,5161516 €",15m²square meters,15m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153208,10153208,house,house,295000,forsale,3850,l,,1972,tobedoneup,fueloil,164,2,528,,,,,,,1,,,Limburg,After signing the deed,1972,To be done up,3,1,,,224m²square meters,,,2,1,2,,No,528m²square meters,,,,,,,,164 kWh/m²kilowatt hour per square meters,B,20221002-0002687098-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 295,000295000 €",No,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,8805 - 511207466,Limburg,,,,,,15m²square meters,17m²square meters,10m²square meters,,,,,,,,,,,€ 768768 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145685,10145685,house,house,375000,forsale,3800,l,installed,1955,justrenovated,gas,150,4,221,,true,,true,,,,,,Limburg,After signing the deed,1955,Just renovated,2,,,,155m²square meters,,Installed,4,1,2,Yes,No,221m²square meters,6 mmeters,,,,Yes,,,150 kWh/m²kilowatt hour per square meters,B,2011210-0002507897-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €",No,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,8064 - 511207020,Limburg,,,,,,,15m²square meters,14m²square meters,,,,,,,,,,,€ 639639 €,10m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145709,10145709,house,house,249000,forsale,3500,l,semiequipped,1962,torenovate,,366,4,395,,true,,,,,1,,,Limburg,After signing the deed,1962,To renovate,2,1,,,191m²square meters,,Semi equipped,4,1,1,Yes,No,395m²square meters,,,,,,,,366 kWh/m²kilowatt hour per square meters,D,20210831-0002456764-RES-1,Not specified,Not specified,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 249,000249000 €",No,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,8662 - 511206886,Limburg,,,Link to the virtual visit,,,14m²square meters,24m²square meters,15m²square meters,,,,,,,,,,,"€ 1,0331033 €",14m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079759,10079759,house,house,224000,forsale,3800,l,semiequipped,1952,torenovate,gas,287,2,380,,,,,,,,,,Limburg,,1952,To renovate,2,,,,156m²square meters,,Semi equipped,2,1,,,No,380m²square meters,4.5 mmeters,,,,,,,287 kWh/m²kilowatt hour per square meters,C,20220818-0002658073-RES-1,Not specified,Not specified,No,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 224,000224000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,413 - 1626,Limburg,,,,,,,,,,,,,,,,,,,€ 461461 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10058988,10058988,house,house,259000,forsale,3800,l,semiequipped,1950,tobedoneup,gas,525,5,99,,,,,,,1,,,Limburg,,1950,To be done up,2,1,,,247m²square meters,,Semi equipped,5,1,,,No,99m²square meters,5.7 mmeters,,,,,,,525 kWh/m²kilowatt hour per square meters,F,20211019-0002479765-RES-1,Not specified,Not specified,No,Gas,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 259,000259000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,410 - 1623,Limburg,,,,,,,,,,,,,,,,,,,€ 803803 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069199,10069199,house,apartmentblock,239000,forsale,3920,l,semiequipped,1930,torenovate,gas,704,4,280,,,,,,,,,,Limburg,To be defined,1930,To renovate,3,,,,124m²square meters,,Semi equipped,4,2,,,No,280m²square meters,30 mmeters,Yes,,South East,,,,704 kWh/m²kilowatt hour per square meters,F,20220513-0002603108-RES-1,Not specified,Not specified,No,Gas,,Yes,,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 239,000239000 €",Yes,Kerkstraat 3 3920- Lommel,http://www.heylenvastgoed.be,65288 - LOM-22-KSC-0,Limburg,,,,,,,,,,,,,,,,,,,€ 805805 €,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,
10116445,10116445,house,mixedusebuilding,299000,forsale,3580,l,installed,1961,good,gas,271,4,393,,true,,true,,,3,4,,Limburg,,1961,Good,3,3,4,,250m²square meters,1,Installed,4,1,2,Yes,No,393m²square meters,,Yes,,,Yes,,,271 kWh/m²kilowatt hour per square meters,C,20171212-0002016961-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 299,000299000 €",Yes,Guido Gezellelaan 44 3550- Zolder,http://www.century21.be/animo,1691 - 62574396,Limburg,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9682198,9682198,house,house,385000,forsale,3980,l,usasemiequipped,1962,tobedoneup,fueloil,354,6,617,,,,,,,,3,,Limburg,After signing the deed,1962,To be done up,4,,3,,402m²square meters,,USA semi equipped,6,1,3,,No,617m²square meters,,,,North,,,,354 kWh/m²kilowatt hour per square meters,D,20210402-0002396352-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 385,000385000 €",No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,45757 - GEE-21-SLA-0,Limburg,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148258,10148258,house,house,250000,forsale,3800,l,semiequipped,1963,tobedoneup,fueloil,709,3,1681,,,,,,,1,,,Limburg,,1963,To be done up,3,1,,,173m²square meters,,Semi equipped,3,1,1,,No,1681m²square meters,,,,,,,,709 kWh/m²kilowatt hour per square meters,F,20221003-0002687833-RES-1,Not specified,Not specified,No,Fuel oil,Yes,,,No,,Non flood zone,Area of landscape interest,"€ 250,000250000 €",No,Luikerstraat 81 3800- Sint-Truiden,http://www.immohaven.be,8803 - 511207470,Limburg,,,,,,14m²square meters,17m²square meters,16m²square meters,,,,,,,,,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153949,10153949,house,villa,685000,forsale,3990,l,installed,1996,asnew,,266,5,2360,,true,1021,true,,true,1,4,,Limburg,After signing the deed,1996,As new,4,1,4,,267m²square meters,1,Installed,5,2,3,Yes,No,2360m²square meters,20.33 mmeters,Yes,1021m²square meters,East,Yes,,Yes,266 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 685,000685000 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,68853 - LOM-22-MBI-0,Limburg,,,,,,,,,,,,,,,,,,,"€ 1,0931093 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012833,10012833,house,house,599000,forsale,3800,l,installed,1999,good,gas,195,4,1262,,,,,,,,,,Limburg,,1999,Good,4,,,,347m²square meters,,Installed,4,1,,,No,1262m²square meters,29.5 mmeters,,,,,,,195 kWh/m²kilowatt hour per square meters,B,20220625-0002629895-RES-2,Not specified,Not specified,No,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 599,000599000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,383 - 1596,Limburg,December 1 2022 - 12:00 AM,,,,Yes,20m²square meters,24m²square meters,16m²square meters,,,,,,,,,,,"€ 1,7681768 €",16m²square meters,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139973,10139973,house,house,179000,forsale,3890,l,semiequipped,1918,torenovate,fueloil,634,6,500,,,,,,,1,,,Limburg,,1918,To renovate,4,1,,,286m²square meters,,Semi equipped,6,1,,,No,500m²square meters,13 mmeters,,,,,,,634 kWh/m²kilowatt hour per square meters,F,20220928-0002684381-RES-1,Not specified,Not specified,No,Fuel oil,,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 179,000179000 €",No,Tiensesteenweg 227/101 3800- Sint-Truiden,http://www.dewoonmakers.be,431 - 1644,Limburg,,13 m,,,,,,,,,,,,,,,,,€ 498498 €,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9975420,9975420,housegroup,housegroup,298000-300000,forsale,3960,l,,,,,,,,,,,,,,,,1,Limburg,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,EPB in OPMAAK,Not specified,Not specified,,,,Yes,Yes,,No,,,,No,Koning Albertlaan 13 3680- Maaseik,,867 -,Limburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10062362,10062362,house,house,425000,forsale,3950,l,installed,1999,good,fueloil,336,4,744,,true,,true,true,,,,,Limburg,,1999,Good,4,,,,295m²square meters,,Installed,4,2,2,Yes,No,744m²square meters,,Yes,,,Yes,,,336 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Fuel oil,Yes,Yes,Yes,No,No,Non flood zone,Extended residential area,"€ 425,000425000 €",No,Scholtisplein 27b 3680- Maaseik,http://www.suzannelouw.be,2270 - 1952,Limburg,,,Link to the virtual visit,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
