,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
9778538,9778538,housegroup,housegroup,329117.83-331117.83,forsale,8750,xl,,,,,,,,,,,,,,,,1,West Flanders,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Vlamingstraat 62 8000- Brugge,http://www.dewaele.com,D8000-F1307,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165749,10165749,house,house,215000,forsale,8790,xl,semiequipped,1961,torenovate,fueloil,886,3,408,,true,,true,,,1,,,West Flanders,,1961,To renovate,4,,160m²square meters,,Semi equipped,12m²square meters,3,18m²square meters,12m²square meters,7m²square meters,1,1,,No,408m²square meters,,,,,886 kWh/m²kilowatt hour per square meters,F,20220509-0002600217-RES-1,Not specified,Not specified,No,Fuel oil,,"€ 215,000215000 €",€ 806806 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20846 - 3811,West Flanders,,1,,,,,,,,,,,,,,,,,,,,"Living area (residential, urban or rural)",,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165752,10165752,house,house,285000,forsale,8500,xl,installed,1954,good,gas,450,3,422,,true,,true,,,1,3,,West Flanders,After signing the deed,1954,Good,3,3,150m²square meters,,Installed,8m²square meters,3,16m²square meters,15m²square meters,14m²square meters,1,,,No,422m²square meters,,,,,450 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 285,000285000 €",€ 802802 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20840 - VK 4247,West Flanders,,1,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144440,10144440,house,manorhouse,695000,forsale,8581,xl,installed,1957,justrenovated,gas,229,5,1996,,true,,,,,,20,,West Flanders,,1957,Just renovated,4,20,350m²square meters,1,Installed,16m²square meters,5,50m²square meters,20m²square meters,20m²square meters,4,4,,No,1996m²square meters,,,,,229 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 695,000695000 €","€ 1,0111011 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20711 - 3937,West Flanders,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,Yes,Yes,,,,,,,,,,,,,,14m²square meters,11m²square meters,,60m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9466117,9466117,housegroup,housegroup,329400-333400,forsale,8791,xl,,,,,,,,,,,,,,,,1,West Flanders,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Stationstraat 31 8790- Waregem,http://www.dewaele.com/,D8790-21141-NBW,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067960,10067960,housegroup,housegroup,795000-975000,forsale,8300,xl,,,,,,,,,,,,,,1,2,1,West Flanders,At delivery,,,,2,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Kustlaan 105 8300- Knokke-Heist,http://www.hetzoute.be,4881852,West Flanders,,1,,,,,,,,,,,,,,,Yes,,No,No,Non flood zone,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142995,10142995,house,house,1095000,forsale,8300,xl,usahyperequipped,1974,asnew,gas,118,3,237,,,237,true,,,1,2,,West Flanders,Depending on the tenant,1974,As new,3,2,170m²square meters,,USA hyper equipped,,3,15m²square meters,10m²square meters,9m²square meters,2,3,,Yes,237m²square meters,,,,No,118 kWh/m²kilowatt hour per square meters,B,220928-0002684532-RES-1,3899 kg CO₂/m²,Not specified,No,Gas,Yes,"€ 1,095,0001095000 €","€ 1,1201120 €",No,Albert plein 10 8300- Knokke - Heist,http://www.cambierdenil.be,4961839,West Flanders,,1,"Living area (residential, urban or rural)",,,,,237m²square meters,,No,No,,Yes,,,,Yes,,No,No,Non flood zone,,,,Yes,No,1,,,,,Connected,Yes,,,,April 1 2023 - 12:00 AM,,,1 ZOUTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161719,10161719,house,house,375000,forsale,8520,xl,installed,,good,gas,208,3,439,,true,,true,,,,3,,West Flanders,,,Good,3,3,160m²square meters,,Installed,32m²square meters,3,24m²square meters,14m²square meters,9m²square meters,1,2,16m²square meters,No,439m²square meters,,,,,208 kWh/m²kilowatt hour per square meters,C,20220402-0002576515-Res-1,Not specified,Not specified,No,Gas,Yes,"€ 375,000375000 €",€ 470470 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20798 - VK 4091,West Flanders,,,,,,,,,,,,,,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144439,10144439,house,house,310000,forsale,8520,xl,installed,1959,good,gas,420,3,518,,,,true,,,1,2,,West Flanders,,1959,Good,3,2,190m²square meters,,Installed,14m²square meters,3,13m²square meters,10m²square meters,9m²square meters,1,2,,No,518m²square meters,,,,,420 kWh/m²kilowatt hour per square meters,E,20220329-0002574047-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 310,000310000 €",€ 524524 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20697 - VK 4243,West Flanders,14 m,1,,,,,,,,,,,,,,,,,No,,Non flood zone,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108593,10108593,house,house,249000,forsale,8793,xl,semiequipped,1978,tobedoneup,electric,422,3,214,,true,,true,,,1,,,West Flanders,After signing the deed,1978,To be done up,2,,231m²square meters,,Semi equipped,12m²square meters,3,16m²square meters,12m²square meters,12m²square meters,1,2,,No,214m²square meters,,,,,422 kWh/m²kilowatt hour per square meters,E,20190221-0002134545-RES-1,Not specified,Not specified,No,Electric,Yes,"€ 249,000249000 €",€ 676676 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20399 - VK 3971,West Flanders,,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997783,9997783,house,house,365000,forsale,8620,xl,installed,1979,tobedoneup,gas,305,4,366,,,298,,,,,2,,West Flanders,Immediately,1979,To be done up,3,2,136m²square meters,,Installed,,4,18m²square meters,17m²square meters,8m²square meters,2,3,,,366m²square meters,,South West,No,No,305 kWh/m²kilowatt hour per square meters,D,20220627-0002630019-res-1,Not specified,Not specified,,Gas,Yes,"€ 365,000365000 €","€ 1,3061306 €",No,,,,West Flanders,,,"Living area (residential, urban or rural)",,No,No,,298m²square meters,No,No,No,No,Yes,No,,No,Yes,,,No,,,Yes,,,,,No,No,Yes,Yes,Connected,Yes,Yes,,,,6m²square meters,,,20m²square meters,,No,No,No,No,No,No,No,No,No,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9886073,9886073,house,mansion,585000,forsale,8000,xl,installed,1934,justrenovated,electric,81,5,115,,,,,,,,,,West Flanders,After signing the deed,1934,Just renovated,2,,244m²square meters,,Installed,18m²square meters,5,15m²square meters,15m²square meters,20m²square meters,4,5,,No,115m²square meters,,,,,81 kWh/m²kilowatt hour per square meters,A,20220421-0002587301-RES-1,Not specified,Not specified,No,Electric,Yes,"€ 585,000585000 €",,No,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1080,West Flanders,5.8 m,,Urban,,No,No,5.8 mmeters,,,,,,,,No,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,,,,15m²square meters,21m²square meters,,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10042525,10042525,house,mansion,489000,forsale,8820,xl,hyperequipped,1881,good,gas,389,3,429,,,90,,,,,,,West Flanders,After signing the deed,1881,Good,2,,283m²square meters,,Hyper equipped,,3,,,,1,,,No,429m²square meters,,South,No,No,389 kWh/m²kilowatt hour per square meters,D,2489705,Not specified,Not specified,No,Gas,Yes,"€ 489,000489000 €","€ 1,7221722 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1159,West Flanders,10 m,,Urban,Yes,No,No,,90m²square meters,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,,,Yes,300m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10120487,10120487,house,house,349000,forsale,8551,xl,installed,2011,good,gas,98,3,302,,,,true,,,,2,,West Flanders,After signing the deed,2011,Good,3,2,152m²square meters,,Installed,14m²square meters,3,14m²square meters,11m²square meters,8m²square meters,1,2,,No,302m²square meters,,,,,98 kWh/m²kilowatt hour per square meters,A,20220916-0002676769-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 349,000349000 €",€ 647647 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20488 - VK 4212,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121883,10121883,house,manorhouse,695000,forsale,8580,xl,installed,1957,justrenovated,gas,229,5,1996,,true,,,,,,20,,West Flanders,,1957,Just renovated,4,20,350m²square meters,1,Installed,16m²square meters,5,50m²square meters,20m²square meters,20m²square meters,4,4,,No,1996m²square meters,,,,,229 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 695,000695000 €","€ 1,0111011 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20500 - 3821,West Flanders,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,Yes,Yes,,,,,,,,,,,,,,14m²square meters,11m²square meters,,60m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9723409,9723409,house,villa,2145000,forsale,8300,xl,hyperequipped,2007,asnew,gas,221,5,683,true,,,true,true,,2,4,,West Flanders,After signing the deed,2007,As new,4,4,263m²square meters,,Hyper equipped,,5,,,,4,4,,No,683m²square meters,,,Yes,No,221 kWh/m²kilowatt hour per square meters,C,943863,Not specified,Not specified,,Gas,Yes,"€ 2,145,0002145000 €","€ 1,7051705 €",No,Sparrendreef 80 8300- Knokke,http://www.immobrownknokke.be,4632811,West Flanders,,2,"Living area (residential, urban or rural)",,,Yes,,,,No,No,,Yes,Yes,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,3,,,,,Connected,Yes,,,,,,,Knokke,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158724,10158724,house,villa,486000,forsale,8510,xl,installed,1995,good,gas,217,3,1144,,,978,true,,,1,3,,West Flanders,After signing the deed,1995,Good,4,3,182m²square meters,,Installed,,3,,,,1,2,,No,1144m²square meters,,,,,217 kWh/m²kilowatt hour per square meters,C,20221006-0002689300-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 486,000486000 €",,No,"Yv. Serruysstraat, 22 8930- Menen",,12325 - 4727959,West Flanders,11 m,1,,,,,30 mmeters,978m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46m²square meters,42m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156442,10156442,house,villa,399500,forsale,8792,xl,installed,2022,good,,12,3,466,,,,true,,,,,,West Flanders,Immediately,2022,Good,4,,120m²square meters,,Installed,,3,14m²square meters,14m²square meters,9m²square meters,1,2,,No,466m²square meters,,,,,12 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,"€ 399,500399500 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20762 - VK 4214,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
