,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10151426,10151426,house,countrycottage,850000,forsale,8587,xl,hyperequipped,,asnew,fueloil,210,4,11395,,,11395,,,,1,,,West Flanders,,,As new,,,325m²square meters,,Hyper equipped,,4,15m²square meters,15m²square meters,15m²square meters,,,,,11395m²square meters,,,No,No,210 kWh/m²kilowatt hour per square meters,C,202207070002636859-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 850,000850000 €",,No,"Oudenaardsesteenweg, 62 8580- Avelgem",http://www.real-immo.be,VK334,West Flanders,20 m,1,,,No,No,115 mmeters,11395m²square meters,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,Farming area,,,,No,,No,No,No,No,Not connected,No,,1350m²square meters,,,15m²square meters,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161228,10161228,house,house,389000,forsale,8650,xl,installed,2016,,,,3,310,,,,,,,,2,,West Flanders,,2016,,3,2,161m²square meters,,Installed,11m²square meters,3,17m²square meters,14m²square meters,14m²square meters,1,2,,No,310m²square meters,Yes,South West,,,Not specified,Not specified,32066-G-2015_84/EP16908/A585/D01/SD001,Not specified,Not specified,,,No,"€ 389,000389000 €",,No,Langestraat 62 8620- Nieuwpoort,,NI22627,West Flanders,9 m,,,,,No,12 mmeters,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,,,,,,Connected,Yes,,85m²square meters,,,,,,35m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147870,10147870,housegroup,housegroup,234000-424900,forsale,8870,xl,,,,,,,,,,,,,,,,1,West Flanders,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,,No,Spinnerijstraat 101 bus 21 8500- Kortrijk,http://www.matexi.be,P0509_H,West Flanders,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163856,10163856,house,house,209000,forsale,8520,xl,semiequipped,,asnew,gas,496,3,175,,true,,,,,,,,West Flanders,,,As new,,,140m²square meters,,Semi equipped,,3,,,,,,,,175m²square meters,,,No,No,496 kWh/m²kilowatt hour per square meters,E,20220708-0002637940-RES-1,Not specified,Not specified,,Gas,Yes,"€ 209,000209000 €",€ 485485 €,No,Torhoutse Steenweg 344 8200- Brugge,http://www.panorama.immo/NL,R82JD227CCCC,West Flanders,,,,Yes,Yes,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10076251,10076251,house,house,298000,forsale,8830,xl,,1963,torenovate,gas,642,4,683,true,true,595,,,,1,1,,West Flanders,After signing the deed,1963,To renovate,4,1,,,,,4,,,,1,1,,,683m²square meters,,,No,No,642 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Gas,Yes,"€ 298,000298000 €",,No,,,,West Flanders,10 m,1,Countryside,Yes,No,No,,595m²square meters,No,No,No,No,Yes,No,"Yes, conform",No,,,,,Non flood zone,Area of landscape interest,Yes,Yes,,,,No,No,No,No,,Yes,Yes,118m²square meters,,,,,,,,No,No,No,No,No,Yes,No,No,No,,Yes,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
10144587,10144587,house,house,250000,forsale,8520,xl,,1955,,,546,4,558,,true,45,,,,1,,,West Flanders,,1955,,3,,144m²square meters,,,,4,,,,1,1,,No,558m²square meters,,South West,,,546 kWh/m²kilowatt hour per square meters,F,20220930-0002686113-RES-1,Not specified,Not specified,,,No,"€ 250,000250000 €",€ 596596 €,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/06064,West Flanders,6.5 m,1,,Yes,,No,9.15 mmeters,45m²square meters,,,,,,,,,,,No,No,Non flood zone,,,Yes,,,,,,,,Connected,Yes,,72m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037280,10037280,house,house,445000,forsale,8560,xl,,1966,good,,300,3,1081,,true,,,true,,2,4,,West Flanders,,1966,Good,4,4,,,,,3,,,,2,2,,No,1081m²square meters,,,,,300 kWh/m²kilowatt hour per square meters,C,2022079-0002648109-RES-1,Not specified,Not specified,,,No,"€ 445,000445000 €",€ 808808 €,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/05994,West Flanders,10 m,2,,Yes,,Yes,18.6 mmeters,,,,,,,,,,,,No,No,Non flood zone,,,Yes,,,,,,,,Not connected,Yes,,130m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157716,10157716,house,exceptionalproperty,965000,forsale,8300,xl,hyperequipped,2022,asnew,,,4,339,true,,,true,true,,1,1,1,West Flanders,After signing the deed,2022,As new,3,1,230m²square meters,,Hyper equipped,,4,,,,2,,,No,339m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,"€ 965,000965000 €",,No,Kustlaan 259 8300- Knokke-Heist,http://www.immobis.be,4969575,West Flanders,,1,,,,Yes,,,,,,,,,,,Yes,,No,No,,"Living area (residential, urban or rural)",,,Yes,Yes,,,,,,Connected,No,,,,,,,Knokke-Heist,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150388,10150388,house,house,199000,forsale,8400,xl,,,torenovate,gas,697,5,150,,,66,,,,,,,West Flanders,,,To renovate,,,190m²square meters,,,,5,,,,1,2,,No,150m²square meters,,South,No,No,697 kWh/m²kilowatt hour per square meters,F,20220217-0002547816-RES-1,Not specified,Not specified,,Gas,Yes,"€ 199,000199000 €",,No,Leopold I plein 9 8400- Oostende,http://www.actavastgoed.be,,West Flanders,,,,Yes,,No,,66m²square meters,,No,No,No,Yes,No,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151291,10151291,house,house,185000,forsale,8620,xl,,2018,asnew,electric,,2,45,,,,,,true,,,,West Flanders,,2018,As new,2,,43m²square meters,,,4m²square meters,2,8m²square meters,5m²square meters,,1,1,,,45m²square meters,Yes,South,Yes,Yes,Not specified,Not specified,Not specified,Not specified,Not specified,,Electric,Yes,"€ 185,000185000 €",,No,Dokter Honore Dewolfstraat 23 9700- Oudenaarde,http://www.nobels.be,3322707,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,,No,,,,,,,,,,No,No,No,No,Connected,No,,43m²square meters,,August 15 2022 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150594,10150594,house,house,590000,forsale,8370,xl,installed,,good,gas,236,5,217,,true,,true,true,,1,1,,West Flanders,,,Good,2,1,557m²square meters,,Installed,,5,,,,1,2,,No,217m²square meters,,,,,236 kWh/m²kilowatt hour per square meters,C,20220821-0002659208-RES-1,Not specified,Not specified,,Gas,Yes,"€ 590,000590000 €","€ 1,8981898 €",No,Komvest 1 8000- Brugge,http://www.llvastgoed.be,22710,West Flanders,,1,,Yes,,Yes,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10105185,10105185,house,mansion,269000,forsale,8400,xl,installed,1930,good,,229,6,96,,,,true,,,1,,,West Flanders,,1930,Good,2,,,,Installed,14m²square meters,6,,,,3,3,,No,96m²square meters,,,,,229 kWh/m²kilowatt hour per square meters,C,20220908-0002664499-RES-1,Not specified,Not specified,,,Yes,"€ 269,000269000 €","€ 1,3361336 €",No,Marktstraat 20 b1 8460- Oudenburg,http://www.residentievastgoed.be,OU22492,West Flanders,5.5 m,1,,,,No,5.5 mmeters,,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,34m²square meters,19m²square meters,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163482,10163482,house,house,299900,forsale,8830,xl,installed,1986,good,,306,4,642,,,,,,,1,,,West Flanders,,1986,Good,4,,,,Installed,21m²square meters,4,,,,1,2,,No,642m²square meters,,,,,306 kWh/m²kilowatt hour per square meters,D,20220430-0002594109-RES-1,Not specified,Not specified,,,Yes,"€ 299,900299900 €",€ 741741 €,No,Vredelaan 21 8820- Torhout,,TO22250,West Flanders,11 m,1,,,,No,25.29 mmeters,,,,,,,,,,,,No,No,Non flood zone,Farming area,,,,,,,,,,Connected,Yes,,,,,,,,55m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149035,10149035,house,house,540000,forsale,8800,xl,,1982,asnew,,218,4,1293,,,,true,,,2,,,West Flanders,,1982,As new,,,270m²square meters,,,,4,,,,1,2,,,1293m²square meters,Yes,East,Yes,No,218 kWh/m²kilowatt hour per square meters,C,20220212-0002544831-RES-1,Not specified,Not specified,,,No,"€ 540,000540000 €","€ 1,3381338 €",No,Baronstraat 114/4 8870- Izegem,http://www.dhouse.be,KI191CCC,West Flanders,,2,,Yes,Yes,No,,,No,No,No,No,Yes,No,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,,,No,No,No,No,Connected,No,,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160559,10160559,house,house,679000,forsale,8587,xl,hyperequipped,,asnew,fueloil,291,6,888,true,true,450,true,true,,2,2,,West Flanders,After signing the deed,,As new,4,2,385m²square meters,,Hyper equipped,,6,,,,3,,,No,888m²square meters,,,Yes,No,291 kWh/m²kilowatt hour per square meters,C,20151201-0001814238-1,Not specified,Not specified,,Fuel oil,Yes,"€ 679,000679000 €",€ 579579 €,No,Rue des Moulins 76/1 7700- Mouscron,http://www.cabinet056.be,4969957,West Flanders,26 m,2,,Yes,,Yes,26 mmeters,450m²square meters,,No,Yes,Yes,Yes,Yes,,,Yes,,No,No,Non flood zone,,,Yes,,No,,,,,,Connected,No,,290m²square meters,,June 2 2022 - 12:00 AM,,,,,120m²square meters,,,,,,,,,,,Yes,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163501,10163501,house,mansion,1500000,forsale,8000,xl,,1961,,,202,8,456,,true,,,,,2,,,West Flanders,,1961,,2,,,,,20m²square meters,8,,,,5,6,50m²square meters,No,456m²square meters,Yes,South West,No,No,202 kWh/m²kilowatt hour per square meters,C,20220609-0002620068-res-1,Not specified,Not specified,,,Yes,"€ 1,500,0001500000 €","€ 2,9862986 €",Yes,Karell De Stoutelaan 81 8000- Brugge,http://www.vastgoedsinnaeve.be,2425,West Flanders,14 m,2,,,,No,15 mmeters,,,Yes,No,Yes,No,No,,,Yes,,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,No,,,,,,Connected,Yes,,,,,,,,45m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10037475,10037475,house,house,159000,forsale,8530,xl,,1918,justrenovated,gas,447,3,75,,,,,,,,,,West Flanders,,1918,Just renovated,,,115m²square meters,,,,3,,,,,,,,75m²square meters,,,,,447 kWh/m²kilowatt hour per square meters,E,20220713-0002640202-RES-1,Not specified,Not specified,,Gas,No,"€ 159,000159000 €",€ 295295 €,No,Gentseweg 91 8790- Waregem,,Har-For35C,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9959796,9959796,house,house,149000,forsale,8908,xl,,1930,,carbon,1252,4,243,,true,75,,,,1,,,West Flanders,,1930,,2,,186m²square meters,,,,4,,,,1,,,No,243m²square meters,,South,,,1252 kWh/m²kilowatt hour per square meters,F,20220609-0002619502-RES-1,Not specified,Not specified,,Carbon,Yes,"€ 149,000149000 €",€ 322322 €,No,"Heuleplaats, 16 8501- Kortrijk",http://www.mvastgoed.be,M/05934,West Flanders,9.89 m,1,,Yes,,No,9.89 mmeters,75m²square meters,,,,,,,,,,,No,No,Non flood zone,"Living area (residential, urban or rural)",,Yes,,,,,,,,Connected,Yes,,136m²square meters,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9822858,9822858,house,house,179000,forsale,8870,xl,installed,,good,gas,420,3,0,true,,,true,,,,,,West Flanders,To be defined,,Good,2,,,,Installed,,3,,,,,1,,No,,,,,,420 kWh/m²kilowatt hour per square meters,E,20220325-0002570939-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 179,000179000 €",,No,Hulstedorp 18 8531- Hulste,http://www.property-vastgoed.be,,West Flanders,,,,,No,,,,,,,,,,,No,,,No,No,,"Living area (residential, urban or rural)",,,Yes,No,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016446,10016446,house,house,179000,forsale,8830,xl,,,good,gas,346,3,339,,true,,,,,1,,,West Flanders,,,Good,2,,211m²square meters,,,26m²square meters,3,11m²square meters,20m²square meters,6m²square meters,2,2,9m²square meters,No,339m²square meters,Yes,South East,,,346 kWh/m²kilowatt hour per square meters,D,20220711-0002639228-RES-1,Not specified,Not specified,,Gas,Yes,"€ 179,000179000 €",€ 627627 €,No,Vredelaan 21 8820- Torhout,,TO21989,West Flanders,,1,,,,No,,,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,46m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104973,10104973,house,mixedusebuilding,296055,forsale,8540,xl,,,,,,3,142,,,,true,,,,,,West Flanders,,,,,,122m²square meters,,,,3,,,,1,1,,No,142m²square meters,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,No,,,"€ 296,055296055 €",,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20290 - VK,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19m²square meters,,,,,,,,,,,,,,Biesbekepark,,,,,,,,,,,,,,,,,,,,,,,,,
9640922,9640922,house,house,255000,forsale,8530,xl,,2012,asnew,gas,154,3,75,,,,,,,,,,West Flanders,,2012,As new,,,142m²square meters,,,,3,,,,,,,,75m²square meters,,,,,154 kWh/m²kilowatt hour per square meters,B,20211206-0002502291-RES-2,Not specified,Not specified,,Gas,No,"€ 255,000255000 €",€ 590590 €,No,Gentseweg 91 8790- Waregem,,Har-Deerlijksestraat,West Flanders,8 m,,,,No,No,,,,,,,,,,,Yes,No,,,,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Not connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10133702,10133702,house,house,187000,forsale,8870,xl,,1920,tobedoneup,gas,587,3,210,,,,,,,,,,West Flanders,,1920,To be done up,,,246m²square meters,,,,3,,,,,,,No,210m²square meters,Yes,South East,,,587 kWh/m²kilowatt hour per square meters,F,20210902-0002459706-RES-1,Not specified,Not specified,,Gas,No,"€ 187,000187000 €",€ 567567 €,No,Rijksweg 17 8870- Izegem,http://www.bordes.be,VK21108MVCCC,West Flanders,,,,,No,No,,,,,,,,,,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Not connected,Yes,,115m²square meters,,,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
9875286,9875286,house,house,199000,forsale,8460,xl,installed,1956,torenovate,gas,970,3,462,,true,216,,,,,,,West Flanders,,1956,To renovate,2,,,,Installed,13m²square meters,3,,,,1,2,,No,462m²square meters,,South,,,970 kWh/m²kilowatt hour per square meters,F,20220422-0002588896-RES-1,Not specified,Not specified,,Gas,Yes,"€ 199,000199000 €",€ 542542 €,No,Marktstraat 20 b1 8460- Oudenburg,http://www.residentievastgoed.be,21857,West Flanders,,,,,,No,9.9 mmeters,216m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,,No,,,,,,Not connected,Yes,,,,,,,,34m²square meters,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9635797,9635797,house,house,295000,forsale,8434,xl,,1970,asnew,gas,305,4,155,,,,true,,,,,,West Flanders,,1970,As new,,,145m²square meters,,,,4,,,,1,1,,Yes,155m²square meters,,,No,No,305 kWh/m²kilowatt hour per square meters,D,20211122-0002497050-RES-1,Not specified,Not specified,,Gas,No,"€ 295,000295000 €",,No,Albert I Laan 234 8620- Nieuwpoort,http://www.euroimmo.be,Prinsenvelddreef 22,West Flanders,,,Urban,Yes,Yes,No,,,No,No,No,No,Yes,No,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,Yes,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,Ruime rijwoning Prinsenvelddreef,,,,,,,,,,,,,,,,,,,,,,,,,
9856792,9856792,house,house,300000,forsale,8800,xl,installed,2019,good,,,3,137,,,,,,,,1,,West Flanders,,2019,Good,2,1,148m²square meters,,Installed,,3,,,,1,2,,No,137m²square meters,Yes,South West,No,No,Not specified,Not specified,in opmaak,Not specified,Not specified,,,Yes,"€ 300,000300000 €",,No,Sint-Petrus en Paulusstraat 17 bus 1 8800- Rumbeke,http://www.futurimmo.be,TK/0036/2022,West Flanders,5.6 m,,Urban,Yes,,No,,,,Yes,No,No,No,No,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9984076,9984076,house,mansion,339000,forsale,8400,xl,,1904,torenovate,gas,454,5,125,,,,,,,,,,West Flanders,,1904,To renovate,2,,325m²square meters,,,,5,,,,3,5,,No,125m²square meters,Yes,North West,No,No,454 kWh/m²kilowatt hour per square meters,E,20210614-0002429002-RES-1,Not specified,Not specified,,Gas,No,"€ 339,000339000 €",€ 934934 €,No,Steenbrugsestraat 8210- Loppem,http://www.albert-vastgoed.be,TK/LO/KB/0208,West Flanders,,,,Yes,,No,,,,No,No,No,Yes,No,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9811406,9811406,house,house,359000,forsale,8420,xl,installed,,torenovate,electric,338,3,30,,,,true,,,1,,,West Flanders,,,To renovate,,,120m²square meters,,Installed,,3,,,,1,1,,No,30m²square meters,Yes,South,No,No,338 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Electric,Yes,"€ 359,000359000 €",,No,Kerkstraat 56 8420- Wenduine,http://www.flebo.be,FL0007,West Flanders,,1,,Yes,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065571,10065571,house,house,375000,forsale,8460,xl,,1940,tobedoneup,gas,707,4,841,,true,841,,,,2,,,West Flanders,,1940,To be done up,2,,,,,22m²square meters,4,15m²square meters,15m²square meters,24m²square meters,1,2,2m²square meters,No,841m²square meters,,South,,,707 kWh/m²kilowatt hour per square meters,F,20220817-0002657360-RES-1,Not specified,Not specified,,Gas,No,"€ 375,000375000 €",€ 856856 €,No,Marktstraat 20 b1 8460- Oudenburg,http://www.residentievastgoed.be,OU22449,West Flanders,17.7 m,2,,,,No,18.11 mmeters,841m²square meters,,,,,,,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,No,,,,,,Connected,Yes,,275m²square meters,,,12m²square meters,,,64m²square meters,,,No,,,,,,,,,,,,,,47m²square meters,,,,,,,,,,,,,,,,,,,,,,,
10079808,10079808,house,house,422000,forsale,8720,xl,installed,2022,good,,,4,554,,,,true,true,,1,1,,West Flanders,,2022,Good,3,1,180m²square meters,,Installed,,4,,,,1,2,,No,554m²square meters,Yes,North East,,,Not specified,Not specified,in opmaak,Not specified,Not specified,,,Yes,"€ 422,000422000 €",,No,Staatsbaan 110 9870- Zulte,http://www.immoroba.be,K 2 Tie Lot 2 LINKS,West Flanders,8.7 m,1,,Yes,,Yes,,,,,,,,,,,Yes,,No,No,,Extended residential area,,,Yes,,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9960426,9960426,house,house,395000,forsale,8870,xl,hyperequipped,1969,asnew,fueloil,284,3,441,,true,,true,true,,2,,,West Flanders,After signing the deed,1969,As new,3,,,,Hyper equipped,16m²square meters,3,8m²square meters,12m²square meters,8m²square meters,2,1,,,441m²square meters,,,,,284 kWh/m²kilowatt hour per square meters,C,20220302-0002077903-RES-2,Not specified,Not specified,,Fuel oil,Yes,"Make an offer starting from€ 395,000Make an offer starting from395000 €",€ 741741 €,No,Den Triangel 2 8610- Kortemark,http://www.hyboma.be,4795515,West Flanders,,2,Isolated,,,Yes,,,,,,,,Yes,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,Yes,Yes,Yes,2,,,,,Connected,No,,,,,,,WEST-VLAANDEREN,26m²square meters,,,,,,,,,,,,,,,,19m²square meters,50m²square meters,,,,,,,,,,,,,,,,,,,,,,,
10106286,10106286,house,house,399000,forsale,8000,xl,usahyperequipped,2002,asnew,gas,278,3,60,,,25,true,,,1,,,West Flanders,After signing the deed,2002,As new,3,,114m²square meters,,USA hyper equipped,9m²square meters,3,17m²square meters,11m²square meters,9m²square meters,1,3,,,60m²square meters,,,No,No,278 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,"Yes, conform",Gas,Yes,"€ 399,000399000 €",€ 711711 €,Yes,,,,West Flanders,,1,,,Yes,No,,25m²square meters,No,No,No,No,Yes,No,,No,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",Yes,,,Yes,,No,No,No,Yes,Connected,Yes,Yes,60m²square meters,,,,,,30m²square meters,13m²square meters,No,No,No,No,No,Yes,No,No,No,All kind,,,,,,,South,,,,,,,,,,,950,,,,,,,,,,,
10101482,10101482,house,house,435000,forsale,8420,xl,installed,,torenovate,gas,388,8,248,,,,,,,,,,West Flanders,,,To renovate,,,565m²square meters,,Installed,,8,,,,6,,,No,248m²square meters,,,No,No,388 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,Yes,"€ 435,000435000 €",,No,Kerkstraat 56 8420- Wenduine,http://www.flebo.be,FL067,West Flanders,,,,,No,No,,,No,No,No,No,Yes,No,,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,No,,No,No,No,No,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079807,10079807,house,house,430000,forsale,8720,xl,installed,2022,good,,,4,536,,,,true,true,,1,,,West Flanders,,2022,Good,3,,193m²square meters,,Installed,,4,,,,1,2,,No,536m²square meters,Yes,North East,,,Not specified,Not specified,EPB in opmaak,Not specified,Not specified,,,Yes,"€ 430,000430000 €",,No,Staatsbaan 110 9870- Zulte,http://www.immoroba.be,K 2 Tie Lot 1,West Flanders,8.7 m,1,,Yes,,Yes,,,,,,,,,,,Yes,,No,No,,Extended residential area,,,Yes,,,,,,,Connected,Yes,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10031575,10031575,house,house,500000,forsale,8434,xl,installed,,good,gas,,4,0,,,,,,,,,,West Flanders,To be defined,,Good,,,255m²square meters,,Installed,,4,,,,,3,,No,,,,,,Not specified,Not specified,20220614-0002619713-KNR-1,Not specified,Not specified,,Gas,Yes,"€ 500,000500000 €",,No,Leopoldlaan 85 8430- Middelkerke,http://www.immofrancois.be,,West Flanders,,,,,No,,,,,,,,,,,No,Yes,,,,Non flood zone,,,,,,,,,,,Connected,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10117501,10117501,house,villa,495000,forsale,8310,xl,semiequipped,,torenovate,,424,3,944,,,1100,true,,,2,2,,West Flanders,Depending on the tenant,,To renovate,4,2,250m²square meters,,Semi equipped,,3,12m²square meters,14m²square meters,16m²square meters,1,,,No,944m²square meters,,,,No,424 kWh/m²kilowatt hour per square meters,E,202200910-002672050,424 kg CO₂/m²,Not specified,,,,"€ 495,000495000 €","€ 1,0981098 €",No,Moerkerkse Steenweg 1 8310- Brugge,http://www.immax.be,4933204,West Flanders,,2,,Yes,,,,1100m²square meters,,No,No,,Yes,,,,Yes,,Yes,No,Recognized flood zone,Natural area,,,,,,,,,,,No,,,,September 15 2022 - 12:00 AM,,,Sint-Kruis,,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
