,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10158270,10158270,house,house,450000,forsale,6700,xl,installed,1966,good,fueloil,461,3,865,true,true,758,true,true,,1,3,,Belgian Luxembourg,After signing the deed,Arrondissement Arlon,1966,Good,4,1,Urban,,178m²square meters,25m²square meters,Yes,Installed,14m²square meters,3,15m²square meters,12m²square meters,11m²square meters,,1,,3,17m²square meters,Yes,,,No,865m²square meters,Connected,No,461 kWh/m²kilowatt hour per square meters,F,20220203007848,114 kg CO₂/m²,82148 kWh/year,Fuel oil,Yes,"€ 450,000450000 €","€ 1,1171117 €",No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4969959,Belgian Luxembourg,14 m,3,Yes,20.46 mmeters,,107m²square meters,,,,Non flood zone,,No,No,Yes,No,Yes,758m²square meters,1m²square meter,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015238,10015238,housegroup,housegroup,289000-309000,forsale,6840,xl,,,,,,,,,,,,,,,,1,Belgian Luxembourg,At delivery,Zone Centre Province du Luxembourg,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4797613,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109987,10109987,house,house,319000,forsale,6800,xl,notinstalled,1963,good,fueloil,403,5,1152,true,true,1000,true,,,1,1,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,1963,Good,4,1,Urban,,140m²square meters,22m²square meters,Yes,Not installed,10m²square meters,5,13m²square meters,14m²square meters,10m²square meters,8m²square meters,1,,1,,,52m²square meters,51m²square meters,No,1152m²square meters,Connected,No,403 kWh/m²kilowatt hour per square meters,E,20220901005851,100 kg CO₂/m²,91000 kWh/year,Fuel oil,Yes,"€ 319,000319000 €","€ 1,1721172 €",No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4841290,Belgian Luxembourg,14.5 m,1,,45 mmeters,,165m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,1000m²square meters,30m²square meters,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153406,10153406,house,villa,265000,forsale,6940,xl,notinstalled,1955,torenovate,,850,4,1180,true,true,1180,true,,,1,2,,Belgian Luxembourg,After signing the deed,,1955,To renovate,4,1,"Living area (residential, urban or rural)",Link to the virtual visit,225m²square meters,24m²square meters,Yes,Not installed,14m²square meters,4,20m²square meters,17m²square meters,17m²square meters,14m²square meters,1,1,1,,,,,No,1180m²square meters,Connected,No,850 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,,,"Make an offer starting from€ 265,000Make an offer starting from265000 €","€ 1,0531053 €",No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4958945,Belgian Luxembourg,20 m,2,Yes,47 mmeters,,190m²square meters,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,1180m²square meters,10m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9659836,9659836,house,house,1250000,forsale,6900,xl,installed,2010,asnew,electric,317,17,1500,,,,true,,,,16,,Belgian Luxembourg,After signing the deed,Zone Nord Province du Luxembourg,2010,As new,2,,Urban,Link to the virtual visit,680m²square meters,18m²square meters,,Installed,18m²square meters,17,18m²square meters,18m²square meters,,,8,1,1,,,,,No,1500m²square meters,,No,317 kWh/m²kilowatt hour per square meters,D,20210827006776,90 kg CO₂/m²,21338 kWh/year,Electric,Yes,"€ 1,250,0001250000 €","€ 2,4552455 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4600466,Belgian Luxembourg,40 m,16,,20 mmeters,,,,No,No,,"Living area (residential, urban or rural)",,,,,,,165m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158239,10158239,house,house,525000,forsale,6600,xl,,2006,good,fueloil,182,4,1150,,true,,,true,,,,,Belgian Luxembourg,,,2006,Good,4,,,Link to the virtual visit,238m²square meters,,Yes,,,4,,,,,1,,,,Yes,,,No,1150m²square meters,Not connected,Yes,182 kWh/m²kilowatt hour per square meters,C,20220831013173,45 kg CO₂/m²,43212 kWh/year,Fuel oil,Yes,"€ 525,000525000 €",€ 887887 €,No,Route de Marche 143 6600- Bastogne,http://www.era.be/topimmo,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,Yes,,,,Yes,,,,Yes,,Yes,No,No,No,182,"Yes, conform",No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155565,10155565,house,house,360000,forsale,6600,xl,,1918,justrenovated,gas,84,3,85,,true,,true,true,,,,,Belgian Luxembourg,,,1918,Just renovated,2,,,,166m²square meters,15m²square meters,Yes,,9m²square meters,3,,,,,1,,,,Yes,34m²square meters,,No,85m²square meters,Not connected,Yes,84 kWh/m²kilowatt hour per square meters,A,20221005016894,16 kg CO₂/m²,13964 kWh/year,Gas,Yes,"€ 360,000360000 €","€ 1,9321932 €",No,Route de Marche 143 6600- Bastogne,http://www.era.be/topimmo,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,Another type of area,,,,,,,9m²square meters,,,,,,,,Yes,No,,,84,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130500,10130500,house,house,225000,forsale,6980,xl,notinstalled,1900,torenovate,fueloil,1165,3,780,true,true,700,,,,,2,,Belgian Luxembourg,After signing the deed,Zone Nord Province du Luxembourg,1900,To renovate,3,,Countryside,,300m²square meters,48m²square meters,Yes,Not installed,24m²square meters,3,15m²square meters,14m²square meters,9m²square meters,,1,1,1,,,,47m²square meters,No,780m²square meters,Not connected,No,1165 kWh/m²kilowatt hour per square meters,G,20220905024,286 kg CO₂/m²,66588 kWh/year,Fuel oil,,"€ 225,000225000 €",,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4956573,Belgian Luxembourg,9 m,2,,,,,No,No,No,Non flood zone,,No,No,Yes,No,Yes,700m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123941,10123941,house,house,225000,forsale,6987,xl,notinstalled,1900,torenovate,fueloil,1165,3,780,true,true,700,,,,,2,,Belgian Luxembourg,After signing the deed,Zone Nord Province du Luxembourg,1900,To renovate,3,,Countryside,,300m²square meters,48m²square meters,Yes,Not installed,24m²square meters,3,15m²square meters,14m²square meters,9m²square meters,,1,1,1,,,,47m²square meters,No,780m²square meters,Not connected,No,1165 kWh/m²kilowatt hour per square meters,G,20220905024,286 kg CO₂/m²,66588 kWh/year,Fuel oil,,"€ 225,000225000 €",,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4898322,Belgian Luxembourg,9 m,2,,,,,No,No,No,Non flood zone,,No,No,Yes,No,Yes,700m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060316,10060316,house,house,330000,forsale,6700,xl,semiequipped,1947,tobedoneup,fueloil,442,4,370,,true,,,,,1,2,,Belgian Luxembourg,After signing the deed,,1947,To be done up,3,1,,,167m²square meters,30m²square meters,,Semi equipped,,4,,,,,,1,2,,,,,No,370m²square meters,,,442 kWh/m²kilowatt hour per square meters,F,20200714006448,Not specified,99760 kWh/year,Fuel oil,Yes,"€ 330,000330000 €","€ 1,0801080 €",No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,388 - 1548,Belgian Luxembourg,,2,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997643,9997643,house,house,275000,forsale,6870,xl,semiequipped,1977,good,fueloil,355,5,784,true,true,,true,true,,1,2,,Belgian Luxembourg,After signing the deed,Zone Nord Province du Luxembourg,1977,Good,4,1,Isolated,,190m²square meters,39m²square meters,,Semi equipped,15m²square meters,5,27m²square meters,13m²square meters,15m²square meters,13m²square meters,1,1,2,10m²square meters,Yes,37m²square meters,,No,784m²square meters,Connected,No,355 kWh/m²kilowatt hour per square meters,E,20220625000216,88 kg CO₂/m²,81900 kWh/year,Fuel oil,Yes,"€ 275,000275000 €","€ 1,3951395 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4764396,Belgian Luxembourg,,2,Yes,,Yes,,Yes,No,No,Non flood zone,,No,Yes,Yes,No,,,,,Yes,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9765430,9765430,house,house,160000,forsale,6780,xl,semiequipped,1900,torenovate,fueloil,434,4,279,,,,,,,1,,,Belgian Luxembourg,After signing the deed,,1900,To renovate,2,1,,,117m²square meters,14m²square meters,,Semi equipped,,4,,,,,1,,2,,,,,No,279m²square meters,,,434 kWh/m²kilowatt hour per square meters,F,20110927009693,Not specified,86263 kWh/year,Fuel oil,,"€ 160,000160000 €",€ 627627 €,No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,355 - 1523,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091653,10091653,house,villa,319000,forsale,6690,xl,,1965,tobedoneup,fueloil,468,4,1112,true,true,946,,,,3,5,,Belgian Luxembourg,,,1965,To be done up,4,3,Countryside,,174m²square meters,40m²square meters,,,17m²square meters,4,12m²square meters,18m²square meters,12m²square meters,12m²square meters,1,1,1,,,48m²square meters,175m²square meters,No,1112m²square meters,Connected,,468 kWh/m²kilowatt hour per square meters,F,20220404021173,4 kg CO₂/m²,81551 kWh/year,Fuel oil,Yes,"€ 319,000319000 €","€ 1,1371137 €",No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4865905,Belgian Luxembourg,15 m,5,,27.5 mmeters,,166m²square meters,Yes,No,,,"Living area (residential, urban or rural)",No,,Yes,No,,946m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077187,10077187,house,house,385000,forsale,6600,xl,usainstalled,2023,asnew,,38,3,650,true,true,137,true,,,2,2,1,Belgian Luxembourg,,,2023,As new,2,2,Countryside,,188m²square meters,25m²square meters,Yes,USA installed,13m²square meters,3,16m²square meters,12m²square meters,12m²square meters,,2,1,2,,No,113m²square meters,35m²square meters,No,650m²square meters,,Yes,38 kWh/m²kilowatt hour per square meters,A+,RWPEB131620,1194 kg CO₂/m²,7016 kWh/year,,Yes,"€ 385,000385000 €",,No,,,,Belgian Luxembourg,7 m,2,,,,,,,,Non flood zone,,,,,,,137m²square meters,35m²square meters,,Yes,,,April 1 2024 - 12:00 AM,,,No,No,,,25,No,Yes,No,Yes,No,,North,Yes,Yes,No,No,No,Yes,North,Each house has a private garden. A common plot allows access to vehicles behind the houses.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104039,10104039,house,house,395000,forsale,6790,xl,semiequipped,1966,tobedoneup,fueloil,338,2,1046,,true,,,,,1,4,,Belgian Luxembourg,After signing the deed,,1966,To be done up,4,1,,,124m²square meters,30m²square meters,,Semi equipped,,2,,,,,1,,2,,,,,No,1046m²square meters,,,338 kWh/m²kilowatt hour per square meters,D,20220712018411,Not specified,62730 kWh/year,Fuel oil,Yes,"€ 395,000395000 €","€ 1,0211021 €",No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,398 - 1543,Belgian Luxembourg,,4,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141767,10141767,house,house,200000,forsale,6720,xl,notinstalled,1850,torenovate,,702,4,568,true,,348,true,,,2,4,,Belgian Luxembourg,After signing the deed,Arrondissement Arlon,1850,To renovate,3,2,Isolated,Link to the virtual visit,256m²square meters,,,Not installed,,4,15m²square meters,35m²square meters,48m²square meters,35m²square meters,,,1,,,,61m²square meters,,568m²square meters,Connected,No,702 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,103205 kWh/year,,Yes,"€ 200,000200000 €",€ 322322 €,No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4962536,Belgian Luxembourg,13 m,4,,15.7 mmeters,Yes,220m²square meters,No,No,No,,,,,,,,348m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156630,10156630,house,house,145000,forsale,6823,xl,installed,,good,electric,895,3,410,,true,,,,,,,,Belgian Luxembourg,After signing the deed,,,Good,2,,,,173m²square meters,,,Installed,,3,,,,,1,,2,,,,,No,410m²square meters,,,895 kWh/m²kilowatt hour per square meters,G,20170606015686,895 kg CO₂/m²,154461 kWh/year,Electric,Yes,"€ 145,000145000 €",€ 208208 €,No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5491 - 361007978,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
