,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10094808,10094808,house,house,490000,forsale,6832,xl,installed,,good,fueloil,451,5,4820,true,true,753,true,,,,1,,Belgian Luxembourg,,,,Good,4,,,Link to the virtual visit,470m²square meters,59m²square meters,,Installed,34m²square meters,5,17m²square meters,16m²square meters,16m²square meters,16m²square meters,,,2,,,,,Yes,4820m²square meters,Connected,Yes,451 kWh/m²kilowatt hour per square meters,F,20130329013810,Not specified,Not specified,Fuel oil,Yes,"€ 490,000490000 €",€ 790790 €,No,Rue De Bouillon 59 5570- Beauraing,http://www.condrogest.be,,Belgian Luxembourg,,1,Yes,,,,,,,,,,,,,Yes,753m²square meters,15m²square meters,,,11m²square meters,,December 31 2022 - 12:00 AM,,,,,,,,,No,,,,,North West,Yes,,,,,,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112610,10112610,house,mixedusebuilding,595000,forsale,6900,xl,hyperequipped,,good,fueloil,639,9,5200,true,true,4200,true,true,,3,10,,Belgian Luxembourg,To be defined,Zone Nord Province du Luxembourg,,Good,4,3,Isolated,,884m²square meters,60m²square meters,Yes,Hyper equipped,30m²square meters,9,20m²square meters,23m²square meters,22m²square meters,26m²square meters,9,9,12,36m²square meters,Yes,,442m²square meters,,5200m²square meters,Connected,No,639 kWh/m²kilowatt hour per square meters,G,20220526002231,164 kg CO₂/m²,96425 kWh/year,Fuel oil,Yes,"€ 595,000595000 €",,Yes,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4930294,Belgian Luxembourg,97 m,10,,,Yes,,,No,No,Non flood zone,,No,Yes,,No,Yes,4200m²square meters,,,,26m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9925800,9925800,house,exceptionalproperty,669000,forsale,6890,xl,installed,,,fueloil,233,6,4089,true,,3800,true,true,true,1,6,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,,,3,1,Isolated,,465m²square meters,37m²square meters,Yes,Installed,14m²square meters,6,17m²square meters,16m²square meters,20m²square meters,15m²square meters,7,,7,,Yes,,40m²square meters,No,4089m²square meters,Connected,No,233 kWh/m²kilowatt hour per square meters,C,20220511009088,58 kg CO₂/m²,92642 kWh/year,Fuel oil,Yes,"€ 669,000669000 €","€ 1,0101010 €",No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4641088,Belgian Luxembourg,18.8 m,6,,28 mmeters,,410m²square meters,,,,,"Living area (residential, urban or rural)",No,No,Yes,Yes,,3800m²square meters,50m²square meters,,,23m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10148823,10148823,house,house,295000,forsale,6870,xl,,,,fueloil,362,6,5798,,,,true,,,,4,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,,,4,,,,229m²square meters,,,,,6,,,,,2,,,,,,,No,5798m²square meters,Not connected,No,362 kWh/m²kilowatt hour per square meters,E,20220821001092,61 kg CO₂/m²,54146 kWh/year,Fuel oil,Yes,"€ 295,000295000 €",€ 904904 €,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4965276,Belgian Luxembourg,25 m,4,,43 mmeters,Yes,229m²square meters,No,No,No,,,No,Yes,Yes,No,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162553,10162553,house,house,795000,forsale,6640,xl,installed,2009,,,280,6,1392,,true,,,,,,,,Belgian Luxembourg,Depending on the tenant,,2009,,4,,,,,,,Installed,,6,,,,,4,,,,,,,Yes,1392m²square meters,,,280 kWh/m²kilowatt hour per square meters,D,Not specified,80 kg CO₂/m²,102383 kWh/year,,,"€ 795,000795000 €",€ 985985 €,No,Place McAuliffe 43 6600- Bastogne,http://www.immobastogne.be,14559 - 1358,Belgian Luxembourg,,,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142710,10142710,house,house,290000,forsale,6661,xl,installed,1950,good,fueloil,397,5,1916,true,true,1916,,,,1,,,Belgian Luxembourg,After signing the deed,,1950,Good,4,1,,,160m²square meters,,,Installed,19m²square meters,5,15m²square meters,18m²square meters,15m²square meters,17m²square meters,2,,1,,No,17m²square meters,68m²square meters,No,1916m²square meters,,,397 kWh/m²kilowatt hour per square meters,E,20220929001967,1992 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 290,000290000 €",€ 636636 €,No,Route de l'Eau Rouge 2c 4970- Stavelot,http://www.antoineimmo.be,spir2360,Belgian Luxembourg,,,,,,226m²square meters,,,,,"Living area (residential, urban or rural)",,,,,,1916m²square meters,,Yes,,15m²square meters,,,,,,,,,,No,No,,,,,North West,No,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10079777,10079777,house,house,60000,forsale,6687,xl,notinstalled,,torenovate,,706,3,266,,true,,,,,,,,Belgian Luxembourg,After signing the deed,,,To renovate,,,"Living area (residential, urban or rural)",,,,,Not installed,,3,,,,,1,,1,,,,,No,266m²square meters,,,706 kWh/m²kilowatt hour per square meters,G,20220823005618,201 kg CO₂/m²,131757 kWh/year,,,"Make an offer starting from€ 60,000Make an offer starting from60000 €",€ 371371 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,3037 - 2418,Belgian Luxembourg,,,,,,,,,,,"Living area (residential, urban or rural)",,,,,Yes,,,,Yes,,No,,,,,,,,37567,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990221,9990221,house,house,280000,forsale,6700,xl,semiequipped,,torenovate,fueloil,576,3,1318,,true,,,,,1,,,Belgian Luxembourg,After signing the deed,,,To renovate,4,1,,,143m²square meters,,,Semi equipped,,3,,,,,1,,,,,,,No,1318m²square meters,,,576 kWh/m²kilowatt hour per square meters,G,20210505014735,143 kg CO₂/m²,82533 kWh/year,Fuel oil,Yes,"€ 280,000280000 €",,No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5268 - 361007383,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094654,10094654,house,house,165000,forsale,6900,xl,semiequipped,,tobedoneup,fueloil,573,2,161,true,true,161,,,,,,,Belgian Luxembourg,To be defined,,,To be done up,,,,Link to the virtual visit,70m²square meters,30m²square meters,,Semi equipped,,2,16m²square meters,14m²square meters,,,,,1,,,,,No,161m²square meters,Connected,Yes,573 kWh/m²kilowatt hour per square meters,G,20220630002170,Not specified,Not specified,Fuel oil,Yes,"€ 165,000165000 €",€ 349349 €,No,Boulevard du Nord 16 6900- Marche,http://www.condrogest.be,,Belgian Luxembourg,,,Yes,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,161m²square meters,,,Yes,,No,,,,,,,,,,No,,,,,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092499,10092499,house,house,595000,forsale,6700,xl,installed,,good,gas,231,6,342,,true,,,,,2,,,Belgian Luxembourg,,,,Good,,2,,,384m²square meters,,,Installed,,6,,,,,3,,4,,,,,No,342m²square meters,,,231 kWh/m²kilowatt hour per square meters,C,20200908015254,1000 kg CO₂/m²,88691 kWh/year,Gas,Yes,"€ 595,000595000 €","€ 1,2891289 €",No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5364 - 361008054,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10100387,10100387,house,villa,275000,forsale,6900,xl,semiequipped,,tobedoneup,fueloil,520,5,626,,true,626,,,,1,,,Belgian Luxembourg,To be defined,,,To be done up,,1,,Link to the virtual visit,172m²square meters,43m²square meters,,Semi equipped,5m²square meters,5,13m²square meters,10m²square meters,14m²square meters,16m²square meters,,,2,,,,,No,626m²square meters,Connected,Yes,520 kWh/m²kilowatt hour per square meters,G,20220304017825,Not specified,Not specified,Fuel oil,,"€ 275,000275000 €","€ 1,1171117 €",No,Boulevard du Nord 16 6900- Marche,http://www.condrogest.be,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,626m²square meters,,,Yes,8m²square meters,No,,,,,,,,,,No,,,,,West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10136992,10136992,house,house,365000,forsale,6951,xl,hyperequipped,,justrenovated,fueloil,258,4,323,,true,200,,,,1,,,Belgian Luxembourg,,,,Just renovated,,1,,,260m²square meters,60m²square meters,,Hyper equipped,,4,,,,,1,1,3,,,,,No,323m²square meters,,,258 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,57276 kWh/year,Fuel oil,,"€ 365,000365000 €",€ 490490 €,No,Place des chasseurs Ardennais 24-26 1030- Schaerbeek,http://www.eventimmo.be,8842 - 654658433,Belgian Luxembourg,,,,13 mmeters,,,,,,,,,,,,Yes,200m²square meters,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10093816,10093816,house,house,375000,forsale,6700,xl,notinstalled,,justrenovated,,277,3,620,,true,,,,,1,,,Belgian Luxembourg,,,,Just renovated,,1,,,134m²square meters,,,Not installed,,3,,,,,1,,1,,,,,No,620m²square meters,,,277 kWh/m²kilowatt hour per square meters,D,20150729011883,1000 kg CO₂/m²,37152 kWh/year,,Yes,"€ 375,000375000 €",€ 331331 €,No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5313 - 361008013,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,No,March 15 2023 - 12:00 AM,,,,,,,,,,,,,Yes,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10089733,10089733,house,house,425000,forsale,6724,xl,,1968,,fueloil,381,4,1150,,true,,,,,,,,Belgian Luxembourg,,,1968,,4,,,,211m²square meters,,,,12m²square meters,4,,,,,2,,,,,,,No,1150m²square meters,Connected,Yes,381 kWh/m²kilowatt hour per square meters,E,20220630015987,94 kg CO₂/m²,80509 kWh/year,Fuel oil,Yes,"€ 425,000425000 €",€ 802802 €,No,Route de Marche 143 6600- Bastogne,http://www.era.be/topimmo,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,Another type of area,,,,,Yes,,,,,,,,,,,No,,,381,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,Villa,,,,,,,,,,,,,,,,,,,,,,,,
9976975,9976975,house,house,565000,forsale,6960,xl,,1998,,fueloil,189,4,4376,,true,,true,true,true,,,,Belgian Luxembourg,,,1998,,4,,Countryside,,,,,,,4,27m²square meters,20m²square meters,12m²square meters,12m²square meters,2,,,,Yes,,,No,4376m²square meters,,Yes,189 kWh/m²kilowatt hour per square meters,C,20170611002536,47 kg CO₂/m²,82955 kWh/year,Fuel oil,Yes,"€ 565,000565000 €","€ 1,1481148 €",No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3390 - 5722346,Belgian Luxembourg,,,,,Yes,,,,No,Non flood zone,"Living area (residential, urban or rural)",,,,Yes,Yes,,,,Yes,,No,,,,,,,,,"Yes, conform",,,,,Yes,East,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10094780,10094780,house,house,850000,forsale,6900,xl,hyperequipped,,asnew,fueloil,247,20,2800,true,true,,true,,,,,,Belgian Luxembourg,To be defined,,,As new,,,,,1200m²square meters,,,Hyper equipped,,20,,,,,,,1,,,,,No,2800m²square meters,Connected,Yes,247 kWh/m²kilowatt hour per square meters,D,20140616011201,Not specified,Not specified,Fuel oil,Yes,"€ 850,000850000 €","€ 4,8474847 €",Yes,Boulevard du Nord 16 6900- Marche,http://www.condrogest.be,,Belgian Luxembourg,,,Yes,,Yes,,,No,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,No,Yes,Yes,,Yes,East,No,,,,,,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153373,10153373,house,house,195000,forsale,6900,xl,installed,1962,good,fueloil,466,4,1192,true,true,,true,true,,,,,Belgian Luxembourg,After signing the deed,,1962,Good,4,,"Living area (residential, urban or rural)",Link to the virtual visit,150m²square meters,30m²square meters,,Installed,17m²square meters,4,11m²square meters,10m²square meters,9m²square meters,19m²square meters,1,,1,9m²square meters,Yes,70m²square meters,,,1192m²square meters,,,466 kWh/m²kilowatt hour per square meters,F,20220916026565,Not specified,82204 kWh/year,Fuel oil,Yes,,"€ 1,1051105 €",No,Avenue de la Toison d'Or 67 6900- Marche-en-Famenne,,,Belgian Luxembourg,,,Yes,,Yes,,No,No,No,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,No,,No,,,,,,,,,,,,,,,Link to online sale,No,fr :sur rendez-vous avec l’Etude (Vincent RENARD © tél.: 084/320.335 © [email protected]),"€ 195,000195000 €",Vincent RENARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10023258,10023258,house,farmhouse,99900,forsale,6890,xl,,,torenovate,,317,1,207,,,46,,,,1,1,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,,To renovate,3,1,Urban,,120m²square meters,,,,,1,,,,,,,,,,,,No,207m²square meters,Connected,,317 kWh/m²kilowatt hour per square meters,D,2020114020066,Not specified,89964 kWh/year,,,"€ 99,90099900 €",€ 731731 €,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4845454,Belgian Luxembourg,7.97 m,1,,8 mmeters,,130m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",,,,,,46m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9145022,9145022,house,house,295000,forsale,6840,xl,hyperequipped,2020,asnew,gas,83,3,1375,true,,1300,true,,,1,2,1,Belgian Luxembourg,,Torimont,2020,As new,4,1,Countryside,,151m²square meters,,,Hyper equipped,,3,17m²square meters,14m²square meters,10m²square meters,,1,,2,,No,,40m²square meters,No,1375m²square meters,Connected,Yes,83 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,Gas,Yes,"€ 295,000295000 €",,No,,,,Belgian Luxembourg,,2,,25 mmeters,,,,,,,"Living area (residential, urban or rural)",,,,,,1300m²square meters,21m²square meters,,Yes,,,,,,No,No,,,,,No,No,No,No,,South East,No,Yes,No,No,No,No,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,,,,,,,,,,,,
10152537,10152537,house,house,269000,forsale,6900,xl,,1971,good,fueloil,346,5,1552,,,1372,true,,,2,6,,Belgian Luxembourg,,,1971,Good,4,2,Urban,Link to the virtual visit,231m²square meters,,Yes,,11m²square meters,5,15m²square meters,18m²square meters,14m²square meters,15m²square meters,1,,2,,,,,No,1552m²square meters,Connected,No,346 kWh/m²kilowatt hour per square meters,E,20220930001390,86 kg CO₂/m²,98110 kWh/year,Fuel oil,Yes,"€ 269,000269000 €","€ 1,0961096 €",No,Borchamps 24 6900- Marche-en-Famenne,http://www.easyhome-immo.be,4959001,Belgian Luxembourg,17 m,6,,25 mmeters,,180m²square meters,,,,,,,,Yes,,,1372m²square meters,35m²square meters,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9874671,9874671,house,house,129000,forsale,6830,xl,semiequipped,,torenovate,fueloil,371,6,0,,true,,true,,,,,,Belgian Luxembourg,,,,To renovate,2,,,,140m²square meters,,,Semi equipped,,6,,,,,1,1,2,,,,,No,,,,371 kWh/m²kilowatt hour per square meters,E,20220530006383,Not specified,Not specified,Fuel oil,,"€ 129,000129000 €",€ 661661 €,No,Rue du Commerce 25 6890- Libin,http://www.immobiliere-mustang.be,213 - 1445,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,15m²square meters,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104294,10104294,house,house,120000,forsale,6690,xl,installed,1936,tobedoneup,fueloil,367,4,521,true,true,521,,,,,3,,Belgian Luxembourg,After signing the deed,,1936,To be done up,4,,,,145m²square meters,23m²square meters,Yes,Installed,15m²square meters,4,15m²square meters,13m²square meters,13m²square meters,12m²square meters,1,,1,,,,,,521m²square meters,Connected,,367 kWh/m²kilowatt hour per square meters,E,20211027014823,Not specified,67963 kWh/year,Fuel oil,,,€ 560560 €,No,Avenue de la Toison d'Or 67 6900- Marche-en-Famenne,,,Belgian Luxembourg,,3,Yes,,,,No,No,No,,"Living area (residential, urban or rural)",,,Yes,,Yes,521m²square meters,,,,,,,,,,,,,,,No,,No,,,West,,,,,,Yes,,,,,,Link to online sale,No,,"€ 120,000120000 €",Guillaume DUMOULIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9884444,9884444,house,house,200000,forsale,6600,xl,semiequipped,,,fueloil,622,3,22014,,true,,,,,,,,Belgian Luxembourg,After signing the deed,,,,4,,Isolated,,,,,Semi equipped,,3,,,,,,,1,,,,,No,22014m²square meters,,Yes,622 kWh/m²kilowatt hour per square meters,G,20220427016421,130 kg CO₂/m²,93575 kWh/year,Fuel oil,,"Make an offer starting from€ 200,000Make an offer starting from200000 €",€ 725725 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,2982 - 2382,Belgian Luxembourg,,,,,,,,,,,Farming area,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10128475,10128475,house,house,139000,forsale,6850,xl,semiequipped,,torenovate,fueloil,424,3,123,,true,,true,,,2,1,,Belgian Luxembourg,After signing the deed,Zone Centre Province du Luxembourg,,To renovate,3,2,Isolated,,,3021m²square meters,,Semi equipped,13m²square meters,3,16m²square meters,15m²square meters,15m²square meters,,1,,1,,,55m²square meters,,No,123m²square meters,Connected,No,424 kWh/m²kilowatt hour per square meters,E,20210312003851,105 kg CO₂/m²,53748 kWh/year,Fuel oil,Yes,"€ 139,000139000 €",,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4932606,Belgian Luxembourg,17 m,1,,17 mmeters,,20m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9866828,9866828,house,house,150000,forsale,6640,xl,notinstalled,,,fueloil,582,3,2746,,true,,,,,,,,Belgian Luxembourg,,,,,4,,,,,,,Not installed,,3,,,,,,1,1,,,,,No,2746m²square meters,,Yes,582 kWh/m²kilowatt hour per square meters,G,20220223011261,30 kg CO₂/m²,126910 kWh/year,Fuel oil,,"Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 495495 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,2973 - 2377,Belgian Luxembourg,,,,46 mmeters,,,,,,,,,,,,Yes,,,,Yes,,No,,,,,,,,6464,,,,,,Yes,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9951390,9951390,house,house,150000,forsale,6660,xl,,,tobedoneup,,,2,996,,true,996,,true,,,1,,Belgian Luxembourg,After signing the deed,,,To be done up,,,,,160m²square meters,30m²square meters,,,,2,,,,,,1,1,,Yes,,,No,996m²square meters,,Yes,Not specified,G,20220531011417,Not specified,Not specified,,,"Make an offer starting from€ 150,000Make an offer starting from150000 €",€ 389389 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,3007 -,Belgian Luxembourg,,1,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,996m²square meters,,,Yes,,No,,,,,,,,725,,,,,,,West,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9911609,9911609,house,house,135000,forsale,6660,xl,installed,,good,fueloil,568,3,796,,,,,,,,,,Belgian Luxembourg,After signing the deed,,,Good,4,,,,,,,Installed,,3,,,,,1,,1,,,,,No,796m²square meters,,Yes,568 kWh/m²kilowatt hour per square meters,G,20180202008377,Not specified,123632 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 135,000Make an offer starting from135000 €",€ 389389 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,3000 -,Belgian Luxembourg,,,,,,,,,,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9660863,9660863,house,house,210000,forsale,6860,xl,semiequipped,,good,fueloil,396,3,1191,,true,,,,,1,,,Belgian Luxembourg,After signing the deed,,,Good,4,1,Countryside,,,,,Semi equipped,,3,,,,,1,,3,,,,,No,1191m²square meters,,Yes,396 kWh/m²kilowatt hour per square meters,E,20210923013208,99 kg CO₂/m²,81517 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 210,000Make an offer starting from210000 €",€ 567567 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,2896 - 2327,Belgian Luxembourg,,,,25 mmeters,,,Yes,,,,"Living area (residential, urban or rural)",,,,,Yes,,,,Yes,,No,,,,,,,,20367,,,,,,Yes,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9798619,9798619,house,house,200000,forsale,6660,xl,installed,1950,good,fueloil,211,4,241,,true,,,,,,,,Belgian Luxembourg,After signing the deed,,1950,Good,2,,,,,,,Installed,,4,,,,,1,,2,,,,,No,241m²square meters,,Yes,211 kWh/m²kilowatt hour per square meters,C,20220302016261,54 kg CO₂/m²,29123 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 200,000Make an offer starting from200000 €",€ 721721 €,No,Place Mc Auliffe 40 6600- Bastogne,http://www.bd-immo.be/fr/,2951 - 2365,Belgian Luxembourg,,,,7 mmeters,,,,,,,"Living area (residential, urban or rural)",,,,,Yes,,,,Yes,,No,,,,,,,,211,,,,,,Yes,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9991023,9991023,house,house,160000,forsale,6790,xl,notinstalled,1938,torenovate,fueloil,627,3,324,,true,215,,,,1,2,,Belgian Luxembourg,After signing the deed,,1938,To renovate,3,1,Isolated,,84m²square meters,12m²square meters,Yes,Not installed,14m²square meters,3,12m²square meters,12m²square meters,16m²square meters,,1,1,1,,,,,No,324m²square meters,,,627 kWh/m²kilowatt hour per square meters,G,20220623004757,156 kg CO₂/m²,69404 kWh/year,Fuel oil,,"€ 160,000160000 €",€ 480480 €,No,Rue de la Forestière 8 6747- Chatillon,http://www.julietimmo.com,4799018,Belgian Luxembourg,,2,,,,,,,,Non flood zone,,,,,,Yes,215m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10077095,10077095,house,house,165000,forsale,6687,xl,installed,1850,good,fueloil,415,1,900,,,,,,,,,,Belgian Luxembourg,After signing the deed,,1850,Good,4,,Countryside,,157m²square meters,,,Installed,,1,,,,,1,1,2,,,,,,900m²square meters,,,415 kWh/m²kilowatt hour per square meters,E,20201017000416,Not specified,65231 kWh/year,Fuel oil,Yes,,€ 548548 €,No,Rue Pierre Thomas 60 6600- BASTOGNE,http://www.notairespirletboinet.be,,Belgian Luxembourg,,,,,,,No,No,No,,Mixed living area (accommodation &amp; economic activities),,,,,,,,,Yes,,,,,,,,,,,"Yes, conform",No,,No,,,,,,Yes,,,Yes,,,,,,Link to online sale,No,fr :Sur rendez-vous via l'étude (061/21.11.22),"€ 165,000165000 €",Pascal LIEGEOIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032530,10032530,house,house,240000,forsale,6730,xl,installed,1875,good,fueloil,315,3,238,true,,,true,true,,,2,,Belgian Luxembourg,After signing the deed,,1875,Good,2,,Countryside,,140m²square meters,37m²square meters,,Installed,8m²square meters,3,18m²square meters,12m²square meters,16m²square meters,,1,1,2,,Yes,,,,238m²square meters,,,315 kWh/m²kilowatt hour per square meters,D,20130423023486,78 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 240,000240000 €",€ 443443 €,No,Rue de la Forestière 8 6747- Chatillon,http://www.julietimmo.com,4851443,Belgian Luxembourg,,2,Yes,,,,,,,,,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
