,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10154577,10154577,housegroup,housegroup,670000-675000,forsale,1970,xl,,,,,115,,,,,,,,,1,1,1,Flemish Brabant,At delivery,Brabant Flamand,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,115 kWh/m²kilowatt hour per square meters,B,Not specified,45 kg CO₂/m²,Not specified,,,,,No,Boulevard de la Woluwe 62 boîte 3 1200- Woluwe-St-Lambert,http://www.latouretpetit.be,4930894,Flemish Brabant,June 30 2024 - 12:00 AM,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165759,10165759,house,villa,1195000,forsale,1933,xl,installed,1969,good,fueloil,452,7,1241,,,,true,,,2,5,,Flemish Brabant,After signing the deed,,1969,Good,4,2,5,,,540m²square meters,72m²square meters,,Installed,33m²square meters,7,35m²square meters,29m²square meters,24m²square meters,23m²square meters,16m²square meters,3,2,,,No,,1241m²square meters,Yes,,,Yes,,452 kWh/m²kilowatt hour per square meters,E,0002671179,Not specified,Not specified,Fuel oil,Yes,"€ 1,195,0001195000 €","€ 4,6404640 €",No,Vismarkt 10 c 3000- Leuven,http://www.immo-time.be,3402 - 2992070,Flemish Brabant,,21 m,,,,33 mmeters,,,35m²square meters,,,,Non flood zone,1,South East,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,
10149158,10149158,house,house,495000,forsale,3070,xl,usahyperequipped,1932,good,gas,321,5,187,true,true,70,true,true,,1,,,Flemish Brabant,After signing the deed,Vlaams-Brabant Oost,1932,Good,3,1,,Urban,,208m²square meters,32m²square meters,Yes,USA hyper equipped,14m²square meters,5,26m²square meters,16m²square meters,16m²square meters,15m²square meters,10m²square meters,3,3,Yes,5m²square meters,No,,187m²square meters,Yes,,No,,No,321 kWh/m²kilowatt hour per square meters,D,20220923-0002681664-RES-1,18 kg CO₂/m²,Not specified,Gas,Yes,"€ 495,000495000 €",€ 882882 €,No,Parklaan 59/1 1930- Zaventem,http://www.century21zaventem.be,4935456,Flemish Brabant,,,3,15m²square meters,Yes,10 mmeters,Connected,70m²square meters,65m²square meters,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,"Living area (residential, urban or rural)",,,No,,,,,32m²square meters,,,,,,,,,,,,,,,,,,,,,,
9935270,9935270,house,villa,570000,forsale,1570,xl,hyperequipped,1989,asnew,fueloil,262,4,1000,true,true,1000,true,true,,2,2,,Flemish Brabant,After signing the deed,,1989,As new,4,2,2,Landscape,,404m²square meters,55m²square meters,Yes,Hyper equipped,16m²square meters,4,12m²square meters,16m²square meters,27m²square meters,,,2,2,Yes,148m²square meters,No,No,1000m²square meters,No,,No,Yes,No,262 kWh/m²kilowatt hour per square meters,C,20180828-0002085595-1,92885 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 570,000570000 €","€ 1,7001700 €",No,,,,Flemish Brabant,,12 m,,,,20 mmeters,Connected,1000m²square meters,52m²square meters,No,No,Yes,Non flood zone,,,,,No,Yes,Yes,,No,No,No,Yes,,,No,No,No,No,No,Yes,No,Yes,Yes,No,All kind,,,,,Yes,,,36m²square meters,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,
10120616,10120616,house,house,600000,forsale,1850,xl,,1963,torenovate,fueloil,700,4,2875,,true,,,,,,,,Flemish Brabant,After signing the deed,,1963,To renovate,4,,,,Link to the virtual visit,228m²square meters,38m²square meters,,,13m²square meters,4,,,,,,1,,,60m²square meters,No,No,2875m²square meters,Yes,,No,No,No,700 kWh/m²kilowatt hour per square meters,F,0002555095-RES-1,Not specified,Not specified,Fuel oil,No,"€ 600,000600000 €","€ 1,7701770 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,13 m,,,,23 mmeters,Connected,,,No,,Yes,Possible flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,"Yes, conform",,700,,,,,,,,,,,,,,,,,,,,,
10149681,10149681,house,house,650000,forsale,1654,xl,installed,1991,good,gas,304,4,1169,,,,true,true,,1,,,Flemish Brabant,After signing the deed,,1991,Good,4,1,,,,180m²square meters,40m²square meters,,Installed,16m²square meters,4,16m²square meters,10m²square meters,10m²square meters,,,1,2,Yes,,No,,1169m²square meters,,Yes,,,,304 kWh/m²kilowatt hour per square meters,D,20220901-0002666668-RES-1,Not specified,Not specified,Gas,Yes,"€ 650,000650000 €","€ 2,2502250 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7785 - 3683,Flemish Brabant,,,,12m²square meters,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140459,10140459,housegroup,housegroup,415000-449000,forsale,1745,xl,,,,,,,,,,,,,,,,1,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Tramlaan 249 1933- Sterrebeek,http://www.kasperkent.be,Project Quintus - 27,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,Yes,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10159480,10159480,house,house,700000,forsale,1650,xl,installed,1990,good,gas,258,5,1102,,,,true,true,,1,,,Flemish Brabant,After signing the deed,,1990,Good,4,1,,,Link to the virtual visit,210m²square meters,30m²square meters,,Installed,14m²square meters,5,17m²square meters,16m²square meters,10m²square meters,10m²square meters,,2,,Yes,,No,,1102m²square meters,,Yes,,,,258 kWh/m²kilowatt hour per square meters,C,20220710-0002638524-RES-1,Not specified,Not specified,Gas,Yes,"€ 700,000700000 €","€ 3,7123712 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7806 - 3648,Flemish Brabant,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161655,10161655,house,house,295000,forsale,1640,xl,semiequipped,,justrenovated,gas,487,2,228,,true,133,true,,,,,,Flemish Brabant,After signing the deed,,,Just renovated,2,,,"Living area (residential, urban or rural)",,110m²square meters,25m²square meters,,Semi equipped,,2,,,,,,,1,,,No,,228m²square meters,Yes,,,,,487 kWh/m²kilowatt hour per square meters,E,20181220-0002116773-1,1000 kg CO₂/m²,Not specified,Gas,Yes,"€ 295,000295000 €",€ 282282 €,No,Hollebeekstraat 163A 1630- Linkebeek,http://www.clavisimmo.be,15022 - Terheyde 120,Flemish Brabant,October 7 2022 - 12:00 AM,6 m,1,,,6 mmeters,,133m²square meters,15m²square meters,,,,Non flood zone,,South West,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068979,10068979,house,house,320000,forsale,1700,xl,semiequipped,1950,good,gas,178,3,95,true,true,30,,,,,,,Flemish Brabant,After signing the deed,Vlaams-Brabant Noorden,1950,Good,2,,,Urban,,123m²square meters,10m²square meters,Yes,Semi equipped,10m²square meters,3,17m²square meters,23m²square meters,22m²square meters,,,2,2,,48m²square meters,No,,95m²square meters,Yes,,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,20220803-0002650012-RES-1,7 kg CO₂/m²,Not specified,Gas,Yes,"€ 320,000320000 €",€ 530530 €,No,Parklaan 59/1 1930- Zaventem,http://www.century21zaventem.be,4854191,Flemish Brabant,,6 m,2,,Yes,6 mmeters,Connected,30m²square meters,,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,,No,70m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
