,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10115687,10115687,house,mixedusebuilding,595000,forsale,1600,xl,hyperequipped,,good,gas,340,2,985,,,,,,,,20,,Flemish Brabant,After signing the deed,,,Good,4,,20,,,280m²square meters,39m²square meters,,Hyper equipped,16m²square meters,2,21m²square meters,11m²square meters,,,,1,2,,,No,Yes,985m²square meters,Yes,,,Yes,,340 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 595,000595000 €",,Yes,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10841 - 23,Flemish Brabant,,,1,,,,,,,,,,Non flood zone,,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9996929,9996929,house,villa,599000,forsale,1650,xl,usahyperequipped,1932,asnew,gas,279,4,500,true,true,100,true,true,,1,5,,Flemish Brabant,To be defined,Brabant-Flamand,1932,As new,4,1,5,Isolated,,,34m²square meters,Yes,USA hyper equipped,12m²square meters,4,15m²square meters,13m²square meters,12m²square meters,,,2,2,Yes,,No,,500m²square meters,Yes,,No,Yes,,279 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Gas,Yes,"€ 599,000599000 €",,No,Avenue des aubépines 32 1180- Uccle,,4813686,Flemish Brabant,October 1 2020 - 12:00 AM,,2,10m²square meters,Yes,,Connected,100m²square meters,25m²square meters,,Yes,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,260m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10094671,10094671,house,house,745000,forsale,1500,xl,hyperequipped,1974,good,fueloil,271,4,3243,true,true,,true,true,,2,5,,Flemish Brabant,After signing the deed,,1974,Good,4,2,5,"Living area (residential, urban or rural)",,245m²square meters,50m²square meters,Yes,Hyper equipped,,4,25m²square meters,19m²square meters,18m²square meters,18m²square meters,,2,,Yes,,No,,3243m²square meters,,Yes,,,,271 kWh/m²kilowatt hour per square meters,C,202111112010720,67 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 745,000745000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Flemish Brabant,,,,20m²square meters,Yes,,,,,,,,,,West,,,,Yes,,Yes,,,Yes,,West,,,,,,,,,,,,,,,"Living area (residential, urban or rural)",Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143971,10143971,house,house,620000,forsale,1730,xl,installed,1985,good,electric,397,5,2019,,true,1500,true,true,,1,4,,Flemish Brabant,After signing the deed,,1985,Good,4,1,4,,,324m²square meters,65m²square meters,Yes,Installed,17m²square meters,5,16m²square meters,12m²square meters,12m²square meters,12m²square meters,,1,2,Yes,,No,Yes,2019m²square meters,Yes,,,Yes,,397 kWh/m²kilowatt hour per square meters,D,2552819,Not specified,Not specified,Electric,Yes,"€ 620,000620000 €","€ 2,6942694 €",No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783639 - 2022/266/M,Flemish Brabant,,12 m,,,,27 mmeters,,1500m²square meters,35m²square meters,,Yes,Yes,Possible flood zone,1,,No,,,Yes,,Yes,,,,,,,,,,,,,,,,,,No,No,Park area,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130963,10130963,house,apartmentblock,745000,forsale,3000,xl,,,good,gas,310,3,60,,,,true,,,,,,Flemish Brabant,After signing the deed,,,Good,2,,,,,120m²square meters,20m²square meters,,,8m²square meters,3,13m²square meters,11m²square meters,,,,3,3,,,No,,60m²square meters,,,,,,310 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 745,000745000 €","€ 1,2211221 €",Yes,Vismarkt 10 c 3000- Leuven,http://www.immo-time.be,3351 - 2992069,Flemish Brabant,,,,,,7.5 mmeters,,,12m²square meters,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9515273,9515273,house,villa,745000,forsale,1850,xl,hyperequipped,1985,good,electric,448,4,1387,,true,,true,,,,,,Flemish Brabant,After signing the deed,,1985,Good,4,,,,Link to the virtual visit,323m²square meters,,,Hyper equipped,,4,,,,,,2,,,,No,No,1387m²square meters,Yes,Yes,No,No,No,448 kWh/m²kilowatt hour per square meters,E,2432594-RES-1,Not specified,Not specified,Electric,Yes,"€ 745,000745000 €","€ 2,9822982 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,,,,,,Connected,,,No,,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,,No,No,,No,No,No,No,Villa,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,448,,,,,,,,,,,,,,,,,,,,,
10130962,10130962,house,house,745000,forsale,3000,xl,,,good,gas,310,3,60,,,,true,,,,,,Flemish Brabant,After signing the deed,,,Good,2,,,,,120m²square meters,20m²square meters,,,8m²square meters,3,13m²square meters,11m²square meters,,,,3,3,,,No,,60m²square meters,,,,,,310 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 745,000745000 €","€ 1,2211221 €",No,Vismarkt 10 c 3000- Leuven,http://www.immo-time.be,3350 - 2992069,Flemish Brabant,,,,,,7.5 mmeters,,,12m²square meters,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135414,10135414,house,house,750000,forsale,1650,xl,installed,1971,tobedoneup,fueloil,362,3,1955,,true,,true,,,2,2,,Flemish Brabant,After signing the deed,,1971,To be done up,4,2,2,Countryside,Link to the virtual visit,245m²square meters,34m²square meters,Yes,Installed,16m²square meters,3,13m²square meters,9m²square meters,9m²square meters,,,2,,,18m²square meters,No,,1955m²square meters,Yes,Yes,,,,362 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 750,000750000 €","€ 2,9592959 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7748 - 3495,Flemish Brabant,,,,,,,,,,,,,Non flood zone,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10002091,10002091,house,house,315000,forsale,3272,xl,,1949,tobedoneup,fueloil,529,4,905,,true,,,,,,,,Flemish Brabant,,,1949,To be done up,4,,,,,220m²square meters,35m²square meters,,,30m²square meters,4,,,,,,2,,,22m²square meters,No,No,905m²square meters,Yes,,,,,529 kWh/m²kilowatt hour per square meters,F,20220121-0002530271-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 315,000315000 €",€ 664664 €,No,Tervuursevest 356 3000- Leuven,http://www.era.be\vandendries,,Flemish Brabant,,6 m,,,,12 mmeters,Connected,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,,No,,,,No,,529,,,,,,,,,,,,,,,,,,,,,
9849506,9849506,house,house,895000,forsale,3010,xl,,1950,good,gas,177,2,956,,true,,,true,,,,,Flemish Brabant,,,1950,Good,3,,,,,282m²square meters,33m²square meters,Yes,,17m²square meters,2,,,,,,2,,Yes,84m²square meters,No,No,956m²square meters,Yes,,,,,177 kWh/m²kilowatt hour per square meters,B,20210819-0002453669-RES-1,Not specified,Not specified,Gas,Yes,"€ 895,000895000 €","€ 1,0801080 €",No,Tervuursevest 356 3000- Leuven,http://www.era.be\vandendries,,Flemish Brabant,,11 m,,11m²square meters,,15 mmeters,Not connected,,,,,,Non flood zone,,,,,,,Yes,,,,,,,,,,,,,,No,No,Yes,No,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,177,,,,,,,,,,,,,,,,,,,,,
10119112,10119112,house,house,750000,forsale,1653,xl,installed,1971,tobedoneup,fueloil,362,3,1955,,true,,true,,,2,2,,Flemish Brabant,After signing the deed,,1971,To be done up,4,2,2,Countryside,Link to the virtual visit,245m²square meters,34m²square meters,Yes,Installed,16m²square meters,3,13m²square meters,9m²square meters,9m²square meters,,,2,,,18m²square meters,No,,1955m²square meters,Yes,Yes,,,,362 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 750,000750000 €","€ 2,9592959 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7707 - 3495,Flemish Brabant,,,,,,,,,,,,,Non flood zone,1,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9743139,9743139,house,house,364900,forsale,3130,xl,,1949,good,gas,287,2,792,,true,,,true,,,,,Flemish Brabant,After signing the deed,,1949,Good,4,,,,,200m²square meters,,,,31m²square meters,2,,,,,,1,,Yes,17m²square meters,No,No,792m²square meters,Yes,,,,,287 kWh/m²kilowatt hour per square meters,C,20220121-0002530196-RES-1,Not specified,Not specified,Gas,Yes,"€ 364,900364900 €",€ 890890 €,No,Tervuursevest 356 3000- Leuven,http://www.era.be\vandendries,,Flemish Brabant,,16 m,,12m²square meters,,,Connected,,,,,,Non flood zone,,,,,,,Yes,,,,,,,,,,,,,,No,No,Yes,No,,No,No,"Living area (residential, urban or rural)",,,No,,,,No,,287,,,,,,,,,,,,,,,,,,,,,
10130893,10130893,house,villa,1200000,forsale,1950,xl,installed,1997,asnew,gas,319,4,1546,,true,1200,true,true,,1,1,,Flemish Brabant,After signing the deed,Est de Bruxelles + VL,1997,As new,4,1,1,Countryside,,280m²square meters,50m²square meters,Yes,Installed,17m²square meters,4,26m²square meters,18m²square meters,18m²square meters,14m²square meters,,2,3,Yes,,No,,1546m²square meters,,Yes,No,Yes,No,319 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 1,200,0001200000 €",,No,"Val des Seigneurs, 9a 1150- Woluwe-St-Pierre",http://www.sorimo.be,4957480,Flemish Brabant,October 31 2022 - 12:00 AM,,,15m²square meters,,,,1200m²square meters,,No,Yes,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,331m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10167081,10167081,house,house,475000,forsale,3010,xl,installed,,good,gas,292,4,260,true,true,,true,,,,,,Flemish Brabant,To be defined,,,Good,,,,,,190m²square meters,,,Installed,,4,,,,,,,2,,,No,,260m²square meters,Yes,Yes,,,,292 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Gas,Yes,"€ 475,000475000 €","€ 1,1081108 €",No,Hoogstraat 2 bus 1 3360- Bierbeek,,,Flemish Brabant,,,,,Yes,,Connected,,,,,,Non flood zone,,South West,No,,No,,,Yes,,,,,South West,,,,,,,,No,,,,,No,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142308,10142308,house,house,399000,forsale,1780,xl,installed,2004,good,gas,163,4,0,,,,true,,,,,,Flemish Brabant,After signing the deed,,2004,Good,2,,,,,156m²square meters,,,Installed,,4,,,,,,1,3,,,No,,,Yes,,,,,163 kWh/m²kilowatt hour per square meters,B,20170926-0001996747-1,Not specified,Not specified,Gas,Yes,"€ 399,000399000 €","€ 1,4261426 €",No,Amsterdamstraat 15 bus202 2000- Antwerpen,,498 - 1477,Flemish Brabant,,5 m,1,,,,,,28m²square meters,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147485,10147485,house,house,299000,forsale,1601,xl,semiequipped,1930,tobedoneup,gas,399,3,0,,true,,,,,,1,,Flemish Brabant,After signing the deed,,1930,To be done up,2,,1,,,120m²square meters,30m²square meters,,Semi equipped,16m²square meters,3,18m²square meters,16m²square meters,10m²square meters,,,1,1,,,No,,,,,,,,399 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 299,000299000 €",€ 701701 €,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7781 - 3621,Flemish Brabant,,,,,,,,,,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138527,10138527,house,mixedusebuilding,595000,forsale,1850,xl,semiequipped,1965,torenovate,fueloil,459,4,1205,,true,400,,,,3,6,,Flemish Brabant,,,1965,To renovate,3,3,6,,,270m²square meters,23m²square meters,,Semi equipped,15m²square meters,4,13m²square meters,13m²square meters,12m²square meters,,,2,4,,39m²square meters,No,,1205m²square meters,Yes,,,,,459 kWh/m²kilowatt hour per square meters,E,20220909-0002671347-RES-1,Not specified,Not specified,Fuel oil,,"€ 595,000595000 €","€ 2,4662466 €",Yes,James Ensorlaan 39 1800- Vilvoorde,http://www.ringconsult.be,1980229 - 1579,Flemish Brabant,,7 m,,,,10 mmeters,,400m²square meters,,,,,Possible flood zone,,North West,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,Farming area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145100,10145100,house,house,449000,forsale,1760,xl,semiequipped,1975,tobedoneup,electric,562,5,650,,true,500,true,true,,1,,,Flemish Brabant,,,1975,To be done up,,1,,,,234m²square meters,65m²square meters,,Semi equipped,8m²square meters,5,10m²square meters,11m²square meters,9m²square meters,9m²square meters,11m²square meters,2,2,Yes,26m²square meters,,,650m²square meters,No,,,,,562 kWh/m²kilowatt hour per square meters,F,20220708-0002637776-RES-1,Not specified,Not specified,Electric,Yes,"€ 449,000449000 €",,No,Tramlaan 249 1933- Sterrebeek,http://www.kasperkent.be,813 - KalvariebergC,Flemish Brabant,,11 m,,8m²square meters,,34 mmeters,Not connected,500m²square meters,28m²square meters,,,,Non flood zone,,South West,,,No,,,,No,No,No,No,,,,,,,,,,,,,All kind,No,,"Living area (residential, urban or rural)",,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10149537,10149537,house,villa,483000,forsale,1840,xl,installed,1977,good,gas,295,3,0,,,286,true,,,2,2,,Flemish Brabant,After signing the deed,,1977,Good,4,2,2,,,126m²square meters,30m²square meters,,Installed,12m²square meters,3,11m²square meters,9m²square meters,7m²square meters,3m²square meters,1m²square meter,1,2,,,No,,,,,,,,295 kWh/m²kilowatt hour per square meters,C,0002684041-RES-1,Not specified,Not specified,Gas,,"€ 483,000483000 €","€ 1,2161216 €",No,Oude Schrieksebaan 20 2820- Bonheiden,,1706770 - 345346183,Flemish Brabant,,10 m,,,,18 mmeters,,286m²square meters,29m²square meters,,,,Non flood zone,,South West,No,,,,,,,,,,,,,,,,,,,,,,,No,No,Extended residential area,,Yes,Yes,,,,No,,,,,,,,,,,,,,,,,,,,,,,
10149404,10149404,house,house,1595000,forsale,1950,xl,hyperequipped,1987,asnew,gas,174,4,1000,,true,,true,,,1,3,,Flemish Brabant,After signing the deed,,1987,As new,,1,3,,,260m²square meters,,Yes,Hyper equipped,15m²square meters,4,23m²square meters,18m²square meters,17m²square meters,14m²square meters,,3,3,,30m²square meters,No,,1000m²square meters,Yes,,,Yes,,174 kWh/m²kilowatt hour per square meters,B,202220614-000622209-RES-1,Not specified,Not specified,Gas,Yes,"€ 1,595,0001595000 €","€ 3,9413941 €",No,Boulevard Saint-Michel 15 1040- Etterbeek,http://www.lesviviers.be/,9810 - 354995,Flemish Brabant,,,,,,,,,60m²square meters,,Yes,,,10,South West,No,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161361,10161361,house,house,595000,forsale,1860,xl,hyperequipped,2004,good,gas,300,4,807,,,652,true,,,1,4,,Flemish Brabant,After signing the deed,Brabant Flamand,2004,Good,4,1,4,Isolated,,235m²square meters,41m²square meters,,Hyper equipped,13m²square meters,4,18m²square meters,23m²square meters,18m²square meters,17m²square meters,,1,2,,,No,,807m²square meters,Yes,,,,,300 kWh/m²kilowatt hour per square meters,C,2531815,Not specified,Not specified,Gas,Yes,"€ 595,000595000 €","€ 3,1803180 €",No,Nieuwelaan 58 1860- Meise,http://www.weinvest.be,4963392,Flemish Brabant,,15 m,2,,,23 mmeters,Connected,652m²square meters,4m²square meters,,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,155m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
9656630,9656630,housegroup,housegroup,635000-645000,forsale,1780,xl,,,,,,,,,,,,,,,,1,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1782422 -,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151018,10151018,house,house,549000,forsale,1831,xl,installed,,justrenovated,gas,169,3,303,,true,,true,,,,3,,Flemish Brabant,After signing the deed,,,Just renovated,3,,3,,,193m²square meters,,,Installed,,3,,,,,,2,2,,,No,,303m²square meters,Yes,Yes,,,,169 kWh/m²kilowatt hour per square meters,B,20220214-0002546116-RES-1,Not specified,Not specified,Gas,Yes,"€ 549,000549000 €",€ 966966 €,No,Amsterdamstraat 15 bus202 2000- Antwerpen,,499 - 1478,Flemish Brabant,,10 m,,,,,,,,,,,Non flood zone,1,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160155,10160155,house,house,345000,forsale,1790,xl,hyperequipped,1968,good,gas,763,5,705,true,,500,true,,,,2,,Flemish Brabant,After signing the deed,,1968,Good,3,,2,Urban,,200m²square meters,41m²square meters,,Hyper equipped,20m²square meters,5,16m²square meters,12m²square meters,11m²square meters,8m²square meters,13m²square meters,1,2,,,No,,705m²square meters,Yes,,,,,763 kWh/m²kilowatt hour per square meters,F,2690331,Not specified,Not specified,Gas,,"€ 345,000345000 €",€ 880880 €,No,Brusselbaan 110 1790- Affligem,http://www.immoaccenta.be,4970517,Flemish Brabant,,7.5 m,,,,10.3 mmeters,Not connected,500m²square meters,40m²square meters,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,Yes,No,135m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10100918,10100918,house,house,279000,forsale,1745,xl,semiequipped,1932,tobedoneup,gas,787,2,270,,true,110,true,,,1,3,,Flemish Brabant,After signing the deed,,1932,To be done up,3,1,3,,,150m²square meters,46m²square meters,,Semi equipped,12m²square meters,2,,,,,,1,1,,,No,,270m²square meters,Yes,,,,,787 kWh/m²kilowatt hour per square meters,F,Certificaat-20220623-0002628415-RES-1,Not specified,Not specified,Gas,,"€ 279,000279000 €",€ 490490 €,No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783519 - 2022/239/M,Flemish Brabant,,6 m,,,,8.25 mmeters,,110m²square meters,10m²square meters,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,,Mixed living area (accommodation &amp; economic activities),,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10135266,10135266,house,house,295000,forsale,3200,xl,semiequipped,1955,torenovate,fueloil,575,3,485,,true,,,,,1,,,Flemish Brabant,,,1955,To renovate,4,1,,,,180m²square meters,,,Semi equipped,,3,,,,,,1,2,,,No,,485m²square meters,,,,,,575 kWh/m²kilowatt hour per square meters,F,20220128-0002535390-RES-1,Not specified,Not specified,Fuel oil,,"€ 295,000295000 €",€ 741741 €,No,Mechelsesteenweg 382 3020- Herent,http://www.immolivit.be,1995657 - 2500,Flemish Brabant,,,1,,,,,,,,,,Non flood zone,,South,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",Yes,Yes,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,
10160295,10160295,house,bungalow,435000,forsale,3060,xl,semiequipped,1976,torenovate,gas,482,3,648,true,,468,true,true,,2,2,,Flemish Brabant,Depending on the tenant,Regio Leuven,1976,To renovate,4,2,2,Urban,,180m²square meters,40m²square meters,,Semi equipped,10m²square meters,3,16m²square meters,19m²square meters,9m²square meters,,,1,1,Yes,,No,,648m²square meters,Yes,Yes,No,,No,482 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,Gas,Yes,"€ 435,000435000 €","€ 1,8591859 €",No,Dirk Boutslaan 4 3000- Leuven,http://www.immogve.be,4966796,Flemish Brabant,,11 m,,,Yes,17 mmeters,Connected,468m²square meters,,Yes,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,Yes,Yes,200m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10062388,10062388,house,house,269000,forsale,1800,xl,installed,1930,good,gas,368,3,56,,true,,true,true,,,,,Flemish Brabant,After signing the deed,,1930,Good,2,,,,,125m²square meters,21m²square meters,,Installed,9m²square meters,3,12m²square meters,10m²square meters,7m²square meters,,,1,2,Yes,28m²square meters,No,,56m²square meters,Yes,,,,,368 kWh/m²kilowatt hour per square meters,D,Certificaat-20220808-0002652144-RES-1,Not specified,Not specified,Gas,Yes,"€ 269,000269000 €",€ 680680 €,No,James Ensorlaan 39 1800- Vilvoorde,http://www.ringconsult.be,1980198 - 1566,Flemish Brabant,,4 m,,12m²square meters,,4 mmeters,,,15m²square meters,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10017435,10017435,house,house,279000,forsale,1750,xl,notinstalled,1930,torenovate,,996,3,960,,true,,,,,1,,,Flemish Brabant,,,1930,To renovate,2,1,,,,180m²square meters,40m²square meters,,Not installed,,3,,,,,,1,1,,,No,,960m²square meters,,,,,,996 kWh/m²kilowatt hour per square meters,F,20211217-0002512026-RES-1,Not specified,Not specified,,,"€ 279,000279000 €",€ 450450 €,No,Postweg 119 1602- Vlezenbeek,,1738 - 6826849,Flemish Brabant,,,,,,,,,,,,,,,South,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10111360,10111360,house,house,299000,forsale,1800,xl,hyperequipped,1930,good,gas,192,3,142,,true,,true,,,,,,Flemish Brabant,After signing the deed,,1930,Good,2,,,,,140m²square meters,,,Hyper equipped,,3,,,,,,1,1,,,No,,142m²square meters,Yes,Yes,,,,192 kWh/m²kilowatt hour per square meters,B,20220909-0002670827-RES-1,Not specified,Not specified,Gas,Yes,"€ 299,000299000 €",€ 947947 €,No,Amsterdamstraat 15 bus202 2000- Antwerpen,,483 - 1474,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9990228,9990228,house,house,360000,forsale,1830,xl,installed,1932,good,gas,346,3,185,,true,49,true,,,,,,Flemish Brabant,After signing the deed,,1932,Good,3,,,,,165m²square meters,28m²square meters,Yes,Installed,18m²square meters,3,16m²square meters,14m²square meters,12m²square meters,,,1,2,,15m²square meters,No,,185m²square meters,Yes,,,,,346 kWh/m²kilowatt hour per square meters,D,Certificaat-20210728-0002445998-RES-1.pdf,Not specified,Not specified,Gas,Yes,"€ 360,000360000 €",€ 843843 €,No,James Ensorlaan 39 1800- Vilvoorde,http://www.ringconsult.be,1979778 - 1341,Flemish Brabant,,5 m,1,,,7 mmeters,,49m²square meters,45m²square meters,,,,Non flood zone,,South West,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,"Living area (residential, urban or rural)",,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919938,9919938,house,house,369000,forsale,1755,xl,installed,,justrenovated,gas,135,4,231,,true,,true,,,,,,Flemish Brabant,After signing the deed,,,Just renovated,4,,,,,190m²square meters,,Yes,Installed,17m²square meters,4,15m²square meters,13m²square meters,12m²square meters,8m²square meters,,2,3,,,No,,231m²square meters,,Yes,,,,135 kWh/m²kilowatt hour per square meters,B,20220415-0002187515-RES-2,Not specified,Not specified,Gas,Yes,"€ 369,000369000 €",€ 516516 €,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7296 - 3470,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,No,,"Living area (residential, urban or rural)",,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109542,10109542,house,house,410000,forsale,1785,xl,semiequipped,1960,torestore,fueloil,558,4,1278,,true,891,true,,,3,,,Flemish Brabant,After signing the deed,,1960,To restore,2,3,,,,220m²square meters,45m²square meters,,Semi equipped,,4,,,,,,1,2,,,No,,1278m²square meters,Yes,,,,,558 kWh/m²kilowatt hour per square meters,F,Certificaat-20220829-0002663675-RES-1,Not specified,Not specified,Fuel oil,,"€ 410,000410000 €",€ 923923 €,No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783462 - 2022/304/S,Flemish Brabant,,10 m,,,,10 mmeters,,891m²square meters,90m²square meters,,,,Non flood zone,1,,No,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,Mixed living area (accommodation &amp; economic activities),,Yes,No,,,,"Yes, not conform",,,,,,,,,,,,,,,,,,,,,,,
