,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10060997,10060997,house,villa,945000,forsale,1330,xl,usahyperequipped,2004,asnew,gas,137,3,1110,,,500,true,,true,,2,,Waloon Brabant
10111090,10111090,house,exceptionalproperty,2475000,forsale,1380,xl,usahyperequipped,2007,asnew,fueloil,166,6,12901,,true,10000,true,true,true,2,8,,Waloon Brabant
10041195,10041195,house,exceptionalproperty,1350000,forsale,1332,xl,installed,1900,asnew,fueloil,430,4,1153,,true,1154,true,,,4,4,,Waloon Brabant
9865170,9865170,house,exceptionalproperty,1795000,forsale,1301,xl,installed,1995,tobedoneup,fueloil,178,8,28800,true,true,28000,true,true,true,3,8,,Waloon Brabant
10140917,10140917,house,house,175000,forsale,1470,xl,notinstalled,1875,tobedoneup,gas,282,2,260,true,true,,true,,,,,,Waloon Brabant
9952160,9952160,house,villa,690000,forsale,1420,xl,hyperequipped,1993,good,gas,360,6,945,true,true,945,true,true,,1,1,,Waloon Brabant
10079137,10079137,house,house,485000,forsale,1410,xl,installed,1972,good,gas,270,4,268,true,true,164,true,,,1,2,,Waloon Brabant
10146060,10146060,house,house,310000,forsale,1450,xl,semiequipped,1930,torenovate,fueloil,430,3,752,,,450,true,,,,,,Waloon Brabant
10154646,10154646,house,house,225000,forsale,1367,xl,notinstalled,1900,torenovate,fueloil,497,5,1332,true,true,1332,true,true,,,2,,Waloon Brabant
10011076,10011076,house,house,545000,forsale,1470,xl,hyperequipped,1991,good,,211,3,2338,true,,2000,true,true,true,1,3,,Waloon Brabant
9758390,9758390,house,house,535000,forsale,1300,xl,usahyperequipped,2000,asnew,,295,3,1187,true,,11,true,true,,1,4,,Waloon Brabant
10145131,10145131,house,house,349000,forsale,1404,xl,usahyperequipped,1960,justrenovated,fueloil,307,3,407,,true,250,true,,,1,2,,Waloon Brabant
9936298,9936298,house,villa,675000,forsale,1390,xl,installed,1979,asnew,,165,5,1485,,true,900,true,true,,,1,,Waloon Brabant
10145935,10145935,house,villa,935000,forsale,1380,xl,usahyperequipped,2012,asnew,gas,83,6,1641,true,true,1546,true,,,,4,,Waloon Brabant
9952288,9952288,house,house,349000,forsale,1341,xl,,1970,torenovate,fueloil,477,3,720,,true,,true,true,,1,2,,Waloon Brabant
10147798,10147798,house,villa,1795000,forsale,1440,xl,hyperequipped,2006,tobedoneup,fueloil,190,4,4202,,true,,true,true,,2,5,,Waloon Brabant
10164150,10164150,house,villa,575000,forsale,1421,xl,hyperequipped,1993,asnew,gas,261,4,704,,true,180,true,,,1,1,,Waloon Brabant
10146649,10146649,house,house,795000,forsale,1390,xl,installed,2011,good,,201,4,47,,true,,true,true,,,4,,Waloon Brabant
9789688,9789688,house,house,549000,forsale,1428,xl,semiequipped,1967,good,gas,193,6,555,true,,380,true,,true,,,,Waloon Brabant
9792725,9792725,house,house,549000,forsale,1420,xl,semiequipped,1967,good,gas,193,6,555,true,,380,true,,true,,,,Waloon Brabant
10139737,10139737,house,townhouse,493000,forsale,1400,xl,hyperequipped,2005,good,gas,131,3,331,,true,25,true,true,,2,4,,Waloon Brabant
9973755,9973755,house,villa,550000,forsale,1300,xl,usahyperequipped,2024,asnew,,95,3,1226,,,600,true,true,,1,2,1,Waloon Brabant
9386122,9386122,house,house,300000,forsale,1400,xl,hyperequipped,1968,tobedoneup,fueloil,652,3,794,,true,600,true,true,,1,,,Waloon Brabant
9964122,9964122,house,mixedusebuilding,249000,forsale,1480,xl,semiequipped,1950,good,gas,467,2,316,,,,,true,,,,,Waloon Brabant
10041197,10041197,house,house,570000,forsale,1330,xl,installed,1900,torenovate,gas,642,5,1398,,,1060,true,,,,,,Waloon Brabant
9922694,9922694,house,house,310000,forsale,1390,xl,installed,1964,tobedoneup,fueloil,642,2,770,true,true,,true,,,1,3,,Waloon Brabant
10058567,10058567,house,house,175000,forsale,1495,xl,usainstalled,1850,good,electric,262,2,74,,,,true,,,,,,Waloon Brabant
10139735,10139735,house,house,493000,forsale,1400,xl,hyperequipped,2005,good,gas,131,3,331,,true,25,true,true,,2,4,,Waloon Brabant
9819712,9819712,house,house,320000,forsale,1457,xl,installed,,good,gas,376,2,622,true,true,,true,true,,1,3,,Waloon Brabant
9943761,9943761,house,house,345000,forsale,1390,xl,semiequipped,,good,fueloil,453,3,559,,true,,true,,,1,1,,Waloon Brabant
10072852,10072852,house,house,365000,forsale,1490,xl,installed,2015,good,,72,4,249,,true,,true,,,,2,,Waloon Brabant
9930196,9930196,house,villa,315000,forsale,1490,xl,installed,1977,good,wood,393,2,1100,,true,,true,,,1,3,,Waloon Brabant
10113692,10113692,house,house,375000,forsale,1400,xl,usainstalled,1900,asnew,gas,178,4,91,true,true,,true,,,,,,Waloon Brabant
10132767,10132767,house,house,375000,forsale,1341,xl,installed,1978,tobedoneup,gas,338,3,681,true,true,619,true,true,,2,3,,Waloon Brabant
10050912,10050912,house,house,460000,forsale,1435,xl,installed,2019,,gas,23,3,397,,,215,true,,,,2,,Waloon Brabant
10106585,10106585,house,villa,550000,forsale,1420,xl,usahyperequipped,1988,asnew,electric,406,3,906,true,,400,true,,,1,2,,Waloon Brabant
10164305,10164305,house,villa,745000,forsale,1410,xl,installed,1975,good,fueloil,268,4,1350,,,1350,true,,,2,,,Waloon Brabant
