,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
9941558,,,1773,To renovate,,,Countryside,,505m²square meters,,,,,2,,,,,,,,,No,,,No,,Not connected,No,Not specified,A++,Not specified,Not specified,Not specified,,Yes,"€ 25,00025000 €",,No,Rue Dr Hustin 32 6760- Ethe,http://www.homesweetgaume.be,jametz2,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,320m²square meters,,,,,No,,,,,No,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10113430,,,1920,,4,,,,220m²square meters,25m²square meters,Yes,,16m²square meters,5,9m²square meters,18m²square meters,6m²square meters,13m²square meters,3,2,,,,,,,2100m²square meters,,,Not specified,Not specified,Not specified,Not specified,Not specified,Fuel oil,Yes,"€ 320,000320000 €",€ 679679 €,,Chaussée de Liège 583 5100- Jambes,http://www.remax.be,,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,8m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10139010,,,1992,,4,,,,,,,Installed,,7,,,,,,,,,,,,,801m²square meters,Connected,,Not specified,Not specified,Not specified,Not specified,Not specified,Electric,Yes,"€ 900,000900000 €","€ 3,6753675 €",Yes,Chaussee de Marche 488 5101- Erpent,http://www.color-immo.be,,Belgian Luxembourg,,,,,,,,No,No,,"Living area (residential, urban or rural)",,,Yes,No,,,,Yes,,,,,,,,,,,,,,,,No,,,,,,,,Yes,,,,,,,,,,,,,,,,,,5032,,,,,,,,,,,,,,,,,,,,,
10080999,,,1900,Just renovated,4,1,"Living area (residential, urban or rural)",,250m²square meters,,,Installed,10m²square meters,7,10m²square meters,19m²square meters,19m²square meters,10m²square meters,1,2,5,,No,,,Yes,2400m²square meters,Connected,Yes,Not specified,G,640,Not specified,Not specified,Fuel oil,No,"€ 475,000475000 €","€ 1,0501050 €",No,,,,Belgian Luxembourg,40 m,1,Yes,,,,Yes,Yes,No,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,500m²square meters,1m²square meter,,Yes,10m²square meters,,,No,No,No,No,No,No,,"Yes, conform",No,No,No,No,,South West,No,Yes,Yes,No,Yes,No,,,,,Yes,,,,,,No,No,No,Yes,Villa,,3,,,,,,,,,,,,,,,,,,,,,,
10133006,,,1930,Good,4,,,,503m²square meters,60m²square meters,,Hyper equipped,,6,,,,,2,,3,,,,,No,1326m²square meters,,,282 kWh/m²kilowatt hour per square meters,D,20200512012920,48 kg CO₂/m²,44180 kWh/year,Pellet,Yes,"€ 599,000599000 €",€ 970970 €,No,Route de Herbesthal 89 4700- Eupen,http://www.immovanhoudt.be,7350 - 111113987,Belgian Luxembourg,13 m,3,,,,,,,,,,,,,,Yes,603m²square meters,150m²square meters,,,,No,,,,,,,,,,,,,,,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10070757,,,1981,Good,2,2,Fitted out,,197m²square meters,39m²square meters,,Installed,19m²square meters,4,16m²square meters,15m²square meters,15m²square meters,14m²square meters,2,,2,,,,,No,405m²square meters,,Yes,217 kWh/m²kilowatt hour per square meters,C,20220807005744,217 kg CO₂/m²,42677 kWh/year,Gas,Yes,,"€ 1,3261326 €",No,Route de Neufchateau 208 6700- Arlon,http://www.treviluxembourg.be,280 - 111113890,Belgian Luxembourg,,,,8.2 mmeters,,,,,,,,,,,,Yes,,25m²square meters,,,,No,,,,,,,,,,,,,,Yes,North,,,,,,,,,,1,,,,,,,,,,,,,,,,"€ 500,000500000€","€ 25,00025000€","€ 1,4401440€",Yes,Yes,Yes,2,"77, 75",,,,,,,,,,,,
10024041,,,1900,To renovate,,,,,180m²square meters,,,,,3,,,,,1,1,1,,,,,No,1824m²square meters,,,412 kWh/m²kilowatt hour per square meters,E,20210817001490,Not specified,Not specified,Fuel oil,Yes,"€ 199,000199000 €",€ 790790 €,No,Rue Lantigné 22 6940- Durbuy,http://www.maisons-chalets-ardennes.be,3413 - 5722244,Belgian Luxembourg,9 m,1,,9 mmeters,Yes,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9714115,,,1900,To renovate,,,,,180m²square meters,,,,,3,,,,,1,1,1,,,,,No,1824m²square meters,,,412 kWh/m²kilowatt hour per square meters,E,20210817001490,Not specified,Not specified,Fuel oil,Yes,"€ 199,000199000 €",€ 790790 €,No,"Place aux Foires, 9 6900- Marche-en-Famenne",,3266 - 5722244,Belgian Luxembourg,9 m,1,,9 mmeters,Yes,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10036714,,,2017,Good,4,,Countryside,,450m²square meters,,,Installed,,6,,,,,1,,2,,,,,No,623m²square meters,,,332 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,,"€ 325,000325000 €",€ 950950 €,No,"Kortrijksesteenweg, 1121 9051- Gent",http://www.soldandset.be,SAS-21216,Belgian Luxembourg,,,,,,,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,150m²square meters,35m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068355,,,1900,To renovate,,,,,140m²square meters,,,,,4,,,,,,1,1,,,,,No,350m²square meters,,Yes,484 kWh/m²kilowatt hour per square meters,F,20220817024606,Not specified,118658 kWh/year,Fuel oil,Yes,"€ 190,000190000 €",€ 582582 €,No,Route d'Arlon 188a 6780- Messancy,http://www.immo3f.be,7786 - V557,Belgian Luxembourg,,,,,,,,,,,,,,,,,160m²square meters,21m²square meters,,,,No,,,,,,,,,,,,,,,South,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
