,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Basement surface,Attic surface,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Outdoor parking spaces,Attic,Width of the lot on the street,Terrace,Total ground floor buildable,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Elevator,Accessible for disabled people,TV cable,Swimming pool,Basement,Garden surface,Terrace surface,Living room,Planning permission obtained,Bedroom 5 surface,As built plan,Available date,Secure access / alarm,Intercom,Professional space,Armored door,Jacuzzi,Sauna,E-level (overall energy performance),Conformity certification for fuel tanks,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Garden,Garden orientation,Dressing room,Laundry room,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Extra information,Professional space surface,How many fireplaces?,Obligation to build,Venue of the sale,Single session,Terms of visit,Starting price,Agent's name,Caretaker,Air conditioning,Visio phone,Internet,Type of building,Isolated,Number of annexes,Current monthly revenue,Property name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Percentage rented,Monthly charges,Architectural style,Construction delay,Energy performance,Is architect included in sale price,Is blower door test included,Kitchen included,Is outskirts arrangements included,Is safety coordinator included in sale price,Is soil investigation included in price,Is stability engineer included
10160268,After signing the deed,Arrondissement Virton,1964,To renovate,4,1,"Living area (residential, urban or rural)",Link to the virtual visit,286m²square meters,35m²square meters,Yes,USA semi equipped,13m²square meters,4,15m²square meters,11m²square meters,18m²square meters,13m²square meters,1,1,2,12m²square meters,Yes,52m²square meters,22m²square meters,No,2215m²square meters,Connected,No,489 kWh/m²kilowatt hour per square meters,F,20220317023856,121 kg CO₂/m²,99471 kWh/year,Fuel oil,Yes,"€ 335,000335000 €",€ 726726 €,No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4968630,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161791,After signing the deed,Zone Centre Province du Luxembourg,1971,Good,3,,Urban,,100m²square meters,20m²square meters,,Installed,11m²square meters,2,10m²square meters,14m²square meters,,,1,,1,,,34m²square meters,,No,220m²square meters,Connected,No,185 kWh/m²kilowatt hour per square meters,C,20220915009356,39 kg CO₂/m²,18713 kWh/year,Gas,Yes,"€ 185,000185000 €",€ 413413 €,No,rue des Corettes 6880- Bertrix,http://honestybastogne.be/,4963570,Belgian Luxembourg,6.14 m,1,Yes,7 mmeters,Yes,52m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10033859,After signing the deed,,1953,To be done up,3,,Urban,Link to the virtual visit,226m²square meters,23m²square meters,,Installed,14m²square meters,4,9m²square meters,14m²square meters,11m²square meters,23m²square meters,1,,3,,Yes,59m²square meters,13m²square meters,,100m²square meters,Connected,No,464 kWh/m²kilowatt hour per square meters,F,20211122010359,1152 kg CO₂/m²,74279 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 185,000Make an offer starting from185000 €","€ 2,1292129 €",Yes,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4808912,Belgian Luxembourg,4 m,,,4.5 mmeters,,98m²square meters,,,,Property partially or completely located in a possible flood zone and located in a circumscribed waterside zone,,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10122283,To be defined,,1918,As new,3,2,Countryside,,330m²square meters,31m²square meters,Yes,USA hyper equipped,32m²square meters,5,48m²square meters,15m²square meters,15m²square meters,15m²square meters,2,2,3,15m²square meters,Yes,,,No,1110m²square meters,Not connected,No,355 kWh/m²kilowatt hour per square meters,E,20210627006901,3115 kg CO₂/m²,159902 kWh/year,Fuel oil,Yes,"€ 550,000550000 €",€ 865865 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4935770,Belgian Luxembourg,24 m,6,Yes,24 mmeters,Yes,250m²square meters,,No,,Property partially or completely located in a circumscribed and recognized flood zone,"Living area (residential, urban or rural)",,,,,Yes,1110m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10121408,After signing the deed,Zone Nord Province du Luxembourg,1940,As new,2,,Urban,,124m²square meters,30m²square meters,,Not installed,20m²square meters,2,24m²square meters,10m²square meters,,,1,1,2,,,20m²square meters,52m²square meters,No,721m²square meters,Connected,No,234 kWh/m²kilowatt hour per square meters,C,20220913014249,24 kg CO₂/m²,36146 kWh/year,Fuel oil,Yes,"€ 175,000175000 €",€ 530530 €,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4906321,Belgian Luxembourg,5.5 m,,,5.5 mmeters,,,No,No,No,Non flood zone,,No,No,Yes,No,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152278,After signing the deed,,1949,To be done up,3,,Isolated,,176m²square meters,,,Semi equipped,14m²square meters,3,11m²square meters,11m²square meters,14m²square meters,,2,1,2,,,,,No,480m²square meters,,No,623 kWh/m²kilowatt hour per square meters,G,20210521003747,93 kg CO₂/m²,109795 kWh/year,Wood,Yes,"€ 145,000145000 €",€ 302302 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4966492,Belgian Luxembourg,17.5 m,,Yes,40.4 mmeters,Yes,190m²square meters,No,No,,,"Living area (residential, urban or rural)",No,,Yes,No,Yes,290m²square meters,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10162473,After signing the deed,,1918,Good,4,1,Urban,Link to the virtual visit,290m²square meters,47m²square meters,,Installed,13m²square meters,5,13m²square meters,18m²square meters,15m²square meters,16m²square meters,1,,3,26m²square meters,Yes,46m²square meters,104m²square meters,,3225m²square meters,Connected,No,345 kWh/m²kilowatt hour per square meters,E,20220221001669,86 kg CO₂/m²,118184 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 499,000Make an offer starting from499000 €","€ 1,3981398 €",No,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4695345,Belgian Luxembourg,17 m,3,,43 mmeters,,158m²square meters,No,No,No,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,3067m²square meters,55m²square meters,,,13m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10067823,To be defined,,1850,Good,3,1,Isolated,,196m²square meters,26m²square meters,Yes,Installed,18m²square meters,5,17m²square meters,13m²square meters,15m²square meters,12m²square meters,1,1,2,,,,72m²square meters,No,899m²square meters,Not connected,No,688 kWh/m²kilowatt hour per square meters,G,20160822019789,171 kg CO₂/m²,134445 kWh/year,Fuel oil,Yes,"Make an offer starting from€ 215,000Make an offer starting from215000 €",€ 672672 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4809199,Belgian Luxembourg,13 m,3,,19 mmeters,,194m²square meters,No,No,,Recognized flood zone,"Living area (residential, urban or rural)",No,,Yes,No,,705m²square meters,25m²square meters,,Yes,19m²square meters,,December 1 2022 - 12:00 AM,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158640,After signing the deed,,1976,Good,4,1,Countryside,,153m²square meters,32m²square meters,,Semi equipped,7m²square meters,3,11m²square meters,17m²square meters,21m²square meters,,1,1,1,17m²square meters,Yes,,,No,3418m²square meters,,No,247 kWh/m²kilowatt hour per square meters,C,20220512002038,10 kg CO₂/m²,37859 kWh/year,Pellet,,"€ 269,000269000 €",€ 610610 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4968667,Belgian Luxembourg,14 m,7,,49.5 mmeters,,99m²square meters,Yes,No,,Non flood zone,"Living area (residential, urban or rural)",No,,Yes,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087889,Depending on the tenant,Zone Centre Province du Luxembourg,1998,To renovate,3,2,"Living area (residential, urban or rural)",,60m²square meters,15m²square meters,,Not installed,8m²square meters,1,11m²square meters,,,,1,,1,,,,20m²square meters,No,158m²square meters,Connected,No,470 kWh/m²kilowatt hour per square meters,F,20220420022685,116 kg CO₂/m²,24684 kWh/year,Fuel oil,Yes,"€ 149,000149000 €",€ 726726 €,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4894804,Belgian Luxembourg,7.5 m,1,,11 mmeters,,58m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,60m²square meters,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158270,After signing the deed,Arrondissement Arlon,1966,Good,4,1,Urban,,178m²square meters,25m²square meters,Yes,Installed,14m²square meters,3,15m²square meters,12m²square meters,11m²square meters,,1,,3,17m²square meters,Yes,,,No,865m²square meters,Connected,No,461 kWh/m²kilowatt hour per square meters,F,20220203007848,114 kg CO₂/m²,82148 kWh/year,Fuel oil,Yes,"€ 450,000450000 €","€ 1,1171117 €",No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4969959,Belgian Luxembourg,14 m,3,Yes,20.46 mmeters,,107m²square meters,,,,Non flood zone,,No,No,Yes,No,Yes,758m²square meters,1m²square meter,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10015238,At delivery,Zone Centre Province du Luxembourg,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4797613,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10109987,After signing the deed,Zone Centre Province du Luxembourg,1963,Good,4,1,Urban,,140m²square meters,22m²square meters,Yes,Not installed,10m²square meters,5,13m²square meters,14m²square meters,10m²square meters,8m²square meters,1,,1,,,52m²square meters,51m²square meters,No,1152m²square meters,Connected,No,403 kWh/m²kilowatt hour per square meters,E,20220901005851,100 kg CO₂/m²,91000 kWh/year,Fuel oil,Yes,"€ 319,000319000 €","€ 1,1721172 €",No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4841290,Belgian Luxembourg,14.5 m,1,,45 mmeters,,165m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,1000m²square meters,30m²square meters,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153406,After signing the deed,,1955,To renovate,4,1,"Living area (residential, urban or rural)",Link to the virtual visit,225m²square meters,24m²square meters,Yes,Not installed,14m²square meters,4,20m²square meters,17m²square meters,17m²square meters,14m²square meters,1,1,1,,,,,No,1180m²square meters,Connected,No,850 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,,,"Make an offer starting from€ 265,000Make an offer starting from265000 €","€ 1,0531053 €",No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4958945,Belgian Luxembourg,20 m,2,Yes,47 mmeters,,190m²square meters,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,1180m²square meters,10m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9659836,After signing the deed,Zone Nord Province du Luxembourg,2010,As new,2,,Urban,Link to the virtual visit,680m²square meters,18m²square meters,,Installed,18m²square meters,17,18m²square meters,18m²square meters,,,8,1,1,,,,,No,1500m²square meters,,No,317 kWh/m²kilowatt hour per square meters,D,20210827006776,90 kg CO₂/m²,21338 kWh/year,Electric,Yes,"€ 1,250,0001250000 €","€ 2,4552455 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4600466,Belgian Luxembourg,40 m,16,,20 mmeters,,,,No,No,,"Living area (residential, urban or rural)",,,,,,,165m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10130500,After signing the deed,Zone Nord Province du Luxembourg,1900,To renovate,3,,Countryside,,300m²square meters,48m²square meters,Yes,Not installed,24m²square meters,3,15m²square meters,14m²square meters,9m²square meters,,1,1,1,,,,47m²square meters,No,780m²square meters,Not connected,No,1165 kWh/m²kilowatt hour per square meters,G,20220905024,286 kg CO₂/m²,66588 kWh/year,Fuel oil,,"€ 225,000225000 €",,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4956573,Belgian Luxembourg,9 m,2,,,,,No,No,No,Non flood zone,,No,No,Yes,No,Yes,700m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10123941,After signing the deed,Zone Nord Province du Luxembourg,1900,To renovate,3,,Countryside,,300m²square meters,48m²square meters,Yes,Not installed,24m²square meters,3,15m²square meters,14m²square meters,9m²square meters,,1,1,1,,,,47m²square meters,No,780m²square meters,Not connected,No,1165 kWh/m²kilowatt hour per square meters,G,20220905024,286 kg CO₂/m²,66588 kWh/year,Fuel oil,,"€ 225,000225000 €",,No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4898322,Belgian Luxembourg,9 m,2,,,,,No,No,No,Non flood zone,,No,No,Yes,No,Yes,700m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10060316,After signing the deed,,1947,To be done up,3,1,,,167m²square meters,30m²square meters,,Semi equipped,,4,,,,,,1,2,,,,,No,370m²square meters,,,442 kWh/m²kilowatt hour per square meters,F,20200714006448,Not specified,99760 kWh/year,Fuel oil,Yes,"€ 330,000330000 €","€ 1,0801080 €",No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,388 - 1548,Belgian Luxembourg,,2,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,North East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9997643,After signing the deed,Zone Nord Province du Luxembourg,1977,Good,4,1,Isolated,,190m²square meters,39m²square meters,,Semi equipped,15m²square meters,5,27m²square meters,13m²square meters,15m²square meters,13m²square meters,1,1,2,10m²square meters,Yes,37m²square meters,,No,784m²square meters,Connected,No,355 kWh/m²kilowatt hour per square meters,E,20220625000216,88 kg CO₂/m²,81900 kWh/year,Fuel oil,Yes,"€ 275,000275000 €","€ 1,3951395 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4764396,Belgian Luxembourg,,2,Yes,,Yes,,Yes,No,No,Non flood zone,,No,Yes,Yes,No,,,,,Yes,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9765430,After signing the deed,,1900,To renovate,2,1,,,117m²square meters,14m²square meters,,Semi equipped,,4,,,,,1,,2,,,,,No,279m²square meters,,,434 kWh/m²kilowatt hour per square meters,F,20110927009693,Not specified,86263 kWh/year,Fuel oil,,"€ 160,000160000 €",€ 627627 €,No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,355 - 1523,Belgian Luxembourg,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104039,After signing the deed,,1966,To be done up,4,1,,,124m²square meters,30m²square meters,,Semi equipped,,2,,,,,1,,2,,,,,No,1046m²square meters,,,338 kWh/m²kilowatt hour per square meters,D,20220712018411,Not specified,62730 kWh/year,Fuel oil,Yes,"€ 395,000395000 €","€ 1,0211021 €",No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,398 - 1543,Belgian Luxembourg,,4,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141767,After signing the deed,Arrondissement Arlon,1850,To renovate,3,2,Isolated,Link to the virtual visit,256m²square meters,,,Not installed,,4,15m²square meters,35m²square meters,48m²square meters,35m²square meters,,,1,,,,61m²square meters,,568m²square meters,Connected,No,702 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,103205 kWh/year,,Yes,"€ 200,000200000 €",€ 322322 €,No,Rue Joseph Netzert 7-9 6700- Arlon,http://www.weinvest.be,4962536,Belgian Luxembourg,13 m,4,,15.7 mmeters,Yes,220m²square meters,No,No,No,,,,,,,,348m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156630,After signing the deed,,,Good,2,,,,173m²square meters,,,Installed,,3,,,,,1,,2,,,,,No,410m²square meters,,,895 kWh/m²kilowatt hour per square meters,G,20170606015686,895 kg CO₂/m²,154461 kWh/year,Electric,Yes,"€ 145,000145000 €",€ 208208 €,No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5491 - 361007978,Belgian Luxembourg,,,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154572,After signing the deed,,2022,As new,3,,Countryside,,260m²square meters,38m²square meters,,,23m²square meters,3,22m²square meters,19m²square meters,15m²square meters,,1,,2,,,,58m²square meters,No,300m²square meters,,No,244 kWh/m²kilowatt hour per square meters,C,20220622015300,70 kg CO₂/m²,50991 kWh/year,Electric,,"Make an offer starting from€ 279,000Make an offer starting from279000 €",,No,Chaussée Napoléon 3 4500- Huy,http://www.labelimmo.be,4962309,Belgian Luxembourg,8 m,1,,,,80m²square meters,,,,,"Living area (residential, urban or rural)",No,Yes,,No,,,16m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10118685,After signing the deed,,1918,To be done up,4,1,Countryside,Link to the virtual visit,130m²square meters,24m²square meters,Yes,Installed,11m²square meters,3,12m²square meters,12m²square meters,11m²square meters,,1,1,1,12m²square meters,Yes,,,No,720m²square meters,Not connected,No,662 kWh/m²kilowatt hour per square meters,G,20220927016952,164 kg CO₂/m²,Not specified,,,"Make an offer starting from€ 189,000Make an offer starting from189000 €",€ 468468 €,No,Rue Simon 46/2 6990- Hotton,http://www.picardimmo.be,4905464,Belgian Luxembourg,16 m,3,Yes,27 mmeters,,120m²square meters,No,No,,Non flood zone,"Living area (residential, urban or rural)",,,,,Yes,720m²square meters,45m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065530,After signing the deed,,1874,To renovate,2,,Urban,Link to the virtual visit,193m²square meters,,Yes,Not installed,13m²square meters,3,24m²square meters,15m²square meters,18m²square meters,,1,,1,,,27m²square meters,23m²square meters,,196m²square meters,Connected,No,295 kWh/m²kilowatt hour per square meters,D,20220613021017,42 kg CO₂/m²,45781 kWh/year,,Yes,"Make an offer starting from€ 99,000Make an offer starting from99000 €",€ 619619 €,No,Chaussée de l'Ourthe 65 6900- Marche-en-Famenne,http://www.weinvest.be,4806174,Belgian Luxembourg,5.35 m,,,,Yes,113m²square meters,,,,,,No,No,Yes,No,,80m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166702,After signing the deed,Zone Nord Province du Luxembourg,2018,As new,3,1,Isolated,,,20m²square meters,Yes,USA hyper equipped,10m²square meters,4,15m²square meters,12m²square meters,12m²square meters,24m²square meters,1,1,2,,Yes,,,No,399m²square meters,Connected,Yes,68 kWh/m²kilowatt hour per square meters,A,20180606503887,13 kg CO₂/m²,15992 kWh/year,Gas,Yes,"€ 459,000459000 €","€ 1,1451145 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4972782,Belgian Luxembourg,7.94 m,2,,11.92 mmeters,,24m²square meters,Yes,No,,,"Living area (residential, urban or rural)",No,No,,No,,283m²square meters,24m²square meters,,Yes,,,,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10145550,After signing the deed,Zone Sud Province du Luxembourg,,To renovate,4,1,Urban,,144m²square meters,31m²square meters,,Installed,15m²square meters,5,15m²square meters,14m²square meters,12m²square meters,9m²square meters,1,,1,,,75m²square meters,,No,543m²square meters,Connected,No,344 kWh/m²kilowatt hour per square meters,E,20220613019524,85 kg CO₂/m²,64814 kWh/year,Fuel oil,Yes,"€ 199,000199000 €",€ 645645 €,No,Faubourg d'Arival 16 6760- Virton,https://honesty.be/,4962452,Belgian Luxembourg,11 m,2,,17 mmeters,Yes,,,,,,,No,No,Yes,No,,200m²square meters,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149645,After signing the deed,,,To renovate,2,2,,,231m²square meters,,,Not installed,,3,,,,,1,,2,,,,,No,491m²square meters,,,343 kWh/m²kilowatt hour per square meters,E,20220401018340,85 kg CO₂/m²,64553 kWh/year,Fuel oil,Yes,"€ 299,000299000 €",€ 327327 €,No,Avenue de Longwy 340 6700- Arlon,http://www.wimmobiliere.com,5478 - 361007789,Belgian Luxembourg,,,,,Yes,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,South East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10007084,After signing the deed,,1899,To renovate,3,,,,196m²square meters,,Yes,Not installed,,3,,,,,1,,,,,,,No,682m²square meters,Not connected,Yes,509 kWh/m²kilowatt hour per square meters,F,20220323020151,127 kg CO₂/m²,99856 kWh/year,Fuel oil,Yes,"€ 160,000160000 €",€ 441441 €,No,Route de Marche 143 6600- Bastogne,http://www.era.be/topimmo,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,Another type of area,,,,,,,,,,,,,,,,No,,,509,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9965078,After signing the deed,,1954,To renovate,3,,,,229m²square meters,,,Not installed,25m²square meters,4,,,,,1,,,,,,,No,1345m²square meters,Connected,No,547 kWh/m²kilowatt hour per square meters,G,20220613014163,136 kg CO₂/m²,125323 kWh/year,Fuel oil,No,"€ 150,000150000 €",€ 577577 €,No,"Avenue de la Gare, 171 6840- Neufchateau",,,Belgian Luxembourg,,,,,,,No,No,No,Non flood zone,Another type of area,,,,,,,,,,,,,,,,No,,,547,,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141228,After signing the deed,,1875,To renovate,3,1,,,387m²square meters,45m²square meters,,Semi equipped,,3,,,,,,1,1,,,,,No,427m²square meters,,,614 kWh/m²kilowatt hour per square meters,G,20220922003275,Not specified,130811 kWh/year,Fuel oil,Yes,"€ 249,000249000 €",€ 547547 €,No,rue de la Fraternité 8 6792- Halanzy,http://www.alisonimmo.be,405 - 1558,Belgian Luxembourg,,1,,,,,,,,,,,,,,Yes,,,,,,No,,,,,,,,,,,,,,Yes,North West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9679905,To be defined,Zone Nord Province du Luxembourg,1940,Good,4,,Urban,,247m²square meters,,,Installed,,5,45m²square meters,18m²square meters,10m²square meters,12m²square meters,2,2,2,,Yes,,,No,40100m²square meters,Connected,No,253 kWh/m²kilowatt hour per square meters,C,20150828015988,63 kg CO₂/m²,62306 kWh/year,Fuel oil,Yes,"€ 639,000639000 €",,Yes,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4566737,Belgian Luxembourg,,5,Yes,,,,No,No,No,,,No,Yes,,No,Yes,,20m²square meters,Yes,Yes,20m²square meters,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160306,After signing the deed,Zone Centre Province du Luxembourg,,Good,3,1,Urban,,120m²square meters,30m²square meters,,Semi equipped,12m²square meters,3,18m²square meters,13m²square meters,9m²square meters,,1,1,2,,,,,No,,Connected,No,428 kWh/m²kilowatt hour per square meters,F,20222002024204,106 kg CO₂/m²,62766 kWh/year,Fuel oil,Yes,"€ 145,000145000 €","€ 1,0531053 €",No,Chaussée de Liège 7 6900- Marche,https://honesty.be/,4932999,Belgian Luxembourg,5.7 m,,Yes,,,55m²square meters,,,,Non flood zone,,No,No,,No,,,4m²square meters,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10054504,After signing the deed,Zone Centre Province du Luxembourg,1975,To renovate,4,1,Urban,,,39m²square meters,,Not installed,20m²square meters,4,16m²square meters,13m²square meters,16m²square meters,26m²square meters,1,,2,,,54m²square meters,,No,929m²square meters,Connected,No,463 kWh/m²kilowatt hour per square meters,F,20220324014140,14 kg CO₂/m²,88163 kWh/year,Fuel oil,Yes,"€ 259,500259500 €","€ 1,2661266 €",No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4862144,Belgian Luxembourg,13.6 m,1,,20 mmeters,,160m²square meters,,,,Non flood zone,"Living area (residential, urban or rural)",No,No,Yes,No,,820m²square meters,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132757,Depending on the tenant,Zone Centre Province du Luxembourg,1919,To renovate,4,1,Urban,,180m²square meters,29m²square meters,Yes,Semi equipped,14m²square meters,4,12m²square meters,17m²square meters,15m²square meters,23m²square meters,2,2,2,,,34m²square meters,22m²square meters,No,606m²square meters,Connected,No,584 kWh/m²kilowatt hour per square meters,G,20181001004270,144 kg CO₂/m²,82500 kWh/year,Fuel oil,Yes,"€ 290,000290000 €","€ 1,3111311 €",No,Avenue de Bouillon 92 6800- Libramont,https://honesty.be/,4945588,Belgian Luxembourg,990 m,2,,13.3 mmeters,,145m²square meters,,,,Non flood zone,,No,No,Yes,No,,460m²square meters,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
