,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
10103679,Good,3,2,Yes,6,3,Yes,160m²square meters,Yes,188 kWh/m²kilowatt hour per square meters,C,20161216002282,35 kg CO₂/m²,15143 kWh/year,"€ 350,000350000 €","€ 2,4242424 €",Yes,rue de France 26 6000- Charleroi,http://www.immoinvest.be,4906108,Hainaut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9979230,As new,2,1,,3,1,,100m²square meters,,114 kWh/m²kilowatt hour per square meters,B,20220620501688,22 kg CO₂/m²,18641 kWh/year,"Make an offer starting from€ 295,000Make an offer starting from295000 €",,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4805695,Hainaut,After signing the deed,September 1 2022 - 12:00 AM,2022,8 m,2,Isolated,165m²square meters,42m²square meters,Installed,10m²square meters,20m²square meters,14m²square meters,1,2,Yes,No,299m²square meters,8 mmeters,Not connected,Yes,30m²square meters,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10069658,To renovate,4,1,,4,2,Yes,,,388 kWh/m²kilowatt hour per square meters,E,20220816001785,Not specified,Not specified,"€ 365,000365000 €","€ 1,2491249 €",No,Avenue Zénobe Gramme 30 1er étage 1301- Wavre,,758 - 3391363,Hainaut,After signing the deed,,1975,,5,"Living area (residential, urban or rural)",215m²square meters,45m²square meters,Semi equipped,16m²square meters,15m²square meters,9m²square meters,,2,,No,954m²square meters,19.26 mmeters,,Yes,,,,Yes,,,Gas,Yes,,Link to the virtual visit,1,13m²square meters,Yes,North East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9593621,To renovate,2,,,3,1,,,,566 kWh/m²kilowatt hour per square meters,G,20181218010873,109 kg CO₂/m²,63721 kWh/year,"Make an offer starting from€ 149,999Make an offer starting from149999 €",€ 580580 €,No,"4, Place Sabatier 6031- MONCEAU-SUR-SAMBRE",,4506450,Hainaut,Depending on the tenant,,1905,,,Urban,113m²square meters,22m²square meters,Not installed,12m²square meters,15m²square meters,16m²square meters,1,1,,No,60m²square meters,,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,,,10m²square meters,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159343,Good,4,2,,4,2,,,Yes,282 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 645,000645000 €","€ 1,3871387 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20787 - VK 3887,Hainaut,,,1979,,,,260m²square meters,,Installed,20m²square meters,20m²square meters,16m²square meters,1,2,,No,2901m²square meters,,,,,,,,,,Fuel oil,Yes,Non flood zone,,,26m²square meters,Yes,West,No,,15m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9823526,Good,2,,,1,,,,Yes,753 kWh/m²kilowatt hour per square meters,G,20220322012869,239 kg CO₂/m²,63605 kWh/year,"€ 89,00089000 €",€ 267267 €,No,Avenue des Ardennes 1/02 4500- Huy,http://www.immo-bertrand.be,2603 - 2385,Hainaut,After signing the deed,,1957,,,,84m²square meters,23m²square meters,Semi equipped,,,,1,1,,No,250m²square meters,6.35 mmeters,,Yes,,,,,,,Carbon,Yes,,,,,Yes,South,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9745389,As new,2,2,,3,1,,50m²square meters,,289 kWh/m²kilowatt hour per square meters,D,20210318014541,53 kg CO₂/m²,64202 kWh/year,"Make an offer starting from€ 270,000Make an offer starting from270000 €",€ 806806 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4648399,Hainaut,After signing the deed,January 1 2022 - 12:00 AM,1975,12 m,7,Isolated,220m²square meters,70m²square meters,Hyper equipped,11m²square meters,12m²square meters,15m²square meters,1,2,,No,1000m²square meters,16 mmeters,Connected,No,60m²square meters,No,Yes,Yes,Yes,No,Fuel oil,Yes,Non flood zone,,,24m²square meters,,,,,,"Living area (residential, urban or rural)",Yes,Yes,20m²square meters,Yes,Yes,220m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10088318,Good,3,1,,5,3,,2940m²square meters,,416 kWh/m²kilowatt hour per square meters,E,20131010022389,76 kg CO₂/m²,130501 kWh/year,"€ 295,000295000 €","€ 1,2501250 €",No,,,,Hainaut,After signing the deed,,1960,28 m,5,,250m²square meters,47m²square meters,Installed,18m²square meters,11m²square meters,15m²square meters,,4,,No,3600m²square meters,28 mmeters,Connected,Yes,52m²square meters,No,No,No,Yes,No,Gas,Yes,Non flood zone,,1,20m²square meters,,South,,Yes,18m²square meters,Mixed living area (accommodation &amp; economic activities),Yes,,,No,No,147m²square meters,,9m²square meters,Yes,Yes,No,36m²square meters,10m²square meters,Yes,No,Yes,Yes,Yes,Yes,West,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159340,Good,4,2,,4,2,,,Yes,282 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 645,000645000 €","€ 1,3871387 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20786 - VK 3887,Hainaut,,,1979,,,,260m²square meters,,Installed,20m²square meters,20m²square meters,16m²square meters,1,2,,No,2901m²square meters,,,,,,,,,,Fuel oil,Yes,Non flood zone,,,26m²square meters,Yes,West,No,,15m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10066108,As new,4,2,,5,2,,,,250 kWh/m²kilowatt hour per square meters,C,Not specified,49 kg CO₂/m²,54086 kWh/year,"Make an offer starting from€ 395,000Make an offer starting from395000 €",€ 515515 €,No,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10817 - 4,Hainaut,After signing the deed,,1875,,6,Countryside,200m²square meters,38m²square meters,Installed,20m²square meters,19m²square meters,16m²square meters,,3,,No,1500m²square meters,,,Yes,25m²square meters,,,,,,Fuel oil,Yes,Non flood zone,,,13m²square meters,Yes,South West,No,,15m²square meters,,,,19m²square meters,Yes,,,,15m²square meters,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,Campagnard,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091994,Good,4,1,,3,1,Yes,,Yes,355 kWh/m²kilowatt hour per square meters,E,20140613006074,Not specified,Not specified,"€ 435,000435000 €","€ 1,2021202 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20201 - VK 3968,Hainaut,After signing the deed,,1974,,,,215m²square meters,,Installed,21m²square meters,16m²square meters,14m²square meters,,2,,No,1160m²square meters,,,,,,,,,,Fuel oil,Yes,,,,26m²square meters,,,No,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119582,Good,4,,,4,1,,,Yes,619 kWh/m²kilowatt hour per square meters,G,Not specified,Not specified,Not specified,"€ 525,000525000 €","€ 1,1271127 €",No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20485 - VK 4217,Hainaut,,,1973,,,,120m²square meters,,Installed,10m²square meters,6m²square meters,6m²square meters,,1,,No,6430m²square meters,,,,,,,,,,Fuel oil,Yes,,,,6m²square meters,,,No,,6m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159408,Good,3,,,3,1,Yes,,,423 kWh/m²kilowatt hour per square meters,E,20131124006243,Not specified,87320 kWh/year,"€ 185,000185000 €",€ 803803 €,No,Chaussée de Charleroi 226 6220- Fleurus,http://www.davidrobin.be,5738 - 2381,Hainaut,After signing the deed,,,,,,150m²square meters,40m²square meters,Semi equipped,19m²square meters,17m²square meters,8m²square meters,,1,,No,115m²square meters,,,,,,,,,,Gas,Yes,,,,14m²square meters,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159341,To be done up,4,1,,4,,,,,325 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 280,000280000 €",€ 570570 €,No,Porte d'Ogy 78 7860- Lessines,http://www.immobeguin.be,20782 - VK 4156,Hainaut,,,1969,,,,165m²square meters,,Semi equipped,16m²square meters,14m²square meters,14m²square meters,,,,No,470m²square meters,,,,,,,,,,Fuel oil,,,,,12m²square meters,,,No,,12m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160614,Good,4,1,,3,1,,718m²square meters,Yes,510 kWh/m²kilowatt hour per square meters,F,20220502006260,146 kg CO₂/m²,71653 kWh/year,"€ 297,500297500 €",€ 800800 €,,Pavé d'Ath 46/1 7830- Bassilly,,,Hainaut,After signing the deed,,1977,15 m,1,"Living area (residential, urban or rural)",124m²square meters,31m²square meters,Installed,10m²square meters,10m²square meters,16m²square meters,,1,,No,1167m²square meters,27 mmeters,,,,,,,,,Electric,Yes,,,,13m²square meters,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147764,To be done up,4,2,,4,2,Yes,,Yes,190 kWh/m²kilowatt hour per square meters,C,20120801004626,48 kg CO₂/m²,Not specified,"€ 1,795,0001795000 €",,,Rue de Saintes 11/3 1400- Nivelles,,,Hainaut,After signing the deed,,2006,,5,"Living area (residential, urban or rural)",530m²square meters,75m²square meters,Hyper equipped,20m²square meters,45m²square meters,18m²square meters,,,,No,4202m²square meters,,,,,,,Yes,,,Fuel oil,Yes,,,1,22m²square meters,,,,Yes,19m²square meters,"Living area (residential, urban or rural)",,,150m²square meters,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127410,As new,4,,,5,2,,,,295 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 1,295,0001295000 €",,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20535 - VK 4124,Hainaut,After signing the deed,,2008,,,,555m²square meters,,Installed,62m²square meters,35m²square meters,29m²square meters,,5,,No,3700m²square meters,,,,,,,Yes,,,Gas,Yes,,,,22m²square meters,,,No,Yes,20m²square meters,Industrial commercial area,Yes,,,,,,No,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127406,As new,4,,,5,2,,,,295 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,"€ 1,295,0001295000 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20533 - VK 4124,Hainaut,After signing the deed,,2008,,,,555m²square meters,,Installed,62m²square meters,35m²square meters,29m²square meters,,5,,No,3700m²square meters,,,,,,,Yes,,,Gas,Yes,,,,22m²square meters,,,No,Yes,20m²square meters,Industrial commercial area,Yes,,,,,,No,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140811,To be done up,4,,,3,1,Yes,1000m²square meters,Yes,543 kWh/m²kilowatt hour per square meters,G,20220927013630,136 kg CO₂/m²,102260 kWh/year,"Make an offer starting from€ 249,000Make an offer starting from249000 €",€ 540540 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4960842,Hainaut,After signing the deed,,,7 m,2,Countryside,190m²square meters,38m²square meters,Installed,13m²square meters,13m²square meters,13m²square meters,1,2,Yes,No,1250m²square meters,21 mmeters,,No,,No,No,,Yes,No,Fuel oil,Yes,Non flood zone,,,8m²square meters,,,,Yes,,,,,,,,95m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161031,Good,4,1,,2,1,Yes,,Yes,813 kWh/m²kilowatt hour per square meters,G,20220929005187,201 kg CO₂/m²,83194 kWh/year,"€ 220,000220000 €",€ 884884 €,No,Rue de Blaugies 31 7080- Sars-la-Bruyère,,300 - 1475,Hainaut,After signing the deed,,1980,,2,,102m²square meters,41m²square meters,Semi equipped,,,,,1,,No,495m²square meters,,,Yes,,,,,,,Fuel oil,,,Link to the virtual visit,,,Yes,North West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138458,To be done up,3,,Yes,2,1,,490m²square meters,,319 kWh/m²kilowatt hour per square meters,D,20220917000966,79 kg CO₂/m²,32065 kWh/year,"Make an offer starting from€ 149,000Make an offer starting from149000 €",€ 330330 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4957792,Hainaut,Depending on the tenant,April 1 2023 - 12:00 AM,1950,7 m,,Isolated,105m²square meters,,Installed,21m²square meters,9m²square meters,,1,2,,No,640m²square meters,12 mmeters,Connected,No,,No,No,,Yes,No,Fuel oil,,,,,,,,,,,,,,,,,80m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9763757,To be done up,2,1,,3,2,Yes,,,479 kWh/m²kilowatt hour per square meters,F,20210529007317,90 kg CO₂/m²,84515 kWh/year,"Make an offer starting from€ 119,000Make an offer starting from119000 €","€ 1,0411041 €",No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4662128,Hainaut,To be defined,,1950,6 m,,Urban,161m²square meters,40m²square meters,Semi equipped,25m²square meters,18m²square meters,16m²square meters,2,2,,No,127m²square meters,26 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,Yes,,,,,,,,,,,,,14m²square meters,Yes,,127m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
9722779,Good,2,,,4,1,,950m²square meters,,187 kWh/m²kilowatt hour per square meters,C,20211126000174,34 kg CO₂/m²,25164 kWh/year,"Make an offer starting from€ 160,000Make an offer starting from160000 €",€ 271271 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4632644,Hainaut,After signing the deed,March 15 2022 - 12:00 AM,1930,5 m,,Isolated,125m²square meters,14m²square meters,Installed,16m²square meters,13m²square meters,14m²square meters,1,1,,No,950m²square meters,5 mmeters,Connected,Yes,40m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,8m²square meters,,,,Yes,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10134626,As new,2,1,,2,1,,,Yes,286 kWh/m²kilowatt hour per square meters,D,20220929009935,53 kg CO₂/m²,36398 kWh/year,"€ 205,000205000 €",€ 536536 €,,Pavé d'Ath 46/1 7830- Bassilly,,,Hainaut,After signing the deed,,,4.2 m,,"Living area (residential, urban or rural)",101m²square meters,33m²square meters,Installed,17m²square meters,19m²square meters,,,1,,No,320m²square meters,4.2 mmeters,,Yes,,,,,,,Gas,Yes,,,,18m²square meters,,,,,,,,,,,,,,,,Yes,,15m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10097442,Just renovated,3,1,,3,2,Yes,172m²square meters,,275 kWh/m²kilowatt hour per square meters,D,20200826018880,51 kg CO₂/m²,40519 kWh/year,"Make an offer starting from€ 165,000Make an offer starting from165000 €",€ 498498 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4903893,Hainaut,After signing the deed,,1950,5 m,,Isolated,130m²square meters,20m²square meters,Installed,20m²square meters,15m²square meters,26m²square meters,1,1,Yes,No,321m²square meters,8 mmeters,Connected,Yes,,No,No,,Yes,No,Gas,,Possible flood zone,,,22m²square meters,,,,,,,,,,,,63m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10020640,To be done up,2,1,,4,2,,70m²square meters,,550 kWh/m²kilowatt hour per square meters,G,20220706001623,136 kg CO₂/m²,110248 kWh/year,"Make an offer starting from€ 179,000Make an offer starting from179000 €",€ 743743 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4846673,Hainaut,After signing the deed,,,14 m,,Mall,200m²square meters,30m²square meters,Semi equipped,15m²square meters,8m²square meters,14m²square meters,2,2,Yes,No,267m²square meters,14 mmeters,Connected,Yes,60m²square meters,No,Yes,,Yes,No,Fuel oil,Yes,Non flood zone,,,16m²square meters,,,,,11m²square meters,,,,13m²square meters,Yes,,140m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10132334,Just renovated,2,1,,4,1,Yes,115m²square meters,,198 kWh/m²kilowatt hour per square meters,C,20220905026118,Not specified,38617 kWh/year,"Make an offer starting from€ 230,000Make an offer starting from230000 €",€ 774774 €,No,Rue Félix Protin 1 5060- Auvelais,http://www.myimmo.be,4956785,Hainaut,After signing the deed,,,7 m,2,,140m²square meters,16m²square meters,Installed,18m²square meters,7m²square meters,17m²square meters,,2,Yes,No,300m²square meters,2 mmeters,Connected,Yes,22m²square meters,No,,Yes,Yes,No,Gas,Yes,,,,10m²square meters,,,,Yes,15m²square meters,,,,,,,90m²square meters,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10034520,As new,2,,,4,1,Yes,140m²square meters,,324 kWh/m²kilowatt hour per square meters,D,20201020008960,62 kg CO₂/m²,52755 kWh/year,"Make an offer starting from€ 239,000Make an offer starting from239000 €",€ 758758 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4853262,Hainaut,After signing the deed,,,7 m,,Isolated,190m²square meters,18m²square meters,Semi equipped,15m²square meters,10m²square meters,14m²square meters,1,2,Yes,No,240m²square meters,7 mmeters,Connected,Yes,17m²square meters,No,No,,Yes,No,Gas,Yes,Non flood zone,,,14m²square meters,,,,Yes,45m²square meters,,,,,,,80m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9991096,As new,2,1,Yes,3,1,,,Yes,294 kWh/m²kilowatt hour per square meters,D,20220312007732,56 kg CO₂/m²,57925 kWh/year,"Make an offer starting from€ 259,000Make an offer starting from259000 €",€ 909909 €,No,Chaussée Paul Houtart 232 7110- Houdeng-Goegnies,http://www.alexinvest.be,4805044,Hainaut,After signing the deed,,1977,7 m,1,,177m²square meters,,Installed,16m²square meters,16m²square meters,9m²square meters,,2,Yes,No,429m²square meters,,,Yes,,No,No,,Yes,No,Gas,,,,,12m²square meters,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10032637,As new,2,,,4,1,,110m²square meters,,114 kWh/m²kilowatt hour per square meters,B,20220517007397,28 kg CO₂/m²,32041 kWh/year,"Make an offer starting from€ 299,000Make an offer starting from299000 €",€ 841841 €,No,Avenue Louise 433 1050- Bruxelles,http://www.bytheway.immo,4851977,Hainaut,After signing the deed,October 1 2022 - 12:00 AM,2020,8 m,1,Isolated,250m²square meters,35m²square meters,Hyper equipped,17m²square meters,17m²square meters,17m²square meters,1,2,Yes,,250m²square meters,21 mmeters,Connected,Yes,60m²square meters,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,12m²square meters,,,,,70m²square meters,"Living area (residential, urban or rural)",Yes,Yes,,Yes,Yes,90m²square meters,No,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,7m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
9641327,To renovate,4,1,,4,1,Yes,1750m²square meters,,505 kWh/m²kilowatt hour per square meters,F,20211128006575,104 kg CO₂/m²,119377 kWh/year,"Make an offer starting from€ 299,000Make an offer starting from299000 €",€ 740740 €,No,Place Communale 18 6230- Pont-à-Celles,http://www.delfimmo.be,4587178,Hainaut,After signing the deed,November 25 2021 - 12:00 AM,1950,11 m,1,Urban,180m²square meters,19m²square meters,Not installed,14m²square meters,18m²square meters,9m²square meters,1,1,Yes,No,1752m²square meters,29 mmeters,,Yes,,,,,,,Gas,Yes,,,,16m²square meters,,,,Yes,15m²square meters,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10132335,To renovate,3,1,,5,2,Yes,900m²square meters,,373 kWh/m²kilowatt hour per square meters,E,20220329015897,Not specified,114070 kWh/year,"Make an offer starting from€ 249,900Make an offer starting from249900 €",€ 540540 €,No,Rue Félix Protin 1 5060- Auvelais,http://www.myimmo.be,4957877,Hainaut,After signing the deed,,,10 m,3,Isolated,225m²square meters,20m²square meters,Semi equipped,20m²square meters,18m²square meters,22m²square meters,2,3,Yes,No,1185m²square meters,11 mmeters,Connected,Yes,150m²square meters,No,Yes,,Yes,No,Gas,Yes,,,,17m²square meters,,,,Yes,9m²square meters,,,No,16m²square meters,Yes,,250m²square meters,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,Hainaut,,,,16m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
9928136,To renovate,4,5,,3,1,,,,482 kWh/m²kilowatt hour per square meters,F,20130915009479,11 kg CO₂/m²,61163 kWh/year,"Make an offer starting from€ 315,000Make an offer starting from315000 €","€ 1,0701070 €",No,Chaussée de Mons 14 1400- Nivelles,http://www.trevilogis.be,181536 - 111114736,Hainaut,After signing the deed,,1973,16 m,6,Countryside,174m²square meters,33m²square meters,Semi equipped,14m²square meters,11m²square meters,9m²square meters,,1,,No,2129m²square meters,49 mmeters,,Yes,67m²square meters,,,,,,Wood,Yes,Possible flood zone,,1,8m²square meters,Yes,South West,No,Yes,,Farming area,,,6m²square meters,Yes,,,No,,,Yes,,25m²square meters,,,,,,,,,,,,,,,,,,,,Château,,,-,,No,Demander les RU,,,,,,,,,,,,,,,,,,,,,,,
10099200,Good,4,1,,4,1,,800m²square meters,,749 kWh/m²kilowatt hour per square meters,G,2016033003151,9999 kg CO₂/m²,Not specified,"€ 349,500349500 €",€ 324324 €,No,Stationstraat 30 9600- Ronse,,3939135,Hainaut,After signing the deed,January 1 2023 - 12:00 AM,1900,20 m,6,Isolated,220m²square meters,35m²square meters,Installed,12m²square meters,12m²square meters,10m²square meters,,1,,No,1476m²square meters,40 mmeters,Connected,Yes,40m²square meters,No,No,,Yes,No,Fuel oil,,Non flood zone,,,30m²square meters,,,,,10m²square meters,,,,,,,150m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9924034,Good,,2,,2,1,Yes,340m²square meters,,534 kWh/m²kilowatt hour per square meters,G,20220511025600,96 kg CO₂/m²,86042 kWh/year,"€ 285,000285000 €",€ 639639 €,No,Rue de Namur 93 1400- Nivelles,http://www.beaufils.be,2803 - 1345,Hainaut,After signing the deed,,1920,6 m,2,,161m²square meters,41m²square meters,Hyper equipped,,,,,1,,No,756m²square meters,13.6 mmeters,,Yes,35m²square meters,,,,,,Gas,Yes,,,,,,South East,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10083660,Good,4,1,,4,1,,1024m²square meters,,313 kWh/m²kilowatt hour per square meters,D,20220824029208,78 kg CO₂/m²,76881 kWh/year,"€ 395,000395000 €","€ 1,0071007 €",No,"204, Chaussée de Lille 7500- Tournai",http://www.weinvest.be,4840014,Hainaut,After signing the deed,,1999,15 m,3,Countryside,176m²square meters,63m²square meters,,20m²square meters,20m²square meters,19m²square meters,1,1,,,1164m²square meters,21.8 mmeters,Connected,No,62m²square meters,,,,Yes,,Fuel oil,Yes,,Link to the virtual visit,,19m²square meters,,,,,13m²square meters,,,,,,,140m²square meters,,,,,,142m²square meters,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9987047,As new,2,,,4,1,,110m²square meters,,114 kWh/m²kilowatt hour per square meters,B,20220517007397,28 kg CO₂/m²,32041 kWh/year,"Make an offer starting from€ 299,000Make an offer starting from299000 €",€ 841841 €,No,Avenue Louise 433 1050- Bruxelles,http://www.bytheway.immo,4808805,Hainaut,After signing the deed,October 1 2022 - 12:00 AM,2020,8 m,1,Isolated,210m²square meters,35m²square meters,Hyper equipped,17m²square meters,17m²square meters,17m²square meters,1,2,Yes,,250m²square meters,21 mmeters,Connected,Yes,60m²square meters,No,No,Yes,Yes,No,Gas,Yes,Non flood zone,Link to the virtual visit,,12m²square meters,,,,,70m²square meters,"Living area (residential, urban or rural)",Yes,Yes,,Yes,Yes,90m²square meters,No,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,7m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
