,Building condition,Number of frontages,Covered parking spaces,Living room,Bedrooms,Bathrooms,Basement,Garden surface,Terrace,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available as of,Available date,Construction year,Street frontage width,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Shower rooms,Toilets,Attic,Furnished,Surface of the plot,Width of the lot on the street,Connection to sewer network,"Gas, water &amp; electricity",Terrace surface,Elevator,Accessible for disabled people,Secure access / alarm,TV cable,Swimming pool,Heating type,Double glazing,Flood zone type,Virtual visit,How many fireplaces?,Kitchen surface,Garden,Garden orientation,As built plan,Dining room,Bedroom 4 surface,Latest land use designation,Planning permission obtained,Subdivision permit,Office surface,Office,Intercom,Total ground floor buildable,Possible priority purchase right,Bedroom 5 surface,Dressing room,Laundry room,Professional space,Basement surface,Attic surface,Isolated,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Obligation to build,Neighbourhood or locality,Conformity certification for fuel tanks,Number of annexes,Property name,Professional space surface,Proceedings for breach of planning regulations,Extra information,E-level (overall energy performance),Agent's name,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Type of building,Venue of the sale,Single session,Terms of visit,Starting price,Monthly charges,Age of annuitants,Age of annuitant,Minimum overbid,Price after higher bid,Current monthly revenue,Maximum duration of annuity,Percentage rented,EPC description
9859599,Good,4,13,,14,7,Yes,,Yes,132 kWh/m²kilowatt hour per square meters,B,20210321004606,Not specified,11670 kWh/year,"€ 1,250,0001250000 €",,Yes,Rue des Chartriers 2 7000- Mons,http://www.revimmo.be,4727401,Hainaut,After signing the deed,,1999,,13,Urban,630m²square meters,27m²square meters,Installed,12m²square meters,11m²square meters,,1,7,,No,2300m²square meters,,Connected,Yes,,Yes,Yes,,,No,Gas,Yes,,,,8m²square meters,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9989430,As new,4,1,,5,2,,400m²square meters,,Not specified,C,20190922002371,Not specified,254 kWh/year,"€ 385,000385000 €","€ 140,000140000 €",No,,,,Hainaut,After signing the deed,,1995,12 m,5,Countryside,240m²square meters,20m²square meters,Hyper equipped,240m²square meters,240m²square meters,240m²square meters,2,3,,,980m²square meters,19 mmeters,Connected,Yes,15m²square meters,No,Yes,Yes,Yes,Yes,Fuel oil,Yes,Non flood zone,,1,12m²square meters,,South,,Yes,240m²square meters,,Yes,Yes,25m²square meters,Yes,No,,,240m²square meters,No,,Yes,,,,No,No,Yes,Yes,No,South,No,No,No,No,No,Yes,No,Yes,No,Yes,,,"Yes, conform",2,,12m²square meters,,,,,,,,,,,,Bungalow,,,,,,,,,,,,,
10142289,To be done up,4,,,3,1,,800m²square meters,,473 kWh/m²kilowatt hour per square meters,F,202209290066394,21300 kg CO₂/m²,56241 kWh/year,"€ 270,000270000 €",€ 720720 €,No,,,,Hainaut,After signing the deed,,1959,,,Countryside,182m²square meters,25m²square meters,Semi equipped,16m²square meters,14m²square meters,12m²square meters,,1,,,1004m²square meters,,Connected,Yes,12m²square meters,No,No,No,Yes,No,Fuel oil,Yes,,,,20m²square meters,,South East,,Yes,,,,,,No,No,,,,No,,No,35m²square meters,8m²square meters,Yes,No,No,No,Yes,No,East,No,No,No,No,No,Yes,No,No,No,Yes,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
10164740,Just renovated,3,,Yes,3,,,160m²square meters,,Not specified,C,Not specified,Not specified,Not specified,"€ 240,000240000 €",€ 277277 €,No,,,,Hainaut,Immediately,,,,1,"Living area (residential, urban or rural)",131m²square meters,,USA hyper equipped,15m²square meters,16m²square meters,12m²square meters,1,2,,,260m²square meters,,Connected,Yes,,No,No,No,Yes,No,Electric,No,Non flood zone,,1,25m²square meters,,,,Yes,,,Yes,,,No,No,,,,No,Yes,No,7m²square meters,,,No,No,No,No,No,,No,No,No,No,No,Yes,Yes,No,No,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10164867,As new,2,1,,4,1,,103m²square meters,,Not specified,Not specified,Not specified,Not specified,Not specified,"€ 199,000199000 €",,No,Avenue Louise 120/BT4 1050- Bruxelles,,4972708,Hainaut,After signing the deed,December 1 2022 - 12:00 AM,2022,,1,,150m²square meters,22m²square meters,Hyper equipped,18m²square meters,11m²square meters,12m²square meters,1,2,Yes,No,209m²square meters,,,,15m²square meters,,,,,,Gas,Yes,,,,23m²square meters,,,,,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138364,Good,4,1,,4,1,,3270m²square meters,Yes,416 kWh/m²kilowatt hour per square meters,E,20220921009790,103 kg CO₂/m²,74148 kWh/year,"Make an offer starting from€ 450,000Make an offer starting from450000 €","€ 1,1261126 €",No,Rue de la Croix 16 6042- Charleroi,,4895574,Hainaut,After signing the deed,,,13 m,1,Isolated,170m²square meters,11m²square meters,Semi equipped,8m²square meters,13m²square meters,23m²square meters,1,2,Yes,No,3395m²square meters,40 mmeters,Connected,No,,No,No,Yes,Yes,No,Fuel oil,Yes,Non flood zone,,,17m²square meters,,,,Yes,14m²square meters,,,Yes,8m²square meters,Yes,,125m²square meters,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,
10146680,Good,2,,Yes,3,1,Yes,54m²square meters,,323 kWh/m²kilowatt hour per square meters,D,20221002003224,Not specified,Not specified,"€ 210,000210000 €",€ 490490 €,No,,,,Hainaut,After signing the deed,,,,,,120m²square meters,,Installed,14m²square meters,10m²square meters,35m²square meters,,1,Yes,,129m²square meters,,Connected,Yes,18m²square meters,,,,,,Fuel oil,Yes,,,,7m²square meters,,,,Yes,,,,,,No,,,,,Yes,Yes,No,,,,No,No,No,No,No,,,,,,,,No,No,No,No,,,,,,,,,,,,,,,,,,All kind,,,,,,,,,,,,,
9860101,Just renovated,2,,,2,1,,,,353 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,34739 kWh/year,"Make an offer starting from€ 115,000Make an offer starting from115000 €",€ 252252 €,No,7 rue de Namur 1400- Nivelles,,3726 - 2090,Hainaut,,,1950,,,,97m²square meters,20m²square meters,Semi equipped,,,,,1,,No,140m²square meters,,,,,,,,,,Gas,Yes,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10160164,To renovate,4,1,,2,1,,1500m²square meters,,530 kWh/m²kilowatt hour per square meters,G,20220927013550,132 kg CO₂/m²,85578 kWh/year,"€ 160,000160000 €",€ 649649 €,No,Route de Gozée 651/1 6110- Montigny-le-Tilleul,http://www.etimo.be,4970615,Hainaut,After signing the deed,,,,2,Isolated,155m²square meters,35m²square meters,Installed,22m²square meters,14m²square meters,,1,1,,No,1956m²square meters,,Connected,No,20m²square meters,No,No,,Yes,,,,,,,18m²square meters,,,No,,,"Living area (residential, urban or rural)",Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9608247,To be done up,2,,,2,1,Yes,,,443 kWh/m²kilowatt hour per square meters,F,20211109005830,Not specified,51693 kWh/year,"€ 125,000125000 €",€ 327327 €,No,Chaussée de Nivelles 60 7181- Arquennes,http://www.immochl.be,2623 - 755,Hainaut,,,1920,,,,100m²square meters,25m²square meters,Semi equipped,15m²square meters,10m²square meters,,,1,,No,110m²square meters,,,Yes,,,,,,,,Yes,,,,,,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
