,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10070533,After signing the deed,1993,To be done up,4,5,200m²square meters,36m²square meters,Semi equipped,,3,,,,1,3,Yes,No,1465m²square meters,,North West,,365 kWh/m²kilowatt hour per square meters,D,20220306-0002557839-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 499,000499000 €","€ 1,7401740 €",No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,65343 - LIE-22-JLE-0,Antwerp,,9 m,15 mmeters,,,,,1,,,,Yes,,,,,,,,,,,930m²square meters,,,,,,,,,,,,,,,,,,,,21m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9930319,After signing the deed,1962,Just renovated,2,1,185m²square meters,42m²square meters,Installed,,3,,,,2,2,Yes,No,216m²square meters,Yes,West,28m²square meters,318 kWh/m²kilowatt hour per square meters,D,0001823062,Not specified,Not specified,No,Gas,Yes,,,No,,Non flood zone,"Living area (residential, urban or rural)","€ 479,000479000 €","€ 1,1621162 €",No,Prins Boudewijnlaaan 318 2610- Wilrijk,,1950 - 1354,Antwerp,,6 m,6 mmeters,Yes,No,,,,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10104488,To be defined,2009,Good,2,,351m²square meters,,Installed,,4,,,,1,3,,No,441m²square meters,Yes,South,,143 kWh/m²kilowatt hour per square meters,B,20220420-0002586885-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 575,000575000 €","€ 1,6111611 €",Yes,Korenmarkt 55 2800- Mechelen,http://www.heylenvastgoed.be,54546 - MEC-22-GMA-0,Antwerp,,8 m,,Yes,,,,,Shop street,,,Yes,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9921855,Depending on the tenant,1935,To be done up,2,,214m²square meters,,Semi equipped,,9,,,,3,3,Yes,Yes,104m²square meters,Yes,South,12m²square meters,249 kWh/m²kilowatt hour per square meters,C,20210512-0002408681-RES-2,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 649,000649000 €",€ 847847 €,Yes,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,57563 - ANT-21-MMI-0,Antwerp,,9 m,9 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9921934,Depending on the tenant,1935,To be done up,2,,214m²square meters,,Semi equipped,,9,,,,3,3,Yes,Yes,104m²square meters,Yes,South,12m²square meters,249 kWh/m²kilowatt hour per square meters,C,20210512-0002408681-RES-2,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 649,000649000 €",€ 847847 €,No,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,57564 - ANT-21-MMI-0,Antwerp,,9 m,9 mmeters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127481,After signing the deed,1959,Good,3,,198m²square meters,,Installed,,3,,,,1,3,Yes,No,625m²square meters,Yes,South,,355 kWh/m²kilowatt hour per square meters,D,0002677228-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 685,000685000 €","€ 2,6022602 €",No,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,66251 - ANT-22-COP-0,Antwerp,,13 m,24 mmeters,Yes,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10091312,After signing the deed,1961,To be done up,4,2,360m²square meters,80m²square meters,Installed,,5,,,,2,4,Yes,No,2387m²square meters,,West,116m²square meters,267 kWh/m²kilowatt hour per square meters,C,20220823-0002660553-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,Yes,No,Non flood zone,Residential park,"€ 725,000725000 €","€ 4,0054005 €",No,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12114 - 11850,Antwerp,,26 m,37 mmeters,Yes,,,,2,,1,,Yes,,,,,,,,,,,1400m²square meters,,,,,,Yes,,,,,,Yes,,,,,,,,23m²square meters,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074640,To be defined,1970,Good,4,5,588m²square meters,,Installed,,5,,,,3,3,Yes,No,1322m²square meters,,North East,,361 kWh/m²kilowatt hour per square meters,D,20220824-0002658299-RES-2,Not specified,Not specified,No,Fuel oil,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 875,000875000 €","€ 2,9622962 €",Yes,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,65480 - LOM-22-KSC-0,Antwerp,,21 m,27 mmeters,Yes,,,,2,Urban,,,Yes,,,,,,,,,,,806m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074641,To be defined,1970,Good,4,5,588m²square meters,,Installed,,5,,,,3,3,Yes,No,1322m²square meters,,North East,,361 kWh/m²kilowatt hour per square meters,D,20220824-0002658299-RES-2,Not specified,Not specified,No,Fuel oil,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 875,000875000 €","€ 2,9622962 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,65481 - LOM-22-KSC-0,Antwerp,,21 m,27 mmeters,Yes,,,,2,Urban,,,Yes,,,,,,,,,,,806m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10074642,To be defined,1970,Good,4,5,588m²square meters,,Installed,,5,,,,3,3,Yes,No,1322m²square meters,,North East,,361 kWh/m²kilowatt hour per square meters,D,20220824-0002658299-RES-2,Not specified,Not specified,No,Fuel oil,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 875,000875000 €","€ 2,9622962 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,65482 - LOM-22-KSC-0,Antwerp,,21 m,27 mmeters,Yes,,,,2,Urban,,,Yes,,,,,,,,,,,806m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10029942,Depending on the tenant,2007,As new,2,,478m²square meters,,Installed,,11,,,,6,6,Yes,No,165m²square meters,Yes,North East,10m²square meters,107 kWh/m²kilowatt hour per square meters,B,20220725-0002645138-RES-2,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,250,0001250000 €","€ 5,5995599 €",Yes,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,61800 - LIE-22-JLE-0,Antwerp,,,,Yes,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927854,After signing the deed,1964,To renovate,2,,504m²square meters,,Semi equipped,,12,,,,6,6,Yes,No,481m²square meters,,South East,18m²square meters,309 kWh/m²kilowatt hour per square meters,D,Certificaat-20220523-0002609013-RES-1,Not specified,Not specified,No,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,195,0001195000 €","€ 3,8573857 €",Yes,Antwerpsestraat 34 2640- Mortsel,http://www.heylenvastgoed.be,57112 - ANT-22-MMI-0,Antwerp,,14 m,14 mmeters,Yes,,August 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,200m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9927855,After signing the deed,1964,To renovate,2,,504m²square meters,,Semi equipped,,12,,,,6,6,Yes,No,481m²square meters,,South East,18m²square meters,309 kWh/m²kilowatt hour per square meters,D,Certificaat-20220523-0002609013-RES-1,Not specified,Not specified,No,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,195,0001195000 €","€ 3,8573857 €",No,Antwerpsestraat 34 2640- Mortsel,http://www.heylenvastgoed.be,58289 - ANT-22-MMI-0,Antwerp,,14 m,14 mmeters,Yes,,August 31 2022 - 12:00 AM,,,,,,,,,,,,,,,,,200m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10142274,After signing the deed,1980,To renovate,,,265m²square meters,60m²square meters,Semi equipped,16m²square meters,5,20m²square meters,18m²square meters,18m²square meters,2,2,Yes,No,2126m²square meters,,,,797 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,,No,,,"Living area (residential, urban or rural)","€ 439,500439500 €","€ 2,1322132 €",Yes,"Fruithoflaan, 1 2600- Berchem",http://www.coprimmo.be,17139 - 375689,Antwerp,,9 m,,,,,,3,,,,,,,,,,,,,,,1652m²square meters,,,,,,,,,,,,,,,,,,,18m²square meters,,,Yes,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10148226,After signing the deed,1997,Good,4,3,250m²square meters,50m²square meters,Installed,,3,,,,1,2,,No,916m²square meters,,North East,,375 kWh/m²kilowatt hour per square meters,D,Certificaat-20220610-0002620182-RES-1.pdf,Not specified,Not specified,No,,Yes,Yes,,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 719,000719000 €","€ 1,4351435 €",No,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12513 - 11571,Antwerp,,14 m,20 mmeters,Yes,,,,3,,,,Yes,,,,,,,,,,,500m²square meters,,,,,,Yes,,,,,,,,,,,,,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154304,After signing the deed,1996,Good,4,2,136m²square meters,,Installed,,3,,,,1,,,No,897m²square meters,,,,260 kWh/m²kilowatt hour per square meters,C,20220915-0002675194-RES-1,Not specified,Not specified,No,Gas,,Yes,Yes,No,No,Non flood zone,Extended residential area,"€ 365,000365000 €",€ 857857 €,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,68876 - HER-22-BST-1,Antwerp,,,18 mmeters,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154079,After signing the deed,1905,To renovate,2,,140m²square meters,19m²square meters,Semi equipped,,4,,,,,,Yes,No,69m²square meters,,,,533 kWh/m²kilowatt hour per square meters,F,Certificaat-20220502-0002594875-RES-1,Not specified,Not specified,"Yes, conform",Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 235,000235000 €",€ 359359 €,No,Italiëlei 207 2000- Antwerpen,http://www.heylenvastgoed.be,68845 - ANT-22-TON-0,Antwerp,,,4.5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10152926,After signing the deed,1928,Good,2,,300m²square meters,,Installed,,5,,,,2,,Yes,No,190m²square meters,Yes,South West,,134 kWh/m²kilowatt hour per square meters,B,0002675776,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 1,590,0001590000 €",€ 110110 €,No,Prins Boudewijnlaaan 318 2610- Wilrijk,,2011 - 1985,Antwerp,,,,Yes,,,,1,Urban,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154231,Depending on the tenant,1979,Good,4,,189m²square meters,,,,4,,,,1,2,Yes,No,1485m²square meters,Yes,West,,666 kWh/m²kilowatt hour per square meters,F,20220511-0002601670-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,Yes,No,,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €","€ 1,5661566 €",No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,68861 - GEE-22-SLA-0,Antwerp,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154223,Depending on the tenant,1976,To be done up,4,,296m²square meters,,Semi equipped,12m²square meters,4,17m²square meters,16m²square meters,12m²square meters,2,3,Yes,No,3233m²square meters,Yes,North West,,1189 kWh/m²kilowatt hour per square meters,F,Certificaat-20220518-0002606231-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 695,000695000 €",,No,Lierselei 13/1 2390- Oostmalle,http://www.heylenvastgoed.be,68874 - MAL-22-JTI-0,Antwerp,,,33.36 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11m²square meters,,Yes,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165092,After signing the deed,,To renovate,2,,145m²square meters,,Installed,11m²square meters,3,25m²square meters,11m²square meters,10m²square meters,1,1,,No,447m²square meters,,South,,492 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,,"€ 219,000219000 €",,No,Amsterdamstraat 15 bus202 2000- Antwerpen,,510 - 1471,Antwerp,,6 m,10 mmeters,Yes,,,,,,,,,,,,,,,,,,,310m²square meters,,,,,,,,,,,,,,,,,,,9m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157540,After signing the deed,1973,Good,3,,170m²square meters,,Installed,,3,,,,1,1,,No,793m²square meters,Yes,East,,338 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 912912 €,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,68624 - HEI-22-FVD-1,Antwerp,,,,Yes,"Yes, conform",,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165106,After signing the deed,,To renovate,3,,306m²square meters,,Semi equipped,,4,,,,1,2,Yes,No,400m²square meters,Yes,South West,,785 kWh/m²kilowatt hour per square meters,F,20220816-0002656294-RES-1,Not specified,Not specified,No,Gas,,,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 279,000279000 €",€ 800800 €,No,Prinses Josephine Charlottelaan 72 9100- Sint-Niklaas,http://www.heylenvastgoed.be,69473 - WAA-22-TTA-0,Antwerp,,,11.15 mmeters,Yes,,,,1,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165131,After signing the deed,2016,Good,4,3,305m²square meters,,Installed,,4,,,,2,3,,No,816m²square meters,Yes,South West,,47 kWh/m²kilowatt hour per square meters,A,0002692273,Not specified,Not specified,No,,Yes,,,,,,,"€ 1,239,0001239000 €",,No,Prins Boudewijnlaaan 318 2610- Wilrijk,,2015 - 1989,Antwerp,,,,Yes,,,,,"Living area (residential, urban or rural)",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144421,After signing the deed,1933,Good,2,,130m²square meters,25m²square meters,Installed,16m²square meters,3,20m²square meters,18m²square meters,10m²square meters,2,2,,No,,,,,282 kWh/m²kilowatt hour per square meters,C,20210824-0002455527-RES-1,Not specified,Not specified,No,Gas,Yes,,,,No,Non flood zone,"Living area (residential, urban or rural)","€ 295,000295000 €",€ 458458 €,No,Plantin en Moretuslei 135A 2140- Borgerhout,http://www.immovasta.be,9832 - 2627,Antwerp,,,,Yes,,,,,,,,,,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157107,After signing the deed,1932,To renovate,2,,122m²square meters,,Semi equipped,,3,,,,1,1,Yes,No,,Yes,South,,1177 kWh/m²kilowatt hour per square meters,F,20220809-0002652720-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 199,000199000 €",€ 639639 €,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,69283 - HER-22-PME-0,Antwerp,,5 m,5 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143985,After signing the deed,1972,To be done up,2,1,309m²square meters,63m²square meters,Semi equipped,,5,,,,1,3,Yes,No,260m²square meters,,,7m²square meters,323 kWh/m²kilowatt hour per square meters,D,20220814-0002647857-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €","€ 2,2702270 €",No,Antwerpsestraat 292 2640- Mortsel,http://www.habicom.be,12336 -,Antwerp,,,,Yes,"Yes, conform",,,1,,,,,,,,,,,,,,,120m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156073,To be defined,1979,To be done up,,,199m²square meters,,,,4,,,,1,1,,No,1035m²square meters,Yes,North East,,485 kWh/m²kilowatt hour per square meters,E,20220413-0002583593-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 275,000275000 €","€ 1,1891189 €",No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,68984 - GEE-22-SLA-0,Antwerp,,,20.03 mmeters,Yes,,,,2,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156690,To be defined,,Just renovated,2,,135m²square meters,40m²square meters,Installed,,3,,,,1,1,Yes,No,165m²square meters,,West,20m²square meters,207 kWh/m²kilowatt hour per square meters,C,Certificaat-20220923-0002681158-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",,No,Bischoppenhoflaan 284 2100- Deurne,http://www.heylenvastgoed.be,69236 - DEU-22-YVE-0,Antwerp,,5 m,5 mmeters,Yes,,,,,,,,Yes,,,,,,,,,,,75m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157112,After signing the deed,1955,Good,4,,179m²square meters,,Installed,,4,,,,1,1,,No,1244m²square meters,Yes,North East,,629 kWh/m²kilowatt hour per square meters,F,20220927-0002683375-RES-1,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €",€ 426426 €,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,69258 - HER-22-BST-1,Antwerp,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156230,After signing the deed,1977,To be done up,4,,286m²square meters,50m²square meters,Installed,,3,,,,1,2,Yes,No,1973m²square meters,Yes,North,,480 kWh/m²kilowatt hour per square meters,E,20211222-0002420106-RES-2,Not specified,Not specified,No,Fuel oil,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 379,000379000 €","€ 1,6501650 €",No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,69002 - HER-22-BST-1,Antwerp,,,31.93 mmeters,Yes,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156071,To be defined,1965,Good,,,184m²square meters,,,,3,,,,,2,,No,2250m²square meters,Yes,South,,179 kWh/m²kilowatt hour per square meters,B,202208080002651989-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 379,000379000 €",€ 741741 €,No,Markt 20 2440- Geel,http://www.heylenvastgoed.be,68983 - GEE-22-SLA-1,Antwerp,,,,Yes,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154544,After signing the deed,,To renovate,2,,206m²square meters,,Semi equipped,,5,,,,1,2,Yes,No,97m²square meters,,South West,20m²square meters,315 kWh/m²kilowatt hour per square meters,D,2679124,Not specified,Not specified,No,Gas,,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 395,000395000 €",€ 617617 €,Yes,Sint-Jansvliet 5 2000- Antwerpen,http://www.heylenvastgoed.be,68917 - ANT-22-BCA-0,Antwerp,,5 m,5 mmeters,Yes,,,,,,,,Yes,,,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10155795,To be defined,1977,Good,4,3,220m²square meters,,Semi equipped,,3,,,,2,2,,No,643m²square meters,Yes,East,,281 kWh/m²kilowatt hour per square meters,C,20220908-0002670655-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 489,000489000 €",€ 738738 €,No,Theofiel De Biestraat 11 2220- Heist-op-den-Berg,http://www.heylenvastgoed.be,68979 - HEI-22-FVD-0,Antwerp,,,,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156692,After signing the deed,1960,Good,2,,338m²square meters,32m²square meters,Installed,,5,16m²square meters,13m²square meters,13m²square meters,1,2,Yes,No,215m²square meters,,North East,,146 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,Yes,,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €",,No,Bischoppenhoflaan 284 2100- Deurne,http://www.heylenvastgoed.be,68972 - DEU-22-PEY-0,Antwerp,,6 m,6 mmeters,Yes,,,,,Urban,,,,,,,,,,,,,,85m²square meters,,,,,,,,,,,,,,,,,,,12m²square meters,,Yes,,,,,,,,11m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10129583,After signing the deed,1980,To renovate,,,265m²square meters,60m²square meters,Semi equipped,16m²square meters,5,20m²square meters,18m²square meters,18m²square meters,2,2,Yes,No,2126m²square meters,,,,797 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,,No,,,"Living area (residential, urban or rural)","€ 439,500439500 €","€ 2,1322132 €",No,"Fruithoflaan, 1 2600- Berchem",http://www.coprimmo.be,17005 - 375689,Antwerp,,9 m,,,,,,3,,,,,,,,,,,,,,,1652m²square meters,,,,,,,,,,,,,,,,,,,18m²square meters,,,Yes,,,,,,,12m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10148074,After signing the deed,1937,Just renovated,2,,293m²square meters,46m²square meters,Installed,,8,,,,1,2,,No,435m²square meters,,North,,428 kWh/m²kilowatt hour per square meters,E,20211118-0002495001-RES-1,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 499,000499000 €",,No,Sint-Jansvliet 5 2000- Antwerpen,http://www.heylenvastgoed.be,68634 - ANT-21-SUA-0,Antwerp,,,14 mmeters,Yes,,,,,,,,,,,,,,,,,,,237m²square meters,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10147826,To be defined,1980,As new,4,,167m²square meters,,Installed,,3,,,,1,2,,No,1073m²square meters,Yes,South East,,334 kWh/m²kilowatt hour per square meters,D,20220726-0002161810-RES-2,Not specified,Not specified,No,Gas,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 599,000599000 €",,No,Antwerpsesteenweg 359 2500- Lier,http://www.heylenvastgoed.be,68597 - MEC-22-BQU-0,Antwerp,,,15.5 mmeters,Yes,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10141945,After signing the deed,1969,Good,4,,400m²square meters,63m²square meters,Semi equipped,20m²square meters,4,22m²square meters,18m²square meters,17m²square meters,1,3,Yes,No,786m²square meters,,,,436 kWh/m²kilowatt hour per square meters,E,20220810-0002653427-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 349,000349000 €","€ 1,6831683 €",No,Kempenlaan 32 2300- Turnhout,http://www.heylenvastgoed.be,68377 - TUR-22-KWO-0,Antwerp,,,,Yes,,,,1,"Living area (residential, urban or rural)",,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12m²square meters,15m²square meters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154308,After signing the deed,1969,Good,4,,110m²square meters,,Semi equipped,,2,,,,1,1,,No,638m²square meters,Yes,North West,,480 kWh/m²kilowatt hour per square meters,E,20220927-0002683367-RES-1,Not specified,Not specified,No,Gas,Yes,,No,No,No,Non flood zone,Leisure area,"€ 150,000150000 €",€ 453453 €,No,Grote Markt 10 2200- HERENTALS,http://www.heylenvastgoed.be,67850 - HER-22-BST-1,Antwerp,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
