,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement,Furnished,Surface of the plot,Garden,Garden orientation,Terrace surface,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Neighbourhood or locality,Street frontage width,Width of the lot on the street,"Gas, water &amp; electricity",Conformity certification for fuel tanks,Available date,Obligation to build,Covered parking spaces,Surroundings type,How many fireplaces?,Dressing room,Office,Professional space surface,Professional space,Basement surface,Attic surface,Armored door,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,Garden surface,Terrace orientation,Caretaker,Elevator,Accessible for disabled people,Intercom,Secure access / alarm,Air conditioning,TV cable,Visio phone,Jacuzzi,Sauna,Swimming pool,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Bedroom 4 surface,Office surface,Dining room,Terrace,Virtual visit,Shower rooms,Total ground floor buildable,Laundry room,Attic,E-level (overall energy performance),Bedroom 5 surface,Living room,Isolated,Monthly charges,Percentage rented,Current monthly revenue,Property name,Number of annexes,Agent's name,EPC description,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity,Age of annuitants,Date of the sale,Value of the property,Sea view
10147387,To be defined,2015,As new,3,6,158m²square meters,26m²square meters,Installed,,3,,,,2,3,Yes,No,452m²square meters,,North East,28m²square meters,87 kWh/m²kilowatt hour per square meters,A,11009-G-2013_1592/EP13796/A001/D01/SD001,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Non flood zone,Residential recreation area,"€ 569,000569000 €",€ 992992 €,No,Bredabaan 260 2930- Brasschaat,http://www.heylenvastgoed.be,68579 - BRA-22-GKE-0,Antwerp,,7 m,12 mmeters,Yes,,January 31 2023 - 12:00 AM,,1,,,,Yes,,,,,,,,,,,78m²square meters,,,,,,,,,,,,,,,,,,,,7m²square meters,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108111,To be defined,2009,As new,4,4,455m²square meters,,Installed,,3,,,,1,4,Yes,No,6565m²square meters,,South,,143 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,Gas,Yes,Yes,Yes,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 1,200,0001200000 €","€ 2,0002000 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,62776 - LOM-22-KSC-0,Antwerp,,17 m,101 mmeters,,,,,2,,,,,,,,,,,,,,,4700m²square meters,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10108707,To be defined,1997,As new,4,5,432m²square meters,81m²square meters,Installed,18m²square meters,5,30m²square meters,30m²square meters,30m²square meters,1,3,,No,1650m²square meters,Yes,South,,227 kWh/m²kilowatt hour per square meters,C,20220509-0002599739-RES-1,Not specified,Not specified,No,Fuel oil,,Yes,Yes,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,095,0001095000 €","€ 2,9822982 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,66980 - MEC-22-BQU-0,Antwerp,,14 m,20 mmeters,Yes,,,,5,,,,Yes,,,120m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,17m²square meters,11m²square meters,Yes,Yes,,,,,,,14m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10156821,To be defined,1992,Good,4,,270m²square meters,,Installed,28m²square meters,4,26m²square meters,22m²square meters,18m²square meters,2,3,,Yes,2339m²square meters,Yes,South East,,396 kWh/m²kilowatt hour per square meters,D,20220331-0002575091-RES-1,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Recognized flood zone,"Living area (residential, urban or rural)","€ 690,000690000 €","€ 2,4342434 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,69055 - MAL-22-JTI-0,Antwerp,,,26 mmeters,Yes,,,,,,1,,Yes,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,14m²square meters,7m²square meters,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10153105,After signing the deed,1973,To be done up,2,1,205m²square meters,,Semi equipped,,2,,,,1,,,No,145m²square meters,Yes,East,,274 kWh/m²kilowatt hour per square meters,C,20220706-0002636427-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 320,000320000 €",€ 924924 €,No,Mechelbaan 509 2580- Putte,http://www.immovercammen.be,4922 - KLEINE NIEUWE,Antwerp,,,,Yes,,,,3,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165093,After signing the deed,,Good,4,2,172m²square meters,,Installed,24m²square meters,3,36m²square meters,19m²square meters,18m²square meters,1,2,,No,450m²square meters,Yes,North East,,275 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,,"€ 449,000449000 €",,No,Amsterdamstraat 15 bus202 2000- Antwerpen,,509 - 1475,Antwerp,,11 m,15 mmeters,Yes,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163529,After signing the deed,1955,To renovate,4,2,180m²square meters,33m²square meters,Not installed,6m²square meters,3,18m²square meters,9m²square meters,8m²square meters,1,1,,No,,Yes,North West,,862 kWh/m²kilowatt hour per square meters,F,20221006-0002690735-RES-1,Not specified,Not specified,No,Gas,,Yes,No,,No,Non flood zone,"Living area (residential, urban or rural)","€ 310,000310000 €",€ 518518 €,No,Verbindingsweg 41 1880- Kapelle-op-den-Bos,http://www.clavisvastgoed.be,590 - TISBLA,Antwerp,,,,,"Yes, not conform",,,,,,,,,,7m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9701855,After signing the deed,1918,Just renovated,,,247m²square meters,32m²square meters,Hyper equipped,21m²square meters,2,17m²square meters,17m²square meters,,2,2,,No,127m²square meters,,,14m²square meters,128 kWh/m²kilowatt hour per square meters,B,20220107-0002521739-RES-1,Not specified,Not specified,No,Gas,Yes,,,,,Non flood zone,"Living area (residential, urban or rural)","€ 790,000790000 €",€ 597597 €,No,Barones L. de Borrekenslaan 84 2630- Aartselaar,,16887 - 3225TK H,Antwerp,,10 m,3.6 mmeters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156830,To be defined,2007,As new,4,,357m²square meters,40m²square meters,Hyper equipped,,5,,,,2,3,Yes,No,2012m²square meters,Yes,South,,144 kWh/m²kilowatt hour per square meters,B,Not specified,Not specified,Not specified,No,,Yes,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,195,0001195000 €","€ 2,0342034 €",No,Bredabaan 260 2930- Brasschaat,https://www.heylenexclusief.be/,69134 - LIE-22-GLE-0,Antwerp,,,,Yes,,,,2,,1,,Yes,,,,,,,,,,,,,,,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10045043,After signing the deed,2022,,3,4,230m²square meters,,Installed,,5,,,,2,3,Yes,No,445m²square meters,,,12m²square meters,90 kWh/m²kilowatt hour per square meters,A,_,Not specified,Not specified,No,Gas,Yes,,,,,,,"€ 850,000850000 €",,No,Korenmarkt 8 2800- Mechelen,https://agency.quares.be,835782 - 93363991,Antwerp,Mechelen Oost,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,Yes,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,
