,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10157561,After signing the deed,Périphérie (- de 20 Km autour de Bruxelles),1971,Good,4,3,4,Isolated,Link to the virtual visit,520m²square meters,65m²square meters,Yes,USA hyper equipped,18m²square meters,5,37m²square meters,33m²square meters,21m²square meters,16m²square meters,17m²square meters,3,4,Yes,30m²square meters,No,Yes,4000m²square meters,Yes,Yes,No,Yes,Yes,214 kWh/m²kilowatt hour per square meters,C,20141029-000169118-00000001-3,Not specified,Not specified,Gas,Yes,"€ 1,950,0001950000 €","€ 5,3255325 €",No,Avenue de Tervueren 446 1150- Bruxelles,http://www.jj-properties.be,4956906,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150923,To be defined,Omgeving Kraainem,1991,Good,3,1,2,Isolated,,190m²square meters,44m²square meters,,Hyper equipped,9m²square meters,4,17m²square meters,16m²square meters,10m²square meters,8m²square meters,,2,2,Yes,,No,,390m²square meters,Yes,,No,,No,256 kWh/m²kilowatt hour per square meters,C,0002686656-RES-1,Not specified,Not specified,Gas,,"€ 625,000625000 €","€ 2,3422342 €",No,"Wezembeeklaan, 120 1950- Kraainem",http://www.keystones.be,4960416,Flemish Brabant,September 1 2023 - 12:00 AM,7 m,2,10m²square meters,Yes,10 mmeters,Connected,260m²square meters,10m²square meters,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9919729,After signing the deed,,1960,As new,4,3,2,"Living area (residential, urban or rural)",Link to the virtual visit,201m²square meters,46m²square meters,,Hyper equipped,14m²square meters,5,20m²square meters,17m²square meters,15m²square meters,11m²square meters,10m²square meters,1,3,,18m²square meters,No,Yes,566m²square meters,Yes,,,Yes,,216 kWh/m²kilowatt hour per square meters,C,20220517-0002605235-RES-1,Not specified,Not specified,Gas,Yes,"€ 790,000790000 €","€ 4,0254025 €",No,"Chaussée de Mons, 303 1480- Tubize",http://www.bestpartner.be,10737 - 2,Flemish Brabant,,13 m,1,,,20 mmeters,,256m²square meters,15m²square meters,,,,Non flood zone,1,West,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158745,After signing the deed,,1934,Good,2,1,1,,,120m²square meters,,Yes,Installed,,2,,,,,,1,2,No,,,No,340m²square meters,Yes,,No,No,No,263 kWh/m²kilowatt hour per square meters,C,20220902-0002664037-RES-1,Not specified,Not specified,Gas,No,"€ 349,000349000 €",€ 420420 €,No,,,,Flemish Brabant,,,,,,,Connected,250m²square meters,30m²square meters,No,No,Yes,Non flood zone,,South,,Yes,No,Yes,No,Yes,No,No,No,No,South,1,No,No,No,No,No,Yes,No,No,No,No,All kind,No,No,"Living area (residential, urban or rural)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149675,After signing the deed,,1991,Good,4,1,,,,180m²square meters,40m²square meters,,Installed,16m²square meters,4,16m²square meters,10m²square meters,10m²square meters,,,1,2,Yes,,No,,1169m²square meters,,Yes,,,,304 kWh/m²kilowatt hour per square meters,D,20220901-0002666668-RES-1,Not specified,Not specified,Gas,Yes,"€ 650,000650000 €","€ 2,2502250 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7787 - 3612,Flemish Brabant,,,,12m²square meters,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154065,After signing the deed,,1963,To renovate,2,,2,,,414m²square meters,,,Semi equipped,,6,,,,,,1,3,,,No,,515m²square meters,,Yes,,,,458 kWh/m²kilowatt hour per square meters,E,Certificaat-20220713-0002640218-RES-1.pdf,Not specified,Not specified,Gas,Yes,"€ 398,000398000 €","€ 1,7271727 €",No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783656 - 2022/258/S,Flemish Brabant,,,,,,,,,,,,,Non flood zone,1,North East,No,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164121,After signing the deed,R Kraainem Wezembeek,1989,Good,4,1,4,"Living area (residential, urban or rural)",Link to the virtual visit,500m²square meters,70m²square meters,,Hyper equipped,25m²square meters,7,30m²square meters,22m²square meters,20m²square meters,18m²square meters,18m²square meters,5,4,Yes,,No,Yes,7816m²square meters,Yes,,No,Yes,Yes,179 kWh/m²kilowatt hour per square meters,B,455646516516+854,17 kg CO₂/m²,Not specified,Gas,Yes,"€ 2,950,0002950000 €",,No,Bld. Brand Whitlock 108 1200- Woluwe-Saint-Lambert,,4971476,Flemish Brabant,September 1 2022 - 12:00 AM,,2,22m²square meters,Yes,,Connected,7500m²square meters,150m²square meters,Yes,Yes,,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,Park area,,,,625m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10164082,To be defined,,1960,Good,2,1,,Urban,Link to the virtual visit,205m²square meters,50m²square meters,,USA hyper equipped,,3,14m²square meters,15m²square meters,15m²square meters,,,1,3,Yes,18m²square meters,No,,560m²square meters,,,,,,646 kWh/m²kilowatt hour per square meters,F,20221003-0002687578-RES-1,Not specified,Not specified,Gas,,"€ 599,000599000 €","€ 2,9022902 €",Yes,Av.de la Brise 46 1020- Bruxelles,http://www.urban-concept.be,4933388,Flemish Brabant,,11 m,1,14m²square meters,,,Connected,325m²square meters,25m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209m²square meters,30m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10149679,After signing the deed,,1973,Good,2,2,1,,,200m²square meters,31m²square meters,,Installed,10m²square meters,3,15m²square meters,14m²square meters,7m²square meters,,,1,2,,,No,,264m²square meters,Yes,,,,,280 kWh/m²kilowatt hour per square meters,C,20220929-0002685019-RES-1,Not specified,Not specified,Gas,Yes,"€ 324,000324000 €",€ 823823 €,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7766 - 3498,Flemish Brabant,,,,,,6.9 mmeters,,150m²square meters,20m²square meters,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154577,At delivery,Brabant Flamand,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,115 kWh/m²kilowatt hour per square meters,B,Not specified,45 kg CO₂/m²,Not specified,,,,,No,Boulevard de la Woluwe 62 boîte 3 1200- Woluwe-St-Lambert,http://www.latouretpetit.be,4930894,Flemish Brabant,June 30 2024 - 12:00 AM,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10165759,After signing the deed,,1969,Good,4,2,5,,,540m²square meters,72m²square meters,,Installed,33m²square meters,7,35m²square meters,29m²square meters,24m²square meters,23m²square meters,16m²square meters,3,2,,,No,,1241m²square meters,Yes,,,Yes,,452 kWh/m²kilowatt hour per square meters,E,0002671179,Not specified,Not specified,Fuel oil,Yes,"€ 1,195,0001195000 €","€ 4,6404640 €",No,Vismarkt 10 c 3000- Leuven,http://www.immo-time.be,3402 - 2992070,Flemish Brabant,,21 m,,,,33 mmeters,,,35m²square meters,,,,Non flood zone,1,South East,No,,,,,,,,,,,,,,,,,,,,,,,Yes,,,Yes,Yes,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,
10149158,After signing the deed,Vlaams-Brabant Oost,1932,Good,3,1,,Urban,,208m²square meters,32m²square meters,Yes,USA hyper equipped,14m²square meters,5,26m²square meters,16m²square meters,16m²square meters,15m²square meters,10m²square meters,3,3,Yes,5m²square meters,No,,187m²square meters,Yes,,No,,No,321 kWh/m²kilowatt hour per square meters,D,20220923-0002681664-RES-1,18 kg CO₂/m²,Not specified,Gas,Yes,"€ 495,000495000 €",€ 882882 €,No,Parklaan 59/1 1930- Zaventem,http://www.century21zaventem.be,4935456,Flemish Brabant,,,3,15m²square meters,Yes,10 mmeters,Connected,70m²square meters,65m²square meters,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,No,"Living area (residential, urban or rural)",,,No,,,,,32m²square meters,,,,,,,,,,,,,,,,,,,,,,
9935270,After signing the deed,,1989,As new,4,2,2,Landscape,,404m²square meters,55m²square meters,Yes,Hyper equipped,16m²square meters,4,12m²square meters,16m²square meters,27m²square meters,,,2,2,Yes,148m²square meters,No,No,1000m²square meters,No,,No,Yes,No,262 kWh/m²kilowatt hour per square meters,C,20180828-0002085595-1,92885 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 570,000570000 €","€ 1,7001700 €",No,,,,Flemish Brabant,,12 m,,,,20 mmeters,Connected,1000m²square meters,52m²square meters,No,No,Yes,Non flood zone,,,,,No,Yes,Yes,,No,No,No,Yes,,,No,No,No,No,No,Yes,No,Yes,Yes,No,All kind,,,,,Yes,,,36m²square meters,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,
10120616,After signing the deed,,1963,To renovate,4,,,,Link to the virtual visit,228m²square meters,38m²square meters,,,13m²square meters,4,,,,,,1,,,60m²square meters,No,No,2875m²square meters,Yes,,No,No,No,700 kWh/m²kilowatt hour per square meters,F,0002555095-RES-1,Not specified,Not specified,Fuel oil,No,"€ 600,000600000 €","€ 1,7701770 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,13 m,,,,23 mmeters,Connected,,,No,,Yes,Possible flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,"Yes, conform",,700,,,,,,,,,,,,,,,,,,,,,
10149681,After signing the deed,,1991,Good,4,1,,,,180m²square meters,40m²square meters,,Installed,16m²square meters,4,16m²square meters,10m²square meters,10m²square meters,,,1,2,Yes,,No,,1169m²square meters,,Yes,,,,304 kWh/m²kilowatt hour per square meters,D,20220901-0002666668-RES-1,Not specified,Not specified,Gas,Yes,"€ 650,000650000 €","€ 2,2502250 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7785 - 3683,Flemish Brabant,,,,12m²square meters,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159480,After signing the deed,,1990,Good,4,1,,,Link to the virtual visit,210m²square meters,30m²square meters,,Installed,14m²square meters,5,17m²square meters,16m²square meters,10m²square meters,10m²square meters,,2,,Yes,,No,,1102m²square meters,,Yes,,,,258 kWh/m²kilowatt hour per square meters,C,20220710-0002638524-RES-1,Not specified,Not specified,Gas,Yes,"€ 700,000700000 €","€ 3,7123712 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7806 - 3648,Flemish Brabant,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161655,After signing the deed,,,Just renovated,2,,,"Living area (residential, urban or rural)",,110m²square meters,25m²square meters,,Semi equipped,,2,,,,,,,1,,,No,,228m²square meters,Yes,,,,,487 kWh/m²kilowatt hour per square meters,E,20181220-0002116773-1,1000 kg CO₂/m²,Not specified,Gas,Yes,"€ 295,000295000 €",€ 282282 €,No,Hollebeekstraat 163A 1630- Linkebeek,http://www.clavisimmo.be,15022 - Terheyde 120,Flemish Brabant,October 7 2022 - 12:00 AM,6 m,1,,,6 mmeters,,133m²square meters,15m²square meters,,,,Non flood zone,,South West,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068979,After signing the deed,Vlaams-Brabant Noorden,1950,Good,2,,,Urban,,123m²square meters,10m²square meters,Yes,Semi equipped,10m²square meters,3,17m²square meters,23m²square meters,22m²square meters,,,2,2,,48m²square meters,No,,95m²square meters,Yes,,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,20220803-0002650012-RES-1,7 kg CO₂/m²,Not specified,Gas,Yes,"€ 320,000320000 €",€ 530530 €,No,Parklaan 59/1 1930- Zaventem,http://www.century21zaventem.be,4854191,Flemish Brabant,,6 m,2,,Yes,6 mmeters,Connected,30m²square meters,,No,Yes,Yes,Non flood zone,,,,,,,,,,,,,,,,,Yes,,,,,,,,,Yes,No,"Living area (residential, urban or rural)",,,No,70m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
9623528,After signing the deed,Bruxelles-Sud,1920,To be done up,2,,,Isolated,,160m²square meters,14m²square meters,Yes,Installed,11m²square meters,4,15m²square meters,14m²square meters,9m²square meters,40m²square meters,,2,2,,10m²square meters,No,,160m²square meters,Yes,,No,,No,370 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 375,000375000 €",€ 855855 €,No,Avenue des aubépines 32 1180- Uccle,,4582002,Flemish Brabant,,6.52 m,2,,Yes,6.52 mmeters,Connected,50m²square meters,20m²square meters,No,,Yes,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10027384,After signing the deed,,1958,Good,4,1,3,Urban,Link to the virtual visit,140m²square meters,37m²square meters,Yes,Semi equipped,13m²square meters,3,13m²square meters,22m²square meters,13m²square meters,,,1,2,Yes,66m²square meters,No,,560m²square meters,Yes,,No,,No,442 kWh/m²kilowatt hour per square meters,E,202207140002641037,Not specified,Not specified,Gas,,"Make an offer starting from€ 419,000Make an offer starting from419000 €",€ 750750 €,No,200 Hendrik I Lei 1800- Vilvoorde,http://www.weinvest.be,4754833,Flemish Brabant,,8 m,,,,16 mmeters,Connected,461m²square meters,22m²square meters,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,No,99m²square meters,60m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10135978,After signing the deed,,1994,As new,3,,1,Urban,,179m²square meters,,,USA hyper equipped,,3,13m²square meters,12m²square meters,10m²square meters,,,1,2,,,,,216m²square meters,,Yes,,,,226 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Gas,,"€ 419,500419500 €","€ 1,0281028 €",No,Astridlaan 1 1700- Dilbeek,http://www.living-stone.be,4935519,Flemish Brabant,,7 m,1,,,,,216m²square meters,,,,,Non flood zone,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9855121,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25 kWh/m²kilowatt hour per square meters,A,1213,Not specified,Not specified,,,,,No,Astridlaan 1 1700- Dilbeek,http://www.living-stone.be,4727789,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
9362082,After signing the deed,,1932,Just renovated,2,,,,,112m²square meters,17m²square meters,,Installed,12m²square meters,3,12m²square meters,11m²square meters,9m²square meters,9m²square meters,,1,1,,,No,,195m²square meters,,,,,,232 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Gas,Yes,"€ 239,000239000 €",€ 275275 €,No,Vismarkt 10 c 3000- Leuven,http://www.immo-time.be,2452 - 2991841,Flemish Brabant,,9 m,,,,9 mmeters,,130m²square meters,16m²square meters,,,,,,South,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096518,After signing the deed,,1958,To renovate,2,,,"Living area (residential, urban or rural)",Link to the virtual visit,125m²square meters,24m²square meters,,Semi equipped,7m²square meters,3,11m²square meters,7m²square meters,12m²square meters,,,1,1,,15m²square meters,No,,192m²square meters,,,,,,427 kWh/m²kilowatt hour per square meters,E,20220902-000266827-RES-1,Not specified,Not specified,Fuel oil,,"€ 335,000335000 €",€ 994994 €,No,Meeuwenlaan 4 1800- Vilvoorde,http://www.urban-concept.be,4869812,Flemish Brabant,,6 m,,,,,,100m²square meters,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,
10010856,To be defined,,2018,As new,2,1,2,Urban,Link to the virtual visit,163m²square meters,27m²square meters,,Hyper equipped,14m²square meters,5,18m²square meters,11m²square meters,10m²square meters,14m²square meters,14m²square meters,2,3,,,No,,230m²square meters,Yes,,No,,No,66 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,Gas,Yes,"€ 450,000450000 €","€ 1,2301230 €",No,Avenue Louise 433 1050- Bruxelles,http://www.bytheway.immo,4841593,Flemish Brabant,,7 m,2,,Yes,7 mmeters,Connected,70m²square meters,30m²square meters,No,,,Non flood zone,,,,,,,,,,,,,,,,,Yes,,,,,,,,,No,No,"Living area (residential, urban or rural)",,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
10056454,To be defined,,1974,Good,3,1,3,Isolated,,150m²square meters,25m²square meters,Yes,Semi equipped,10m²square meters,3,14m²square meters,12m²square meters,9m²square meters,,,1,1,,,No,Yes,601m²square meters,Yes,,No,,No,383 kWh/m²kilowatt hour per square meters,D,12227507,7472 kg CO₂/m²,Not specified,Gas,Yes,"€ 475,000475000 €","€ 1,6501650 €",No,"Avenue des Cerisiers, 95 1200- Woluwe-St-Lambert",http://www.immoabita.be,4867415,Flemish Brabant,August 12 2022 - 12:00 AM,8 m,1,,Yes,8 mmeters,Connected,550m²square meters,40m²square meters,No,,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,,No,601m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10132433,At delivery,Brabant Flamand,,,,32,32,,,,,,,,,,,,,,,,,,,,,,,,,,150 kWh/m²kilowatt hour per square meters,B,1,15 kg CO₂/m²,Not specified,,,,,No,Boulevard de la Woluwe 62 boîte 3 1200- Woluwe-St-Lambert,http://www.latouretpetit.be,4928235,Flemish Brabant,December 29 2023 - 12:00 AM,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9983636,After signing the deed,Vlaams-Brabant Noorden,1920,To be done up,3,,2,Urban,,240m²square meters,14m²square meters,,Hyper equipped,15m²square meters,5,19m²square meters,16m²square meters,12m²square meters,19m²square meters,,1,6,,12m²square meters,Yes,,280m²square meters,Yes,,No,Yes,No,370 kWh/m²kilowatt hour per square meters,D,20210817-000245608-KNR-1,Not specified,Not specified,Gas,Yes,"€ 569,000569000 €","€ 1,0431043 €",Yes,Parklaan 59/1 1930- Zaventem,http://www.century21zaventem.be,4792672,Flemish Brabant,,7 m,1,,Yes,7 mmeters,Connected,80m²square meters,60m²square meters,Yes,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,Mixed living area (accommodation &amp; economic activities),,Yes,No,150m²square meters,,,,150m²square meters,,,,,,,,,,,,,,,,,,,,,,
9406677,To be defined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Boshuisweg 50 2240- Zandhoven,http://www.cenconstruct.be,,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
9467840,To be defined,DijleDelta - Midden in de stad aan de Dijle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Keizershoek 350A 2550- Kontich,http://www.virix.be,,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
9504004,To be defined,,1974,As new,4,1,3,Isolated,,287m²square meters,30m²square meters,Yes,Hyper equipped,15m²square meters,5,19m²square meters,17m²square meters,15m²square meters,10m²square meters,10m²square meters,2,3,,,No,,661m²square meters,Yes,,No,Yes,No,340 kWh/m²kilowatt hour per square meters,D,20210521-0002418453-RES-1,340 kg CO₂/m²,Not specified,Gas,Yes,"€ 695,000695000 €","€ 2,2382238 €",No,"Avenue des Cerisiers, 95 1200- Woluwe-St-Lambert",http://www.immoabita.be,4497601,Flemish Brabant,October 15 2021 - 12:00 AM,11.36 m,1,,Yes,18.4 mmeters,Connected,510m²square meters,40m²square meters,Yes,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,"Living area (residential, urban or rural)",,,,661m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
9468323,To be defined,DijleDelta - Midden in de stad aan de Dijle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,,,No,Keizershoek 350A 2550- Kontich,http://www.virix.be,,Flemish Brabant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10085784,After signing the deed,1 - Bruxelles Sud,1974,Good,4,2,2,Countryside,Link to the virtual visit,215m²square meters,,Yes,Hyper equipped,,4,18m²square meters,14m²square meters,12m²square meters,9m²square meters,,2,2,,,No,,951m²square meters,No,Yes,No,Yes,Yes,339 kWh/m²kilowatt hour per square meters,D,20210617-0002430518-RES-1,Not specified,Not specified,Gas,,"Make an offer starting from€ 735,000Make an offer starting from735000 €","€ 4,1054105 €",No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4894678,Flemish Brabant,January 1 2000 - 12:00 AM,12 m,2,,Yes,,Connected,700m²square meters,,No,,,Possible flood zone,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10112268,At delivery,Projets Bruxelles Est,,,,1,1,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,45 kWh/m²kilowatt hour per square meters,A,A,Not specified,Not specified,,,,,No,Chaussée de Waterloo 1382 1180- Uccle,,4904125,Flemish Brabant,December 31 2023 - 12:00 AM,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10126511,After signing the deed,ARBORETUM - FORET,1972,Good,4,2,4,"Living area (residential, urban or rural)",,450m²square meters,70m²square meters,Yes,Hyper equipped,30m²square meters,6,25m²square meters,20m²square meters,20m²square meters,18m²square meters,18m²square meters,3,4,Yes,60m²square meters,No,Yes,1557m²square meters,Yes,,,Yes,,204 kWh/m²kilowatt hour per square meters,C,202105280002421417-RES-1,81 kg CO₂/m²,Not specified,Fuel oil,Yes,"€ 1,375,0001375000 €","€ 6,6086608 €",No,Avenue René Gobert 26 1180- Uccle,,,Flemish Brabant,,20 m,,40m²square meters,,55 mmeters,Connected,1300m²square meters,100m²square meters,Yes,Yes,Yes,,2,South,"Yes, conform",,,,Yes,,Yes,Yes,,Yes,South West,,,,,,,,,,,,,No,No,Residential area with cultural historical aesthetic value,,Yes,No,,60m²square meters,,"Yes, conform",,,Cédric Mathonnet,,,,,,,,,,,,,,,,,,,,
10085785,After signing the deed,1 - Bruxelles Sud,1974,Good,4,2,2,Countryside,Link to the virtual visit,215m²square meters,,Yes,Hyper equipped,,4,18m²square meters,14m²square meters,12m²square meters,9m²square meters,,2,2,,,No,,951m²square meters,No,Yes,No,Yes,Yes,339 kWh/m²kilowatt hour per square meters,D,20210617-0002430518-RES-1,Not specified,Not specified,Gas,,"Make an offer starting from€ 735,000Make an offer starting from735000 €","€ 4,1054105 €",No,Avenue Baron Albert d'Huart 130 1950- Kraainem,http://www.latouretpetit.be,4894679,Flemish Brabant,January 1 2000 - 12:00 AM,12 m,2,,Yes,,Connected,700m²square meters,,No,,,Possible flood zone,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9797648,After signing the deed,Rhode -saint-genese,1962,As new,4,2,6,"Living area (residential, urban or rural)",,480m²square meters,120m²square meters,Yes,Hyper equipped,,5,40m²square meters,,,,,4,6,Yes,,,,4539m²square meters,Yes,,No,,,255 kWh/m²kilowatt hour per square meters,C,20141013-0001679855-000000015-5,30 kg CO₂/m²,Not specified,Fuel oil,,"€ 2,750,0002750000 €","€ 6,4586458 €",No,"Avenue Delleur, 8 1170- Watermael-Boitsfort",http://www.immo-lelion.be,030/5126,Flemish Brabant,,25 m,2,45m²square meters,Yes,,Connected,,80m²square meters,,,Yes,,,,"Yes, conform",,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,45m²square meters,,,,,,,,,,,,,,,,,,,,,,
10159238,After signing the deed,Parc de Diegem,1990,Just renovated,,,,,,207m²square meters,40m²square meters,,Hyper equipped,,4,,,,,,1,3,,,No,,173m²square meters,Yes,,,,,352 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,Gas,Yes,"€ 395,000395000 €",,No,Place des chasseurs Ardennais 24-26 1030- Schaerbeek,http://www.eventimmo.be,8845 - 654658436,Flemish Brabant,,,1,,,,,,47m²square meters,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9941053,At delivery,Projets Bruxelles Est,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46 kWh/m²kilowatt hour per square meters,A,B,Not specified,Not specified,,,,,No,Chaussée de Waterloo 1382 1180- Uccle,,4769090,Flemish Brabant,January 1 2025 - 12:00 AM,,,,,,,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
