,Available as of,Neighbourhood or locality,Construction year,Building condition,Number of frontages,Covered parking spaces,Outdoor parking spaces,Surroundings type,Virtual visit,Living area,Living room surface,Dining room,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bedroom 4 surface,Bedroom 5 surface,Bathrooms,Toilets,Office,Basement surface,Furnished,Armored door,Surface of the plot,"Gas, water &amp; electricity",Terrace,Elevator,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Available date,Street frontage width,Shower rooms,Office surface,Attic,Width of the lot on the street,Connection to sewer network,Garden surface,Terrace surface,Accessible for disabled people,Intercom,TV cable,Flood zone type,How many fireplaces?,Garden orientation,As built plan,Living room,Dressing room,Laundry room,Professional space,Basement,Land is facing street,Wooded land,Plot at rear,Flat land,Terrace orientation,Number of annexes,Caretaker,Air conditioning,Visio phone,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Possible priority purchase right,Proceedings for breach of planning regulations,Latest land use designation,Garden,Planning permission obtained,Subdivision permit,Total ground floor buildable,Attic surface,Obligation to build,Conformity certification for fuel tanks,Professional space surface,E-level (overall energy performance),Agent's name,Property name,Isolated,Extra information,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Percentage rented,EPC description,Maximum duration of annuity
10125715,After signing the deed,,1933,To renovate,2,,,,,150m²square meters,38m²square meters,Yes,,10m²square meters,3,,,,,,1,,,,No,No,258m²square meters,Yes,,No,No,No,629 kWh/m²kilowatt hour per square meters,F,2619263,Not specified,Not specified,Gas,Yes,"€ 225,000225000 €",€ 552552 €,No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,6 m,,,,6 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,,No,No,Industrial area,,,No,,,,,,629,,,,,,,,,,,,,,,,,,,,,
10161861,After signing the deed,,1930,Just renovated,,,,,,150m²square meters,,Yes,Installed,10m²square meters,4,26m²square meters,26m²square meters,16m²square meters,15m²square meters,,1,2,,,No,,215m²square meters,,Yes,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,Yes,"€ 445,000445000 €",€ 585585 €,No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7796 - 3687,Flemish Brabant,,,,,,,,,,,,,,,North East,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10124703,After signing the deed,,1918,Good,2,,,,Link to the virtual visit,120m²square meters,30m²square meters,Yes,,6m²square meters,3,,,,,,3,,,,No,No,100m²square meters,Yes,,No,No,No,495 kWh/m²kilowatt hour per square meters,E,20210127-0002365097-RES-1,Not specified,Not specified,Gas,Yes,"€ 310,000310000 €",€ 352352 €,No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,4 m,,,,4 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,,No,,,,,,495,,,,,,,,,,,,,,,,,,,,,
10120615,After signing the deed,,1899,To renovate,2,,,,Link to the virtual visit,221m²square meters,19m²square meters,Yes,,16m²square meters,3,,,,,,1,,,25m²square meters,No,No,157m²square meters,Yes,,,,,404 kWh/m²kilowatt hour per square meters,E,2631654-RES-1,Not specified,Not specified,Gas,Yes,"Make an offer starting from€ 295,000Make an offer starting from295000 €","€ 1,8311831 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,5 m,,,,5 mmeters,Connected,,,,,,Non flood zone,,,,,,,,,,,,,,,,,,,,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,404,,,,,,,,,,,,,,,,,,,,,
10149004,After signing the deed,,1980,Good,3,1,4,,,300m²square meters,47m²square meters,,Installed,,6,16m²square meters,15m²square meters,14m²square meters,14m²square meters,15m²square meters,4,6,Yes,,,,1167m²square meters,Yes,Yes,No,Yes,No,242 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,Gas,Yes,"€ 1,265,0001265000 €","€ 4,8714871 €",No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4965186,Flemish Brabant,,,,12m²square meters,,12 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,Yes,,,,,,50m²square meters,,,,,,,,,,,,,,,,,,,,,,
10155914,After signing the deed,,1986,Good,4,4,6,,,200m²square meters,40m²square meters,,Installed,24m²square meters,3,15m²square meters,12m²square meters,11m²square meters,,,1,2,,,No,Yes,1486m²square meters,Yes,,,Yes,,545 kWh/m²kilowatt hour per square meters,F,Certificaat-20220929-0002685376-RES-1.pdf,Not specified,Not specified,Electric,Yes,"€ 625,000625000 €","€ 1,6651665 €",No,Meyskensstraat 222 1780- Wemmel,http://www.structura.be,1783558 - 2022/331/M,Flemish Brabant,,10 m,,,,20 mmeters,,900m²square meters,30m²square meters,,,Yes,Non flood zone,1,,No,,,Yes,,Yes,,,,,,,,,,,,,,,,,,No,,Mixed living area (accommodation &amp; economic activities),,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068708,After signing the deed,,1999,Good,3,1,,,,127m²square meters,22m²square meters,,Installed,6m²square meters,2,17m²square meters,14m²square meters,,,,1,,,,No,,708m²square meters,,Yes,,,,195 kWh/m²kilowatt hour per square meters,B,20200316-0002259225-RES-1,Not specified,Not specified,Gas,Yes,"€ 390,000390000 €","€ 1,3851385 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7534 - 3588,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10068711,After signing the deed,,1999,Good,3,1,,,,127m²square meters,22m²square meters,,Installed,6m²square meters,2,17m²square meters,14m²square meters,,,,1,,,,No,,708m²square meters,,Yes,,,,195 kWh/m²kilowatt hour per square meters,B,20200316-0002259225-RES-1,Not specified,Not specified,Gas,Yes,"€ 390,000390000 €","€ 1,3851385 €",No,Alsembergsesteenweg 660 1653- Dworp,http://www.multimmo.be,7588 - 3615,Flemish Brabant,,,,,,,,,,,,,Non flood zone,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9966976,To be defined,,1935,,3,,,,,180m²square meters,,Yes,Installed,18m²square meters,5,22m²square meters,16m²square meters,14m²square meters,14m²square meters,16m²square meters,1,2,No,,,No,185m²square meters,Yes,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,Gas,Yes,"€ 439,000439000 €","€ 1,1501150 €",No,,,,Flemish Brabant,,55 m,,,Yes,,Connected,110m²square meters,17m²square meters,,,,Non flood zone,,East,,Yes,No,,No,Yes,Yes,No,Yes,No,,,,,,,,,No,No,Yes,No,All kind,,No,,,Yes,,,,No,,,,,,Yes,,,,,,,,,,,,,,,,,,
10159103,After signing the deed,,1956,To be done up,4,1,,,,268m²square meters,70m²square meters,,Semi equipped,20m²square meters,5,18m²square meters,16m²square meters,14m²square meters,12m²square meters,7m²square meters,1,2,Yes,,No,,769m²square meters,Yes,,No,Yes,No,369 kWh/m²kilowatt hour per square meters,D,20220801-0002348668-RES-1,Not specified,Not specified,Gas,,"€ 860,000860000 €",,No,Chaussée de Waterloo 1382 1180- Uccle,http://www.victoire.be/,4906337,Flemish Brabant,,12 m,1,12m²square meters,Yes,,Connected,620m²square meters,40m²square meters,Yes,,Yes,Non flood zone,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,360m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,
10112853,After signing the deed,,1999,Good,3,,1,,Link to the virtual visit,137m²square meters,32m²square meters,,,8m²square meters,3,,,,,,1,,,,No,No,255m²square meters,Yes,,No,No,No,261 kWh/m²kilowatt hour per square meters,C,20220524-0002609950-RES-2,Not specified,Not specified,Gas,Yes,"€ 425,000425000 €","€ 1,4891489 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,6 m,,,,8 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,261,,,,,,,,,,,,,,,,,,,,,
10119357,To be defined,,1975,Good,4,,,,Link to the virtual visit,159m²square meters,20m²square meters,Yes,,10m²square meters,3,,,,,,1,,,,No,No,740m²square meters,Yes,,No,No,No,760 kWh/m²kilowatt hour per square meters,F,2643139-RES-1,Not specified,Not specified,Electric,Yes,"€ 480,000480000 €","€ 1,8221822 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,13 m,,,,22 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,Bungalow,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,760,,,,,,,,,,,,,,,,,,,,,
10119354,After signing the deed,,1937,Good,2,,,,Link to the virtual visit,310m²square meters,43m²square meters,,,43m²square meters,3,,,,,,2,,Yes,51m²square meters,No,No,229m²square meters,Yes,Yes,No,No,No,419 kWh/m²kilowatt hour per square meters,E,2628107-RES-1,Not specified,Not specified,Gas,Yes,"€ 490,000490000 €","€ 1,9821982 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,7 m,,31m²square meters,,7 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,Yes,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,,No,,,,,,419,,,,,,,,,,,,,,,,,,,,,
10123238,After signing the deed,,1963,To renovate,4,,,,Link to the virtual visit,200m²square meters,32m²square meters,,,9m²square meters,3,,,,,,1,,,,No,No,826m²square meters,Yes,,No,No,No,1111 kWh/m²kilowatt hour per square meters,F,0002670340-RES-1,Not specified,Not specified,Fuel oil,Yes,"€ 525,000525000 €","€ 1,3631363 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,17 m,,,,29 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,Bungalow,No,No,"Living area (residential, urban or rural)",,,No,,,,,,1111,,,,,,,,,,,,,,,,,,,,,
10123237,After signing the deed,,1989,Good,3,,,,Link to the virtual visit,190m²square meters,35m²square meters,Yes,,15m²square meters,3,,,,,,,,,34m²square meters,No,No,369m²square meters,Yes,,No,No,No,367 kWh/m²kilowatt hour per square meters,D,20220502-0002595078-RES-1,Not specified,Not specified,Electric,Yes,"€ 470,000470000 €","€ 1,5691569 €",No,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,7 m,,,,12 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,,,,,,,,,,,,No,No,,No,No,No,No,Town-house,No,No,"Living area (residential, urban or rural)",,Yes,No,,,,,,367,,,,,,,,,,,,,,,,,,,,,
10119355,After signing the deed,,1937,Good,2,,,,Link to the virtual visit,310m²square meters,43m²square meters,,,43m²square meters,3,,,,,,2,,Yes,51m²square meters,No,No,229m²square meters,Yes,Yes,No,No,No,419 kWh/m²kilowatt hour per square meters,E,2628107-RES-1,Not specified,Not specified,Gas,Yes,"€ 490,000490000 €","€ 1,9821982 €",Yes,"Prinsenstraat, 24 1850- Grimbergen",http://www.era.be/immotoye,,Flemish Brabant,,7 m,,31m²square meters,,7 mmeters,Connected,,,No,,Yes,Non flood zone,,,,,,,Yes,,,,,,,,,,,No,No,,No,No,No,No,,No,No,"Living area (residential, urban or rural)",,,No,,,,,,419,,,,,,,,,,,,,,,,,,,,,
10061754,After signing the deed,,1980,To be done up,3,1,5,,,280m²square meters,56m²square meters,,Semi equipped,11m²square meters,3,13m²square meters,9m²square meters,9m²square meters,,,1,2,,,No,,1342m²square meters,,,,,,367 kWh/m²kilowatt hour per square meters,D,20220726-0002646213-RES-1,Not specified,Not specified,Electric,Yes,"€ 570,000570000 €",,No,Verbindingsweg 41 1880- Kapelle-op-den-Bos,http://www.clavisvastgoed.be,572 - KAPHUT,Flemish Brabant,,,,,,,,,40m²square meters,,,,,,,No,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
