,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10146853,10146853,house,house,448000,forsale,2860,xl,semiequipped,1965,good,gas,193,3,440,,,,,,,2,2,,Antwerp
10149535,10149535,house,villa,1095000,forsale,2860,xl,installed,1964,good,gas,312,3,3051,,true,,true,,,6,,,Antwerp
10108176,10108176,house,house,295000,forsale,2660,xl,semiequipped,1947,tobedoneup,gas,482,3,102,,true,,,,,1,,,Antwerp
10151199,10151199,house,villa,519000,forsale,2800,xl,installed,1957,tobedoneup,gas,373,3,1053,,,572,true,,,2,,,Antwerp
10156611,10156611,house,house,339000,forsale,2200,xl,semiequipped,1957,torenovate,fueloil,622,4,2117,,true,,,,,2,2,,Antwerp
10051145,10051145,house,townhouse,299000,forsale,2830,xl,hyperequipped,1936,tobedoneup,gas,193,4,216,,,,true,true,,,,,Antwerp
10154593,10154593,house,exceptionalproperty,1395000,forsale,2980,xl,installed,1979,justrenovated,gas,214,4,4140,,,,true,true,true,4,5,,Antwerp
10129135,10129135,house,house,368500,forsale,2110,xl,semiequipped,1954,good,fueloil,905,3,1214,,true,,true,,,2,,,Antwerp
10104266,10104266,house,house,399000,forsale,2830,xl,hyperequipped,1965,torenovate,gas,712,4,497,,,,true,,,1,,,Antwerp
10076390,10076390,house,house,429000,forsale,2830,xl,usainstalled,,justrenovated,gas,166,3,217,true,true,108,true,,,,2,,Antwerp
10134346,10134346,house,house,469000,forsale,2860,xl,installed,1960,justrenovated,gas,150,4,316,,,190,true,,,1,1,,Antwerp
10115591,10115591,house,house,498000,forsale,2830,xl,hyperequipped,2005,good,gas,179,3,401,,,,true,,,1,2,,Antwerp
10074639,10074639,house,house,875000,forsale,2400,xl,installed,1970,good,fueloil,361,5,1322,,true,806,true,true,,2,5,,Antwerp
10133288,10133288,house,villa,939000,forsale,2920,xl,hyperequipped,1997,good,gas,61,5,2013,,,1280,true,true,true,2,5,,Antwerp
10107023,10107023,house,exceptionalproperty,880000,forsale,2570,xl,installed,1972,tobedoneup,fueloil,271,5,900,,,,true,true,,1,2,,Antwerp
10140466,10140466,house,house,345000,forsale,2660,xl,installed,1919,asnew,gas,282,3,193,,true,37,true,,,,,,Antwerp
10147387,10147387,house,house,569000,forsale,2960,xl,installed,2015,asnew,,87,3,452,,true,78,true,true,,1,6,,Antwerp
10108111,10108111,house,villa,1200000,forsale,2491,xl,installed,2009,asnew,gas,143,3,6565,,true,4700,true,,,2,4,,Antwerp
10108707,10108707,house,villa,1095000,forsale,2570,xl,installed,1997,asnew,fueloil,227,5,1650,,true,,true,true,,5,5,,Antwerp
10156821,10156821,house,house,690000,forsale,2980,xl,installed,1992,good,,396,4,2339,,,,true,true,,,,,Antwerp
10151010,10151010,house,house,475000,forsale,2910,xl,,1993,good,gas,215,3,633,,,,true,,,,3,,Antwerp
10153105,10153105,house,house,320000,forsale,2800,xl,semiequipped,1973,tobedoneup,gas,274,2,145,,,,,true,,3,1,,Antwerp
10165093,10165093,house,house,449000,forsale,2830,xl,installed,,good,gas,275,3,450,,,,true,,,1,2,,Antwerp
10163529,10163529,house,house,310000,forsale,2830,xl,notinstalled,1955,torenovate,gas,862,3,0,,true,,,,,,2,,Antwerp
9701855,9701855,house,house,790000,forsale,2830,xl,hyperequipped,1918,justrenovated,gas,128,2,127,,,,true,,,,,,Antwerp
10156830,10156830,house,villa,1195000,forsale,2560,xl,hyperequipped,2007,asnew,,144,5,2012,,true,,true,true,,2,,,Antwerp
10045043,10045043,house,house,850000,forsale,2820,xl,installed,2022,,gas,90,5,445,,true,,true,,true,,4,1,Antwerp
10140531,10140531,house,house,325000,forsale,2660,xl,semiequipped,1966,good,gas,179,2,226,,,,,,,1,1,,Antwerp
10152848,10152848,house,house,249000,forsale,2880,xl,installed,1918,good,gas,384,3,130,,true,,true,,,,,,Antwerp
