,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
10165268,10165268,house,house,86500,forsale,7332,xl,notinstalled,,good,electric,421,1,13,,,,,,,,,,Hainaut
10122996,10122996,house,house,550000,forsale,6280,xl,semiequipped,,asnew,fueloil,268,6,1228,true,true,400,true,true,,1,8,,Hainaut
10094702,10094702,house,villa,515000,forsale,7180,xl,installed,1999,good,fueloil,198,4,1248,true,,,true,true,,,5,,Hainaut
10094730,10094730,house,villa,515000,forsale,6230,xl,installed,1999,good,fueloil,198,4,1248,true,,,true,true,,,5,,Hainaut
10016535,10016535,house,house,79000,forsale,6020,xl,semiequipped,,good,gas,263,2,205,,true,56,true,,,,,,Hainaut
10142416,10142416,house,house,165000,forsale,6060,xl,installed,,good,gas,558,3,135,,true,,,,,1,,,Hainaut
10121702,10121702,house,house,359000,forsale,7060,xl,installed,2023,,gas,90,3,253,,,175,,,,1,,1,Hainaut
10147794,10147794,house,villa,1795000,forsale,7800,xl,hyperequipped,2006,tobedoneup,fueloil,190,4,4202,,true,,true,true,,2,5,,Hainaut
10100692,10100692,house,house,110000,forsale,7860,xl,semiequipped,,torenovate,gas,544,3,150,,,,,,,,,,Hainaut
10006213,10006213,house,house,175000,forsale,7522,xl,semiequipped,,tobedoneup,fueloil,367,3,304,true,true,252,true,,,,,,Hainaut
10064790,10064790,house,house,139000,forsale,6030,xl,installed,1930,good,gas,1061,2,189,true,true,120,true,,,,,,Hainaut
9981219,9981219,house,house,160000,forsale,6180,xl,semiequipped,,good,gas,492,2,162,true,true,40,true,,,1,1,,Hainaut
10085156,10085156,house,house,180000,forsale,6040,xl,semiequipped,1950,tobedoneup,fueloil,480,2,450,,true,500,,,,1,2,,Hainaut
10087743,10087743,house,apartmentblock,180000,forsale,7130,xl,installed,1970,good,gas,296,5,50,,true,,,,,,,,Hainaut
10032690,10032690,house,house,199999,forsale,6200,xl,installed,1950,asnew,gas,616,3,250,true,true,116,true,,,1,1,,Hainaut
10074053,10074053,house,house,199000,forsale,6230,xl,installed,1920,good,fueloil,437,3,745,true,true,590,true,,,1,,,Hainaut
10082840,10082840,house,house,180000,forsale,7130,xl,installed,1970,good,gas,296,5,50,,true,,,,,,,,Hainaut
9983755,9983755,house,house,199999,forsale,6040,xl,installed,1923,torenovate,gas,333,7,1320,true,true,1000,true,true,,1,4,,Hainaut
10085981,10085981,house,house,329000,forsale,6140,xl,installed,2018,asnew,gas,109,3,371,true,,250,true,,,1,2,,Hainaut
10093356,10093356,house,house,375000,forsale,6250,xl,semiequipped,1965,good,fueloil,532,3,575,,true,,true,true,,1,1,,Hainaut
10045650,10045650,house,house,209000,forsale,7100,xl,installed,1955,asnew,gas,496,3,140,true,true,,true,true,,,,,Hainaut
10021008,10021008,house,house,400000,forsale,7190,xl,installed,1975,,fueloil,226,5,1000,,,,,,,1,4,,Hainaut
10002562,10002562,house,house,350000,forsale,7190,xl,usasemiequipped,,good,fueloil,329,5,404,true,true,200,true,,,1,1,,Hainaut
9981509,9981509,house,house,2650000,forsale,7740,xl,hyperequipped,1960,good,gas,614,7,40000,true,true,,true,true,,3,6,,Hainaut
10153837,10153837,house,house,373000,forsale,7912,xl,installed,2021,good,,,4,716,,,,true,,,1,,,Hainaut
9984912,9984912,house,house,663000,forsale,7080,xl,installed,1992,good,fueloil,375,2,10389,,true,10027,,,true,1,10,,Hainaut
10091851,10091851,house,house,379000,forsale,6040,xl,usahyperequipped,,justrenovated,gas,230,5,470,true,true,320,true,true,,1,,,Hainaut
10157740,10157740,house,townhouse,315000,forsale,7160,xl,usahyperequipped,2011,asnew,gas,126,3,195,,,195,true,true,,2,,,Hainaut
10165328,10165328,house,house,165000,forsale,6120,xl,installed,1960,torenovate,fueloil,786,2,715,,true,,,,,1,,,Hainaut
10143256,10143256,house,house,339000,forsale,6540,xl,usainstalled,1850,justrenovated,gas,210,4,1300,,true,700,,true,,,2,,Hainaut
10143087,10143087,house,house,149000,forsale,6140,xl,notinstalled,1920,torenovate,gas,1045,2,425,true,true,100,true,,,1,,,Hainaut
9865879,9865879,house,mixedusebuilding,155000,forsale,6200,xl,semiequipped,1950,good,,242,2,190,,true,,true,,,,,,Hainaut
10151872,10151872,house,house,199000,forsale,6238,xl,installed,,good,gas,289,2,463,true,,390,true,,,,,,Hainaut
10166761,10166761,house,house,349900,forsale,6230,xl,usahyperequipped,1900,justrenovated,gas,120,4,409,true,true,200,true,true,,1,,,Hainaut
10152531,10152531,house,house,205000,forsale,7070,xl,installed,1980,good,gas,339,4,244,,true,,true,,,1,1,,Hainaut
10153825,10153825,house,house,299000,forsale,7611,xl,installed,,,gas,251,3,1045,,,,true,,,1,3,,Hainaut
10143245,10143245,house,exceptionalproperty,695000,forsale,7181,xl,installed,1900,good,gas,235,7,650,true,true,,true,,true,,1,,Hainaut
10007728,10007728,house,house,195000,forsale,7522,xl,,,good,fueloil,373,4,342,true,,288,true,,,,1,,Hainaut
10149138,10149138,house,house,109000,forsale,7141,xl,semiequipped,1900,tobedoneup,fueloil,377,4,250,true,true,,true,true,,1,1,,Hainaut
