,Available as of,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Living area,How many fireplaces?,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bedroom 3 surface,Bathrooms,Toilets,Basement surface,Furnished,Surface of the plot,Garden,Garden orientation,Secure access / alarm,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Double glazing,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Surroundings type,Living room,Dressing room,Office,Width of the lot on the street,Garden surface,Caretaker,Elevator,Accessible for disabled people,Intercom,TV cable,Visio phone,Conformity certification for fuel tanks,Heat pump,Planning permission obtained,Obligation to build,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Dining room,Basement,Terrace,Subdivision permit,Shower rooms,Land is facing street,Wooded land,Plot at rear,Flat land,Connection to sewer network,"Gas, water &amp; electricity",Laundry room,Total ground floor buildable,Agent's name,Available date,Bedroom 4 surface,Bedroom 5 surface,Neighbourhood or locality,Living room surface,Terrace surface,Professional space,Armored door,Air conditioning,Jacuzzi,Sauna,Internet,Photovoltaic solar panels,Thermic solar panels,Common water heater,Type of building,Attic,Virtual visit,E-level (overall energy performance),Property name,Office surface,Professional space surface,Terrace orientation,Attic surface,Number of annexes,Isolated,Extra information,Monthly charges,Percentage rented,Venue of the sale,Single session,Terms of visit,Starting price,Current monthly revenue,EPC description,Sea view,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitant,Maximum duration of annuity
10120487,After signing the deed,2011,Good,3,2,152m²square meters,,Installed,14m²square meters,3,14m²square meters,11m²square meters,8m²square meters,1,2,,No,302m²square meters,,,,,98 kWh/m²kilowatt hour per square meters,A,20220916-0002676769-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 349,000349000 €",€ 647647 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20488 - VK 4212,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9723409,After signing the deed,2007,As new,4,4,263m²square meters,,Hyper equipped,,5,,,,4,4,,No,683m²square meters,,,Yes,No,221 kWh/m²kilowatt hour per square meters,C,943863,Not specified,Not specified,,Gas,Yes,"€ 2,145,0002145000 €","€ 1,7051705 €",No,Sparrendreef 80 8300- Knokke,http://www.immobrownknokke.be,4632811,West Flanders,,2,"Living area (residential, urban or rural)",,,Yes,,,,No,No,,Yes,Yes,,,Yes,,No,No,Non flood zone,"Living area (residential, urban or rural)",,,Yes,No,3,,,,,Connected,Yes,,,,,,,Knokke,,,,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10158724,After signing the deed,1995,Good,4,3,182m²square meters,,Installed,,3,,,,1,2,,No,1144m²square meters,,,,,217 kWh/m²kilowatt hour per square meters,C,20221006-0002689300-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 486,000486000 €",,No,"Yv. Serruysstraat, 22 8930- Menen",,12325 - 4727959,West Flanders,11 m,1,,,,,30 mmeters,978m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46m²square meters,42m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156442,Immediately,2022,Good,4,,120m²square meters,,Installed,,3,14m²square meters,14m²square meters,9m²square meters,1,2,,No,466m²square meters,,,,,12 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,,Yes,"€ 399,500399500 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20762 - VK 4214,West Flanders,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10159435,After signing the deed,1993,Good,4,2,203m²square meters,,Installed,,4,,,,1,2,,No,1237m²square meters,Yes,South West,,,198 kWh/m²kilowatt hour per square meters,B,20221007-0002691735-RES-1,Not specified,Not specified,No,Gas,Yes,"€ 470,000470000 €","€ 1,3011301 €",No,Stationsstraat 18 8500- Kortrijk,http://www.century21viaplus.be,14542 - 292064,West Flanders,,2,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Link to the virtual visit,,,,,,,,,,,,,,,,,,,,,,,,,,,
10156445,After signing the deed,1975,Good,4,3,180m²square meters,,Semi equipped,14m²square meters,3,17m²square meters,15m²square meters,12m²square meters,1,2,,No,625m²square meters,,,,,560 kWh/m²kilowatt hour per square meters,F,20221004-0002689225-RES-1,Not specified,Not specified,No,Electric,,"€ 369,000369000 €",,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20761 - VK 4239,West Flanders,9 m,1,,,,,,,,,,,,,,,,,,,Non flood zone,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071305,After signing the deed,1923,To renovate,2,,525m²square meters,,Semi equipped,,10,,,,3,4,,No,221m²square meters,,South East,,,427 kWh/m²kilowatt hour per square meters,E,20220813-0002651849-RES-1,Not specified,Not specified,,Gas,No,"€ 879,000879000 €","€ 2,5802580 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1145,West Flanders,34 m,1,Urban,Yes,No,No,25 mmeters,57m²square meters,,,,,,,No,No,Yes,No,No,No,Non flood zone,Residential area with cultural historical aesthetic value,,,,No,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10071302,After signing the deed,1923,Good,3,,310m²square meters,,Semi equipped,,6,,,,1,2,,No,157m²square meters,,South East,,,427 kWh/m²kilowatt hour per square meters,E,20220813-0002651849-RES-1,Not specified,Not specified,,Gas,Yes,"€ 599,000599000 €","€ 1,4771477 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir435,West Flanders,13 m,,Urban,Yes,Yes,No,18 mmeters,57m²square meters,,,,,,,No,No,Yes,No,No,,Non flood zone,Residential area with cultural historical aesthetic value,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10096267,After signing the deed,1986,As new,4,15,424m²square meters,1,USA hyper equipped,,6,,,,3,3,,No,5420m²square meters,Yes,South West,No,No,92 kWh/m²kilowatt hour per square meters,A,20220308-0002558270-RES-1,Not specified,Not specified,,Fuel oil,Yes,"€ 1,195,0001195000 €","€ 1,4631463 €",Yes,Noordzandstraat 66 8000- Brugge,http://www.huysnoord.be,spir1185,West Flanders,33 m,1,Countryside,Yes,Yes,No,45 mmeters,,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,Non flood zone,Area of landscape interest,,,,,3,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10144445,After signing the deed,1952,To be done up,3,,150m²square meters,,Semi equipped,,3,,,,1,2,,No,321m²square meters,,,,,468 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Fuel oil,,"€ 225,000225000 €",€ 416416 €,No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20696 - VK 4240,West Flanders,,1,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10150937,After signing the deed,1997,Good,,,105m²square meters,,,,2,,,,,,,No,105m²square meters,,,,,181 kWh/m²kilowatt hour per square meters,B,20210519-0002415106-RES-2,Not specified,Not specified,No,Gas,,"€ 215,000215000 €",€ 852852 €,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20732 - 3933,West Flanders,,1,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9819472,After signing the deed,2008,As new,4,4,394m²square meters,,Hyper equipped,,6,24m²square meters,22m²square meters,20m²square meters,2,4,,,627m²square meters,,,Yes,No,129 kWh/m²kilowatt hour per square meters,B,20210316-0002387924-RES-1,Not specified,Not specified,,Gas,,"€ 1,995,0001995000 €",,No,Sparrendreef 80 8300- Knokke,http://www.immobrownknokke.be,4707911,West Flanders,,,Countryside,,,Yes,,,,No,No,,,Yes,,,,,,,Non flood zone,,,,Yes,,2,,,,,,Yes,,,,,18m²square meters,18m²square meters,Knokke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10137631,Immediately,1966,Good,4,2,515m²square meters,2,Installed,23m²square meters,4,22m²square meters,16m²square meters,12m²square meters,,,,No,3781m²square meters,Yes,South,,,340 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 1,450,0001450000 €","€ 2,6402640 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20652 - 3943,West Flanders,,2,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10127413,After signing the deed,2008,As new,4,,555m²square meters,,Installed,22m²square meters,5,62m²square meters,35m²square meters,29m²square meters,2,5,,No,3700m²square meters,,,Yes,,295 kWh/m²kilowatt hour per square meters,C,Not specified,Not specified,Not specified,No,Gas,Yes,"€ 1,295,0001295000 €",,Yes,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20532 - VK 4124,West Flanders,,,,,,,,,,,,,,,,,Yes,,No,,,Industrial commercial area,Yes,,,,,,,,,,,,,,,20m²square meters,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9970494,After signing the deed,1946,To be done up,2,,160m²square meters,1,Semi equipped,,4,,,,1,2,,No,617m²square meters,,,,,330 kWh/m²kilowatt hour per square meters,D,20220304-0002554671-RES-1,Not specified,Not specified,No,,Yes,"€ 320,000320000 €","€ 2,2002200 €",Yes,"Yv. Serruysstraat, 22 8930- Menen",,12065 - 4727918,West Flanders,10 m,1,,,,Yes,10 mmeters,,,,,,,,,,,,,,,,,,Yes,,,,,,,,Yes,,,,,,,,37m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138247,After signing the deed,1957,Good,4,10,700m²square meters,1,Hyper equipped,30m²square meters,3,27m²square meters,23m²square meters,,3,5,,No,4047m²square meters,,,Yes,Yes,437 kWh/m²kilowatt hour per square meters,E,Not specified,Not specified,Not specified,No,Fuel oil,Yes,"€ 795,000795000 €","€ 3,4603460 €",No,"Roterijstraat, 202 8793- Waregem",http://www.immobeguin.be/,20655 - 3851,West Flanders,,3,,,,Yes,,,,,,,,,,,,,,,Non flood zone,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
