,id,type,subtype,price,transactionType,zip,visualisationOption,kitchen_type,building_constructionYear,building_condition,energy_heatingType,certificates_primaryEnergyConsumptionLevel,bedroom_count,land_surface,atticExists,basementExists,outdoor_garden_surface,outdoor_terrace_exists,specificities_SME_office_exists,wellnessEquipment_hasSwimmingPool,parking_parkingSpaceCount_indoor,parking_parkingSpaceCount_outdoor,condition_isNewlyBuilt,Province
9769883,9769883,house,apartmentblock,259000,forsale,4040,xl,semiequipped,1938,good,gas,163,7,140,,true,,true,,,,,,Liege
10130670,10130670,house,apartmentblock,255000,forsale,4841,xl,usainstalled,1850,good,fueloil,403,5,432,true,true,339,,true,,,,,Liege
10130669,10130669,house,house,255000,forsale,4841,xl,usainstalled,1850,good,fueloil,403,5,432,true,true,339,,true,,,,,Liege
9717425,9717425,house,apartmentblock,279000,forsale,4000,xl,installed,1930,good,gas,378,5,283,,true,117,,true,,,,,Liege
10018762,10018762,house,house,300000,forsale,4300,xl,installed,1962,good,gas,371,3,940,true,true,780,,true,,1,1,,Liege
10080379,10080379,house,house,300000,forsale,4300,xl,installed,1962,good,gas,371,3,940,true,true,780,,true,,1,1,,Liege
9809429,9809429,house,apartmentblock,299000,forsale,4020,xl,installed,1850,good,gas,256,6,83,,,,,,,,,,Liege
9978456,9978456,house,house,359000,forsale,4480,xl,installed,1986,good,gas,291,3,1231,,true,420,true,true,,2,,,Liege
10096555,10096555,house,mixedusebuilding,310000,forsale,4500,xl,notinstalled,1850,good,gas,492,4,119,true,,,,,,,,,Liege
9363148,9363148,housegroup,housegroup,324000-349500,forsale,4920,xl,,,,,,,,,,,,,,,,1,Liege
10035090,10035090,house,house,319000,forsale,4480,xl,installed,1986,good,gas,291,3,750,,true,,true,true,,,2,,Liege
9818152,9818152,house,house,390000,forsale,4671,xl,installed,1973,good,fueloil,269,3,1130,,true,550,true,,,2,4,,Liege
9836317,9836317,house,apartmentblock,595000,forsale,4141,xl,semiequipped,1950,asnew,fueloil,311,10,956,true,true,160,true,,,,6,,Liege
10045199,10045199,house,house,399000,forsale,4590,xl,semiequipped,1958,good,fueloil,308,4,1653,true,true,1350,true,true,,1,4,,Liege
9948962,9948962,house,castle,1960000,forsale,4910,xl,installed,1898,good,fueloil,440,25,14065,true,true,12330,true,true,,1,1,,Liege
9894014,9894014,house,apartmentblock,999000,forsale,4820,xl,notinstalled,1899,good,gas,201,23,967,,true,,true,true,,10,1,,Liege
10074409,10074409,house,house,255000,forsale,4041,xl,,1967,tobedoneup,fueloil,467,3,400,,true,200,true,true,,3,,,Liege
10163540,10163540,house,house,149500,forsale,4101,xl,semiequipped,,tobedoneup,gas,416,3,340,,true,220,true,,,,,,Liege
10013992,10013992,house,house,295000,forsale,4500,xl,semiequipped,1930,tobedoneup,gas,187,3,151,,true,,true,,,,,,Liege
10141775,10141775,house,house,199500,forsale,4500,xl,installed,1970,good,gas,344,4,365,,true,285,true,,,,,,Liege
10140834,10140834,house,house,240000,forsale,4350,xl,installed,1996,good,fueloil,377,2,620,,,540,true,,,,3,,Liege
10153155,10153155,house,house,650000,forsale,4020,xl,semiequipped,,asnew,gas,305,5,173,,,,,,,8,,,Liege
10145324,10145324,house,mixedusebuilding,750000,forsale,4280,xl,usahyperequipped,1900,asnew,,225,4,4541,true,,3500,true,true,,1,4,,Liege
10064809,10064809,house,countrycottage,750000,forsale,4280,xl,usahyperequipped,1900,asnew,,225,4,4541,true,,3500,true,true,,1,4,,Liege
10052018,10052018,house,house,99000,forsale,4051,xl,notinstalled,1960,torenovate,gas,508,3,272,,,78,true,,,,,,Liege
10165207,10165207,house,house,279500,forsale,4570,xl,installed,,good,fueloil,550,3,1589,,true,1489,true,,,2,,,Liege
9941095,9941095,house,townhouse,30000,forsale,4100,xl,notinstalled,1952,tobedoneup,gas,388,4,276,,true,165,true,,,1,2,,Liege
9661761,9661761,house,house,84000,forsale,4680,xl,notinstalled,1899,torenovate,gas,384,1,167,true,true,125,,,,,,,Liege
9859197,9859197,house,house,129000,forsale,4030,xl,installed,1932,tobedoneup,gas,318,2,49,,,,,,,,,,Liege
9833826,9833826,house,house,139000,forsale,4051,xl,notinstalled,1885,torenovate,fueloil,440,4,380,true,true,30,true,true,,1,2,,Liege
10160688,10160688,house,exceptionalproperty,399000,forsale,4920,xl,notinstalled,1849,tobedoneup,fueloil,463,5,470,,,,true,,,1,1,,Liege
9978989,9978989,house,house,189000,forsale,4870,xl,notinstalled,1993,torenovate,fueloil,233,2,726,,,500,true,,,1,2,,Liege
10007390,10007390,house,house,165000,forsale,4877,xl,notinstalled,1965,torenovate,fueloil,293,3,269,,,80,true,,,1,2,,Liege
10125934,10125934,house,house,140000,forsale,4500,xl,semiequipped,1918,torenovate,gas,264,4,160,,true,75,true,,,,,,Liege
9978987,9978987,house,house,189000,forsale,4877,xl,notinstalled,1993,torenovate,fueloil,233,2,726,,,500,true,,,1,2,,Liege
10057483,10057483,house,house,140000,forsale,4102,xl,semiequipped,1899,tobedoneup,gas,402,2,65,true,true,,true,,,,,,Liege
10096553,10096553,house,house,178000,forsale,4430,xl,installed,1955,good,fueloil,411,2,405,,true,300,true,,,1,,,Liege
9855082,9855082,house,house,199000,forsale,4500,xl,semiequipped,1875,good,gas,555,5,237,true,true,180,true,,,1,,,Liege
10011398,10011398,house,house,249500,forsale,4557,xl,installed,1918,good,fueloil,386,4,750,,true,,true,,,3,,,Liege
10122741,10122741,house,house,249000,forsale,4480,xl,semiequipped,1900,good,fueloil,425,5,545,true,true,430,true,,,2,,,Liege
10002186,10002186,house,house,249500,forsale,4570,xl,semiequipped,1918,tobedoneup,fueloil,433,3,680,,true,,true,,,1,,,Liege
10028279,10028279,house,house,249000,forsale,4030,xl,installed,1967,asnew,gas,117,3,239,,true,125,true,,,1,1,,Liege
10136405,10136405,house,house,229500,forsale,4470,xl,installed,2003,good,gas,166,3,665,,,305,true,,,,,,Liege
9983243,9983243,house,house,260000,forsale,4470,xl,installed,1992,good,gas,244,3,594,,,300,true,true,true,3,1,,Liege
10036796,10036796,house,house,299500,forsale,4550,xl,semiequipped,1996,good,fueloil,454,3,1248,,,,true,,,1,,,Liege
10017641,10017641,house,house,259000,forsale,4400,xl,installed,1968,good,fueloil,778,3,490,,true,190,true,,,1,1,,Liege
10077383,10077383,house,house,390000,forsale,4260,xl,installed,1986,asnew,fueloil,246,4,1355,,,,true,,,,3,,Liege
10062955,10062955,house,villa,425000,forsale,4052,xl,installed,1994,good,fueloil,244,4,712,true,,350,true,,,1,2,,Liege
