,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10164218,After signing the deed,December 1 2022 - 12:00 AM,1900,To restore,4,5,Isolated,197m²square meters,43m²square meters,USA installed,13m²square meters,2,15m²square meters,30m²square meters,1,1,1,14m²square meters,Yes,No,885m²square meters,Connected,Yes,770m²square meters,No,No,Yes,No,1081 kWh/m²kilowatt hour per square meters,F,20220915-0002675036-RES-1,4281 kg CO₂/m²,Not specified,No,Fuel oil,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 350,000350000 €",€ 294294 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971275,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161665,To be defined,May 1 2023 - 12:00 AM,1956,As new,3,8,"Living area (residential, urban or rural)",182m²square meters,26m²square meters,Hyper equipped,13m²square meters,4,14m²square meters,11m²square meters,1,,2,,,No,1424m²square meters,Connected,Yes,952m²square meters,No,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,2438028,5149 kg CO₂/m²,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 359,000359000 €",€ 907907 €,No,Stationstraat 30 9600- Ronse,,4970817,East Falnders,6 m,1,12m²square meters,11m²square meters,Yes,Yes,11 mmeters,25m²square meters,Yes,170m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146903,After signing the deed,September 15 2022 - 12:00 AM,1941,Good,2,,Urban,119m²square meters,32m²square meters,USA installed,10m²square meters,4,14m²square meters,10m²square meters,1,1,1,,,No,49m²square meters,,Yes,,No,No,Yes,No,280 kWh/m²kilowatt hour per square meters,C,20220512-0002601697-RES-1,6684 kg CO₂/m²,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 417417 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4964255,East Falnders,4.44 m,,14m²square meters,15m²square meters,,Yes,4.44 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161587,After signing the deed,,1938,Good,2,,,265m²square meters,,Installed,33m²square meters,5,19m²square meters,19m²square meters,1,,2,,,No,393m²square meters,,,170m²square meters,,,,,295 kWh/m²kilowatt hour per square meters,C,20220823-0002660466-RES-1,Not specified,Not specified,No,Fuel oil,Yes,Yes,,,Non flood zone,"Living area (residential, urban or rural)","€ 599,000599000 €",€ 899899 €,No,Parklaan 63 9300- Aalst,http://www.bricksimmo.be,18349 - Parklaan 91,East Falnders,,,17m²square meters,17m²square meters,Yes,,,80m²square meters,Yes,,Link to the virtual visit,8m²square meters,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166681,At delivery,January 15 2024 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,Yes,,,Possible flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4972729,East Falnders,,,,,,,,,,,,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164692,After signing the deed,,1979,To renovate,4,,,350m²square meters,41m²square meters,Semi equipped,17m²square meters,4,37m²square meters,20m²square meters,2,,3,,,No,936m²square meters,,,,,,,,592 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 435,000435000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20808 - VK,East Falnders,,1,17m²square meters,15m²square meters,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161792,After signing the deed,February 1 2023 - 12:00 AM,2005,Good,4,2,Countryside,200m²square meters,26m²square meters,USA hyper equipped,11m²square meters,4,20m²square meters,13m²square meters,1,1,2,10m²square meters,Yes,No,620m²square meters,Connected,Yes,400m²square meters,No,No,Yes,No,229 kWh/m²kilowatt hour per square meters,C,20220817-0002643021-RES-1,9176 kg CO₂/m²,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 658,500658500 €",€ 922922 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4962769,East Falnders,,1,14m²square meters,8m²square meters,,Yes,,50m²square meters,Yes,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10161801,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,No,,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971080,East Falnders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10157751,To be defined,January 16 2023 - 12:00 AM,1962,Good,3,6,Urban,525m²square meters,,Installed,,4,15m²square meters,15m²square meters,2,1,4,35m²square meters,Yes,No,735m²square meters,Connected,Yes,,No,No,Yes,No,177 kWh/m²kilowatt hour per square meters,B,20220906-0002666490,6854 kg CO₂/m²,Not specified,,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 770,000770000 €",,No,Stationstraat 30 9600- Ronse,,4894847,East Falnders,18 m,1,15m²square meters,15m²square meters,,,23 mmeters,38m²square meters,,375m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166680,After signing the deed,,1957,To be done up,2,1,Urban,137m²square meters,28m²square meters,Semi equipped,13m²square meters,3,14m²square meters,13m²square meters,1,,2,,,No,238m²square meters,Connected,Yes,115m²square meters,No,No,Yes,No,356 kWh/m²kilowatt hour per square meters,D,20210821-0002454324-RES-1,Not specified,Not specified,,Gas,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 425,000425000 €",€ 669669 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4967461,East Falnders,6.4 m,,7m²square meters,,Yes,Yes,6.4 mmeters,18m²square meters,,,,,,,Gent en omstreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151862,At delivery,February 28 2025 - 12:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,No,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4966777,East Falnders,,,,,,,,,,,,,,,Gent en omstreken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164685,After signing the deed,,1979,To renovate,4,,,350m²square meters,41m²square meters,Semi equipped,17m²square meters,4,37m²square meters,20m²square meters,2,,3,,,No,936m²square meters,,,,,,,,592 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Fuel oil,,,,,Non flood zone,,"€ 435,000435000 €",,No,Grote Markt 35 9600- Ronse,http://www.immobeguin.be/,20807 - VK,East Falnders,,1,17m²square meters,15m²square meters,,,,,,,,,"Yes, conform",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10166781,After signing the deed,December 1 2022 - 12:00 AM,1900,To be done up,2,,Urban,110m²square meters,16m²square meters,Hyper equipped,10m²square meters,3,15m²square meters,15m²square meters,1,,2,,,No,51m²square meters,Connected,Yes,,No,No,Yes,No,579 kWh/m²kilowatt hour per square meters,F,RES-1,9999 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 145,000145000 €",€ 327327 €,No,Stationstraat 30 9600- Ronse,,4972706,East Falnders,8 m,,26m²square meters,,,Yes,8 mmeters,,,50m²square meters,,,,,,Yes,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164217,After signing the deed,August 1 2022 - 12:00 AM,2013,As new,4,6,Isolated,,45m²square meters,Hyper equipped,39m²square meters,6,25m²square meters,18m²square meters,3,,3,,,No,1154m²square meters,Connected,Yes,700m²square meters,No,No,Yes,Yes,93 kWh/m²kilowatt hour per square meters,A,20220306-0002557739-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","Make an offer starting from€ 1,150,000Make an offer starting from1150000 €","€ 1,1861186 €",No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4971274,East Falnders,18 m,1,17m²square meters,15m²square meters,,Yes,26 mmeters,40m²square meters,Yes,,,14m²square meters,,,Oost-Vlaanderen,,Yes,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10154806,After signing the deed,December 31 2022 - 12:00 AM,1961,To be done up,2,2,"Living area (residential, urban or rural)",137m²square meters,27m²square meters,Installed,,3,13m²square meters,11m²square meters,1,,2,,,No,176m²square meters,Connected,Yes,40m²square meters,No,No,Yes,No,319 kWh/m²kilowatt hour per square meters,D,20221005-0002689861-RES-1,7262 kg CO₂/m²,Not specified,No,Gas,,,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",€ 359359 €,No,Stationstraat 30 9600- Ronse,,4960866,East Falnders,,,8m²square meters,,Yes,Yes,6.8 mmeters,,,88m²square meters,,,,Yes,Vlaamse Ardennen,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10143136,After signing the deed,December 20 2022 - 12:00 AM,1885,Good,2,,Urban,306m²square meters,,Installed,,6,10m²square meters,11m²square meters,5,,5,,,No,460m²square meters,Connected,Yes,215m²square meters,No,No,Yes,No,217 kWh/m²kilowatt hour per square meters,C,2223752,1632 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,Residential area with cultural historical aesthetic value,"€ 450,000450000 €","€ 1,6901690 €",Yes,Stationstraat 30 9600- Ronse,,4862197,East Falnders,6.5 m,,8m²square meters,8m²square meters,,Yes,6.5 mmeters,12m²square meters,Yes,195m²square meters,,10m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10140837,After signing the deed,December 12 2022 - 12:00 AM,1936,To renovate,2,3,Countryside,165m²square meters,22m²square meters,Not installed,25m²square meters,3,14m²square meters,10m²square meters,1,,1,,,No,610m²square meters,Connected,Yes,430m²square meters,No,No,Yes,No,649 kWh/m²kilowatt hour per square meters,F,2550943,627 kg CO₂/m²,Not specified,,Gas,,No,No,No,Non flood zone,Area of landscape interest,"€ 129,000129000 €",€ 349349 €,No,Stationstraat 30 9600- Ronse,,4961494,East Falnders,6 m,,8m²square meters,,,,6 mmeters,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10163512,After signing the deed,,1996,Good,4,2,,172m²square meters,45m²square meters,Installed,,3,,,2,,3,,,No,653m²square meters,,Yes,,,,,,198 kWh/m²kilowatt hour per square meters,B,20220529-0002612614-RES-1,Not specified,Not specified,No,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 449,000449000 €","€ 1,0981098 €",No,Kerkstraat 2 9170- St-Gillis-Waas,http://www.finehomes.be,1189 - 2009,East Falnders,12 m,1,,,,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084879,At delivery,,2021,As new,2,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,193m²square meters,Connected,Yes,37m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897366,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138446,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,,No,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4959533,East Falnders,,,,,,,,,,,,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084878,At delivery,,2021,As new,2,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,195m²square meters,Connected,Yes,39m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 325,000325000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897364,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084880,At delivery,,2021,As new,3,,Urban,144m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,191m²square meters,Connected,Yes,35m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 339,000339000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897367,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10138497,To be defined,May 1 2023 - 12:00 AM,1956,As new,3,8,"Living area (residential, urban or rural)",182m²square meters,26m²square meters,Hyper equipped,13m²square meters,4,14m²square meters,11m²square meters,1,,2,,,No,1424m²square meters,Connected,Yes,952m²square meters,No,No,Yes,No,178 kWh/m²kilowatt hour per square meters,B,2438028,5149 kg CO₂/m²,Not specified,No,Fuel oil,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 359,000359000 €",€ 907907 €,No,Stationstraat 30 9600- Ronse,,4854993,East Falnders,6 m,1,12m²square meters,11m²square meters,Yes,Yes,11 mmeters,25m²square meters,Yes,170m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10084877,At delivery,,2021,As new,3,,Urban,152m²square meters,23m²square meters,Hyper equipped,16m²square meters,3,15m²square meters,13m²square meters,2,,2,,Yes,No,208m²square meters,Connected,Yes,44m²square meters,No,,Yes,No,1 kWh/m²kilowatt hour per square meters,A,Not specified,Not specified,Not specified,No,Gas,Yes,No,No,,Non flood zone,"Living area (residential, urban or rural)","€ 345,000345000 €",€ 11 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897362,East Falnders,,,11m²square meters,,,,,12m²square meters,Yes,,,,,,Gent en omstreken,Yes,,,,,,,,,,,,Yes,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10099203,After signing the deed,December 1 2022 - 12:00 AM,1930,To be done up,2,,Isolated,145m²square meters,20m²square meters,Semi equipped,6m²square meters,2,12m²square meters,16m²square meters,2,1,2,,,No,300m²square meters,Connected,Yes,230m²square meters,No,No,Yes,No,346 kWh/m²kilowatt hour per square meters,D,20220627-0002630711-RES-1,8176 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 159,000159000 €",€ 340340 €,No,Stationstraat 30 9600- Ronse,,4904555,East Falnders,5 m,,,,,,5 mmeters,,Yes,15m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10008305,After signing the deed,October 5 2022 - 12:00 AM,1948,As new,2,,"Living area (residential, urban or rural)",169m²square meters,14m²square meters,Installed,12m²square meters,4,14m²square meters,11m²square meters,1,,1,,,No,190m²square meters,Connected,Yes,85m²square meters,No,No,Yes,No,141 kWh/m²kilowatt hour per square meters,B,20221003-0002687645-RES-1,4558 kg CO₂/m²,Not specified,"Yes, conform",Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 225,000225000 €",€ 739739 €,No,Stationstraat 30 9600- Ronse,,4812966,East Falnders,5 m,,11m²square meters,19m²square meters,,Yes,5 mmeters,25m²square meters,Yes,80m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10004225,Depending on the tenant,,1900,Good,2,,"Living area (residential, urban or rural)",138m²square meters,,Hyper equipped,,2,19m²square meters,14m²square meters,1,1,2,,,No,140m²square meters,Connected,Yes,56m²square meters,No,No,Yes,No,247 kWh/m²kilowatt hour per square meters,C,0001689137,8569 kg CO₂/m²,Not specified,,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 185,000185000 €",€ 262262 €,No,Stationstraat 30 9600- Ronse,,4770748,East Falnders,4.25 m,,,,,Yes,4.16 mmeters,10m²square meters,,80m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081752,After signing the deed,November 14 2022 - 12:00 AM,1958,To be done up,2,,Isolated,172m²square meters,,Semi equipped,,3,6m²square meters,12m²square meters,1,,1,,Yes,No,169m²square meters,Connected,Yes,104m²square meters,No,Yes,Yes,No,296 kWh/m²kilowatt hour per square meters,C,2610734,7182 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 245,000245000 €",€ 743743 €,No,Stationstraat 30 9600- Ronse,,4895513,East Falnders,6 m,1,22m²square meters,,Yes,Yes,6 mmeters,,Yes,65m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9995587,After signing the deed,October 1 2022 - 12:00 AM,1900,Good,2,,Urban,290m²square meters,30m²square meters,Hyper equipped,22m²square meters,4,20m²square meters,20m²square meters,1,1,2,,,No,280m²square meters,Connected,Yes,150m²square meters,No,No,Yes,No,376 kWh/m²kilowatt hour per square meters,D,20220630-0002632998-RES-1,9999 kg CO₂/m²,Not specified,,Fuel oil,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 249,500249500 €",€ 555555 €,No,Stationstraat 30 9600- Ronse,,4803484,East Falnders,5.1 m,,14m²square meters,14m²square meters,,,5.1 mmeters,15m²square meters,Yes,135m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9969349,After signing the deed,October 14 2022 - 12:00 AM,1900,To renovate,4,6,"Living area (residential, urban or rural)",302m²square meters,,Installed,,5,14m²square meters,16m²square meters,1,1,2,,Yes,No,1195m²square meters,Connected,Yes,555m²square meters,No,No,Yes,No,651 kWh/m²kilowatt hour per square meters,F,2359958,9999 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 305,000305000 €",€ 710710 €,Yes,Stationstraat 30 9600- Ronse,,4770765,East Falnders,28 m,2,20m²square meters,12m²square meters,Yes,Yes,32 mmeters,45m²square meters,,480m²square meters,,13m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10119830,After signing the deed,December 20 2022 - 12:00 AM,1945,Just renovated,2,,Urban,258m²square meters,32m²square meters,Installed,12m²square meters,5,12m²square meters,18m²square meters,2,,2,12m²square meters,Yes,No,156m²square meters,Connected,Yes,,No,No,Yes,No,208 kWh/m²kilowatt hour per square meters,C,1269813,4577 kg CO₂/m²,Not specified,No,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 279,000279000 €",€ 832832 €,No,Stationstraat 30 9600- Ronse,,4930229,East Falnders,5.5 m,,19m²square meters,12m²square meters,Yes,Yes,5.5 mmeters,29m²square meters,Yes,196m²square meters,,18m²square meters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092051,After signing the deed,,1918,To restore,3,,"Living area (residential, urban or rural)",168m²square meters,39m²square meters,Not installed,,5,17m²square meters,12m²square meters,1,,1,,,No,150m²square meters,,Yes,48m²square meters,,,,,675 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,No,Gas,,,,,,,"€ 269,000269000 €",€ 525525 €,No,Sluizeken 16 9000- Gent,http://www.trevi.be,10389 -,East Falnders,5 m,,18m²square meters,12m²square meters,Yes,,5 mmeters,,Yes,,,18m²square meters,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9899652,After signing the deed,September 1 2022 - 12:00 AM,1925,Just renovated,2,,Isolated,152m²square meters,12m²square meters,Installed,10m²square meters,3,12m²square meters,10m²square meters,1,,1,,,No,675m²square meters,Connected,Yes,450m²square meters,No,No,Yes,No,192 kWh/m²kilowatt hour per square meters,B,20220419,4692 kg CO₂/m²,Not specified,No,Gas,,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 265,000265000 €",€ 645645 €,No,Stationstraat 30 9600- Ronse,,4754853,East Falnders,5 m,,18m²square meters,,,Yes,5 mmeters,7m²square meters,Yes,110m²square meters,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10081543,After signing the deed,,1955,Good,2,1,"Living area (residential, urban or rural)",169m²square meters,29m²square meters,Installed,16m²square meters,3,14m²square meters,8m²square meters,1,1,1,,No,,238m²square meters,Connected,Yes,100m²square meters,No,No,Yes,No,538 kWh/m²kilowatt hour per square meters,F,20220816-0002656280-RES-1,Not specified,Not specified,,Fuel oil,,,,,Non flood zone,,"€ 260,000260000 €",€ 463463 €,No,,,,East Falnders,6 m,,13m²square meters,,,,,12m²square meters,Yes,,,,"Yes, conform",,,Yes,Yes,Yes,,Yes,No,No,Yes,,South,No,Yes,No,,,,No,,Yes,20m²square meters,No,41m²square meters,Yes,South,1,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,
10099202,After signing the deed,December 6 2022 - 12:00 AM,1969,Just renovated,3,3,"Living area (residential, urban or rural)",239m²square meters,,Installed,,3,24m²square meters,15m²square meters,1,1,2,,,No,744m²square meters,,Yes,425m²square meters,No,No,Yes,No,198 kWh/m²kilowatt hour per square meters,B,1480756,6789 kg CO₂/m²,Not specified,,Gas,Yes,No,No,No,Possible flood zone,"Living area (residential, urban or rural)","€ 375,000375000 €",€ 592592 €,No,Stationstraat 30 9600- Ronse,,4874766,East Falnders,7 m,1,15m²square meters,,Yes,Yes,11.3 mmeters,20m²square meters,Yes,153m²square meters,,,,,Vlaamse Ardennen,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10099123,After signing the deed,December 1 2022 - 12:00 AM,1946,Good,2,,Urban,135m²square meters,32m²square meters,USA installed,23m²square meters,4,12m²square meters,11m²square meters,1,1,1,,,No,70m²square meters,Connected,Yes,,No,No,Yes,No,393 kWh/m²kilowatt hour per square meters,D,20211108-0002490100-RES-1,9999 kg CO₂/m²,Not specified,No,Gas,Yes,No,,No,Non flood zone,"Living area (residential, urban or rural)","€ 359,000359000 €",€ 480480 €,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4897131,East Falnders,4.28 m,,12m²square meters,14m²square meters,Yes,Yes,4.28 mmeters,7m²square meters,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10087732,At delivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,,,,No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4898254,East Falnders,,,,,,,,,,,,,,,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10117342,After signing the deed,,2003,Good,4,3,"Living area (residential, urban or rural)",160m²square meters,30m²square meters,Installed,11m²square meters,4,15m²square meters,10m²square meters,1,,2,,,No,703m²square meters,Connected,Yes,420m²square meters,No,No,Yes,No,265 kWh/m²kilowatt hour per square meters,C,20220808,Not specified,Not specified,,Gas,Yes,Yes,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 589,000589000 €","€ 1,2511251 €",No,Sint-Denijslaan 1 9000- Gent,http://www.immodavinci.be,4902299,East Falnders,10 m,1,9m²square meters,9m²square meters,,,10 mmeters,,Yes,97m²square meters,,,,Yes,Oost-Vlaanderen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
