,Available as of,Available date,Construction year,Building condition,Number of frontages,Outdoor parking spaces,Surroundings type,Living area,Living room surface,Kitchen type,Kitchen surface,Bedrooms,Bedroom 1 surface,Bedroom 2 surface,Bathrooms,Shower rooms,Toilets,Office surface,Office,Furnished,Surface of the plot,Connection to sewer network,"Gas, water &amp; electricity",Garden surface,Elevator,Accessible for disabled people,TV cable,Swimming pool,Primary energy consumption,Energy class,Reference number of the EPC report,CO₂ emission,Yearly theoretical total energy consumption,As built plan,Heating type,Planning permission obtained,Subdivision permit,Possible priority purchase right,Proceedings for breach of planning regulations,Flood zone type,Latest land use designation,Price,Cadastral income,Tenement building,Address,Website,External reference,Province,Street frontage width,Covered parking spaces,Bedroom 3 surface,Bedroom 4 surface,Basement,Attic,Width of the lot on the street,Terrace surface,Double glazing,Total ground floor buildable,Virtual visit,Bedroom 5 surface,Conformity certification for fuel tanks,Terrace,Neighbourhood or locality,Dining room,Secure access / alarm,Dressing room,Basement surface,Land is facing street,Wooded land,Plot at rear,Flat land,Garden,Garden orientation,Caretaker,Intercom,Visio phone,Type of building,Obligation to build,E-level (overall energy performance),Thermic solar panels,How many fireplaces?,Laundry room,Professional space surface,Professional space,Attic surface,Armored door,Terrace orientation,Number of annexes,Air conditioning,Jacuzzi,Sauna,Internet,Heat pump,Photovoltaic solar panels,Common water heater,Living room,Agent's name,Current monthly revenue,Isolated,Venue of the sale,Single session,Terms of visit,Starting price,Property name,Percentage rented,Monthly charges,Value of the property,Lump sum,Monthly annuity,Indexed annuity,Reversionary annuity,Bare ownership sale,Number of annuitants,Age of annuitants,Date of the sale
10064088,After signing the deed,,1977,,4,,,288m²square meters,,Installed,,5,,,1,1,,,No,,1098m²square meters,,No,1m²square meter,No,No,No,Yes,512 kWh/m²kilowatt hour per square meters,F,20220610-0002620572-RES-1,Not specified,Not specified,,Electric,Yes,,No,No,Non flood zone,,"€ 700,000700000 €",,No,,,,East Falnders,,,,,,,,1m²square meter,No,,,,,,,,No,No,,No,No,No,No,,South,No,No,No,All kind,,,No,,,,No,,No,South,1,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,
10147574,After signing the deed,,,To be done up,2,,"Living area (residential, urban or rural)",166m²square meters,,Installed,,4,,,1,1,2,,Yes,,68m²square meters,Connected,Yes,,,,Yes,,307 kWh/m²kilowatt hour per square meters,D,Not specified,Not specified,Not specified,,Gas,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 279,000279000 €",,,Ieperstraat 2 8700- Tielt,,,East Falnders,,,,,Yes,Yes,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,
10153133,After signing the deed,,,Good,4,10,Urban,281m²square meters,72m²square meters,Hyper equipped,21m²square meters,5,18m²square meters,18m²square meters,2,1,2,,Yes,,2651m²square meters,Connected,No,,,,Yes,,416 kWh/m²kilowatt hour per square meters,E,0002686681-RES-1,Not specified,Not specified,,Fuel oil,Yes,No,Yes,No,Non flood zone,"Living area (residential, urban or rural)","€ 1,250,0001250000 €","€ 1,8021802 €",No,Grote Baan 170 9310- Herdersem,,4964705,East Falnders,,3,11m²square meters,11m²square meters,Yes,Yes,,,Yes,,Link to the virtual visit,21m²square meters,,Yes,Aalst,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10164628,After signing the deed,,,To renovate,3,4,Urban,123m²square meters,33m²square meters,Semi equipped,10m²square meters,4,16m²square meters,10m²square meters,1,,1,,Yes,,2964m²square meters,Connected,No,,,,,,1078 kWh/m²kilowatt hour per square meters,F,0002677803-RES-1,Not specified,Not specified,,,,No,Yes,No,Non flood zone,,"€ 360,000360000 €",€ 435435 €,No,Grote Baan 170 9310- Herdersem,,4972414,East Falnders,,1,13m²square meters,12m²square meters,Yes,Yes,,,,,,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10149514,After signing the deed,,1963,To renovate,4,2,"Living area (residential, urban or rural)",,,,,3,,,1,,1,,,,476m²square meters,,,,,,,,723 kWh/m²kilowatt hour per square meters,F,20220825-0002662310-RES-1,Not specified,Not specified,,Gas,,,,,,,"€ 275,000275000 €",€ 545545 €,No,"Polenlaan, 55 9190- Stekene",http://www.notarisfrankmuller.be/,,East Falnders,5.5 m,1,,,,,7.75 mmeters,,,,,,,Yes,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,No,,,,Robin THYS,,,,,,,,,,,,,,,,,,
10143049,After signing the deed,,1957,Good,2,1,Urban,135m²square meters,38m²square meters,Installed,10m²square meters,3,22m²square meters,15m²square meters,1,,2,,,,120m²square meters,Connected,No,,,,Yes,,578 kWh/m²kilowatt hour per square meters,F,0002538491-RES-1,Not specified,Not specified,,,Yes,No,No,No,Non flood zone,"Living area (residential, urban or rural)","€ 309,000309000 €","€ 1,0511051 €",No,Grote Baan 170 9310- Herdersem,,4961810,East Falnders,,1,,,Yes,Yes,,,Yes,,Link to the virtual visit,,,Yes,Aalst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10151130,After signing the deed,,,Good,2,1,,,35m²square meters,Installed,12m²square meters,3,19m²square meters,14m²square meters,1,,2,,No,,400m²square meters,Connected,Yes,300m²square meters,,,,,338 kWh/m²kilowatt hour per square meters,D,20220905-0002665379-RES-1,Not specified,Not specified,,Gas,Yes,,No,No,Non flood zone,,"€ 295,000295000 €",€ 733733 €,No,,,,East Falnders,8 m,1,14m²square meters,,Yes,Yes,,40m²square meters,Yes,,,,"Yes, conform",,,,,Yes,,No,No,No,No,,,,,,,No,,No,,Yes,,No,,No,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,,,
9421748,Immediately,,,To renovate,2,,,81m²square meters,,Installed,,4,,,1,1,1,,No,No,40m²square meters,,No,,,,,,Not specified,Not specified,Not specified,Not specified,Not specified,,Gas,,,,,,"Living area (residential, urban or rural)","€ 89,00089000 €",€ 265265 €,No,,,,East Falnders,4 m,,,,Yes,,,,No,,,,,,,Yes,,No,,No,No,No,No,,,,,,,,433,No,,Yes,,No,,No,,,,,,,No,No,No,Yes,,,,,,,,,,,,,,,,,,,
9912742,After signing the deed,,1974,To be done up,3,3,Urban,,,Semi equipped,,5,,,1,,2,,,,470m²square meters,Connected,Yes,,,,,,668 kWh/m²kilowatt hour per square meters,F,Not specified,Not specified,Not specified,,Fuel oil,Yes,Yes,No,,,"Living area (residential, urban or rural)","€ 274,900274900 €",,,Industrielaan 14 9620- Zottegem,http://www.woonverkoop.be,,East Falnders,,1,,,,Yes,10.27 mmeters,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,1,Yes,,,,,,1,,,,,,,,Yes,Woonverlkoop,,,,,,,,,,,,,,,,,,
10041282,To be defined,,,Just renovated,2,,Urban,,50m²square meters,Installed,,3,20m²square meters,13m²square meters,1,,1,,,,250m²square meters,Connected,,,,,,,174 kWh/m²kilowatt hour per square meters,B,20220628-0002631341-RES-1,Not specified,Not specified,,Gas,Yes,No,No,,Non flood zone,,"€ 349,000349000 €",€ 533533 €,No,"Brusselsestraat, 67 9200- DENDERMONDE",,,East Falnders,,1,22m²square meters,,Yes,,,,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,No,,,,Sophie VAN DER BIEST,,,,,,,,,,,,,,,,,,
